FEF31_RS00005 WP_243215955.1
FEF31_RS00010 WP_135618519.1
FEF31_RS00015 WP_044284771.1
FEF31_RS00020 WP_243215957.1
FEF31_RS00025 WP_011283885.1
FEF31_RS00030 WP_243215959.1
FEF31_RS00035 WP_014579572.1
FEF31_RS00040 WP_011205916.1
FEF31_RS00045 WP_160600697.1
FEF31_RS00050 WP_243215961.1
FEF31_RS00055 WP_011205921.1
FEF31_RS00060 WP_011205922.1
FEF31_RS00065 WP_011205923.1
FEF31_RS00070 WP_011283891.1
FEF31_RS00075 WP_014579576.1
FEF31_RS00080 WP_014579577.1
FEF31_RS00085 WP_011289993.1
FEF31_RS00090 WP_243215963.1
FEF31_RS00095 WP_011206135.1
FEF31_RS00100 WP_011206134.1
FEF31_RS00105 WP_243215965.1
FEF31_RS00155 WP_233688626.1
FEF31_RS00160 WP_243215967.1
FEF31_RS04365 WP_243215969.1
FEF31_RS00170 WP_014579585.1
FEF31_RS00175 WP_041361727.1
FEF31_RS00180 WP_243215971.1
FEF31_RS00185 WP_044272314.1
FEF31_RS00190 WP_014579589.1
FEF31_RS00195 WP_020835541.1
FEF31_RS00200 WP_011290004.1
FEF31_RS00210 WP_011206120.1
FEF31_RS00215 WP_011206119.1
FEF31_RS00220 WP_011206118.1
FEF31_RS00225 WP_243215975.1
FEF31_RS04370 WP_243215976.1
FEF31_RS00235 WP_243215977.1
FEF31_RS00240 WP_179221015.1
FEF31_RS00245 WP_011206113.1
FEF31_RS00255 WP_308704542.1
FEF31_RS00260 WP_179221017.1
FEF31_RS04375 WP_243234957.1
FEF31_RS00270 WP_243215981.1
FEF31_RS00275 WP_243215983.1
FEF31_RS00280 WP_135618563.1
FEF31_RS00295 WP_237697228.1
FEF31_RS00300 WP_052259108.1
FEF31_RS00305 WP_011206103.1
FEF31_RS00310 WP_011206102.1
FEF31_RS00315 WP_243215985.1
FEF31_RS00325 WP_011206100.1
FEF31_RS00330 WP_243234958.1
FEF31_RS03930 WP_279288000.1
FEF31_RS00335 WP_243215989.1
FEF31_RS00340 WP_243234959.1
FEF31_RS00345 WP_243215993.1
FEF31_RS00350 WP_011283924.1
FEF31_RS00355 WP_243215994.1
FEF31_RS00360 WP_011206093.1
FEF31_RS00365 WP_011206092.1
FEF31_RS00370 WP_228729168.1
FEF31_RS00375 WP_011206090.1
FEF31_RS00380 WP_011206089.1
FEF31_RS00385 WP_011290029.1
FEF31_RS00390 WP_243215996.1
FEF31_RS00395 WP_011206086.1
FEF31_RS00400 WP_020835574.1
FEF31_RS00410 WP_020835575.1
FEF31_RS00415 WP_020835576.1
FEF31_RS00420 WP_011283934.1
FEF31_RS04380 WP_243234960.1
FEF31_RS00435 WP_011290034.1
FEF31_RS00440 WP_135618573.1
FEF31_RS00445 WP_243215999.1
FEF31_RS00450 WP_243216000.1
FEF31_RS00455 WP_011206076.1
FEF31_RS00460 WP_160600882.1
FEF31_RS00470 WP_160600884.1
FEF31_RS00475 WP_011283943.1
FEF31_RS00480 WP_011283944.1
FEF31_RS00485 WP_014579633.1
FEF31_RS00490 WP_243216001.1
FEF31_RS00495 WP_243216002.1
FEF31_RS00500 WP_011206068.1
FEF31_RS00505 WP_011206067.1
FEF31_RS00510 WP_011206066.1
FEF31_RS00515 WP_011206065.1
FEF31_RS04385 WP_011283950.1
FEF31_RS00525 WP_011283951.1
FEF31_RS00530 WP_011206062.1
FEF31_RS00535 WP_011206061.1
FEF31_RS00540 WP_011206060.1
FEF31_RS04390 WP_011283954.1
FEF31_RS00550 WP_088764595.1
FEF31_RS04395 WP_014579624.1
FEF31_RS00560 WP_225973017.1
FEF31_RS00565 WP_243216003.1
FEF31_RS00570 WP_243216004.1
FEF31_RS00575 WP_094521595.1
FEF31_RS00580 WP_243216005.1
FEF31_RS00585 WP_011290053.1
FEF31_RS00590 WP_011290054.1
FEF31_RS00595 WP_011206049.1
FEF31_RS00600 WP_011206048.1
FEF31_RS00605 WP_011283963.1
FEF31_RS00610 WP_011206047.1
FEF31_RS00615 WP_020835589.1
FEF31_RS00620 WP_014579616.1
FEF31_RS00625 WP_011206044.1
FEF31_RS00630 WP_020835590.1
FEF31_RS00635 WP_011290058.1
FEF31_RS00640 WP_011206041.1
FEF31_RS00645 WP_020835592.1
FEF31_RS00650 WP_011206039.1
FEF31_RS00655 WP_011206038.1
FEF31_RS00660 WP_041361589.1
FEF31_RS00665 WP_011206036.1
FEF31_RS00670 WP_011206035.1
FEF31_RS00675 WP_014579611.1
FEF31_RS00680 WP_020835596.1
