KUD10_RS00005 WP_044272251.1
KUD10_RS00010 WP_233688585.1
KUD10_RS00015 WP_233688586.1
KUD10_RS00020 WP_135618444.1
KUD10_RS00025 WP_233688587.1
KUD10_RS00030 WP_233688588.1
KUD10_RS00035 WP_020835484.1
KUD10_RS00040 WP_011205847.1
KUD10_RS00045 WP_160588116.1
KUD10_RS00050 WP_233688589.1
KUD10_RS00055 WP_233688590.1
KUD10_RS00060 WP_233688591.1
KUD10_RS00065 WP_011283834.1
KUD10_RS00070 WP_233688592.1
KUD10_RS00075 WP_011283836.1
KUD10_RS00080 WP_233688593.1
KUD10_RS00085 WP_094521537.1
KUD10_RS00090 WP_232039500.1
KUD10_RS00095 WP_233688594.1
KUD10_RS00100 WP_233688595.1
KUD10_RS00105 WP_233688596.1
KUD10_RS00110 WP_233688597.1
KUD10_RS00115 WP_233688598.1
KUD10_RS00120 WP_233688599.1
KUD10_RS00125 WP_233688600.1
KUD10_RS00130 WP_233688601.1
KUD10_RS00135 WP_135618462.1
KUD10_RS00140 WP_050195463.1
KUD10_RS00145 WP_179220985.1
KUD10_RS00150 WP_233688602.1
KUD10_RS00155 WP_233688603.1
KUD10_RS00160 WP_014579535.1
KUD10_RS00165 WP_233688604.1
KUD10_RS00170 WP_233688605.1
KUD10_RS00175 WP_233688606.1
KUD10_RS00180 WP_011289957.1
KUD10_RS00185 WP_233688607.1
KUD10_RS00190 WP_233688608.1
KUD10_RS00195 WP_011205878.1
KUD10_RS00200 WP_233688609.1
KUD10_RS00205 WP_011205880.1
KUD10_RS00210 WP_014579544.1
KUD10_RS00215 WP_160600661.1
KUD10_RS00220 WP_011205883.1
KUD10_RS00225 WP_233688610.1
KUD10_RS00230 WP_044284571.1
KUD10_RS00235 WP_020835510.1
KUD10_RS00240 WP_044284572.1
KUD10_RS00245 WP_011283865.1
KUD10_RS00250 WP_233688611.1
KUD10_RS00255 WP_233688612.1
KUD10_RS00260 WP_160600671.1
KUD10_RS00265 WP_160600673.1
KUD10_RS00270 WP_233688613.1
KUD10_RS00275 WP_225973008.1
KUD10_RS00280 WP_011283871.1
KUD10_RS00285 WP_233688614.1
KUD10_RS00290 WP_233688615.1
KUD10_RS00295 WP_050195448.1
KUD10_RS00300 WP_135618505.1
KUD10_RS00305 WP_233688616.1
KUD10_RS00310 WP_233688617.1
KUD10_RS00315 WP_233688618.1
KUD10_RS00320 WP_011283879.1
KUD10_RS00325 WP_233688619.1
KUD10_RS00330 WP_233688620.1
KUD10_RS00335 WP_233688621.1
KUD10_RS00340 WP_014579568.1
KUD10_RS00345 WP_014579569.1
KUD10_RS00350 WP_044284771.1
KUD10_RS00355 WP_011289987.1
KUD10_RS00360 WP_011283885.1
KUD10_RS00365 WP_160606509.1
KUD10_RS00370 WP_041361533.1
KUD10_RS00375 WP_011283887.1
KUD10_RS00380 WP_011289989.1
KUD10_RS00385 WP_233688622.1
KUD10_RS00390 WP_160584747.1
KUD10_RS00395 WP_011205922.1
KUD10_RS00400 WP_011205923.1
KUD10_RS00405 WP_011283891.1
KUD10_RS00410 WP_014579576.1
KUD10_RS00415 WP_233688623.1
KUD10_RS00420 WP_011283894.1
KUD10_RS00425 WP_233688624.1
KUD10_RS00430 WP_179695952.1
KUD10_RS00435 WP_179695953.1
KUD10_RS00440 WP_233688625.1
KUD10_RS00490 WP_233688626.1
KUD10_RS00495 WP_233688627.1
KUD10_RS00500 WP_233688628.1
KUD10_RS00505 WP_233688629.1
KUD10_RS00510 WP_233688630.1
KUD10_RS00515 WP_233688631.1
KUD10_RS00520 WP_334301384.1
KUD10_RS00525 WP_233688633.1
KUD10_RS00530 WP_233688634.1
KUD10_RS00535 WP_014579589.1
