DR083_RS01930 WP_258556653.1
DR083_RS01935 WP_220200864.1
DR083_RS04745 WP_160600987.1
DR083_RS01945 WP_160600989.1
DR083_RS01950 WP_011206003.1
DR083_RS01955 WP_160600991.1
DR083_RS01960 WP_011206005.1
DR083_RS01965 WP_160600993.1
DR083_RS01975 WP_160600995.1
DR083_RS01980 WP_160600997.1
DR083_RS01985 WP_020835611.1
DR083_RS01990 WP_011283987.1
DR083_RS01995 WP_044284822.1
DR083_RS02000 WP_160600998.1
DR083_RS02005 WP_160601000.1
DR083_RS02010 WP_011206014.1
DR083_RS02015 WP_011206015.1
DR083_RS02020 WP_011206016.1
DR083_RS02025 WP_160601002.1
DR083_RS02030 WP_011290071.1
DR083_RS02035 WP_011290071.1
DR083_RS02040 WP_308704758.1
DR083_RS02045 WP_011290145.1
DR083_RS05080 WP_011290145.1
DR083_RS05085 WP_371863322.1
DR083_RS02055 WP_160601006.1
DR083_RS04750 WP_160601008.1
DR083_RS02065 WP_146379577.1
DR083_RS04960 WP_225973034.1
DR083_RS02075 WP_160601010.1
DR083_RS02080 WP_160601012.1
DR083_RS02085 WP_160585054.1
DR083_RS02090 WP_160601014.1
DR083_RS02095 WP_014579758.1
DR083_RS02100 WP_135619192.1
DR083_RS02105 WP_160601016.1
DR083_RS04755 WP_160601018.1
DR083_RS04210 WP_160601020.1
DR083_RS04215 WP_233688764.1
DR083_RS04760 WP_160601022.1
DR083_RS05090 WP_371863323.1
DR083_RS02135 WP_371863324.1
DR083_RS02140 WP_160601028.1
DR083_RS04765 WP_160601030.1
DR083_RS02150 WP_011206333.1
DR083_RS04770 WP_160601032.1
DR083_RS02160 WP_160601035.1
DR083_RS04775 WP_160601038.1
DR083_RS02170 WP_044284684.1
DR083_RS04780 WP_160601040.1
DR083_RS02180 WP_160601041.1
DR083_RS02185 WP_160601043.1
DR083_RS02190 WP_011290300.1
DR083_RS02195 WP_160601045.1
DR083_RS02200 WP_160601046.1
DR083_RS02205 WP_135618967.1
DR083_RS02210 WP_094521655.1
DR083_RS02215 WP_094521655.1
DR083_RS02220 WP_258556663.1
DR083_RS02225 WP_160601048.1
DR083_RS02230 WP_011206176.1
DR083_RS02240 WP_160601051.1
DR083_RS02245 WP_011206179.1
DR083_RS02250 WP_014579786.1
DR083_RS02255 WP_044284638.1
DR083_RS02260 WP_011284100.1
DR083_RS02265 WP_160601053.1
DR083_RS02270 WP_146379617.1
DR083_RS04250 WP_258556667.1
DR083_RS04255 WP_258556668.1
DR083_RS04260 WP_258556669.1
DR083_RS02280 WP_308704760.1
DR083_RS04265 WP_258556670.1
DR083_RS03840 WP_220200875.1
DR083_RS05095 WP_220190677.1
DR083_RS02305 WP_160601055.1
DR083_RS02310 WP_258556671.1
DR083_RS02315 WP_160587888.1
DR083_RS02325 WP_160601059.1
DR083_RS04270 WP_143826160.1
DR083_RS05025 WP_011284111.1
DR083_RS03850 WP_220200878.1
DR083_RS03855 WP_220200881.1
