ABKJ22_RS00005 WP_044272251.1
ABKJ22_RS00010 WP_348571907.1
ABKJ22_RS00015 WP_348571909.1
ABKJ22_RS00020 WP_044272260.1
ABKJ22_RS00025 WP_011289930.1
ABKJ22_RS00030 WP_160606485.1
ABKJ22_RS00035 WP_348571911.1
ABKJ22_RS00040 WP_348572163.1
ABKJ22_RS00045 WP_348571913.1
ABKJ22_RS00050 WP_011205849.1
ABKJ22_RS00055 WP_011205850.1
ABKJ22_RS00060 WP_348571915.1
ABKJ22_RS00065 WP_011283834.1
ABKJ22_RS00070 WP_094521535.1
ABKJ22_RS00075 WP_011289937.1
ABKJ22_RS00080 WP_020835489.1
ABKJ22_RS00085 WP_041361519.1
ABKJ22_RS00090 WP_225973003.1
ABKJ22_RS00095 WP_146379449.1
ABKJ22_RS00100 WP_160615842.1
ABKJ22_RS00105 WP_348571917.1
ABKJ22_RS00110 WP_020835495.1
ABKJ22_RS00115 WP_348571918.1
ABKJ22_RS00120 WP_348571920.1
ABKJ22_RS00125 WP_348571921.1
ABKJ22_RS00130 WP_348571923.1
ABKJ22_RS00135 WP_050195463.1
ABKJ22_RS00140 WP_160607726.1
ABKJ22_RS00145 WP_348571925.1
ABKJ22_RS00150 WP_243215933.1
ABKJ22_RS00155 WP_052259122.1
ABKJ22_RS00160 WP_348571927.1
ABKJ22_RS00165 WP_160585547.1
ABKJ22_RS00170 WP_160606533.1
ABKJ22_RS00175 WP_160584772.1
ABKJ22_RS00180 WP_348572166.1
ABKJ22_RS00185 WP_044272282.1
ABKJ22_RS00190 WP_135618482.1
ABKJ22_RS00195 WP_348571929.1
ABKJ22_RS00200 WP_348571931.1
ABKJ22_RS00205 WP_318023737.1
ABKJ22_RS00210 WP_160585545.1
ABKJ22_RS00215 WP_011205883.1
ABKJ22_RS00220 WP_135618489.1
ABKJ22_RS00225 WP_348571933.1
ABKJ22_RS00230 WP_348571935.1
ABKJ22_RS00235 WP_014579550.1
ABKJ22_RS00240 WP_011205889.1
ABKJ22_RS00245 WP_020835512.1
ABKJ22_RS00250 WP_146379467.1
ABKJ22_RS00255 WP_014579553.1
ABKJ22_RS00260 WP_348571936.1
ABKJ22_RS00265 WP_011289973.1
ABKJ22_RS00270 WP_225973008.1
ABKJ22_RS00275 WP_011289974.1
ABKJ22_RS00280 WP_020835518.1
ABKJ22_RS00285 WP_011289976.1
ABKJ22_RS00290 WP_011289977.1
ABKJ22_RS00295 WP_135618505.1
ABKJ22_RS00300 WP_348571938.1
ABKJ22_RS00305 WP_348571940.1
ABKJ22_RS00310 WP_348571941.1
ABKJ22_RS00315 WP_094521550.1
ABKJ22_RS00320 WP_348571943.1
ABKJ22_RS00325 WP_348571945.1
