B5C39_RS00010 WP_044284803.1
B5C39_RS00015 WP_044284843.1
B5C39_RS00020 WP_011206370.1
B5C39_RS00025 WP_011206371.1
B5C39_RS00030 WP_088172512.1
B5C39_RS00035 WP_011206373.1
B5C39_RS00040 WP_011206374.1
B5C39_RS00045 WP_011206375.1
B5C39_RS00050 WP_011206376.1
B5C39_RS00055 WP_011206377.1
B5C39_RS00060 WP_011206378.1
B5C39_RS00065 WP_011206379.1
B5C39_RS00070 WP_011206380.1
B5C39_RS00075 WP_011206381.1
B5C39_RS00080 WP_011206382.1
B5C39_RS00085 WP_011206383.1
B5C39_RS00090 WP_011206384.1
B5C39_RS00095 WP_011206385.1
B5C39_RS00100 WP_011206386.1
B5C39_RS00105 WP_173670097.1
B5C39_RS00110 WP_011206388.1
B5C39_RS00115 WP_011206389.1
B5C39_RS00120 WP_011206390.1
B5C39_RS00125 WP_011206391.1
B5C39_RS00130 WP_011206392.1
B5C39_RS03755 WP_011206393.1
B5C39_RS00145 WP_232039550.1
B5C39_RS00150 WP_011206395.1
B5C39_RS00155 WP_044284804.1
B5C39_RS00160 WP_044284805.1
B5C39_RS00165 WP_011206399.1
B5C39_RS00170 WP_011206400.1
B5C39_RS00175 WP_011206401.1
B5C39_RS00180 WP_011206402.1
B5C39_RS00185 WP_011206403.1
B5C39_RS00190 WP_011206404.1
B5C39_RS00195 WP_011206405.1
B5C39_RS00200 WP_011206406.1
B5C39_RS00205 WP_011206407.1
B5C39_RS00210 WP_011206408.1
B5C39_RS00215 WP_011206409.1
B5C39_RS00225 WP_241499456.1
B5C39_RS03760 WP_241499456.1
B5C39_RS03765 WP_088172513.1
B5C39_RS00235 WP_002557698.1
B5C39_RS00240 WP_011206418.1
B5C39_RS00245 WP_011206419.1
B5C39_RS00250 WP_011206420.1
B5C39_RS00255 WP_011206421.1
B5C39_RS00260 WP_011206422.1
B5C39_RS00265 WP_011206424.1
B5C39_RS00270 WP_011206425.1
B5C39_RS00275 WP_011206426.1
B5C39_RS00280 WP_228366113.1
B5C39_RS00285 WP_011206428.1
B5C39_RS00290 WP_011206429.1
B5C39_RS00295 WP_011206430.1
B5C39_RS00300 WP_011206431.1
B5C39_RS00305 WP_011206432.1
B5C39_RS00310 WP_011206433.1
B5C39_RS00315 WP_088172514.1
B5C39_RS00320 WP_011206435.1
B5C39_RS00325 WP_011206436.1
B5C39_RS00330 WP_011206437.1
B5C39_RS00340 WP_011206439.1
B5C39_RS00345 WP_011206440.1
B5C39_RS00350 WP_011206441.1
B5C39_RS00355 WP_011206442.1
B5C39_RS00360 WP_011206444.1
B5C39_RS00365 WP_011206445.1
B5C39_RS00370 WP_081430784.1
B5C39_RS00375 WP_011206447.1
B5C39_RS00380 WP_088172515.1
B5C39_RS00390 WP_088172517.1
B5C39_RS00395 WP_011206449.1
B5C39_RS00400 WP_011206450.1
B5C39_RS00405 WP_020835888.1
B5C39_RS00410 WP_011206452.1
B5C39_RS00415 WP_011206453.1
B5C39_RS00420 WP_011206454.1
B5C39_RS00425 WP_088172518.1
B5C39_RS00430 WP_011206456.1
B5C39_RS00435 WP_011206457.1
B5C39_RS00440 WP_011206458.1
B5C39_RS00450 WP_011206459.1
B5C39_RS00455 WP_011206460.1
B5C39_RS00460 WP_044284808.1
B5C39_RS00465 WP_011206462.1
B5C39_RS00470 WP_011206463.1
B5C39_RS00475 WP_011206464.1
B5C39_RS00480 WP_011206465.1
B5C39_RS00485 WP_088172519.1
B5C39_RS00490 WP_011206467.1
B5C39_RS00495 WP_011206468.1
B5C39_RS00500 WP_011206469.1
B5C39_RS00505 WP_011206470.1
B5C39_RS00510 WP_011206471.1
B5C39_RS00515 WP_011206472.1
