DR087_RS01760 WP_014579550.1
DR087_RS01765 WP_011205889.1
DR087_RS01770 WP_044272682.1
DR087_RS01775 WP_135618497.1
DR087_RS01780 WP_014579553.1
DR087_RS01785 WP_011205893.1
DR087_RS01790 WP_011289973.1
DR087_RS01795 WP_225973008.1
DR087_RS01800 WP_011289974.1
DR087_RS01805 WP_220200635.1
DR087_RS01810 WP_011205897.1
DR087_RS01815 WP_011289977.1
DR087_RS01820 WP_135618505.1
DR087_RS01825 WP_011289979.1
DR087_RS01830 WP_020835520.1
DR087_RS01835 WP_160607900.1
DR087_RS01840 WP_160607902.1
DR087_RS01845 WP_160607904.1
DR087_RS04615 WP_160607906.1
DR087_RS01855 WP_135618515.1
DR087_RS01860 WP_014579568.1
DR087_RS01865 WP_135618519.1
DR087_RS01870 WP_160585533.1
DR087_RS01875 WP_160607908.1
DR087_RS01880 WP_160585532.1
DR087_RS01885 WP_160607910.1
DR087_RS01890 WP_041361533.1
DR087_RS01895 WP_011283887.1
DR087_RS01900 WP_160607912.1
DR087_RS01905 WP_160607914.1
DR087_RS01910 WP_160607914.1
DR087_RS04620 WP_160607918.1
DR087_RS01920 WP_160607920.1
DR087_RS01925 WP_160584684.1
DR087_RS01930 WP_160607922.1
DR087_RS01935 WP_011206005.1
DR087_RS01940 WP_011206006.1
DR087_RS01950 WP_160607924.1
DR087_RS01955 WP_011283989.1
DR087_RS01960 WP_160607926.1
DR087_RS01965 WP_011290077.1
DR087_RS01970 WP_160607928.1
DR087_RS01975 WP_160607930.1
DR087_RS01980 WP_160607932.1
DR087_RS01985 WP_011206014.1
DR087_RS01990 WP_160584672.1
DR087_RS01995 WP_011206016.1
DR087_RS02000 WP_160585570.1
DR087_RS02005 WP_011290071.1
DR087_RS02010 WP_011290071.1
DR087_RS04110 WP_014579770.1
DR087_RS02015 WP_160607934.1
DR087_RS02025 WP_160607936.1
DR087_RS02030 WP_308704681.1
DR087_RS02035 WP_160607939.1
DR087_RS02040 WP_308704682.1
DR087_RS02045 WP_160607941.1
DR087_RS04625 WP_160607943.1
DR087_RS02055 WP_258555590.1
DR087_RS04800 WP_220200639.1
DR087_RS02065 WP_160607947.1
DR087_RS02070 WP_160607949.1
DR087_RS02075 WP_160590234.1
DR087_RS02080 WP_160590232.1
DR087_RS02085 WP_014579758.1
DR087_RS02090 WP_135619192.1
DR087_RS02095 WP_160607951.1
DR087_RS04630 WP_160607953.1
DR087_RS02105 WP_258555591.1
DR087_RS04635 WP_160585251.1
DR087_RS04640 WP_240536353.1
DR087_RS04645 WP_160607959.1
DR087_RS02125 WP_160607961.1
DR087_RS04650 WP_160607963.1
DR087_RS02135 WP_160607965.1
DR087_RS02140 WP_160588140.1
DR087_RS02145 WP_146379742.1
DR087_RS02150 WP_160607967.1
DR087_RS02155 WP_020835897.1
DR087_RS04655 WP_160607969.1
DR087_RS02165 WP_160607971.1
DR087_RS04660 WP_160607973.1
DR087_RS02175 WP_160607973.1
DR087_RS02180 WP_160607975.1
DR087_RS02185 WP_011283923.1
DR087_RS02190 WP_094521583.1
DR087_RS02195 WP_011206094.1
DR087_RS02200 WP_160584799.1
DR087_RS02205 WP_020835572.1
DR087_RS02210 WP_020835573.1
DR087_RS02215 WP_041361572.1
DR087_RS02220 WP_011290028.1
DR087_RS02225 WP_011290029.1
DR087_RS02230 WP_011283930.1
DR087_RS02235 WP_011206086.1
DR087_RS02240 WP_160607977.1
DR087_RS02250 WP_146379501.1
DR087_RS02255 WP_016340193.1
DR087_RS02260 WP_011283934.1
DR087_RS04665 WP_308704683.1
DR087_RS02275 WP_011206080.1
DR087_RS02280 WP_020835579.1
DR087_RS02285 WP_146379504.1
DR087_RS02290 WP_160588270.1
DR087_RS02295 WP_146379506.1
DR087_RS02300 WP_225973015.1
DR087_RS02310 WP_308704684.1
DR087_RS02315 WP_011290039.1
DR087_RS02320 WP_011206072.1
DR087_RS02325 WP_160607983.1
DR087_RS02330 WP_160585544.1
DR087_RS02335 WP_135618489.1
DR087_RS02340 WP_011205883.1
DR087_RS02345 WP_160600661.1
DR087_RS02350 WP_160607985.1
DR087_RS02355 WP_011205880.1
DR087_RS04670 WP_225973007.1
DR087_RS02365 WP_094521545.1
DR087_RS02370 WP_044272282.1
DR087_RS04185 WP_308704685.1
DR087_RS02385 WP_011289957.1
DR087_RS02390 WP_160584774.1
DR087_RS02395 WP_160607987.1
DR087_RS02400 WP_160607989.1
DR087_RS02405 WP_160585552.1
DR087_RS02410 WP_020835500.1
DR087_RS02415 WP_160607991.1
DR087_RS04675 WP_160607995.1
DR087_RS02425 WP_146379652.1
DR087_RS02430 WP_020835781.1
DR087_RS02440 WP_160607997.1
DR087_RS02445 WP_160608004.1
DR087_RS02450 WP_160607999.1
DR087_RS02455 WP_011206287.1
DR087_RS02460 WP_179221158.1
DR087_RS04805 WP_160590317.1
DR087_RS02470 WP_160585159.1
DR087_RS02475 WP_160608001.1
DR087_RS02480 WP_011206292.1
DR087_RS02485 WP_160608002.1
DR087_RS02500 WP_160608013.1
DR087_RS03750 WP_220190648.1
DR087_RS04200 WP_225973020.1
DR087_RS04205 WP_258555604.1
DR087_RS04210 WP_258555605.1
DR087_RS04680 WP_308704686.1
DR087_RS04220 WP_258555606.1
DR087_RS02520 WP_135618604.1
DR087_RS02525 WP_135618603.1
DR087_RS02530 WP_160608006.1
DR087_RS02535 WP_135618599.1
DR087_RS02540 WP_160585607.1
DR087_RS04685 WP_044284596.1
DR087_RS02550 WP_011283955.1
DR087_RS04690 WP_160608008.1
DR087_RS02560 WP_041361583.1
DR087_RS02565 WP_011206061.1
DR087_RS02570 WP_160584818.1
DR087_RS02575 WP_011206063.1
DR087_RS04695 WP_011206064.1
DR087_RS02585 WP_011206065.1
DR087_RS02590 WP_011290044.1
DR087_RS02595 WP_011290043.1
DR087_RS02600 WP_020835585.1
DR087_RS03755 WP_011206069.1
DR087_RS02610 WP_160606691.1
DR087_RS04700 WP_160608010.1
DR087_RS02620 WP_160608015.1
DR087_RS02625 WP_011290053.1
DR087_RS02630 WP_011290054.1
DR087_RS02635 WP_160608017.1
DR087_RS02640 WP_011206048.1
DR087_RS02645 WP_160585195.1
DR087_RS02650 WP_160608018.1
DR087_RS02655 WP_160608019.1
DR087_RS02660 WP_160608020.1
DR087_RS02665 WP_160585731.1
DR087_RS02670 WP_020835590.1
DR087_RS02675 WP_011290058.1
DR087_RS02680 WP_020835591.1
DR087_RS02685 WP_135618616.1
DR087_RS02690 WP_011206039.1
DR087_RS02695 WP_011206038.1
DR087_RS02700 WP_041361589.1
DR087_RS02705 WP_011206036.1
DR087_RS02710 WP_011206035.1
DR087_RS02715 WP_014579611.1
DR087_RS02720 WP_020835596.1
DR087_RS02725 WP_011206032.1
DR087_RS02730 WP_011290064.1
DR087_RS04810 WP_160608021.1
DR087_RS02740 WP_160608022.1
DR087_RS02745 WP_011206027.1
DR087_RS02750 WP_160608023.1
DR087_RS02755 WP_011206025.1
