HZK19_RS00005 WP_179220973.1
HZK19_RS00010 WP_011205841.1
HZK19_RS00015 WP_179220974.1
HZK19_RS00020 WP_179220975.1
HZK19_RS00025 WP_179220976.1
HZK19_RS00030 WP_014579519.1
HZK19_RS00035 WP_179220977.1
HZK19_RS00040 WP_011205847.1
HZK19_RS00045 WP_179220978.1
HZK19_RS00050 WP_011205849.1
HZK19_RS00055 WP_179220979.1
HZK19_RS00060 WP_179220980.1
HZK19_RS00065 WP_011283834.1
HZK19_RS00070 WP_011283835.1
HZK19_RS00075 WP_179220981.1
HZK19_RS00080 WP_220191083.1
HZK19_RS00085 WP_146379449.1
HZK19_RS00090 WP_179220982.1
HZK19_RS00095 WP_179220983.1
HZK19_RS00100 WP_240536627.1
HZK19_RS00105 WP_179220984.1
HZK19_RS00110 WP_011289946.1
HZK19_RS03705 WP_240536628.1
HZK19_RS03710 WP_240536629.1
HZK19_RS00120 WP_135618462.1
HZK19_RS00125 WP_240536630.1
HZK19_RS00130 WP_179220985.1
HZK19_RS00135 WP_179220986.1
HZK19_RS00140 WP_020835500.1
HZK19_RS00145 WP_179221284.1
HZK19_RS00150 WP_179220987.1
HZK19_RS00155 WP_179220988.1
HZK19_RS00160 WP_179220989.1
HZK19_RS00165 WP_011289957.1
HZK19_RS03715 WP_240536631.1
HZK19_RS00175 WP_160600657.1
HZK19_RS00180 WP_011205878.1
HZK19_RS00185 WP_240536632.1
HZK19_RS00190 WP_011205880.1
HZK19_RS00195 WP_179220991.1
HZK19_RS00200 WP_011205882.1
HZK19_RS00205 WP_011205883.1
HZK19_RS00210 WP_179220992.1
HZK19_RS00215 WP_044284571.1
HZK19_RS00220 WP_160584767.1
HZK19_RS00225 WP_014579550.1
HZK19_RS00230 WP_011205889.1
HZK19_RS00235 WP_179220993.1
HZK19_RS00240 WP_135618497.1
HZK19_RS00245 WP_014579553.1
HZK19_RS00250 WP_020835515.1
HZK19_RS00255 WP_011289973.1
HZK19_RS00260 WP_225973008.1
HZK19_RS00265 WP_011283871.1
HZK19_RS00270 WP_179220994.1
HZK19_RS00275 WP_179220995.1
HZK19_RS00280 WP_160600677.1
HZK19_RS00285 WP_179220996.1
HZK19_RS00290 WP_179220997.1
HZK19_RS00295 WP_240536633.1
HZK19_RS00300 WP_179220998.1
HZK19_RS00305 WP_011289982.1
HZK19_RS00310 WP_179220999.1
HZK19_RS00315 WP_179221000.1
HZK19_RS00320 WP_240536634.1
HZK19_RS00325 WP_179221001.1
HZK19_RS00330 WP_135618519.1
HZK19_RS00335 WP_011289986.1
HZK19_RS00340 WP_179221002.1
HZK19_RS00345 WP_011283885.1
HZK19_RS00350 WP_160600695.1
HZK19_RS00355 WP_014579572.1
HZK19_RS00360 WP_011205916.1
HZK19_RS00365 WP_160600697.1
HZK19_RS00370 WP_044284579.1
HZK19_RS00375 WP_011205921.1
HZK19_RS00380 WP_179221003.1
HZK19_RS00385 WP_011205923.1
HZK19_RS00390 WP_011283891.1
HZK19_RS00395 WP_014579576.1
HZK19_RS00400 WP_014579577.1
HZK19_RS00405 WP_179221004.1
HZK19_RS00410 WP_011283895.1
HZK19_RS00415 WP_179221005.1
HZK19_RS00420 WP_011206134.1
HZK19_RS00425 WP_179221006.1
HZK19_RS00475 WP_179221007.1
HZK19_RS00480 WP_179221007.1
HZK19_RS00485 WP_179221008.1
HZK19_RS03945 WP_179221008.1
HZK19_RS00495 WP_094521655.1
HZK19_RS00500 WP_179221009.1
HZK19_RS00505 WP_041361727.1
HZK19_RS00510 WP_179221010.1
HZK19_RS00515 WP_179221011.1
HZK19_RS00520 WP_179221012.1
HZK19_RS00525 WP_237697227.1
HZK19_RS00530 WP_011290004.1
HZK19_RS00540 WP_160585148.1
HZK19_RS00545 WP_011206119.1
HZK19_RS00550 WP_146379484.1
HZK19_RS00555 WP_179221013.1
HZK19_RS00560 WP_179221014.1
HZK19_RS00565 WP_052269168.1
HZK19_RS00570 WP_179221015.1
HZK19_RS00575 WP_011206113.1
HZK19_RS00585 WP_179221016.1
HZK19_RS00590 WP_179221017.1
HZK19_RS00595 WP_179221018.1
HZK19_RS00600 WP_179221019.1
