MHP168L_RS00005 WP_014579516.1
MHP168L_RS00010 WP_044277943.1
MHP168L_RS00015 WP_014579518.1
MHP168L_RS00020 WP_011205843.1
MHP168L_RS00025 WP_011205844.1
MHP168L_RS00030 WP_014579519.1
MHP168L_RS00035 WP_011205846.1
MHP168L_RS00040 WP_011205847.1
MHP168L_RS00045 WP_016340174.1
MHP168L_RS00050 WP_011205849.1
MHP168L_RS00055 WP_014579522.1
MHP168L_RS00060 WP_011283833.1
MHP168L_RS00065 WP_011283834.1
MHP168L_RS00070 WP_016340175.1
MHP168L_RS00075 WP_014579524.1
MHP168L_RS00080 WP_228365399.1
MHP168L_RS00085 WP_228365400.1
MHP168L_RS00090 WP_014579527.1
MHP168L_RS00100 WP_014579529.1
MHP168L_RS00105 WP_044889029.1
MHP168L_RS00110 WP_014579530.1
MHP168L_RS00115 WP_014579531.1
MHP168L_RS00120 WP_014579532.1
MHP168L_RS00125 WP_014579533.1
MHP168L_RS00130 WP_014579534.1
MHP168L_RS00135 WP_228365403.1
MHP168L_RS00140 WP_014579535.1
MHP168L_RS00145 WP_014579536.1
MHP168L_RS00150 WP_044889030.1
MHP168L_RS00155 WP_014579538.1
MHP168L_RS00160 WP_011289957.1
MHP168L_RS03905 WP_233417357.1
MHP168L_RS00170 WP_014579542.1
MHP168L_RS03690 WP_011205878.1
MHP168L_RS00175 WP_228365405.1
MHP168L_RS00180 WP_011205880.1
MHP168L_RS00185 WP_014579544.1
MHP168L_RS00190 WP_011205882.1
MHP168L_RS00195 WP_011205883.1
MHP168L_RS00200 WP_014579546.1
MHP168L_RS00205 WP_014579547.1
MHP168L_RS00210 WP_014579548.1
MHP168L_RS00220 WP_014579550.1
MHP168L_RS00225 WP_011283865.1
MHP168L_RS00230 WP_044277952.1
MHP168L_RS00235 WP_014579552.1
MHP168L_RS00240 WP_014579553.1
MHP168L_RS00245 WP_014579554.1
MHP168L_RS00250 WP_014579555.1
MHP168L_RS00255 WP_228365406.1
MHP168L_RS00260 WP_011283871.1
MHP168L_RS00265 WP_187286314.1
MHP168L_RS00270 WP_044277955.1
MHP168L_RS00275 WP_014579560.1
MHP168L_RS00280 WP_011205899.1
MHP168L_RS00285 WP_014579561.1
MHP168L_RS00290 WP_014579562.1
MHP168L_RS00295 WP_014579563.1
MHP168L_RS00300 WP_011205903.1
MHP168L_RS00305 WP_044277956.1
MHP168L_RS00310 WP_016340180.1
MHP168L_RS00315 WP_044889031.1
MHP168L_RS00320 WP_014579568.1
MHP168L_RS00325 WP_014579569.1
MHP168L_RS00330 WP_011289986.1
MHP168L_RS00335 WP_011289987.1
MHP168L_RS00340 WP_011283885.1
MHP168L_RS00345 WP_014579571.1
MHP168L_RS00350 WP_014579572.1
MHP168L_RS00355 WP_011283887.1
MHP168L_RS00360 WP_014579573.1
MHP168L_RS00365 WP_014579574.1
MHP168L_RS00370 WP_011205921.1
MHP168L_RS00375 WP_011205922.1
MHP168L_RS00380 WP_044277957.1
MHP168L_RS00385 WP_011283891.1
MHP168L_RS00390 WP_014579576.1
MHP168L_RS00395 WP_014579577.1
MHP168L_RS00400 WP_016340183.1
MHP168L_RS00405 WP_016340184.1
MHP168L_RS00410 WP_016340185.1
MHP168L_RS00415 WP_014579579.1
MHP168L_RS03845 WP_187286315.1
MHP168L_RS00425 WP_014579581.1
MHP168L_RS00475 WP_014579582.1
MHP168L_RS00480 WP_016340186.1
MHP168L_RS00485 WP_014579584.1
MHP168L_RS00490 WP_044277959.1
MHP168L_RS00495 WP_014579585.1
MHP168L_RS00500 WP_014579586.1
MHP168L_RS00505 WP_014579587.1
MHP168L_RS00510 WP_014579588.1
MHP168L_RS00515 WP_014579589.1
MHP168L_RS00520 WP_228365407.1
MHP168L_RS00525 WP_014579591.1
MHP168L_RS00535 WP_011206120.1
MHP168L_RS00540 WP_014579592.1
MHP168L_RS00545 WP_014579593.1
MHP168L_RS00550 WP_016340187.1
MHP168L_RS03910 WP_233417358.1
MHP168L_RS00555 WP_014579595.1
MHP168L_RS00560 WP_014579596.1
MHP168L_RS00565 WP_044277961.1
MHP168L_RS00570 WP_014579598.1
MHP168L_RS00575 WP_014579598.1
MHP168L_RS00580 WP_016340189.1
MHP168L_RS00585 WP_044277963.1
MHP168L_RS00590 WP_014579601.1
MHP168L_RS00595 WP_014579602.1
MHP168L_RS00600 WP_014579603.1
MHP168L_RS00605 WP_014579604.1
MHP168L_RS00610 WP_014579605.1
MHP168L_RS00615 WP_011206028.1
MHP168L_RS04125 WP_014579607.1
MHP168L_RS00625 WP_014579608.1
MHP168L_RS00630 WP_014579609.1
MHP168L_RS00635 WP_014579610.1
MHP168L_RS00640 WP_014579611.1
MHP168L_RS00645 WP_011206035.1
MHP168L_RS00650 WP_011290062.1
MHP168L_RS00655 WP_041361589.1
MHP168L_RS00660 WP_011206038.1
MHP168L_RS00665 WP_011206039.1
MHP168L_RS00670 WP_011206040.1
MHP168L_RS00675 WP_020835591.1
MHP168L_RS00680 WP_014579615.1
MHP168L_RS00685 WP_016340190.1
MHP168L_RS00690 WP_011206044.1
MHP168L_RS00695 WP_014579616.1
MHP168L_RS00700 WP_014579617.1
MHP168L_RS00705 WP_011206047.1
MHP168L_RS03705 WP_011283963.1
MHP168L_RS00710 WP_014579618.1
MHP168L_RS00715 WP_011206049.1
MHP168L_RS00720 WP_011206050.1
MHP168L_RS00725 WP_044277964.1
MHP168L_RS00730 WP_081450695.1
MHP168L_RS00735 WP_014579621.1
MHP168L_RS00740 WP_014579622.1
MHP168L_RS00745 WP_014579623.1
MHP168L_RS00750 WP_011283957.1
MHP168L_RS00755 WP_011206056.1
MHP168L_RS00760 WP_014579624.1
MHP168L_RS00765 WP_014579624.1
MHP168L_RS00775 WP_014579626.1
MHP168L_RS00780 WP_014579627.1
MHP168L_RS00785 WP_014579628.1
MHP168L_RS00790 WP_011206062.1
MHP168L_RS00795 WP_014579629.1
MHP168L_RS00800 WP_011206064.1
MHP168L_RS00805 WP_044277967.1
MHP168L_RS00810 WP_011206066.1
MHP168L_RS00815 WP_011206067.1
MHP168L_RS00820 WP_016340192.1
MHP168L_RS03850 WP_011206069.1
MHP168L_RS00830 WP_014579632.1
MHP168L_RS00835 WP_014579633.1
MHP168L_RS00840 WP_011206072.1
MHP168L_RS00845 WP_014579634.1
MHP168L_RS00850 WP_044277969.1
MHP168L_RS00860 WP_225973015.1
MHP168L_RS00865 WP_011206076.1
MHP168L_RS00870 WP_014579637.1
MHP168L_RS00875 WP_014579638.1
MHP168L_RS00880 WP_014579639.1
MHP168L_RS00885 WP_044277971.1
MHP168L_RS00890 WP_014579641.1
MHP168L_RS00900 WP_011283934.1
MHP168L_RS00905 WP_016340193.1
MHP168L_RS00910 WP_014579644.1
MHP168L_RS00915 WP_011206085.1
MHP168L_RS00920 WP_011206086.1
MHP168L_RS00925 WP_014579645.1
MHP168L_RS00930 WP_014579646.1
MHP168L_RS00935 WP_011206089.1
MHP168L_RS00940 WP_014579647.1
MHP168L_RS00945 WP_014579648.1
MHP168L_RS00950 WP_014579649.1
MHP168L_RS00955 WP_011206093.1
MHP168L_RS00960 WP_011206094.1
MHP168L_RS00965 WP_011283924.1
MHP168L_RS00970 WP_011283923.1
MHP168L_RS00975 WP_011206097.1
MHP168L_RS03915 WP_233417359.1
MHP168L_RS03920 WP_233417360.1
MHP168L_RS04075 WP_258556638.1
MHP168L_RS00985 WP_014579652.1
MHP168L_RS00990 WP_014579653.1
MHP168L_RS01000 WP_011206101.1
MHP168L_RS01005 WP_016340195.1
MHP168L_RS04130 WP_011206103.1
MHP168L_RS04135 WP_011206103.1
MHP168L_RS01015 WP_233417361.1
MHP168L_RS01030 WP_014579656.1
MHP168L_RS01035 WP_014579657.1
MHP168L_RS01045 WP_081450695.1
MHP168L_RS01050 WP_014579659.1
MHP168L_RS01055 WP_014579660.1
MHP168L_RS01060 WP_011206110.1
MHP168L_RS01070 WP_014579661.1
MHP168L_RS01075 WP_011290071.1
MHP168L_RS01080 WP_014579662.1
MHP168L_RS01085 WP_011206016.1
MHP168L_RS01090 WP_011206015.1
MHP168L_RS01095 WP_011206014.1
MHP168L_RS01100 WP_011206013.1
MHP168L_RS01105 WP_014579663.1
MHP168L_RS01110 WP_014579664.1
MHP168L_RS01115 WP_011283987.1
MHP168L_RS01120 WP_014579665.1
MHP168L_RS01125 WP_016340197.1
MHP168L_RS01130 WP_014579667.1
MHP168L_RS01140 WP_011206006.1
MHP168L_RS01145 WP_011206005.1
MHP168L_RS01150 WP_014579671.1
MHP168L_RS01155 WP_014579672.1
MHP168L_RS01160 WP_014579673.1
MHP168L_RS01165 WP_014579674.1
MHP168L_RS03925 WP_228365413.1
MHP168L_RS01175 WP_014579675.1
MHP168L_RS01180 WP_014579676.1
MHP168L_RS01185 WP_014579677.1
MHP168L_RS01190 WP_014579678.1
MHP168L_RS01195 WP_014579679.1
MHP168L_RS01200 WP_044889033.1
MHP168L_RS01205 WP_016340198.1
MHP168L_RS01210 WP_014579681.1
MHP168L_RS01215 WP_011290238.1
MHP168L_RS01220 WP_014579682.1
MHP168L_RS01225 WP_014579683.1
MHP168L_RS01235 WP_014579684.1
MHP168L_RS01240 WP_014579686.1
MHP168L_RS01245 WP_014579687.1
MHP168L_RS01250 WP_014579688.1
MHP168L_RS01255 WP_016340199.1
MHP168L_RS03930 WP_228365414.1
MHP168L_RS01265 WP_044277979.1
MHP168L_RS01270 WP_014579691.1
MHP168L_RS01280 WP_228365415.1
MHP168L_RS01285 WP_014579694.1
MHP168L_RS01290 WP_011283999.1
MHP168L_RS01295 WP_014579695.1
MHP168L_RS01300 WP_011284001.1
MHP168L_RS01305 WP_014579697.1
MHP168L_RS01310 WP_011284003.1
MHP168L_RS01315 WP_014579699.1
MHP168L_RS01320 WP_014579700.1
MHP168L_RS01325 WP_014579701.1
MHP168L_RS01330 WP_014579702.1
MHP168L_RS01335 WP_014579703.1
MHP168L_RS03935 WP_228365416.1
MHP168L_RS01345 WP_011205983.1
MHP168L_RS01350 WP_014579705.1
MHP168L_RS03940 WP_044277983.1
MHP168L_RS03945 WP_014579707.1
MHP168L_RS03950 WP_228365417.1
MHP168L_RS01370 WP_014579709.1
MHP168L_RS03955 WP_014579710.1
MHP168L_RS01380 WP_014579711.1
MHP168L_RS01385 WP_014579712.1
MHP168L_RS01390 WP_014579713.1
MHP168L_RS01395 WP_014579714.1
MHP168L_RS01400 WP_011205973.1
MHP168L_RS01405 WP_081632345.1
MHP168L_RS01410 WP_014579716.1
MHP168L_RS01415 WP_014579717.1
MHP168L_RS01420 WP_014579718.1
MHP168L_RS01425 WP_011205969.1
MHP168L_RS01430 WP_011284023.1
MHP168L_RS01435 WP_044277984.1
MHP168L_RS01440 WP_014579721.1
MHP168L_RS01445 WP_011205965.1
MHP168L_RS01450 WP_011284027.1
MHP168L_RS01455 WP_044284614.1
MHP168L_RS01460 WP_011205962.1
MHP168L_RS01465 WP_014579723.1
MHP168L_RS01470 WP_014579724.1
MHP168L_RS01475 WP_011290114.1
MHP168L_RS01480 WP_014579725.1
MHP168L_RS01485 WP_011205957.1
MHP168L_RS01490 WP_011205956.1
MHP168L_RS01495 WP_011205955.1
MHP168L_RS01500 WP_016340201.1
MHP168L_RS01505 WP_014579726.1
MHP168L_RS01510 WP_011205952.1
MHP168L_RS01515 WP_014579727.1
MHP168L_RS01520 WP_011290120.1
MHP168L_RS01525 WP_016340202.1
MHP168L_RS01530 WP_011284040.1
MHP168L_RS03960 WP_233417364.1
MHP168L_RS01540 WP_014579730.1
