NB624_RS00005 WP_044272251.1
NB624_RS00010 WP_160584860.1
NB624_RS00015 WP_044272256.1
NB624_RS00020 WP_044272260.1
NB624_RS00025 WP_011205844.1
NB624_RS00030 WP_014579519.1
NB624_RS00035 WP_011205846.1
NB624_RS00040 WP_011205847.1
NB624_RS00045 WP_011205847.1
NB624_RS00050 WP_011205849.1
NB624_RS00055 WP_020835487.1
NB624_RS00060 WP_011289935.1
NB624_RS00065 WP_011283834.1
NB624_RS00070 WP_404924059.1
NB624_RS00075 WP_404924060.1
NB624_RS00080 WP_020835489.1
NB624_RS00085 WP_041361519.1
NB624_RS00090 WP_225973003.1
NB624_RS00095 WP_225973003.1
NB624_RS00100 WP_404924061.1
NB624_RS00105 WP_146379451.1
NB624_RS00110 WP_020835495.1
NB624_RS00115 WP_020835495.1
NB624_RS00120 WP_020835495.1
NB624_RS00125 WP_146379454.1
NB624_RS00130 WP_146379455.1
NB624_RS00135 WP_404923974.1
NB624_RS00140 WP_050195463.1
NB624_RS00145 WP_160607726.1
NB624_RS00150 WP_146379457.1
NB624_RS00155 WP_020835500.1
NB624_RS00160 WP_404924202.1
NB624_RS00165 WP_404924064.1
NB624_RS00170 WP_146379459.1
NB624_RS00175 WP_135618474.1
NB624_RS00180 WP_404924066.1
NB624_RS00185 WP_404924067.1
NB624_RS00190 WP_044272282.1
NB624_RS00195 WP_011205878.1
NB624_RS00200 WP_135618485.1
NB624_RS00205 WP_011205880.1
NB624_RS00210 WP_318023737.1
NB624_RS00215 WP_404924068.1
NB624_RS00220 WP_011205883.1
NB624_RS00225 WP_404924069.1
NB624_RS00230 WP_044284571.1
NB624_RS00235 WP_404924070.1
NB624_RS00240 WP_014579550.1
NB624_RS00245 WP_011205889.1
NB624_RS00250 WP_020835512.1
NB624_RS00255 WP_146379467.1
NB624_RS00260 WP_404924071.1
NB624_RS00265 WP_020835515.1
NB624_RS00270 WP_011289973.1
NB624_RS00275 WP_225973008.1
NB624_RS00280 WP_011289974.1
NB624_RS00285 WP_020835518.1
NB624_RS00290 WP_146379469.1
NB624_RS00295 WP_404924072.1
NB624_RS00300 WP_404924073.1
NB624_RS00305 WP_011289979.1
NB624_RS00310 WP_146379775.1
NB624_RS00315 WP_011289981.1
NB624_RS00320 WP_011289982.1
NB624_RS00325 WP_404924074.1
NB624_RS00330 WP_404924075.1
NB624_RS00335 WP_404924076.1
NB624_RS00340 WP_014579568.1
NB624_RS00345 WP_041361531.1
NB624_RS00350 WP_041361531.1
NB624_RS00355 WP_160607908.1
NB624_RS00360 WP_160606511.1
NB624_RS00365 WP_044272294.1
NB624_RS00370 WP_041361533.1
NB624_RS00375 WP_011283887.1
NB624_RS00380 WP_404924612.1
NB624_RS00385 WP_404924077.1
NB624_RS00390 WP_011205921.1
NB624_RS00395 WP_011205922.1
NB624_RS00400 WP_011205923.1
NB624_RS00405 WP_011283891.1
NB624_RS00410 WP_011205925.1
NB624_RS00415 WP_044284773.1
NB624_RS00420 WP_404924078.1
NB624_RS00425 WP_404924079.1
NB624_RS00430 WP_011283896.1
NB624_RS00435 WP_011206134.1
NB624_RS00440 WP_404924080.1
NB624_RS00490 WP_404924614.1
NB624_RS00495 WP_404924082.1
NB624_RS00500 WP_146379482.1
NB624_RS00505 WP_146379482.1
NB624_RS00510 WP_041361727.1
NB624_RS00515 WP_044272311.1
NB624_RS00520 WP_404924615.1
NB624_RS00525 WP_014579589.1
NB624_RS00530 WP_225973012.1
NB624_RS00535 WP_011206121.1
NB624_RS00545 WP_160585148.1
NB624_RS00550 WP_179695961.1
NB624_RS00555 WP_011206118.1
NB624_RS00560 WP_404924084.1
NB624_RS00565 WP_179221014.1
NB624_RS00570 WP_160606838.1
NB624_RS00575 WP_404924085.1
NB624_RS00580 WP_011206113.1
NB624_RS00590 WP_404924616.1
NB624_RS00595 WP_404924616.1
NB624_RS00600 WP_220190741.1
NB624_RS00605 WP_014579601.1
NB624_RS00610 WP_146379524.1
NB624_RS00615 WP_011206025.1
NB624_RS00620 WP_050195474.1
NB624_RS00625 WP_014579605.1
NB624_RS00630 WP_011206028.1
NB624_RS00635 WP_404924087.1
NB624_RS00640 WP_011206031.1
NB624_RS00645 WP_011206032.1
NB624_RS00650 WP_020835596.1
NB624_RS00655 WP_014579611.1
NB624_RS00660 WP_011206035.1
NB624_RS00665 WP_011206036.1
NB624_RS00670 WP_041361589.1
NB624_RS00675 WP_011206038.1
NB624_RS00680 WP_011206039.1
NB624_RS00685 WP_020835592.1
NB624_RS00690 WP_020835591.1
NB624_RS00695 WP_011290058.1
NB624_RS00700 WP_020835590.1
NB624_RS00705 WP_404924088.1
NB624_RS00710 WP_160585193.1
NB624_RS00715 WP_020835589.1
NB624_RS00720 WP_011206047.1
NB624_RS00725 WP_011283963.1
NB624_RS00730 WP_011206048.1
NB624_RS00735 WP_011206049.1
NB624_RS00740 WP_011290054.1
NB624_RS00745 WP_404924089.1
NB624_RS00750 WP_011206052.1
NB624_RS00755 WP_044272348.1
NB624_RS00760 WP_011206054.1
NB624_RS00765 WP_404924090.1
NB624_RS00770 WP_011206056.1
NB624_RS00775 WP_404924091.1
NB624_RS00780 WP_011283955.1
NB624_RS00785 WP_135618593.1
NB624_RS00790 WP_041361583.1
NB624_RS00795 WP_011206061.1
NB624_RS00800 WP_135618591.1
NB624_RS00805 WP_094521594.1
NB624_RS00810 WP_404924092.1
NB624_RS00815 WP_404924093.1
NB624_RS00820 WP_011290044.1
NB624_RS00825 WP_011290043.1
NB624_RS00830 WP_404924094.1
NB624_RS00835 WP_011206069.1
NB624_RS00840 WP_160606691.1
NB624_RS00845 WP_011206071.1
NB624_RS00850 WP_011206072.1
NB624_RS00855 WP_011290039.1
NB624_RS00860 WP_044272343.1
NB624_RS00870 WP_014579636.1
NB624_RS00875 WP_404924095.1
NB624_RS00880 WP_404924617.1
NB624_RS00885 WP_146379504.1
NB624_RS00890 WP_160584803.1
NB624_RS00895 WP_011290034.1
NB624_RS00900 WP_404924097.1
NB624_RS00910 WP_011283934.1
NB624_RS00915 WP_404924098.1
NB624_RS00920 WP_404924099.1
NB624_RS00930 WP_146379500.1
NB624_RS00935 WP_011206086.1
NB624_RS00940 WP_011283930.1
NB624_RS00945 WP_011290029.1
NB624_RS00950 WP_011290028.1
NB624_RS00955 WP_041361572.1
NB624_RS00960 WP_179695841.1
NB624_RS00965 WP_404924100.1
NB624_RS00970 WP_404912207.1
NB624_RS00975 WP_404912207.1
NB624_RS00980 WP_011206094.1
NB624_RS00985 WP_094521583.1
NB624_RS00990 WP_011290023.1
NB624_RS00995 WP_044272325.1
NB624_RS01000 WP_011290021.1
NB624_RS01005 WP_269076320.1
NB624_RS01010 WP_011290019.1
NB624_RS01015 WP_041361566.1
NB624_RS01025 WP_160584795.1
NB624_RS01030 WP_011206102.1
NB624_RS01035 WP_011206103.1
NB624_RS01040 WP_020835567.1
NB624_RS01045 WP_404924102.1
NB624_RS01060 WP_404924103.1
NB624_RS01065 WP_011290013.1
NB624_RS01070 WP_404924104.1
NB624_RS01075 WP_404924104.1
NB624_RS01080 WP_404924106.1
NB624_RS01085 WP_011206110.1
NB624_RS01090 WP_404924107.1
NB624_RS01095 WP_011290071.1
NB624_RS01100 WP_404924108.1
NB624_RS01105 WP_011206016.1
NB624_RS01110 WP_094521603.1
NB624_RS01115 WP_011206014.1
NB624_RS01120 WP_020835607.1
NB624_RS01125 WP_020835607.1
NB624_RS01130 WP_404924109.1
NB624_RS01135 WP_404924110.1
NB624_RS01140 WP_404924111.1
NB624_RS01145 WP_404924112.1
NB624_RS01150 WP_404924113.1
NB624_RS01155 WP_011206006.1
NB624_RS01160 WP_011206005.1
NB624_RS01165 WP_020835615.1
NB624_RS01170 WP_404924114.1
NB624_RS01175 WP_404924115.1
NB624_RS01180 WP_044272377.1
NB624_RS01185 WP_404912290.1
NB624_RS01190 WP_146379540.1
NB624_RS01195 WP_094521610.1
NB624_RS01200 WP_404924627.1
NB624_RS01205 WP_011205992.1
NB624_RS01210 WP_011290089.1
NB624_RS01215 WP_404924189.1
NB624_RS01220 WP_404924118.1
NB624_RS01225 WP_404924119.1
NB624_RS01230 WP_404924120.1
NB624_RS01235 WP_011205986.1
NB624_RS01240 WP_014579703.1
NB624_RS01245 WP_404924121.1
NB624_RS01250 WP_404924122.1
NB624_RS01255 WP_011205983.1
NB624_RS01260 WP_404924123.1
NB624_RS01265 WP_404924124.1
NB624_RS01270 WP_404924125.1
NB624_RS01275 WP_187145661.1
NB624_RS01280 WP_041361605.1
NB624_RS01285 WP_020835632.1
NB624_RS01290 WP_011290103.1
NB624_RS01295 WP_044272388.1
NB624_RS01300 WP_011284018.1
NB624_RS01305 WP_011205973.1
NB624_RS01310 WP_044272391.1
NB624_RS01315 WP_020835635.1
NB624_RS01320 WP_404924190.1
NB624_RS01325 WP_404924126.1
NB624_RS01330 WP_404924127.1
NB624_RS01335 WP_160585678.1
NB624_RS01340 WP_404924128.1
NB624_RS01345 WP_011205965.1
NB624_RS01350 WP_011284027.1
NB624_RS01355 WP_404924129.1
NB624_RS01360 WP_011205962.1
NB624_RS01365 WP_404924130.1
NB624_RS01370 WP_020835642.1
NB624_RS01375 WP_146379557.1
NB624_RS01380 WP_020835643.1
NB624_RS01385 WP_404924131.1
NB624_RS01390 WP_404924131.1
NB624_RS01395 WP_011205955.1
NB624_RS01400 WP_011205954.1
NB624_RS01405 WP_404924132.1
NB624_RS01410 WP_011205952.1
NB624_RS01415 WP_404924133.1
NB624_RS01420 WP_160606641.1
NB624_RS01425 WP_404924134.1
NB624_RS01430 WP_160590282.1
NB624_RS01435 WP_233417364.1
NB624_RS01440 WP_404924618.1
NB624_RS01445 WP_146379564.1
NB624_RS01450 WP_014579732.1
NB624_RS01455 WP_404924137.1
NB624_RS01460 WP_011284046.1
NB624_RS01490 WP_160585099.1
NB624_RS01495 WP_014579735.1
NB624_RS01500 WP_404924138.1
NB624_RS01505 WP_011205939.1
NB624_RS01510 WP_146379568.1
NB624_RS01515 WP_020835656.1
NB624_RS01520 WP_404924139.1
NB624_RS01525 WP_020835657.1
NB624_RS01530 WP_011284055.1
