GOM18_RS00005 WP_179695828.1
GOM18_RS00010 WP_160585706.1
GOM18_RS00015 WP_258556507.1
GOM18_RS00020 WP_179695829.1
GOM18_RS00025 WP_258556508.1
GOM18_RS00030 WP_258556509.1
GOM18_RS04240 WP_179695831.1
GOM18_RS00040 WP_179695832.1
GOM18_RS00045 WP_179695833.1
GOM18_RS00050 WP_011206361.1
GOM18_RS00055 WP_258556510.1
GOM18_RS00060 WP_179695834.1
GOM18_RS00065 WP_179695835.1
GOM18_RS03660 WP_220200465.1
GOM18_RS00075 WP_094521569.1
GOM18_RS00080 WP_179695836.1
GOM18_RS00085 WP_179695837.1
GOM18_RS00090 WP_179695838.1
GOM18_RS00095 WP_011206100.1
GOM18_RS00100 WP_232039589.1
GOM18_RS03695 WP_258556511.1
GOM18_RS00110 WP_179695839.1
GOM18_RS00115 WP_179695840.1
GOM18_RS00120 WP_011283923.1
GOM18_RS00125 WP_011283924.1
GOM18_RS00130 WP_011206094.1
GOM18_RS00135 WP_011206093.1
GOM18_RS00140 WP_020835572.1
GOM18_RS00145 WP_179695841.1
GOM18_RS00150 WP_041361572.1
GOM18_RS00155 WP_011290028.1
GOM18_RS00160 WP_050195494.1
GOM18_RS00165 WP_011283930.1
GOM18_RS00170 WP_011206086.1
GOM18_RS00175 WP_020835574.1
GOM18_RS00185 WP_179695842.1
GOM18_RS00190 WP_020835576.1
GOM18_RS00195 WP_011283934.1
GOM18_RS04245 WP_179695843.1
GOM18_RS00210 WP_179695844.1
GOM18_RS00215 WP_160584803.1
GOM18_RS00220 WP_179695845.1
GOM18_RS00225 WP_179695846.1
GOM18_RS00230 WP_011206076.1
GOM18_RS00235 WP_179695847.1
GOM18_RS00245 WP_044272343.1
GOM18_RS00250 WP_011283943.1
GOM18_RS00255 WP_011206072.1
GOM18_RS00260 WP_011206071.1
GOM18_RS00265 WP_179695848.1
GOM18_RS00270 WP_011206069.1
GOM18_RS00275 WP_011206068.1
GOM18_RS00280 WP_179695849.1
GOM18_RS00285 WP_011206066.1
GOM18_RS00290 WP_011283949.1
GOM18_RS04250 WP_011283950.1
GOM18_RS00300 WP_179695850.1
GOM18_RS00305 WP_179695851.1
GOM18_RS00310 WP_011206061.1
GOM18_RS00315 WP_041361583.1
GOM18_RS04255 WP_135618593.1
GOM18_RS00325 WP_179695852.1
GOM18_RS04260 WP_044284596.1
GOM18_RS00335 WP_011206056.1
GOM18_RS00340 WP_011283957.1
GOM18_RS00345 WP_179695853.1
GOM18_RS00350 WP_044272348.1
GOM18_RS00355 WP_011206052.1
GOM18_RS00360 WP_011206052.1
GOM18_RS04265 WP_011206488.1
GOM18_RS00370 WP_232039558.1
GOM18_RS00375 WP_011290416.1
GOM18_RS00380 WP_011206490.1
GOM18_RS00385 WP_179695854.1
GOM18_RS00390 WP_179695855.1
GOM18_RS00395 WP_011206493.1
GOM18_RS00400 WP_011206494.1
