DR097_RS01720 WP_160585682.1
DR097_RS01725 WP_011284269.1
DR097_RS04670 WP_160585683.1
DR097_RS01735 WP_146379686.1
DR097_RS04140 WP_258555824.1
DR097_RS04145 WP_258555825.1
DR097_RS04150 WP_258555826.1
DR097_RS01750 WP_160585684.1
DR097_RS01755 WP_160585685.1
DR097_RS01760 WP_160585686.1
DR097_RS01765 WP_011206347.1
DR097_RS01770 WP_020835826.1
DR097_RS01775 WP_011206345.1
DR097_RS01780 WP_146379684.1
DR097_RS04155 WP_258555827.1
DR097_RS01795 WP_160585687.1
DR097_RS01800 WP_011290314.1
DR097_RS01805 WP_160585688.1
DR097_RS01810 WP_160585121.1
DR097_RS01815 WP_020835820.1
DR097_RS01820 WP_020835820.1
DR097_RS04945 WP_371807679.1
DR097_RS04675 WP_160585690.1
DR097_RS01835 WP_160585691.1
DR097_RS04680 WP_160585692.1
DR097_RS01845 WP_160585693.1
DR097_RS01850 WP_160585050.1
DR097_RS01855 WP_011206161.1
DR097_RS01860 WP_160585052.1
DR097_RS01865 WP_160585054.1
DR097_RS01870 WP_160585056.1
DR097_RS01875 WP_160585694.1
DR097_RS04900 WP_225973034.1
DR097_RS01885 WP_160585695.1
DR097_RS04685 WP_146379576.1
DR097_RS01895 WP_160585696.1
DR097_RS01900 WP_308507007.1
DR097_RS01905 WP_011290145.1
DR097_RS01925 WP_011206293.1
DR097_RS01930 WP_146379657.1
DR097_RS01935 WP_160585698.1
DR097_RS01940 WP_160585159.1
DR097_RS04905 WP_011206289.1
DR097_RS01950 WP_160590318.1
DR097_RS01955 WP_011206287.1
DR097_RS01960 WP_160585700.1
DR097_RS01965 WP_135619210.1
DR097_RS01970 WP_160585701.1
DR097_RS01980 WP_014579876.1
DR097_RS01985 WP_160585702.1
DR097_RS04690 WP_160585703.1
DR097_RS01995 WP_160585704.1
DR097_RS02000 WP_160585705.1
DR097_RS02005 WP_160585706.1
DR097_RS02010 WP_160585707.1
DR097_RS02015 WP_160584953.1
DR097_RS02020 WP_160585708.1
DR097_RS02025 WP_160585709.1
DR097_RS04695 WP_160585710.1
DR097_RS02035 WP_160585711.1
DR097_RS02040 WP_160584945.1
DR097_RS02045 WP_135618745.1
DR097_RS02050 WP_160585712.1
DR097_RS04190 WP_258555832.1
DR097_RS04700 WP_160585713.1
DR097_RS02065 WP_011206358.1
DR097_RS02070 WP_160585714.1
DR097_RS02075 WP_088172525.1
DR097_RS02080 WP_240536615.1
DR097_RS02085 WP_160585715.1
DR097_RS02090 WP_160585716.1
DR097_RS02095 WP_160585718.1
DR097_RS02100 WP_160585719.1
DR097_RS02110 WP_258555347.1
DR097_RS02115 WP_160585722.1
DR097_RS04705 WP_160585296.1
DR097_RS02125 WP_258555346.1
DR097_RS02130 WP_160585723.1
DR097_RS02135 WP_011206271.1
DR097_RS02140 WP_237697204.1
DR097_RS02145 WP_160585724.1
DR097_RS02150 WP_258555345.1
