B5M19_RS00005 WP_088764574.1
B5M19_RS03995 WP_252862118.1
B5M19_RS00015 WP_228365400.1
B5M19_RS00020 WP_014579527.1
B5M19_RS00030 WP_014579529.1
B5M19_RS04000 WP_228365401.1
B5M19_RS04005 WP_228365401.1
B5M19_RS04010 WP_252862119.1
B5M19_RS00040 WP_252862120.1
B5M19_RS00045 WP_014579531.1
B5M19_RS00050 WP_014579532.1
B5M19_RS00055 WP_014579533.1
B5M19_RS00060 WP_014579534.1
B5M19_RS00065 WP_011205870.1
B5M19_RS00070 WP_014579535.1
B5M19_RS00075 WP_014579536.1
B5M19_RS00080 WP_252862121.1
B5M19_RS04015 WP_290124223.1
B5M19_RS00085 WP_014579538.1
B5M19_RS00090 WP_011289957.1
B5M19_RS03880 WP_011289957.1
B5M19_RS00100 WP_252862122.1
B5M19_RS00105 WP_014579542.1
B5M19_RS00110 WP_011205878.1
B5M19_RS00115 WP_228365405.1
B5M19_RS00120 WP_011205880.1
B5M19_RS00125 WP_014579544.1
B5M19_RS00130 WP_011205882.1
B5M19_RS00135 WP_011205883.1
B5M19_RS00140 WP_014579546.1
B5M19_RS00145 WP_014579547.1
B5M19_RS00150 WP_014579548.1
B5M19_RS00160 WP_014579550.1
B5M19_RS00165 WP_011283865.1
B5M19_RS00170 WP_044277952.1
B5M19_RS00175 WP_014579552.1
B5M19_RS00180 WP_014579553.1
B5M19_RS00185 WP_014579554.1
B5M19_RS00190 WP_014579555.1
B5M19_RS00195 WP_228365406.1
B5M19_RS00200 WP_011283871.1
B5M19_RS04020 WP_011283871.1
B5M19_RS00205 WP_252862123.1
B5M19_RS00210 WP_044277955.1
B5M19_RS00215 WP_014579560.1
B5M19_RS00220 WP_011205899.1
B5M19_RS00225 WP_014579561.1
B5M19_RS00230 WP_014579562.1
B5M19_RS00235 WP_014579563.1
B5M19_RS00240 WP_011205903.1
B5M19_RS00245 WP_044277956.1
B5M19_RS00250 WP_014579565.1
B5M19_RS00260 WP_252862124.1
B5M19_RS00265 WP_014579568.1
B5M19_RS00270 WP_014579569.1
B5M19_RS00275 WP_011289986.1
B5M19_RS00280 WP_011289987.1
B5M19_RS00285 WP_088764575.1
B5M19_RS00290 WP_143826158.1
B5M19_RS00295 WP_088764576.1
B5M19_RS00300 WP_014579572.1
B5M19_RS00305 WP_011283887.1
B5M19_RS04025 WP_011283887.1
B5M19_RS04030 WP_011283887.1
B5M19_RS00315 WP_088764577.1
B5M19_RS00320 WP_011205921.1
B5M19_RS00325 WP_011205921.1
B5M19_RS00330 WP_011205921.1
B5M19_RS00335 WP_044277957.1
B5M19_RS00340 WP_011283891.1
B5M19_RS00345 WP_014579576.1
B5M19_RS00350 WP_014579577.1
B5M19_RS04035 WP_014579577.1
B5M19_RS00355 WP_252862126.1
B5M19_RS00360 WP_252862127.1
B5M19_RS04040 WP_252862127.1
B5M19_RS00365 WP_088764579.1
B5M19_RS00370 WP_014580030.1
B5M19_RS00375 WP_143826159.1
B5M19_RS00380 WP_014580028.1
B5M19_RS00385 WP_014580027.1
B5M19_RS00390 WP_011206510.1
B5M19_RS00395 WP_088764580.1
B5M19_RS00400 WP_044889046.1
B5M19_RS00405 WP_252862132.1
B5M19_RS00410 WP_014580023.1
B5M19_RS00415 WP_252862128.1
B5M19_RS04045 WP_252862129.1
B5M19_RS00420 WP_014580021.1
B5M19_RS00425 WP_011284373.1
B5M19_RS00430 WP_011206502.1
B5M19_RS00440 WP_014580020.1
B5M19_RS04050 WP_252862130.1
B5M19_RS04055 WP_252862133.1
B5M19_RS00450 WP_014580018.1
B5M19_RS00455 WP_044278043.1
B5M19_RS00460 WP_011284368.1
B5M19_RS00465 WP_011284367.1
B5M19_RS00470 WP_088764581.1
B5M19_RS00475 WP_011206493.1
B5M19_RS00480 WP_014580015.1
B5M19_RS00485 WP_014580014.1
B5M19_RS00490 WP_014580013.1
B5M19_RS00495 WP_014580012.1
B5M19_RS04590 WP_232039558.1
B5M19_RS00505 WP_011206488.1
B5M19_RS00515 WP_011206487.1
B5M19_RS00520 WP_014580010.1
B5M19_RS00525 WP_014580009.1
B5M19_RS00530 WP_014580008.1
B5M19_RS00535 WP_014580007.1
B5M19_RS00540 WP_014580006.1
B5M19_RS00545 WP_088764582.1
B5M19_RS00550 WP_014580004.1
B5M19_RS00555 WP_014580003.1
B5M19_RS00560 WP_252862131.1
B5M19_RS00565 WP_011206475.1
B5M19_RS00570 WP_016340249.1
B5M19_RS00575 WP_014579999.1
B5M19_RS00580 WP_044278039.1
B5M19_RS00585 WP_088764583.1
B5M19_RS00590 WP_088764585.1
B5M19_RS04060 WP_228365423.1
B5M19_RS04065 WP_228365424.1
B5M19_RS00600 WP_014579782.1
B5M19_RS00605 WP_014579783.1
B5M19_RS00610 WP_014579784.1
B5M19_RS00615 WP_014579785.1
B5M19_RS00620 WP_044277998.1
B5M19_RS00625 WP_014579786.1
B5M19_RS00630 WP_014579787.1
B5M19_RS00635 WP_011206182.1
B5M19_RS00640 WP_014579789.1
B5M19_RS00645 WP_014579790.1
