MHJ_RS00005 WP_044272251.1
MHJ_RS00010 WP_011283825.1
MHJ_RS00015 WP_044284564.1
MHJ_RS00020 WP_011205843.1
MHJ_RS00025 WP_011205844.1
MHJ_RS00030 WP_014579519.1
MHJ_RS00035 WP_020835484.1
MHJ_RS00040 WP_011283830.1
MHJ_RS00045 WP_011205848.1
MHJ_RS00050 WP_011205849.1
MHJ_RS00055 WP_044284565.1
MHJ_RS00060 WP_011283833.1
MHJ_RS00065 WP_011283834.1
MHJ_RS00070 WP_011283835.1
MHJ_RS00075 WP_011283836.1
MHJ_RS00085 WP_228365400.1
MHJ_RS00090 WP_011283839.1
MHJ_RS00095 WP_011283840.1
MHJ_RS00100 WP_011283841.1
MHJ_RS00105 WP_237697225.1
MHJ_RS00110 WP_014579531.1
MHJ_RS00115 WP_014579532.1
MHJ_RS00120 WP_014579533.1
MHJ_RS00125 WP_011283846.1
MHJ_RS00130 WP_011205870.1
MHJ_RS00135 WP_044284737.1
MHJ_RS00140 WP_044284566.1
MHJ_RS00145 WP_011283850.1
MHJ_RS00150 WP_011283851.1
MHJ_RS00155 WP_011283852.1
MHJ_RS03825 WP_011283853.1
MHJ_RS00165 WP_044284567.1
MHJ_RS00170 WP_044284568.1
MHJ_RS00175 WP_233688609.1
MHJ_RS00180 WP_044284570.1
MHJ_RS00185 WP_014579544.1
MHJ_RS00190 WP_011283858.1
MHJ_RS00195 WP_011205883.1
MHJ_RS00200 WP_011283860.1
MHJ_RS00205 WP_044284571.1
MHJ_RS00210 WP_020835510.1
MHJ_RS00220 WP_044284572.1
MHJ_RS00225 WP_011283865.1
MHJ_RS00230 WP_044284739.1
MHJ_RS00235 WP_014579552.1
MHJ_RS00240 WP_044284573.1
MHJ_RS00245 WP_011283869.1
MHJ_RS00250 WP_011283870.1
MHJ_RS00255 WP_228365406.1
MHJ_RS00260 WP_011283871.1
MHJ_RS00265 WP_193325077.1
MHJ_RS00270 WP_011283873.1
MHJ_RS00275 WP_011283874.1
MHJ_RS00280 WP_044284574.1
MHJ_RS00285 WP_011283876.1
MHJ_RS00290 WP_237697226.1
MHJ_RS00295 WP_011283878.1
MHJ_RS00300 WP_011283879.1
MHJ_RS00305 WP_011205904.1
MHJ_RS00310 WP_044284575.1
MHJ_RS00315 WP_044284576.1
MHJ_RS00320 WP_014579568.1
MHJ_RS00325 WP_044284577.1
MHJ_RS00330 WP_011283883.1
MHJ_RS00335 WP_011283884.1
MHJ_RS00340 WP_011283885.1
MHJ_RS00345 WP_044284578.1
MHJ_RS00350 WP_041361533.1
MHJ_RS00355 WP_011283887.1
MHJ_RS00360 WP_011283888.1
MHJ_RS00365 WP_044284579.1
MHJ_RS00370 WP_011205921.1
MHJ_RS00375 WP_011205922.1
MHJ_RS00380 WP_011205923.1
MHJ_RS00385 WP_011283891.1
MHJ_RS00390 WP_014579576.1
MHJ_RS00395 WP_044284580.1
MHJ_RS00400 WP_011283894.1
MHJ_RS00405 WP_011283895.1
MHJ_RS00410 WP_011283896.1
MHJ_RS00415 WP_011206134.1
MHJ_RS03780 WP_187286315.1
MHJ_RS00425 WP_011283898.1
MHJ_RS00475 WP_011283899.1
MHJ_RS00480 WP_044284582.1
MHJ_RS00485 WP_044284583.1
MHJ_RS00490 WP_044277959.1
MHJ_RS00495 WP_014579585.1
MHJ_RS00500 WP_041361727.1
MHJ_RS00505 WP_044284584.1
MHJ_RS00510 WP_044284585.1
MHJ_RS00515 WP_014579589.1
MHJ_RS00520 WP_237697227.1
MHJ_RS00525 WP_011206121.1
MHJ_RS00535 WP_011206120.1
MHJ_RS00540 WP_044284586.1
MHJ_RS00545 WP_011206118.1
MHJ_RS00550 WP_011283910.1
MHJ_RS00555 WP_044284587.1
MHJ_RS00560 WP_052259107.1
MHJ_RS00565 WP_011206114.1
MHJ_RS00570 WP_011206113.1
MHJ_RS00575 WP_011206113.1
MHJ_RS00585 WP_011206110.1
MHJ_RS00590 WP_011283913.1
MHJ_RS00595 WP_011283914.1
MHJ_RS00600 WP_011283915.1
MHJ_RS00605 WP_011283916.1
MHJ_RS00620 WP_237697228.1
MHJ_RS00625 WP_052259108.1
MHJ_RS00630 WP_011206103.1
MHJ_RS00635 WP_011206102.1
MHJ_RS00640 WP_011206101.1
MHJ_RS00650 WP_011206100.1
MHJ_RS00655 WP_011206099.1
MHJ_RS03970 WP_258556638.1
MHJ_RS00660 WP_011283921.1
MHJ_RS00665 WP_011206097.1
MHJ_RS00670 WP_011283923.1
