NB625_RS00005 WP_044272251.1
NB625_RS00010 WP_160584860.1
NB625_RS00015 WP_044272256.1
NB625_RS00020 WP_044272260.1
NB625_RS00025 WP_011205844.1
NB625_RS00030 WP_014579519.1
NB625_RS00035 WP_011205846.1
NB625_RS00040 WP_011205847.1
NB625_RS00045 WP_404924058.1
NB625_RS00050 WP_011205849.1
NB625_RS00055 WP_020835487.1
NB625_RS00060 WP_011289935.1
NB625_RS00065 WP_011283834.1
NB625_RS00070 WP_404924059.1
NB625_RS00075 WP_404924060.1
NB625_RS00080 WP_020835489.1
NB625_RS00085 WP_041361519.1
NB625_RS00090 WP_225973003.1
NB625_RS00095 WP_225973003.1
NB625_RS00100 WP_404924061.1
NB625_RS00105 WP_146379451.1
NB625_RS00110 WP_020835495.1
NB625_RS00115 WP_404924062.1
NB625_RS00120 WP_404924063.1
NB625_RS00125 WP_404924063.1
NB625_RS00130 WP_146379454.1
NB625_RS00135 WP_146379455.1
NB625_RS00140 WP_404923974.1
NB625_RS00145 WP_050195463.1
NB625_RS00150 WP_160607726.1
NB625_RS00155 WP_146379457.1
NB625_RS00160 WP_020835500.1
NB625_RS00165 WP_404924202.1
NB625_RS00170 WP_404924064.1
NB625_RS00175 WP_146379459.1
NB625_RS00180 WP_135618474.1
NB625_RS00185 WP_404924066.1
NB625_RS00190 WP_404924067.1
NB625_RS00195 WP_044272282.1
NB625_RS00200 WP_011205878.1
NB625_RS00205 WP_135618485.1
NB625_RS00210 WP_011205880.1
NB625_RS00215 WP_318023737.1
NB625_RS00220 WP_404924068.1
NB625_RS00225 WP_011205883.1
NB625_RS00230 WP_404924069.1
NB625_RS00235 WP_044284571.1
NB625_RS00240 WP_404924070.1
NB625_RS00245 WP_014579550.1
NB625_RS00250 WP_011205889.1
NB625_RS00255 WP_020835512.1
NB625_RS00260 WP_146379467.1
NB625_RS00265 WP_404924071.1
NB625_RS00270 WP_020835515.1
NB625_RS00275 WP_011289973.1
NB625_RS00280 WP_225973008.1
NB625_RS00285 WP_011289974.1
NB625_RS00290 WP_020835518.1
NB625_RS00295 WP_146379469.1
NB625_RS00300 WP_404924072.1
NB625_RS00305 WP_404924073.1
NB625_RS00310 WP_011289979.1
NB625_RS00315 WP_146379775.1
NB625_RS00320 WP_011289981.1
NB625_RS00325 WP_011289982.1
NB625_RS00330 WP_404924074.1
NB625_RS00335 WP_404924075.1
NB625_RS00340 WP_404924076.1
NB625_RS00345 WP_014579568.1
NB625_RS00350 WP_041361531.1
NB625_RS00355 WP_011289986.1
NB625_RS00360 WP_160607908.1
NB625_RS00365 WP_160606511.1
NB625_RS00370 WP_044272294.1
NB625_RS00375 WP_041361533.1
NB625_RS00380 WP_011283887.1
NB625_RS00385 WP_011283887.1
NB625_RS00390 WP_404924077.1
NB625_RS00395 WP_011205921.1
NB625_RS00400 WP_011205922.1
NB625_RS00405 WP_011205923.1
NB625_RS00410 WP_011283891.1
NB625_RS00415 WP_011205925.1
NB625_RS00420 WP_044284773.1
NB625_RS00425 WP_404924078.1
NB625_RS00430 WP_404924079.1
NB625_RS00435 WP_011283896.1
NB625_RS00440 WP_011206134.1
NB625_RS00445 WP_404924080.1
