EXC50_RS00005 WP_011205840.1
EXC50_RS00010 WP_011205841.1
EXC50_RS00015 WP_011205842.1
EXC50_RS00020 WP_011205843.1
EXC50_RS00025 WP_011205844.1
EXC50_RS00030 WP_044284766.1
EXC50_RS00035 WP_011205846.1
EXC50_RS00040 WP_011205847.1
EXC50_RS00045 WP_011205848.1
EXC50_RS00050 WP_011205849.1
EXC50_RS00055 WP_011205850.1
EXC50_RS00060 WP_011205851.1
EXC50_RS00065 WP_011283834.1
EXC50_RS00070 WP_011205853.1
EXC50_RS00075 WP_011205854.1
EXC50_RS03960 WP_011205855.1
EXC50_RS00085 WP_011205856.1
EXC50_RS00090 WP_232039500.1
EXC50_RS00095 WP_228366119.1
EXC50_RS00100 WP_011205860.1
EXC50_RS00105 WP_011205861.1
EXC50_RS00110 WP_011205862.1
EXC50_RS00115 WP_011205863.1
EXC50_RS00120 WP_011205864.1
EXC50_RS00125 WP_011205865.1
EXC50_RS00130 WP_011205866.1
EXC50_RS00135 WP_011205867.1
EXC50_RS00140 WP_232039502.1
EXC50_RS00145 WP_011205868.1
EXC50_RS00150 WP_011205869.1
EXC50_RS00155 WP_011205870.1
EXC50_RS00160 WP_011205871.1
EXC50_RS00165 WP_011205872.1
EXC50_RS00170 WP_011205873.1
EXC50_RS00175 WP_011205874.1
EXC50_RS00180 WP_011205875.1
EXC50_RS03965 WP_232039504.1
EXC50_RS00195 WP_011205877.1
EXC50_RS00200 WP_011205878.1
EXC50_RS00205 WP_232039506.1
EXC50_RS00210 WP_011205880.1
EXC50_RS00215 WP_011205881.1
EXC50_RS00220 WP_011205882.1
EXC50_RS00225 WP_011205883.1
EXC50_RS00230 WP_011205884.1
EXC50_RS00235 WP_011205885.1
EXC50_RS00240 WP_011205886.1
EXC50_RS00250 WP_011205888.1
EXC50_RS00255 WP_011205889.1
EXC50_RS00260 WP_011205890.1
EXC50_RS00265 WP_011205891.1
EXC50_RS00270 WP_011205892.1
EXC50_RS00275 WP_011205893.1
EXC50_RS00280 WP_011205894.1
EXC50_RS00285 WP_225973008.1
EXC50_RS00290 WP_011283871.1
EXC50_RS00295 WP_011205896.1
EXC50_RS00300 WP_011205897.1
EXC50_RS00305 WP_011205898.1
EXC50_RS00310 WP_011205899.1
EXC50_RS00315 WP_011205900.1
EXC50_RS00320 WP_232039509.1
EXC50_RS00325 WP_011205902.1
EXC50_RS00330 WP_011205903.1
EXC50_RS00335 WP_011205904.1
EXC50_RS00340 WP_011205905.1
EXC50_RS00350 WP_044284770.1
EXC50_RS00355 WP_011205908.1
EXC50_RS00360 WP_011205909.1
EXC50_RS00365 WP_044284771.1
EXC50_RS00370 WP_044284772.1
EXC50_RS00375 WP_011205912.1
EXC50_RS00380 WP_011205913.1
EXC50_RS00385 WP_041361533.1
EXC50_RS00390 WP_011205916.1
EXC50_RS00395 WP_011205917.1
EXC50_RS00400 WP_044284579.1
EXC50_RS00405 WP_011205920.1
EXC50_RS00410 WP_011205921.1
EXC50_RS00415 WP_011205922.1
EXC50_RS00420 WP_011205923.1
EXC50_RS00425 WP_011205924.1
EXC50_RS00430 WP_011205925.1
EXC50_RS00435 WP_044284773.1
EXC50_RS00440 WP_011206355.1
EXC50_RS00445 WP_011206356.1
EXC50_RS00450 WP_129640553.1
EXC50_RS00455 WP_011206358.1
EXC50_RS00460 WP_011206359.1
EXC50_RS00465 WP_011206360.1
EXC50_RS00470 WP_011206361.1
EXC50_RS00475 WP_129640555.1
EXC50_RS00480 WP_011206363.1
EXC50_RS00485 WP_129640557.1
EXC50_RS00490 WP_228365397.1
EXC50_RS00495 WP_129640559.1
EXC50_RS03870 WP_158209059.1
EXC50_RS00500 WP_232039511.1
EXC50_RS00505 WP_129640561.1
EXC50_RS00510 WP_011206370.1
EXC50_RS00515 WP_011206371.1
EXC50_RS00520 WP_232039513.1
EXC50_RS00525 WP_011206139.1
EXC50_RS03970 WP_044284786.1
EXC50_RS00535 WP_011206140.1
EXC50_RS00540 WP_011206141.1
EXC50_RS00545 WP_011206142.1
EXC50_RS00550 WP_011206143.1
EXC50_RS00560 WP_011206145.1
EXC50_RS03975 WP_232039515.1
EXC50_RS03980 WP_232039517.1
EXC50_RS00570 WP_011206147.1
EXC50_RS00575 WP_011206148.1
EXC50_RS04220 WP_269076340.1
EXC50_RS00585 WP_044284787.1
EXC50_RS03875 WP_165255034.1
EXC50_RS00595 WP_011206151.1
EXC50_RS00600 WP_173670105.1
EXC50_RS00605 WP_011206153.1
EXC50_RS00610 WP_011206153.1
EXC50_RS00615 WP_011206154.1
EXC50_RS00620 WP_011206155.1
EXC50_RS00625 WP_011206156.1
EXC50_RS04255 WP_081430780.1
EXC50_RS00635 WP_011206157.1
EXC50_RS00640 WP_011206158.1
EXC50_RS00645 WP_011206159.1
EXC50_RS00650 WP_011206160.1
EXC50_RS00655 WP_011206161.1
EXC50_RS00660 WP_011206162.1
EXC50_RS00665 WP_011206163.1
EXC50_RS00670 WP_129640563.1
EXC50_RS03990 WP_088172555.1
EXC50_RS00675 WP_323749055.1
EXC50_RS00680 WP_011206167.1
EXC50_RS00685 WP_011206168.1
EXC50_RS00690 WP_011206169.1
EXC50_RS00695 WP_011206170.1
EXC50_RS03995 WP_232039520.1
EXC50_RS00705 WP_011206171.1
EXC50_RS00710 WP_044284791.1
EXC50_RS00715 WP_011206173.1
EXC50_RS00720 WP_011206174.1
EXC50_RS00725 WP_011206175.1
EXC50_RS00730 WP_011206176.1
EXC50_RS00735 WP_232039521.1
EXC50_RS00740 WP_011206178.1
EXC50_RS00745 WP_011206179.1
EXC50_RS00750 WP_011206180.1
EXC50_RS00755 WP_014579787.1
EXC50_RS00760 WP_011206182.1
EXC50_RS00765 WP_011206183.1
EXC50_RS04000 WP_232039523.1
EXC50_RS00770 WP_011206184.1
EXC50_RS00775 WP_011206185.1
EXC50_RS04005 WP_232039525.1
EXC50_RS03905 WP_158209056.1
EXC50_RS00795 WP_011206187.1
EXC50_RS00800 WP_232039527.1
EXC50_RS00805 WP_011206189.1
EXC50_RS00810 WP_011206190.1
EXC50_RS03885 WP_158209057.1
EXC50_RS03910 WP_173670106.1
EXC50_RS03915 WP_011206191.1
EXC50_RS03920 WP_173670107.1
EXC50_RS04230 WP_258555395.1
EXC50_RS03890 WP_165255037.1
EXC50_RS00850 WP_011206194.1
EXC50_RS00860 WP_011206195.1
EXC50_RS00865 WP_011206196.1
EXC50_RS00870 WP_011206197.1
EXC50_RS00875 WP_011206198.1
EXC50_RS00880 WP_011206199.1
EXC50_RS00885 WP_011206200.1
EXC50_RS00890 WP_011206201.1
EXC50_RS00895 WP_011206202.1
EXC50_RS00900 WP_011206203.1
EXC50_RS00905 WP_011206204.1
EXC50_RS00910 WP_011206205.1
EXC50_RS00915 WP_011206206.1
EXC50_RS00920 WP_011206207.1
EXC50_RS00925 WP_044284793.1
EXC50_RS00930 WP_011206209.1
EXC50_RS00935 WP_232039529.1
EXC50_RS00940 WP_011206211.1
EXC50_RS00945 WP_011206212.1
EXC50_RS00950 WP_129640567.1
EXC50_RS00955 WP_011206214.1
EXC50_RS00960 WP_011206215.1
EXC50_RS00965 WP_011206216.1
EXC50_RS00970 WP_011206217.1
EXC50_RS03895 WP_011206218.1
EXC50_RS00975 WP_011206219.1
EXC50_RS00980 WP_129640569.1
EXC50_RS00985 WP_011206221.1
EXC50_RS00990 WP_011206222.1
EXC50_RS00995 WP_011206223.1
EXC50_RS01000 WP_011206224.1
EXC50_RS01005 WP_011206225.1
EXC50_RS01010 WP_044284794.1
EXC50_RS01015 WP_011206227.1
EXC50_RS01020 WP_011206228.1
EXC50_RS01025 WP_011206229.1
EXC50_RS01030 WP_011206230.1
EXC50_RS01035 WP_011206231.1
EXC50_RS01040 WP_011206232.1
EXC50_RS01055 WP_129640571.1
EXC50_RS03900 WP_011206235.1
EXC50_RS04010 WP_011206236.1
EXC50_RS01065 WP_011206238.1
EXC50_RS01070 WP_011206239.1
EXC50_RS01075 WP_011206240.1
EXC50_RS01080 WP_232039531.1
EXC50_RS01085 WP_011206242.1
EXC50_RS01090 WP_011206243.1
EXC50_RS01095 WP_044284796.1
EXC50_RS01100 WP_232039533.1
EXC50_RS01105 WP_011284169.1
EXC50_RS01110 WP_011206247.1
EXC50_RS01115 WP_044284797.1
EXC50_RS01120 WP_011206250.1
EXC50_RS01125 WP_011206251.1
EXC50_RS01130 WP_232039535.1
EXC50_RS01135 WP_011206253.1
EXC50_RS01140 WP_011206255.1
EXC50_RS01145 WP_011206256.1
EXC50_RS01150 WP_011206257.1
EXC50_RS01155 WP_011206258.1
EXC50_RS01160 WP_232039538.1
EXC50_RS04015 WP_011206260.1
EXC50_RS01165 WP_129640575.1
EXC50_RS01170 WP_129640577.1
EXC50_RS01175 WP_011206263.1
EXC50_RS01180 WP_011206264.1
EXC50_RS01185 WP_011206265.1
EXC50_RS01195 WP_011206266.1
EXC50_RS01200 WP_011284186.1
EXC50_RS01205 WP_011206268.1
EXC50_RS01210 WP_011206269.1
EXC50_RS01215 WP_088172540.1
EXC50_RS01220 WP_011206271.1
EXC50_RS01225 WP_232039539.1
EXC50_RS01230 WP_011206273.1
EXC50_RS01235 WP_044284798.1
EXC50_RS01240 WP_011206275.1
EXC50_RS01245 WP_011206277.1
EXC50_RS01250 WP_232039541.1
EXC50_RS01255 WP_011206279.1
EXC50_RS01260 WP_129640579.1
EXC50_RS01265 WP_129640581.1
EXC50_RS01270 WP_011206282.1
EXC50_RS01275 WP_011206283.1
EXC50_RS01285 WP_011206284.1
EXC50_RS01290 WP_081430781.1
EXC50_RS01295 WP_011206286.1
EXC50_RS01300 WP_011206287.1
EXC50_RS01305 WP_044284799.1
EXC50_RS01310 WP_011206289.1
EXC50_RS01315 WP_011206290.1
EXC50_RS01320 WP_011206291.1
EXC50_RS01325 WP_011206292.1
EXC50_RS01330 WP_011206293.1
EXC50_RS04020 WP_088172547.1
EXC50_RS04025 WP_232039545.1
EXC50_RS04030 WP_011206295.1
EXC50_RS01360 WP_011206296.1
EXC50_RS01365 WP_011206297.1
EXC50_RS01370 WP_011206298.1
EXC50_RS01375 WP_011206299.1
EXC50_RS01380 WP_011206300.1
EXC50_RS01385 WP_011206301.1
EXC50_RS01390 WP_011206302.1
EXC50_RS01395 WP_011206303.1
EXC50_RS01400 WP_011206304.1
EXC50_RS01405 WP_011206305.1
EXC50_RS01410 WP_011206306.1
EXC50_RS01415 WP_011206307.1
EXC50_RS01420 WP_011206308.1
EXC50_RS01425 WP_011206309.1
EXC50_RS01430 WP_011206310.1
EXC50_RS01435 WP_011206311.1
EXC50_RS01440 WP_011206312.1
EXC50_RS01445 WP_011206313.1
EXC50_RS03930 WP_011206314.1
EXC50_RS01455 WP_011206315.1
EXC50_RS01460 WP_011206316.1
EXC50_RS01465 WP_011206317.1
EXC50_RS01470 WP_129640583.1
EXC50_RS01475 WP_011206319.1
EXC50_RS01480 WP_011206320.1
EXC50_RS01485 WP_011206321.1
EXC50_RS01490 WP_011206322.1
EXC50_RS01495 WP_011206323.1
EXC50_RS01500 WP_011206324.1
EXC50_RS01505 WP_011290300.1
EXC50_RS01510 WP_011206326.1
EXC50_RS01515 WP_129640585.1
EXC50_RS01520 WP_129640587.1
EXC50_RS01525 WP_011206329.1
EXC50_RS01530 WP_011206330.1
EXC50_RS01535 WP_011206331.1
EXC50_RS04235 WP_011206332.1
EXC50_RS01545 WP_011206333.1
EXC50_RS01550 WP_011206334.1
EXC50_RS01555 WP_011206335.1
EXC50_RS01560 WP_011206336.1
EXC50_RS01565 WP_011206337.1
EXC50_RS01570 WP_011206338.1
EXC50_RS01575 WP_011206339.1
EXC50_RS01580 WP_011206340.1
EXC50_RS01585 WP_011206341.1
EXC50_RS01590 WP_011206342.1
EXC50_RS04045 WP_232039548.1
EXC50_RS01600 WP_011206344.1
EXC50_RS01605 WP_011206345.1
EXC50_RS01610 WP_011206346.1
EXC50_RS01615 WP_011206347.1
EXC50_RS01620 WP_011206348.1
EXC50_RS01625 WP_011206349.1
EXC50_RS01630 WP_011206350.1
EXC50_RS04050 WP_011206351.1
EXC50_RS01640 WP_228365393.1
EXC50_RS04240 WP_269076338.1
EXC50_RS01645 WP_011206354.1
EXC50_RS01650 WP_011206372.1
EXC50_RS01655 WP_011206373.1
EXC50_RS01660 WP_011206374.1
EXC50_RS01665 WP_011206375.1
