MHP168_RS00005 WP_014579516.1
MHP168_RS00010 WP_044277943.1
MHP168_RS00015 WP_014579518.1
MHP168_RS00020 WP_011205843.1
MHP168_RS00025 WP_011205844.1
MHP168_RS00030 WP_014579519.1
MHP168_RS00035 WP_011205846.1
MHP168_RS00040 WP_011205847.1
MHP168_RS00045 WP_014579521.1
MHP168_RS00050 WP_011205849.1
MHP168_RS00055 WP_014579522.1
MHP168_RS00060 WP_011283833.1
MHP168_RS00065 WP_044278048.1
MHP168_RS00070 WP_014579524.1
MHP168_RS00075 WP_228365399.1
MHP168_RS00080 WP_228365400.1
MHP168_RS00085 WP_014579527.1
MHP168_RS00095 WP_014579529.1
MHP168_RS03905 WP_228365401.1
MHP168_RS00100 WP_228365402.1
MHP168_RS00105 WP_014579530.1
MHP168_RS00110 WP_014579531.1
MHP168_RS00115 WP_014579532.1
MHP168_RS00120 WP_014579533.1
MHP168_RS00125 WP_014579534.1
MHP168_RS00130 WP_228365403.1
MHP168_RS00135 WP_014579535.1
MHP168_RS00140 WP_014579536.1
MHP168_RS00145 WP_044277949.1
MHP168_RS00150 WP_014579538.1
MHP168_RS00155 WP_011289957.1
MHP168_RS03910 WP_228365404.1
MHP168_RS00165 WP_014579542.1
MHP168_RS03690 WP_011205878.1
MHP168_RS00170 WP_228365405.1
MHP168_RS00175 WP_011205880.1
MHP168_RS00180 WP_014579544.1
MHP168_RS00185 WP_011205882.1
MHP168_RS00190 WP_011205883.1
MHP168_RS00195 WP_014579546.1
MHP168_RS00200 WP_014579547.1
MHP168_RS00205 WP_014579548.1
MHP168_RS00215 WP_014579550.1
MHP168_RS00220 WP_011283865.1
MHP168_RS00225 WP_044277952.1
MHP168_RS00230 WP_014579552.1
MHP168_RS00235 WP_014579553.1
MHP168_RS00240 WP_014579554.1
MHP168_RS00245 WP_014579555.1
MHP168_RS00250 WP_228365406.1
MHP168_RS00255 WP_011283871.1
MHP168_RS00260 WP_187286314.1
MHP168_RS00265 WP_044277955.1
MHP168_RS00270 WP_014579560.1
MHP168_RS00275 WP_011205899.1
MHP168_RS00280 WP_014579561.1
MHP168_RS00285 WP_014579562.1
MHP168_RS00290 WP_014579563.1
MHP168_RS00295 WP_011205903.1
MHP168_RS00300 WP_044277956.1
MHP168_RS00305 WP_014579565.1
MHP168_RS00310 WP_014579567.1
MHP168_RS00315 WP_014579568.1
MHP168_RS00320 WP_014579569.1
MHP168_RS00325 WP_011289986.1
MHP168_RS00330 WP_011289987.1
MHP168_RS00335 WP_011283885.1
MHP168_RS00340 WP_014579571.1
MHP168_RS00345 WP_014579572.1
MHP168_RS00350 WP_011283887.1
MHP168_RS00355 WP_014579573.1
MHP168_RS00360 WP_014579574.1
MHP168_RS00365 WP_011205921.1
MHP168_RS00370 WP_011205922.1
MHP168_RS00375 WP_044277957.1
MHP168_RS00380 WP_011283891.1
MHP168_RS00385 WP_014579576.1
MHP168_RS00390 WP_014579577.1
MHP168_RS00395 WP_011283894.1
MHP168_RS00400 WP_014579578.1
MHP168_RS00405 WP_011206135.1
MHP168_RS00410 WP_014579579.1
MHP168_RS03850 WP_187286315.1
MHP168_RS00420 WP_014579581.1
MHP168_RS00470 WP_044277958.1
MHP168_RS00475 WP_044277958.1
MHP168_RS00480 WP_014579584.1
MHP168_RS00485 WP_044277959.1
MHP168_RS00490 WP_014579585.1
MHP168_RS00495 WP_014579586.1
MHP168_RS00500 WP_014579587.1
MHP168_RS00505 WP_014579588.1
MHP168_RS00510 WP_014579589.1
MHP168_RS00515 WP_228365407.1
MHP168_RS00520 WP_014579591.1
MHP168_RS00530 WP_011206120.1
MHP168_RS00535 WP_014579592.1
MHP168_RS00540 WP_014579593.1
MHP168_RS00545 WP_014579594.1
MHP168_RS00550 WP_014579595.1
MHP168_RS00555 WP_014579596.1
MHP168_RS00560 WP_044277961.1
MHP168_RS00565 WP_014579598.1
MHP168_RS00570 WP_014579598.1
MHP168_RS00575 WP_014579599.1
MHP168_RS00580 WP_044277963.1
MHP168_RS00585 WP_014579601.1
MHP168_RS00590 WP_014579602.1
MHP168_RS00595 WP_014579603.1
MHP168_RS00600 WP_014579604.1
MHP168_RS00605 WP_014579605.1
MHP168_RS00610 WP_011206028.1
MHP168_RS04100 WP_014579607.1
MHP168_RS00620 WP_014579608.1
MHP168_RS00625 WP_014579609.1
MHP168_RS00630 WP_014579610.1
MHP168_RS00635 WP_014579611.1
MHP168_RS00640 WP_011206035.1
MHP168_RS00645 WP_011290062.1
MHP168_RS00650 WP_041361589.1
MHP168_RS00655 WP_011206038.1
MHP168_RS00660 WP_011206039.1
MHP168_RS00665 WP_011206040.1
MHP168_RS00670 WP_020835591.1
MHP168_RS00675 WP_014579615.1
MHP168_RS00680 WP_011206043.1
MHP168_RS00685 WP_011206044.1
MHP168_RS00690 WP_014579616.1
MHP168_RS00695 WP_014579617.1
MHP168_RS00700 WP_011206047.1
MHP168_RS03705 WP_011283963.1
MHP168_RS00705 WP_014579618.1
MHP168_RS00710 WP_011206049.1
MHP168_RS00715 WP_011206050.1
MHP168_RS00720 WP_044277964.1
MHP168_RS00725 WP_081450695.1
MHP168_RS00730 WP_014579621.1
MHP168_RS00735 WP_014579622.1
MHP168_RS00740 WP_014579623.1
MHP168_RS00745 WP_011283957.1
MHP168_RS00750 WP_011206056.1
MHP168_RS00755 WP_014579624.1
MHP168_RS00760 WP_014579624.1
MHP168_RS00770 WP_014579626.1
MHP168_RS00775 WP_014579627.1
MHP168_RS00780 WP_014579628.1
MHP168_RS00785 WP_011206062.1
MHP168_RS00790 WP_014579629.1
MHP168_RS00795 WP_011206064.1
MHP168_RS00800 WP_044277967.1
MHP168_RS00805 WP_011206066.1
MHP168_RS00810 WP_011206067.1
MHP168_RS00815 WP_014579631.1
MHP168_RS03855 WP_011206069.1
MHP168_RS00825 WP_014579632.1
MHP168_RS00830 WP_014579633.1
MHP168_RS00835 WP_011206072.1
MHP168_RS00840 WP_014579634.1
MHP168_RS00845 WP_044277969.1
MHP168_RS00855 WP_225973015.1
MHP168_RS00860 WP_011206076.1
MHP168_RS00865 WP_014579637.1
MHP168_RS00870 WP_014579638.1
MHP168_RS00875 WP_014579639.1
MHP168_RS00880 WP_044277971.1
MHP168_RS00885 WP_228365410.1
MHP168_RS00895 WP_014579642.1
MHP168_RS00900 WP_014579643.1
MHP168_RS00905 WP_014579644.1
MHP168_RS00910 WP_011206085.1
MHP168_RS00915 WP_011206086.1
MHP168_RS00920 WP_014579645.1
MHP168_RS00925 WP_014579646.1
MHP168_RS00930 WP_011206089.1
MHP168_RS00935 WP_014579647.1
MHP168_RS00940 WP_014579648.1
MHP168_RS00945 WP_014579649.1
MHP168_RS00950 WP_011206093.1
MHP168_RS00955 WP_011206094.1
MHP168_RS00960 WP_011283924.1
MHP168_RS00965 WP_011283923.1
MHP168_RS00970 WP_011206097.1
MHP168_RS00975 WP_228365411.1
MHP168_RS04040 WP_258556638.1
MHP168_RS00980 WP_014579652.1
MHP168_RS00985 WP_014579653.1
MHP168_RS00995 WP_011206101.1
MHP168_RS01000 WP_011206102.1
MHP168_RS03810 WP_011206103.1
MHP168_RS01010 WP_014579654.1
