Orthogroup	MFC_MF30_genes	MHP_MHP682_genes
OG0000000	DR084_RS02900	DR097_RS02690
OG0000001	DR084_RS03095	DR097_RS00335, DR097_RS04145, DR097_RS04155
OG0000002	DR084_RS03505	DR097_RS02700, DR097_RS02695
OG0000002	DR084_RS03620	DR097_RS04675
OG0000011	DR084_RS03145	DR097_RS00820
OG0000011	DR084_RS01055	DR097_RS00825
OG0000013	DR084_RS00890, DR084_RS00885	DR097_RS02175
OG0000013	DR084_RS02985	DR097_RS03895
OG0000014	DR084_RS03465	DR097_RS03860, DR097_RS03370
OG0000016	DR084_RS00585	DR097_RS01165
OG0000017	DR084_RS02415	DR097_RS00285
OG0000017	DR084_RS00575	DR097_RS01175
OG0000018	DR084_RS03555	DR097_RS04695
OG0000019	DR084_RS03440	DR097_RS03615
OG0000020	DR084_RS02530	DR097_RS04830
OG0000022	DR084_RS03625	DR097_RS04680
OG0000024	DR084_RS00640	DR097_RS01795, DR097_RS00345
OG0000025	DR084_RS02490	DR097_RS01845
OG0000026	DR084_RS01955	DR097_RS01665, DR097_RS01865
OG0000027	DR084_RS03655	DR097_RS04560
OG0000028	DR084_RS00905, DR084_RS00910	DR097_RS04690
OG0000029	DR084_RS00420	DR097_RS02335
OG0000030	DR084_RS03660	DR097_RS04775, DR097_RS04565
OG0000031	DR084_RS01000	DR097_RS02075, DR097_RS03120
OG0000039	DR084_RS00480	DR097_RS04950
OG0000040	DR084_RS02240, DR084_RS00690	DR097_RS03560
OG0000042	DR084_RS00475, DR084_RS00620	DR097_RS01265
OG0000043	DR084_RS01025	DR097_RS00855
OG0000045	DR084_RS00485	DR097_RS03525
OG0000048	DR084_RS02740	DR097_RS02830
OG0000049	DR084_RS02050	DR097_RS01470
OG0000050	DR084_RS00965	DR097_RS01960
OG0000051	DR084_RS01670	DR097_RS01545
OG0000052	DR084_RS02375	DR097_RS02480
OG0000053	DR084_RS03670	DR097_RS04845
OG0000054	DR084_RS00940	DR097_RS01935
OG0000055	DR084_RS03600, DR084_RS03710	DR097_RS00305
OG0000056	DR084_RS02515	DR097_RS00545
OG0000057	DR084_RS00500	DR097_RS01250
OG0000062	DR084_RS02265	DR097_RS02590
