Orthogroup	MFC_MF30_genes	MHP_1257_genes
OG0000000	DR084_RS02900	ABKJ22_RS02210
OG0000000	DR084_RS02935	ABKJ22_RS02265, ABKJ22_RS02260, ABKJ22_RS02255
OG0000000	DR084_RS02480	ABKJ22_RS01715
OG0000001	DR084_RS03095	ABKJ22_RS01295, ABKJ22_RS01300, ABKJ22_RS02690, ABKJ22_RS02685
OG0000002	DR084_RS03505	ABKJ22_RS02205
OG0000002	DR084_RS03620	ABKJ22_RS01720
OG0000004	DR084_RS02890	ABKJ22_RS02940
OG0000011	DR084_RS03145	ABKJ22_RS01925
OG0000011	DR084_RS01055	ABKJ22_RS01920
OG0000013	DR084_RS00890, DR084_RS00885	ABKJ22_RS02355
OG0000013	DR084_RS02985	ABKJ22_RS00180
OG0000014	DR084_RS03465	ABKJ22_RS00595, ABKJ22_RS01105, ABKJ22_RS01095
OG0000016	DR084_RS00585	ABKJ22_RS02785
OG0000017	DR084_RS02415	ABKJ22_RS00150
OG0000017	DR084_RS00575	ABKJ22_RS02795
OG0000019	DR084_RS03440	ABKJ22_RS02945
OG0000020	DR084_RS02530	ABKJ22_RS03440
OG0000022	DR084_RS03625	ABKJ22_RS01710
OG0000024	DR084_RS00640	ABKJ22_RS02680, ABKJ22_RS01290
OG0000025	DR084_RS02490	ABKJ22_RS01705
OG0000026	DR084_RS01955	ABKJ22_RS01380, ABKJ22_RS01685
OG0000027	DR084_RS03655	ABKJ22_RS03240
OG0000029	DR084_RS00420	ABKJ22_RS00600, ABKJ22_RS01090
OG0000030	DR084_RS03660	ABKJ22_RS03215, ABKJ22_RS03235
OG0000031	DR084_RS01000	ABKJ22_RS01605
OG0000039	DR084_RS00480	ABKJ22_RS01615
OG0000040	DR084_RS02240, DR084_RS00690	ABKJ22_RS03165
OG0000042	DR084_RS00475, DR084_RS00620	ABKJ22_RS02880
OG0000043	DR084_RS01025	ABKJ22_RS01890
OG0000045	DR084_RS00485	ABKJ22_RS01620
OG0000048	DR084_RS02740	ABKJ22_RS02075
OG0000049	DR084_RS02050	ABKJ22_RS02955
OG0000050	DR084_RS00965	ABKJ22_RS02395
OG0000051	DR084_RS01670	ABKJ22_RS02600
OG0000052	DR084_RS02375	ABKJ22_RS00075
OG0000053	DR084_RS03670	ABKJ22_RS01465
OG0000054	DR084_RS00940	ABKJ22_RS02420
OG0000055	DR084_RS03600, DR084_RS03710	ABKJ22_RS00130
OG0000056	DR084_RS02515	ABKJ22_RS03415
OG0000057	DR084_RS00500	ABKJ22_RS02865
OG0000062	DR084_RS02265	ABKJ22_RS03470
OG0000063	DR084_RS03590	ABKJ22_RS03465
OG0000064	DR084_RS02250	ABKJ22_RS03455
OG0000065	DR084_RS01815	ABKJ22_RS02160
OG0000066	DR084_RS01945	ABKJ22_RS01370
OG0000068	DR084_RS00455	ABKJ22_RS01055
OG0000069	DR084_RS00610	ABKJ22_RS02760
OG0000070	DR084_RS00920	ABKJ22_RS02425
OG0000071	DR084_RS01120, DR084_RS02230	ABKJ22_RS03155
OG0000072	DR084_RS03585	ABKJ22_RS03160
OG0000073	DR084_RS01245	ABKJ22_RS00995
OG0000074	DR084_RS03540	ABKJ22_RS00800
OG0000075	DR084_RS00175	ABKJ22_RS00335
OG0000076	DR084_RS00190	ABKJ22_RS00350
OG0000077	DR084_RS00275	ABKJ22_RS00445
OG0000078	DR084_RS00725	ABKJ22_RS01675
OG0000079	DR084_RS00835	ABKJ22_RS02505
OG0000080	DR084_RS03130	ABKJ22_RS02550
OG0000081	DR084_RS00170	ABKJ22_RS00330
OG0000082	DR084_RS00895	ABKJ22_RS02350
OG0000083	DR084_RS02845	ABKJ22_RS01995
OG0000084	DR084_RS02690	ABKJ22_RS02025
OG0000085	DR084_RS02695	ABKJ22_RS02030
OG0000086	DR084_RS03665	ABKJ22_RS02040
OG0000087	DR084_RS02720	ABKJ22_RS02055
OG0000088	DR084_RS02725	ABKJ22_RS02060
OG0000089	DR084_RS02735	ABKJ22_RS02070
OG0000090	DR084_RS02370	ABKJ22_RS00070
OG0000091	DR084_RS02355	ABKJ22_RS00055
OG0000092	DR084_RS02340	ABKJ22_RS00040
OG0000093	DR084_RS02335	ABKJ22_RS00035
OG0000094	DR084_RS02330	ABKJ22_RS00030
OG0000095	DR084_RS02305	ABKJ22_RS00005
OG0000096	DR084_RS02300	ABKJ22_RS03505
OG0000097	DR084_RS02280	ABKJ22_RS03485
OG0000098	DR084_RS02270	ABKJ22_RS03475
OG0000099	DR084_RS02520	ABKJ22_RS03425
OG0000100	DR084_RS02510	ABKJ22_RS03405
OG0000101	DR084_RS02505	ABKJ22_RS03400
OG0000102	DR084_RS02495	ABKJ22_RS01700
OG0000103	DR084_RS01780	ABKJ22_RS02195
OG0000104	DR084_RS01785	ABKJ22_RS02190
