Orthogroup	MFC_MF30_genes	MHP_153B_genes
OG0000000	DR084_RS02900	NB625_RS02335
OG0000000	DR084_RS02935	NB625_RS02230, NB625_RS02220, NB625_RS02215, NB625_RS02225, NB625_RS02210
OG0000000	DR084_RS02480	NB625_RS01725
OG0000001	DR084_RS03095	NB625_RS01285, NB625_RS01280, NB625_RS02955, NB625_RS02910
OG0000002	DR084_RS03505	NB625_RS02350, NB625_RS02345, NB625_RS02340
OG0000002	DR084_RS03620	NB625_RS01730
OG0000004	DR084_RS02890	NB625_RS03190
OG0000011	DR084_RS03145	NB625_RS01950
OG0000013	DR084_RS00890, DR084_RS00885	NB625_RS02545
OG0000013	DR084_RS02985	NB625_RS00190
OG0000014	DR084_RS03465	NB625_RS01095, NB625_RS01085
OG0000016	DR084_RS00585	NB625_RS02995
OG0000017	DR084_RS02415	NB625_RS00160
OG0000017	DR084_RS00575	NB625_RS03005
OG0000018	DR084_RS03555	NB625_RS02090
OG0000019	DR084_RS03440	NB625_RS03185, NB625_RS03175, NB625_RS03195
OG0000020	DR084_RS02530	NB625_RS03695
OG0000022	DR084_RS03625	NB625_RS01720
OG0000023	DR084_RS01910	NB625_RS01320
OG0000024	DR084_RS00640	NB625_RS02905, NB625_RS01275
OG0000025	DR084_RS02490	NB625_RS01715
OG0000026	DR084_RS01955	NB625_RS01365, NB625_RS01695
OG0000029	DR084_RS00420	NB625_RS00600, NB625_RS01080
OG0000030	DR084_RS03660	NB625_RS03495
OG0000031	DR084_RS01000	NB625_RS02145, NB625_RS01605
OG0000033	DR084_RS00915	NB625_RS02560
OG0000039	DR084_RS00480	NB625_RS01615
OG0000040	DR084_RS02240, DR084_RS00690	NB625_RS03440
OG0000042	DR084_RS00475, DR084_RS00620	NB625_RS03095
OG0000043	DR084_RS01025	NB625_RS01915
OG0000045	DR084_RS00485	NB625_RS01620
OG0000048	DR084_RS02740	NB625_RS02195
OG0000049	DR084_RS02050	NB625_RS03205
OG0000050	DR084_RS00965	NB625_RS02595
OG0000051	DR084_RS01670	NB625_RS02810
OG0000052	DR084_RS02375	NB625_RS00075
OG0000053	DR084_RS03670	NB625_RS01450
OG0000054	DR084_RS00940	NB625_RS02620
OG0000055	DR084_RS03600, DR084_RS03710	NB625_RS00135
OG0000056	DR084_RS02515	NB625_RS03680
OG0000057	DR084_RS00500	NB625_RS03080
OG0000062	DR084_RS02265	NB625_RS03725
OG0000063	DR084_RS03590	NB625_RS03720
OG0000064	DR084_RS02250	NB625_RS03710
OG0000065	DR084_RS01815	NB625_RS02395
OG0000066	DR084_RS01945	NB625_RS01355
OG0000068	DR084_RS00455	NB625_RS01040
OG0000069	DR084_RS00610	NB625_RS02975
OG0000070	DR084_RS00920	NB625_RS02625
OG0000071	DR084_RS01120, DR084_RS02230	NB625_RS03430
OG0000072	DR084_RS03585	NB625_RS03435
OG0000073	DR084_RS01245	NB625_RS00980
OG0000075	DR084_RS00175	NB625_RS00345
OG0000077	DR084_RS00275	NB625_RS00445
OG0000079	DR084_RS00835	NB625_RS02710
OG0000080	DR084_RS03130	NB625_RS02760
OG0000081	DR084_RS00170	NB625_RS00340
OG0000082	DR084_RS00895	NB625_RS02540
OG0000083	DR084_RS02845	NB625_RS02020
OG0000084	DR084_RS02690	NB625_RS02050
OG0000085	DR084_RS02695	NB625_RS02055
OG0000086	DR084_RS03665	NB625_RS02160
OG0000087	DR084_RS02720	NB625_RS02175
OG0000088	DR084_RS02725	NB625_RS02180
OG0000089	DR084_RS02735	NB625_RS02190
OG0000090	DR084_RS02370	NB625_RS00070
OG0000091	DR084_RS02355	NB625_RS00055
OG0000092	DR084_RS02340	NB625_RS00040
OG0000093	DR084_RS02335	NB625_RS00035
OG0000094	DR084_RS02330	NB625_RS00030
OG0000095	DR084_RS02305	NB625_RS00005
OG0000096	DR084_RS02300	NB625_RS03760
OG0000097	DR084_RS02280	NB625_RS03740
OG0000098	DR084_RS02270	NB625_RS03730
OG0000099	DR084_RS02520	NB625_RS03685
OG0000100	DR084_RS02510	NB625_RS03675
OG0000101	DR084_RS02505	NB625_RS03665
OG0000102	DR084_RS02495	NB625_RS01710
OG0000103	DR084_RS01780	NB625_RS02360
OG0000104	DR084_RS01785	NB625_RS02365
OG0000105	DR084_RS01800	NB625_RS02380
OG0000106	DR084_RS01810	NB625_RS02390
OG0000107	DR084_RS01820	NB625_RS02400
