Orthogroup	MHP_131B_genes	MHP_MHP691_genes
OG0000000	NB627_RS02265	DR087_RS03480, DR087_RS03475
OG0000000	NB627_RS01860	DR087_RS03570
OG0000001	NB627_RS01405	DR087_RS03325
OG0000001	NB627_RS02935	DR087_RS03255
OG0000002	NB627_RS02365	DR087_RS03810
OG0000002	NB627_RS02290	DR087_RS04740
OG0000002	NB627_RS01865	DR087_RS04755
OG0000003	NB627_RS02330	DR087_RS04220
OG0000004	NB627_RS03390	DR087_RS00850
OG0000004	NB627_RS03405	DR087_RS00840
OG0000005	NB627_RS00100	DR087_RS00530
OG0000005	NB627_RS00110	DR087_RS00540
OG0000005	NB627_RS00125	DR087_RS04465
OG0000007	NB627_RS02335	DR087_RS04205, DR087_RS04210
OG0000007	NB627_RS02345	DR087_RS03535
OG0000007	NB627_RS02325	DR087_RS03530
OG0000008	NB627_RS02695	DR087_RS04355
OG0000009	NB627_RS00085	DR087_RS00515
OG0000010	NB627_RS01985	DR087_RS01605
OG0000011	NB627_RS02090	DR087_RS01515
OG0000012	NB627_RS02000	DR087_RS03740
OG0000013	NB627_RS02570	DR087_RS01680
OG0000013	NB627_RS00185	DR087_RS04185
OG0000014	NB627_RS00705	DR087_RS03505
OG0000014	NB627_RS00715	DR087_RS03520
OG0000015	NB627_RS00525	DR087_RS00350
OG0000016	NB627_RS03030	DR087_RS01400
OG0000016	NB627_RS00170	DR087_RS02395
OG0000017	NB627_RS00155	DR087_RS02410
OG0000017	NB627_RS03040	DR087_RS01410
OG0000018	NB627_RS00490	DR087_RS04435
OG0000020	NB627_RS03755	DR087_RS04440
OG0000020	NB627_RS03760	DR087_RS04445
OG0000021	NB627_RS00620	DR087_RS03470
OG0000022	NB627_RS01790	DR087_RS02045
OG0000022	NB627_RS01845	DR087_RS04630
OG0000023	NB627_RS00500	DR087_RS00330
OG0000024	NB627_RS02930	DR087_RS03250
OG0000025	NB627_RS01795	DR087_RS04625
OG0000025	NB627_RS01840	DR087_RS02095
OG0000026	NB627_RS01490	DR087_RS01165
OG0000026	NB627_RS01820	DR087_RS02075
OG0000027	NB627_RS03540	DR087_RS04635
OG0000027	NB627_RS03555	DR087_RS04475
OG0000028	NB627_RS02600, NB627_RS02595	DR087_RS04675
OG0000029	NB627_RS01200	DR087_RS02775
OG0000029	NB627_RS00720	DR087_RS03175
OG0000030	NB627_RS03530	DR087_RS04640
OG0000030	NB627_RS03550	DR087_RS04470
OG0000031	NB627_RS01730	DR087_RS03210
OG0000032	NB627_RS01700	DR087_RS03235
OG0000032	NB627_RS03545	DR087_RS00575
OG0000033	NB627_RS02575, NB627_RS02590, NB627_RS02580	DR087_RS01675
OG0000035	NB627_RS03400	DR087_RS00855
OG0000035	NB627_RS03385	DR087_RS00865
OG0000036	NB627_RS00115, NB627_RS00130	DR087_RS00550
OG0000037	NB627_RS01705	DR087_RS04725
OG0000039	NB627_RS01740	DR087_RS03190, DR087_RS03195
OG0000040	NB627_RS03475	DR087_RS02165
OG0000041	NB627_RS00780	DR087_RS03625
OG0000042	NB627_RS03125	DR087_RS03360
OG0000043	NB627_RS02055	DR087_RS01545
OG0000044	NB627_RS01805	DR087_RS04800
OG0000045	NB627_RS01745	DR087_RS03185
OG0000046	NB627_RS03480	DR087_RS04655
OG0000047	NB627_RS00510	DR087_RS00340
OG0000048	NB627_RS02245	DR087_RS00140
OG0000049	NB627_RS03240	DR087_RS01000
OG0000050	NB627_RS02630	DR087_RS02450
OG0000051	NB627_RS02845	DR087_RS01275
OG0000052	NB627_RS00075	DR087_RS00505
OG0000053	NB627_RS01580	DR087_RS04540
OG0000054	NB627_RS02655	DR087_RS02475
OG0000055	NB627_RS00135	DR087_RS00555
OG0000056	NB627_RS03735	DR087_RS00765
OG0000057	NB627_RS03110	DR087_RS01485
OG0000058	NB627_RS00435	DR087_RS00275
OG0000059	NB627_RS00465	DR087_RS03825
OG0000060	NB627_RS00080	DR087_RS00510
OG0000061	NB627_RS01995	DR087_RS01595
OG0000062	NB627_RS03790	DR087_RS00395
OG0000063	NB627_RS03785	DR087_RS04450
OG0000064	NB627_RS03775	DR087_RS00380
OG0000065	NB627_RS02410	DR087_RS00215
OG0000066	NB627_RS01480, NB627_RS01475	DR087_RS01175
OG0000067	NB627_RS00635	DR087_RS03450
OG0000068	NB627_RS00755	DR087_RS03140
OG0000069	NB627_RS03005	DR087_RS01375
OG0000070	NB627_RS02660	DR087_RS02480
OG0000071	NB627_RS03465	DR087_RS00780
OG0000072	NB627_RS03470	DR087_RS02175
OG0000073	NB627_RS00820	DR087_RS02200
OG0000074	NB627_RS01020	DR087_RS04685
OG0000075	NB627_RS00350	DR087_RS01860
OG0000076	NB627_RS00370	DR087_RS01875
OG0000077	NB627_RS00550	DR087_RS03060
OG0000078	NB627_RS01810	DR087_RS02065
OG0000079	NB627_RS02745	DR087_RS02980
OG0000080	NB627_RS02795	DR087_RS04005
OG0000081	NB627_RS00340	DR087_RS01855
OG0000083	NB627_RS02160	DR087_RS00065
OG0000084	NB627_RS02190	DR087_RS00090
OG0000085	NB627_RS02195	DR087_RS00095
OG0000086	NB627_RS02210	DR087_RS00105
OG0000087	NB627_RS02225	DR087_RS00120
OG0000088	NB627_RS02230	DR087_RS00125
OG0000089	NB627_RS02240	DR087_RS00135
OG0000090	NB627_RS00070	DR087_RS00500
OG0000091	NB627_RS00055	DR087_RS00485
OG0000092	NB627_RS00050	DR087_RS00470
OG0000093	NB627_RS00035	DR087_RS00465
OG0000094	NB627_RS00030	DR087_RS00460
OG0000095	NB627_RS00005	DR087_RS00435
OG0000096	NB627_RS03825	DR087_RS00430
OG0000097	NB627_RS03805	DR087_RS00410
OG0000098	NB627_RS03795	DR087_RS00400
OG0000099	NB627_RS03745	DR087_RS00775
OG0000100	NB627_RS03725	DR087_RS00750
OG0000101	NB627_RS03720	DR087_RS00745
OG0000102	NB627_RS01835	DR087_RS02090
OG0000103	NB627_RS02375	DR087_RS00180
OG0000104	NB627_RS02380	DR087_RS00185
OG0000105	NB627_RS02400	DR087_RS00200
OG0000106	NB627_RS02405	DR087_RS00210
OG0000107	NB627_RS02415	DR087_RS00220
OG0000108	NB627_RS02420	DR087_RS00225
OG0000109	NB627_RS02425	DR087_RS00230
OG0000110	NB627_RS02555	DR087_RS01695
OG0000111	NB627_RS02550	DR087_RS01700
OG0000112	NB627_RS02540	DR087_RS01710
OG0000113	NB627_RS02515	DR087_RS04610
OG0000114	NB627_RS02510	DR087_RS01740
OG0000115	NB627_RS02495	DR087_RS01750
OG0000116	NB627_RS01420	DR087_RS03310
OG0000117	NB627_RS01425	DR087_RS03305
OG0000118	NB627_RS01460	DR087_RS01190
OG0000119	NB627_RS01465	DR087_RS01185
OG0000120	NB627_RS01485	DR087_RS01170
OG0000121	NB627_RS01515	DR087_RS01145
OG0000122	NB627_RS01520	DR087_RS01140
OG0000123	NB627_RS01540	DR087_RS01120
OG0000124	NB627_RS01545	DR087_RS01115
OG0000125	NB627_RS01550	DR087_RS01110
OG0000126	NB627_RS01560	DR087_RS01100
OG0000127	NB627_RS01570	DR087_RS01090
OG0000128	NB627_RS01585	DR087_RS01075
OG0000129	NB627_RS01590	DR087_RS01070
OG0000130	NB627_RS01600	DR087_RS01060
OG0000131	NB627_RS01630	DR087_RS04535
OG0000132	NB627_RS01645	DR087_RS04530
OG0000133	NB627_RS00640	DR087_RS02865
OG0000134	NB627_RS00645	DR087_RS02870
OG0000135	NB627_RS00660	DR087_RS02885
OG0000136	NB627_RS00665	DR087_RS02890
OG0000137	NB627_RS00695	DR087_RS02930
OG0000138	NB627_RS00730	DR087_RS03165
OG0000139	NB627_RS00760	DR087_RS03135
OG0000140	NB627_RS00765	DR087_RS03130
OG0000141	NB627_RS03120	DR087_RS01495
