Orthogroup	MHP_131B_genes	MFC_MF22_genes
OG0000000	NB627_RS02355	DR094_RS03000
OG0000000	NB627_RS02265	DR094_RS02820
OG0000000	NB627_RS01850	DR094_RS01215
OG0000001	NB627_RS01400, NB627_RS01405, NB627_RS02985, NB627_RS02940, NB627_RS02935	DR094_RS00325, DR094_RS00330
OG0000002	NB627_RS02360	DR094_RS02550
OG0000002	NB627_RS02290	DR094_RS03815
OG0000002	NB627_RS01865	DR094_RS03610
OG0000007	NB627_RS02345	DR094_RS02850
OG0000007	NB627_RS02325	DR094_RS02845
OG0000011	NB627_RS02090	DR094_RS02895
OG0000013	NB627_RS02570	DR094_RS00075, DR094_RS00080
OG0000013	NB627_RS00185	DR094_RS03050
OG0000014	NB627_RS00705, NB627_RS01205, NB627_RS00715	DR094_RS03555
OG0000016	NB627_RS03030	DR094_RS00380
OG0000017	NB627_RS00155	DR094_RS00975
OG0000017	NB627_RS03040	DR094_RS00390
OG0000018	NB627_RS00490	DR094_RS03735
OG0000020	NB627_RS03755	DR094_RS03600
OG0000020	NB627_RS03760	DR094_RS03595
OG0000022	NB627_RS01845	DR094_RS03605
OG0000023	NB627_RS01440, NB627_RS00500	DR094_RS02170
OG0000024	NB627_RS02930, NB627_RS01395	DR094_RS00320
OG0000025	NB627_RS01840	DR094_RS01205
OG0000026	NB627_RS01490, NB627_RS01820	DR094_RS02215
OG0000027	NB627_RS03540	DR094_RS01395
OG0000027	NB627_RS03555	DR094_RS03650
OG0000029	NB627_RS01200, NB627_RS00720	DR094_RS00545
OG0000030	NB627_RS03530, NB627_RS03550	DR094_RS03655
OG0000031	NB627_RS00445, NB627_RS01730	DR094_RS02590
OG0000032	NB627_RS01700, NB627_RS03545	DR094_RS01390
OG0000039	NB627_RS01740	DR094_RS00485
OG0000040	NB627_RS03475	DR094_RS02025, DR094_RS00270
OG0000042	NB627_RS03125	DR094_RS00490, DR094_RS00345
OG0000043	NB627_RS02055	DR094_RS02615
OG0000045	NB627_RS01745	DR094_RS03140, DR094_RS03135
OG0000048	NB627_RS02245	DR094_RS02695, DR094_RS02985
OG0000049	NB627_RS03240	DR094_RS03355
OG0000050	NB627_RS02630	DR094_RS03765
OG0000051	NB627_RS02845	DR094_RS01715
OG0000052	NB627_RS00075	DR094_RS01015
OG0000053	NB627_RS01580	DR094_RS03805
OG0000054	NB627_RS02655	DR094_RS00030
OG0000055	NB627_RS00135	DR094_RS03580, DR094_RS03850
OG0000056	NB627_RS03735	DR094_RS01180
OG0000057	NB627_RS03110	DR094_RS00465
OG0000062	NB627_RS03790	DR094_RS01125
OG0000063	NB627_RS03785	DR094_RS03590
OG0000064	NB627_RS03775	DR094_RS01140
OG0000065	NB627_RS02410	DR094_RS02075
OG0000066	NB627_RS01480, NB627_RS01475	DR094_RS02205
OG0000068	NB627_RS00755	DR094_RS00510
OG0000069	NB627_RS03005	DR094_RS00355
OG0000070	NB627_RS02660	DR094_RS00050
OG0000071	NB627_RS03465	DR094_RS02015
OG0000072	NB627_RS03470	DR094_RS03725
OG0000073	NB627_RS00820	DR094_RS02425
