Orthogroup	MHP_131B_genes	MHP_TB1_genes
OG0000000	NB627_RS02355	B5M19_RS04470
OG0000000	NB627_RS02480	B5M19_RS03770
OG0000000	NB627_RS01850	B5M19_RS02095
OG0000000	NB627_RS01860	B5M19_RS02100
OG0000001	NB627_RS01400, NB627_RS01405	B5M19_RS02595
OG0000001	NB627_RS02935	B5M19_RS02505, B5M19_RS02510
OG0000002	NB627_RS02365	B5M19_RS04465
OG0000002	NB627_RS02360	B5M19_RS04625
OG0000002	NB627_RS01865	B5M19_RS02105
OG0000003	NB627_RS01980	B5M19_RS03885
OG0000004	NB627_RS03405	B5M19_RS04240
OG0000005	NB627_RS00100	B5M19_RS00020
OG0000005	NB627_RS00110	B5M19_RS00030
OG0000005	NB627_RS00125	B5M19_RS04010, B5M19_RS04005
OG0000006	NB627_RS02690	B5M19_RS03630
OG0000006	NB627_RS02520	B5M19_RS02695
OG0000008	NB627_RS02475	B5M19_RS03790
OG0000008	NB627_RS01765	B5M19_RS03340
OG0000008	NB627_RS02695	B5M19_RS04540
OG0000009	NB627_RS00775	B5M19_RS04475
OG0000009	NB627_RS00790	B5M19_RS04265
OG0000010	NB627_RS01985	B5M19_RS00670
OG0000011	NB627_RS02090	B5M19_RS00765
OG0000013	NB627_RS02570	B5M19_RS02640
OG0000013	NB627_RS00185	B5M19_RS00100
OG0000014	NB627_RS01205	B5M19_RS03715
OG0000014	NB627_RS00715	B5M19_RS03505
OG0000015	NB627_RS00525	B5M19_RS03260
OG0000016	NB627_RS03030	B5M19_RS01425
OG0000016	NB627_RS00170	B5M19_RS00080
OG0000017	NB627_RS00155	B5M19_RS00065
OG0000017	NB627_RS03040	B5M19_RS01415
OG0000018	NB627_RS00490	B5M19_RS04445
OG0000020	NB627_RS03755	B5M19_RS04305
OG0000020	NB627_RS03760	B5M19_RS02010
OG0000021	NB627_RS00620, NB627_RS00615	B5M19_RS03625
OG0000022	NB627_RS01790	B5M19_RS02040
OG0000022	NB627_RS01845	B5M19_RS02090
OG0000024	NB627_RS02930	B5M19_RS02500
OG0000024	NB627_RS01395	B5M19_RS04395, B5M19_RS04390
OG0000025	NB627_RS01795	B5M19_RS04315
OG0000025	NB627_RS01840	B5M19_RS02085
OG0000026	NB627_RS01490	B5M19_RS01210
OG0000026	NB627_RS01820	B5M19_RS02065
OG0000027	NB627_RS03540	B5M19_RS00565
OG0000027	NB627_RS03555	B5M19_RS00550
OG0000029	NB627_RS01200	B5M19_RS03200
OG0000029	NB627_RS00720	B5M19_RS04520, B5M19_RS03510
OG0000030	NB627_RS03530	B5M19_RS00570
OG0000030	NB627_RS03550	B5M19_RS00555
OG0000031	NB627_RS00445	B5M19_RS04360
OG0000031	NB627_RS01730	B5M19_RS03305
OG0000032	NB627_RS03545	B5M19_RS00560
OG0000035	NB627_RS03400	B5M19_RS01610
OG0000035	NB627_RS03385	B5M19_RS04235
OG0000036	NB627_RS00115, NB627_RS00130	B5M19_RS00040
OG0000037	NB627_RS01705	B5M19_RS04485, B5M19_RS04490
OG0000039	NB627_RS01740	B5M19_RS03320
OG0000040	NB627_RS03475	B5M19_RS02985
OG0000041	NB627_RS00780	B5M19_RS03050
OG0000041	NB627_RS01300	B5M19_RS04355
OG0000042	NB627_RS03125	B5M19_RS01320
OG0000043	NB627_RS02055	B5M19_RS00735
OG0000043	NB627_RS02055	B5M19_RS02270
OG0000044	NB627_RS01925	B5M19_RS00620
OG0000045	NB627_RS01745	B5M19_RS03325
OG0000046	NB627_RS03480	B5M19_RS03125
OG0000047	NB627_RS00510	B5M19_RS03245
OG0000048	NB627_RS02245	B5M19_RS03695
OG0000049	NB627_RS03240	B5M19_RS01455
OG0000050	NB627_RS02630	B5M19_RS02825
OG0000051	NB627_RS02845	B5M19_RS04110
OG0000052	NB627_RS00075	B5M19_RS00005
OG0000053	NB627_RS01580	B5M19_RS01120
OG0000054	NB627_RS02655	B5M19_RS02800
OG0000055	NB627_RS00135	B5M19_RS00045
OG0000056	NB627_RS03735	B5M19_RS00375
OG0000057	NB627_RS03110	B5M19_RS01340
OG0000058	NB627_RS00440	B5M19_RS02905
OG0000059	NB627_RS00465	B5M19_RS02265
OG0000060	NB627_RS00080	B5M19_RS03995
OG0000061	NB627_RS01995	B5M19_RS03265
OG0000062	NB627_RS03790	B5M19_RS01970
OG0000063	NB627_RS03785	B5M19_RS01975
OG0000064	NB627_RS03775	B5M19_RS01990
OG0000065	NB627_RS02410	B5M19_RS02925
OG0000066	NB627_RS01480	B5M19_RS01220
OG0000067	NB627_RS00635	B5M19_RS02375
OG0000068	NB627_RS00755	B5M19_RS04480
OG0000069	NB627_RS03005	B5M19_RS03520
OG0000070	NB627_RS02660	B5M19_RS02795
OG0000071	NB627_RS03465	B5M19_RS02995
OG0000072	NB627_RS03470	B5M19_RS02990
OG0000073	NB627_RS00820	B5M19_RS01840
OG0000074	NB627_RS01020	B5M19_RS01645
OG0000075	NB627_RS00350	B5M19_RS00265
OG0000076	NB627_RS00365	B5M19_RS00280
OG0000077	NB627_RS00550	B5M19_RS03440
OG0000079	NB627_RS02745	B5M19_RS01010
OG0000080	NB627_RS02795	B5M19_RS03900
OG0000081	NB627_RS00340	B5M19_RS00260
OG0000083	NB627_RS02160	B5M19_RS00845
OG0000084	NB627_RS02190	B5M19_RS02760
OG0000085	NB627_RS02195	B5M19_RS02755
OG0000086	NB627_RS02210	B5M19_RS02745
OG0000087	NB627_RS02225	B5M19_RS02730
OG0000088	NB627_RS02230	B5M19_RS02725
OG0000089	NB627_RS02240	B5M19_RS03690
OG0000090	NB627_RS00070	B5M19_RS03775
OG0000091	NB627_RS00055	B5M19_RS04280
OG0000092	NB627_RS00050	B5M19_RS01895
OG0000093	NB627_RS00035	B5M19_RS01900
OG0000094	NB627_RS00030	B5M19_RS01905
OG0000095	NB627_RS00005	B5M19_RS04290
OG0000096	NB627_RS03825	B5M19_RS01935
OG0000097	NB627_RS03805	B5M19_RS01955
OG0000098	NB627_RS03795	B5M19_RS04295
OG0000099	NB627_RS03745	B5M19_RS00370
OG0000100	NB627_RS03725	B5M19_RS00385
OG0000101	NB627_RS03720	B5M19_RS00390
OG0000102	NB627_RS01835	B5M19_RS02080
OG0000103	NB627_RS02375	B5M19_RS02960
OG0000104	NB627_RS02380	B5M19_RS04460
OG0000105	NB627_RS02400	B5M19_RS02940
OG0000106	NB627_RS02405	B5M19_RS02930
OG0000107	NB627_RS02415	B5M19_RS04455
OG0000108	NB627_RS02420	B5M19_RS04620
OG0000109	NB627_RS02425	B5M19_RS02910
OG0000110	NB627_RS02555	B5M19_RS02660
OG0000111	NB627_RS02550	B5M19_RS02665
OG0000112	NB627_RS02540	B5M19_RS02675
OG0000113	NB627_RS02515	B5M19_RS02700
OG0000114	NB627_RS02510	B5M19_RS02710
OG0000115	NB627_RS02495	B5M19_RS03610
OG0000116	NB627_RS01420	B5M19_RS02580
OG0000117	NB627_RS01425	B5M19_RS02575
OG0000118	NB627_RS01460	B5M19_RS01235
OG0000119	NB627_RS01465	B5M19_RS01230
OG0000120	NB627_RS01485	B5M19_RS01215
OG0000121	NB627_RS01515	B5M19_RS01190
OG0000122	NB627_RS01520	B5M19_RS01185
OG0000123	NB627_RS01540	B5M19_RS01165
OG0000124	NB627_RS01545	B5M19_RS01160
OG0000125	NB627_RS01550	B5M19_RS01155
OG0000126	NB627_RS01560	B5M19_RS01145
OG0000127	NB627_RS01570	B5M19_RS01135
OG0000128	NB627_RS01585	B5M19_RS01115
OG0000129	NB627_RS01590	B5M19_RS01110
OG0000130	NB627_RS01600	B5M19_RS01100
OG0000131	NB627_RS01630	B5M19_RS01075
OG0000132	NB627_RS01645	B5M19_RS01060
OG0000133	NB627_RS00640	B5M19_RS02380
OG0000134	NB627_RS00645	B5M19_RS02385
OG0000135	NB627_RS00660	B5M19_RS02400
OG0000136	NB627_RS00665	B5M19_RS02405
OG0000137	NB627_RS00695	B5M19_RS02445
OG0000138	NB627_RS00730	B5M19_RS03090
OG0000139	NB627_RS00760	B5M19_RS03070
OG0000140	NB627_RS00765	B5M19_RS03065
OG0000141	NB627_RS03120	B5M19_RS01330
OG0000142	NB627_RS03115	B5M19_RS01335
OG0000143	NB627_RS03100	B5M19_RS01360
OG0000144	NB627_RS03085	B5M19_RS01370
OG0000145	NB627_RS03075	B5M19_RS01380
OG0000146	NB627_RS03065	B5M19_RS01390
OG0000147	NB627_RS03060	B5M19_RS01395
OG0000148	NB627_RS03045	B5M19_RS01410
OG0000149	NB627_RS03035	B5M19_RS01420
OG0000150	NB627_RS03025	B5M19_RS04180
OG0000151	NB627_RS02970	B5M19_RS02540
OG0000152	NB627_RS02965	B5M19_RS02535
OG0000153	NB627_RS02960	B5M19_RS02530
OG0000154	NB627_RS02950	B5M19_RS02520
OG0000155	NB627_RS02910	B5M19_RS02480
OG0000156	NB627_RS02905	B5M19_RS00860
OG0000157	NB627_RS02895	B5M19_RS00865
OG0000158	NB627_RS02885	B5M19_RS04580
OG0000159	NB627_RS02645	B5M19_RS02810
OG0000160	NB627_RS02640	B5M19_RS02815
OG0000161	NB627_RS02635	B5M19_RS02820
OG0000162	NB627_RS02625	B5M19_RS02830
OG0000163	NB627_RS02620	B5M19_RS02835
OG0000164	NB627_RS01735	B5M19_RS04495
OG0000165	NB627_RS02080	B5M19_RS00760
OG0000166	NB627_RS02100	B5M19_RS00785
OG0000167	NB627_RS02115	B5M19_RS00800
OG0000168	NB627_RS02120	B5M19_RS00805
OG0000169	NB627_RS03235	B5M19_RS01450
OG0000170	NB627_RS03255	B5M19_RS01465
OG0000171	NB627_RS03265	B5M19_RS01475
OG0000172	NB627_RS03270	B5M19_RS01480
OG0000173	NB627_RS03275	B5M19_RS01490
OG0000174	NB627_RS03280	B5M19_RS01495
OG0000175	NB627_RS03295	B5M19_RS01510
OG0000176	NB627_RS03350	B5M19_RS01560
OG0000177	NB627_RS03355	B5M19_RS01565
OG0000178	NB627_RS03365	B5M19_RS04200
OG0000179	NB627_RS03370	B5M19_RS01580
OG0000180	NB627_RS03375	B5M19_RS01585
OG0000181	NB627_RS03415	B5M19_RS03045
OG0000182	NB627_RS03425	B5M19_RS03035
OG0000183	NB627_RS03460	B5M19_RS03000
OG0000184	NB627_RS03505	B5M19_RS03105
OG0000185	NB627_RS03490	B5M19_RS03120
OG0000186	NB627_RS01655	B5M19_RS03550
OG0000187	NB627_RS01670	B5M19_RS03535
OG0000188	NB627_RS01680	B5M19_RS03525
OG0000189	NB627_RS02465	B5M19_RS03210
OG0000190	NB627_RS02460	B5M19_RS03215
OG0000191	NB627_RS02435	B5M19_RS03235
OG0000192	NB627_RS01335	B5M19_RS03675
OG0000193	NB627_RS01315	B5M19_RS02360
OG0000194	NB627_RS00800	B5M19_RS01855
OG0000195	NB627_RS00805	B5M19_RS01850
OG0000196	NB627_RS00830	B5M19_RS01830
OG0000197	NB627_RS00840	B5M19_RS01825
OG0000198	NB627_RS00850	B5M19_RS01810
OG0000199	NB627_RS00855	B5M19_RS01805
OG0000200	NB627_RS00875	B5M19_RS01790
OG0000201	NB627_RS00880	B5M19_RS01780
OG0000202	NB627_RS00940	B5M19_RS01725
OG0000203	NB627_RS00945	B5M19_RS01720
OG0000204	NB627_RS00950	B5M19_RS01715
OG0000205	NB627_RS00955	B5M19_RS01710
OG0000206	NB627_RS00975	B5M19_RS01690
OG0000207	NB627_RS00990	B5M19_RS01675
OG0000208	NB627_RS00995	B5M19_RS01670
OG0000209	NB627_RS01000	B5M19_RS01665
OG0000210	NB627_RS01045	B5M19_RS01620
OG0000211	NB627_RS01055	B5M19_RS03415
OG0000212	NB627_RS01065	B5M19_RS03405
OG0000213	NB627_RS01070	B5M19_RS03400
OG0000214	NB627_RS01075	B5M19_RS03395
OG0000215	NB627_RS01080	B5M19_RS03390
OG0000216	NB627_RS01085	B5M19_RS03385
OG0000217	NB627_RS01090	B5M19_RS03380
OG0000218	NB627_RS01100	B5M19_RS03370
OG0000219	NB627_RS01105	B5M19_RS03365
OG0000220	NB627_RS01110	B5M19_RS03360
OG0000221	NB627_RS01115	B5M19_RS03355
OG0000222	NB627_RS01120	B5M19_RS03350
OG0000223	NB627_RS01125	B5M19_RS03345
OG0000224	NB627_RS01135	B5M19_RS03130
OG0000225	NB627_RS01145	B5M19_RS03140
OG0000226	NB627_RS01150	B5M19_RS03145
OG0000227	NB627_RS01155	B5M19_RS03150
OG0000228	NB627_RS01160	B5M19_RS04630
OG0000229	NB627_RS01165	B5M19_RS03160
OG0000230	NB627_RS01170	B5M19_RS03165
OG0000231	NB627_RS01180	B5M19_RS03175
OG0000232	NB627_RS01190	B5M19_RS03185
OG0000233	NB627_RS01210	B5M19_RS02225
OG0000234	NB627_RS01245	B5M19_RS04335
OG0000235	NB627_RS01255	B5M19_RS02175
OG0000236	NB627_RS01260	B5M19_RS02170
OG0000237	NB627_RS01265	B5M19_RS02165
OG0000238	NB627_RS01270	B5M19_RS02155
OG0000239	NB627_RS03130	B5M19_RS01315
OG0000240	NB627_RS03135	B5M19_RS01310
OG0000241	NB627_RS03145	B5M19_RS01300
OG0000242	NB627_RS03150	B5M19_RS04160
OG0000243	NB627_RS03155	B5M19_RS01290
OG0000244	NB627_RS03165	B5M19_RS01280
OG0000245	NB627_RS03175	B5M19_RS01270
OG0000246	NB627_RS00140	B5M19_RS00050
OG0000247	NB627_RS00150	B5M19_RS00060
OG0000248	NB627_RS00160	B5M19_RS00070
OG0000249	NB627_RS00165	B5M19_RS00075
OG0000250	NB627_RS00180	B5M19_RS03880
OG0000251	NB627_RS00215	B5M19_RS00125
OG0000252	NB627_RS00220	B5M19_RS00135
OG0000253	NB627_RS00225	B5M19_RS00140
OG0000254	NB627_RS00235	B5M19_RS00150
OG0000255	NB627_RS00240	B5M19_RS00160
OG0000256	NB627_RS00245	B5M19_RS00165
OG0000257	NB627_RS00270	B5M19_RS00190
OG0000258	NB627_RS00280	B5M19_RS04020
OG0000259	NB627_RS00310	B5M19_RS00230
OG0000260	NB627_RS00320	B5M19_RS00240
OG0000261	NB627_RS00330	B5M19_RS00250
OG0000262	NB627_RS00360	B5M19_RS00270
OG0000263	NB627_RS00375	B5M19_RS00285
OG0000264	NB627_RS00395	B5M19_RS04030
OG0000265	NB627_RS00400	B5M19_RS00315
OG0000266	NB627_RS00415	B5M19_RS00335
OG0000267	NB627_RS00430	B5M19_RS04035
OG0000268	NB627_RS00530	B5M19_RS00355
OG0000269	NB627_RS00545	B5M19_RS03680
OG0000270	NB627_RS03700	B5M19_RS00415
OG0000271	NB627_RS03690	B5M19_RS00420
OG0000272	NB627_RS03685	B5M19_RS00425
OG0000273	NB627_RS03680	B5M19_RS00430
OG0000274	NB627_RS03665	B5M19_RS00450
OG0000275	NB627_RS03655	B5M19_RS00455
OG0000276	NB627_RS03650	B5M19_RS00460
OG0000277	NB627_RS03640	B5M19_RS00470
OG0000278	NB627_RS03635	B5M19_RS00475
OG0000279	NB627_RS03625	B5M19_RS00485
OG0000280	NB627_RS03620	B5M19_RS00490
OG0000281	NB627_RS03615	B5M19_RS00495
OG0000282	NB627_RS03590	B5M19_RS00520
OG0000283	NB627_RS03585	B5M19_RS00525
OG0000284	NB627_RS03580	B5M19_RS00530
OG0000285	NB627_RS03575	B5M19_RS00535
OG0000286	NB627_RS02605	B5M19_RS02850
