Orthogroup	MHP_131B_genes	MFC_MF11_genes
OG0000000	NB627_RS02355	DR093_RS02920
OG0000000	NB627_RS02265	DR093_RS03040
OG0000000	NB627_RS02275	DR093_RS03705
OG0000000	NB627_RS01850	DR093_RS03440
OG0000001	NB627_RS01400, NB627_RS01405, NB627_RS02985, NB627_RS02940, NB627_RS02935	DR093_RS00830, DR093_RS00825
OG0000002	NB627_RS02290	DR093_RS04025
OG0000002	NB627_RS01865	DR093_RS03845
OG0000004	NB627_RS03225	DR093_RS01845
OG0000007	NB627_RS02345	DR093_RS02845
OG0000007	NB627_RS02325	DR093_RS02840
OG0000008	NB627_RS01765	DR093_RS03250
OG0000011	NB627_RS02090	DR093_RS03260
OG0000013	NB627_RS02570	DR093_RS01095, DR093_RS01090
OG0000013	NB627_RS00185	DR093_RS03220
OG0000014	NB627_RS00705, NB627_RS01205, NB627_RS00715	DR093_RS03805
OG0000016	NB627_RS03030	DR093_RS00770
OG0000016	NB627_RS00170	DR093_RS00190
OG0000017	NB627_RS00155	DR093_RS00175
OG0000017	NB627_RS03040	DR093_RS00760
OG0000018	NB627_RS00490	DR093_RS03935
OG0000019	NB627_RS03230	DR093_RS03265
OG0000020	NB627_RS03755	DR093_RS03835
OG0000020	NB627_RS03760	DR093_RS03830
OG0000022	NB627_RS01845	DR093_RS03840
OG0000023	NB627_RS01440, NB627_RS00500	DR093_RS01985
OG0000024	NB627_RS02930, NB627_RS01395	DR093_RS00835
OG0000025	NB627_RS01840	DR093_RS01230
OG0000026	NB627_RS01490, NB627_RS01820	DR093_RS02030
OG0000027	NB627_RS03540	DR093_RS01425
OG0000027	NB627_RS03555	DR093_RS03885
OG0000029	NB627_RS01200, NB627_RS00720	DR093_RS00605
OG0000030	NB627_RS03530, NB627_RS03550	DR093_RS03890
OG0000031	NB627_RS00445, NB627_RS01730	DR093_RS02685
OG0000032	NB627_RS01700, NB627_RS03545	DR093_RS01420
OG0000039	NB627_RS01740	DR093_RS00665
OG0000040	NB627_RS03475	DR093_RS02380, DR093_RS03230
OG0000042	NB627_RS03125	DR093_RS00660, DR093_RS03365, DR093_RS00810
OG0000043	NB627_RS02055	DR093_RS02660
OG0000045	NB627_RS01745	DR093_RS00670
OG0000047	NB627_RS00510	DR093_RS00840
OG0000048	NB627_RS02245	DR093_RS03685, DR093_RS03690
OG0000049	NB627_RS03240	DR093_RS03590
OG0000050	NB627_RS02630	DR093_RS04015
OG0000051	NB627_RS02845	DR093_RS01745
OG0000052	NB627_RS00075	DR093_RS00140
OG0000053	NB627_RS01580	DR093_RS03940
OG0000054	NB627_RS02655	DR093_RS01140
OG0000056	NB627_RS03735	DR093_RS01205
OG0000057	NB627_RS03110	DR093_RS00685
OG0000062	NB627_RS03790	DR093_RS00025
OG0000063	NB627_RS03785	DR093_RS03775
OG0000064	NB627_RS03775	DR093_RS00010
OG0000065	NB627_RS02410	DR093_RS01890
OG0000066	NB627_RS01480, NB627_RS01475	DR093_RS02020
OG0000068	NB627_RS00755	DR093_RS00640
OG0000069	NB627_RS03005	DR093_RS00795
OG0000070	NB627_RS02660	DR093_RS01120
OG0000071	NB627_RS03465	DR093_RS02370
OG0000072	NB627_RS03470	DR093_RS03980
OG0000073	NB627_RS00820	DR093_RS02505
OG0000076	NB627_RS00365	DR093_RS00375
OG0000077	NB627_RS00550	DR093_RS00460
OG0000079	NB627_RS02745	DR093_RS01040
OG0000080	NB627_RS02795	DR093_RS03415
OG0000081	NB627_RS00340	DR093_RS00355
OG0000083	NB627_RS02160	DR093_RS02955
OG0000084	NB627_RS02190	DR093_RS02790
OG0000085	NB627_RS02195	DR093_RS02785
OG0000086	NB627_RS02210	DR093_RS04020
OG0000087	NB627_RS02225	DR093_RS02760
OG0000088	NB627_RS02230	DR093_RS02755
OG0000089	NB627_RS02240	DR093_RS02745
OG0000090	NB627_RS00070	DR093_RS00130
OG0000091	NB627_RS00055	DR093_RS00115
OG0000092	NB627_RS00050	DR093_RS00100
OG0000093	NB627_RS00035	DR093_RS00095
OG0000094	NB627_RS00030	DR093_RS04155
OG0000095	NB627_RS00005	DR093_RS00065
OG0000096	NB627_RS03825	DR093_RS00060
OG0000097	NB627_RS03805	DR093_RS00040
OG0000098	NB627_RS03795	DR093_RS00030
OG0000099	NB627_RS03745	DR093_RS01200
OG0000100	NB627_RS03725	DR093_RS01210
OG0000101	NB627_RS03720	DR093_RS01215
OG0000102	NB627_RS01835	DR093_RS01225
OG0000103	NB627_RS02375	DR093_RS01855
OG0000104	NB627_RS02380	DR093_RS01860
OG0000105	NB627_RS02400	DR093_RS01875
OG0000106	NB627_RS02405	DR093_RS01885
OG0000107	NB627_RS02415	DR093_RS01895
OG0000108	NB627_RS02420	DR093_RS01900
OG0000109	NB627_RS02425	DR093_RS01905
OG0000110	NB627_RS02555	DR093_RS01910
OG0000111	NB627_RS02550	DR093_RS01915
OG0000112	NB627_RS02540	DR093_RS01925
OG0000113	NB627_RS02515	DR093_RS03930
OG0000114	NB627_RS02510	DR093_RS01950
OG0000115	NB627_RS02495	DR093_RS01960
OG0000116	NB627_RS01420	DR093_RS01970
OG0000117	NB627_RS01425	DR093_RS01975
OG0000118	NB627_RS01460	DR093_RS02005
OG0000119	NB627_RS01465	DR093_RS02010
OG0000120	NB627_RS01485	DR093_RS02025
OG0000121	NB627_RS01515	DR093_RS02050
OG0000122	NB627_RS01520	DR093_RS02055
OG0000123	NB627_RS01540	DR093_RS02075
OG0000124	NB627_RS01545	DR093_RS02080
OG0000125	NB627_RS01550	DR093_RS02085
OG0000126	NB627_RS01560	DR093_RS02095
OG0000127	NB627_RS01570	DR093_RS02105
OG0000128	NB627_RS01585	DR093_RS02120
OG0000129	NB627_RS01590	DR093_RS02125
OG0000130	NB627_RS01600	DR093_RS02135
OG0000131	NB627_RS01630	DR093_RS02165
OG0000132	NB627_RS01645	DR093_RS03945
OG0000133	NB627_RS00640	DR093_RS00535
OG0000134	NB627_RS00645	DR093_RS03795
OG0000135	NB627_RS00660	DR093_RS00555
OG0000136	NB627_RS00665	DR093_RS00560
OG0000137	NB627_RS00695	DR093_RS00590
OG0000138	NB627_RS00730	DR093_RS00615
OG0000139	NB627_RS00760	DR093_RS00645
OG0000140	NB627_RS00765	DR093_RS00650
OG0000141	NB627_RS03120	DR093_RS00675
OG0000142	NB627_RS03115	DR093_RS03810
OG0000143	NB627_RS03100	DR093_RS00705
OG0000144	NB627_RS03085	DR093_RS00715
OG0000145	NB627_RS03075	DR093_RS00725
OG0000146	NB627_RS03065	DR093_RS00735
OG0000147	NB627_RS03060	DR093_RS00740
OG0000148	NB627_RS03045	DR093_RS00755
OG0000149	NB627_RS03035	DR093_RS00765
OG0000150	NB627_RS03025	DR093_RS00780
OG0000151	NB627_RS02970	DR093_RS00845
OG0000152	NB627_RS02965	DR093_RS00850
OG0000153	NB627_RS02960	DR093_RS00855
OG0000154	NB627_RS02950	DR093_RS00865
OG0000155	NB627_RS02910	DR093_RS00885
OG0000156	NB627_RS02905	DR093_RS00905
OG0000157	NB627_RS02895	DR093_RS03815
OG0000158	NB627_RS02885	DR093_RS03820
OG0000159	NB627_RS02645	DR093_RS01150
OG0000160	NB627_RS02640	DR093_RS01155
OG0000161	NB627_RS02635	DR093_RS01165
OG0000162	NB627_RS02625	DR093_RS02715
OG0000163	NB627_RS02620	DR093_RS02710
OG0000164	NB627_RS01735	DR093_RS04010
OG0000165	NB627_RS02080	DR093_RS02995
OG0000166	NB627_RS02100	DR093_RS02980
OG0000167	NB627_RS02115	DR093_RS02890
OG0000168	NB627_RS02120	DR093_RS02895
OG0000169	NB627_RS03235	DR093_RS02185
OG0000170	NB627_RS03255	DR093_RS02200
OG0000171	NB627_RS03265	DR093_RS02210
OG0000172	NB627_RS03270	DR093_RS02215
OG0000173	NB627_RS03275	DR093_RS02220
OG0000174	NB627_RS03280	DR093_RS02225
OG0000175	NB627_RS03295	DR093_RS02240
OG0000176	NB627_RS03350	DR093_RS02280
