Orthogroup	MHP_131B_genes	MHP_7422_genes
OG0000000	NB627_RS02285, NB627_RS02265	MHL_RS02190
OG0000000	NB627_RS02350	MHL_RS03905
OG0000000	NB627_RS02480	MHL_RS02380
OG0000000	NB627_RS02485	MHL_RS04190
OG0000000	NB627_RS01860	MHL_RS03710
OG0000001	NB627_RS01405	MHL_RS03980
OG0000001	NB627_RS02935	MHL_RS04080
OG0000002	NB627_RS02365	MHL_RS04055
OG0000002	NB627_RS02290	MHL_RS02195
OG0000002	NB627_RS01865	MHL_RS01800
OG0000003	NB627_RS01980	MHL_RS03835
OG0000004	NB627_RS03390	MHL_RS03205
OG0000004	NB627_RS03405	MHL_RS03215
OG0000005	NB627_RS00100	MHL_RS00105
OG0000005	NB627_RS00120	MHL_RS00125
OG0000005	NB627_RS00110	MHL_RS04205
OG0000005	NB627_RS00125	MHL_RS00130
OG0000006	NB627_RS02685, NB627_RS02690	MHL_RS03635
OG0000006	NB627_RS02525, NB627_RS02520	MHL_RS02420
OG0000007	NB627_RS02345	MHL_RS02250
OG0000007	NB627_RS02325	MHL_RS02245
OG0000008	NB627_RS02475	MHL_RS02375
OG0000008	NB627_RS01765	MHL_RS04180
OG0000008	NB627_RS02695	MHL_RS04065
OG0000009	NB627_RS00775	MHL_RS00755
OG0000009	NB627_RS00085	MHL_RS00090
OG0000009	NB627_RS00790	MHL_RS00770
OG0000010	NB627_RS01985	MHL_RS01930
OG0000011	NB627_RS02090	MHL_RS02020
OG0000012	NB627_RS01310, NB627_RS02000	MHL_RS03845
OG0000013	NB627_RS02570	MHL_RS02470
OG0000013	NB627_RS00185	MHL_RS03925
OG0000014	NB627_RS00705	MHL_RS00590
OG0000014	NB627_RS01205	MHL_RS01170
OG0000014	NB627_RS00715	MHL_RS00695
OG0000015	NB627_RS01760	MHL_RS01645
OG0000015	NB627_RS00525	MHL_RS01720
OG0000016	NB627_RS03030	MHL_RS02885
OG0000016	NB627_RS00170	MHL_RS00175
OG0000017	NB627_RS00155	MHL_RS00160
OG0000017	NB627_RS03040	MHL_RS02895
OG0000020	NB627_RS03755	MHL_RS03545
OG0000020	NB627_RS03760	MHL_RS03550
OG0000021	NB627_RS01905	MHL_RS01835
OG0000022	NB627_RS01790	MHL_RS01740
OG0000022	NB627_RS01845	MHL_RS01790
