Orthogroup	MHP_131B_genes	MHP_MHP653_genes
OG0000000	NB627_RS02355	DR096_RS03590
OG0000000	NB627_RS02285	DR096_RS04410
OG0000000	NB627_RS01855	DR096_RS03335
OG0000000	NB627_RS02480	DR096_RS03550
OG0000000	NB627_RS02485	DR096_RS04445
OG0000000	NB627_RS01850	DR096_RS02065
OG0000000	NB627_RS01860	DR096_RS03340
OG0000001	NB627_RS01405	DR096_RS01680
OG0000001	NB627_RS02935	DR096_RS04085
OG0000002	NB627_RS02365	DR096_RS04275
OG0000002	NB627_RS02360	DR096_RS02905
OG0000002	NB627_RS02290	DR096_RS04810
OG0000002	NB627_RS01865	DR096_RS04795
OG0000003	NB627_RS00610	DR096_RS03740
OG0000003	NB627_RS02330	DR096_RS04710
OG0000003	NB627_RS01980	DR096_RS04825
OG0000005	NB627_RS00100	DR096_RS02575
OG0000005	NB627_RS00120	DR096_RS04720
OG0000005	NB627_RS00110	DR096_RS02565
OG0000005	NB627_RS00125	DR096_RS04715
OG0000007	NB627_RS02335	DR096_RS02415
OG0000007	NB627_RS02345	DR096_RS03505
OG0000007	NB627_RS02325	DR096_RS03510
OG0000008	NB627_RS02695	DR096_RS04360
OG0000009	NB627_RS00085	DR096_RS02590
OG0000010	NB627_RS01985	DR096_RS00395
OG0000011	NB627_RS02090	DR096_RS00485
OG0000012	NB627_RS02000	DR096_RS03785
OG0000013	NB627_RS02570	DR096_RS04100
OG0000013	NB627_RS00185	DR096_RS03875
OG0000014	NB627_RS00705	DR096_RS03315
OG0000014	NB627_RS00715	DR096_RS04790
OG0000015	NB627_RS01695	DR096_RS01405
OG0000015	NB627_RS01760, NB627_RS00525	DR096_RS01405
OG0000016	NB627_RS03030	DR096_RS01150
OG0000016	NB627_RS00170	DR096_RS00345
OG0000017	NB627_RS00155	DR096_RS00360
OG0000017	NB627_RS03040	DR096_RS01140
OG0000019	NB627_RS03210, NB627_RS03220	DR096_RS03940
OG0000020	NB627_RS03755	DR096_RS03230
OG0000020	NB627_RS03760	DR096_RS04775
OG0000022	NB627_RS01790	DR096_RS01995
OG0000022	NB627_RS01845	DR096_RS04665
OG0000024	NB627_RS02930	DR096_RS01490
OG0000024	NB627_RS01395	DR096_RS01690
OG0000025	NB627_RS01795	DR096_RS04660
OG0000025	NB627_RS01840	DR096_RS02045
OG0000026	NB627_RS01490	DR096_RS01600
OG0000026	NB627_RS01820	DR096_RS02025
OG0000027	NB627_RS03540	DR096_RS04770
OG0000027	NB627_RS03555	DR096_RS04540
OG0000028	NB627_RS02600, NB627_RS02595	DR096_RS01750
OG0000029	NB627_RS00720	DR096_RS03330
OG0000030	NB627_RS03530	DR096_RS04765
OG0000030	NB627_RS03550	DR096_RS04535
OG0000031	NB627_RS01730	DR096_RS01370
OG0000032	NB627_RS01700	DR096_RS04610
OG0000032	NB627_RS03545	DR096_RS00860
OG0000033	NB627_RS02575, NB627_RS02590, NB627_RS02580	DR096_RS01745
OG0000035	NB627_RS03385	DR096_RS03635
OG0000036	NB627_RS00115	DR096_RS02555
OG0000036	NB627_RS00130	DR096_RS02535
OG0000037	NB627_RS01705	DR096_RS04615
OG0000039	NB627_RS01740	DR096_RS01385
OG0000041	NB627_RS00780	DR096_RS03595
OG0000042	NB627_RS03125	DR096_RS00855
OG0000043	NB627_RS02055	DR096_RS00455
OG0000044	NB627_RS01805	DR096_RS04875
OG0000045	NB627_RS01745	DR096_RS01390
OG0000046	NB627_RS03485	DR096_RS04310
OG0000048	NB627_RS02245	DR096_RS03530
OG0000049	NB627_RS03240	DR096_RS00770
OG0000050	NB627_RS02630	DR096_RS03020
OG0000051	NB627_RS02845	DR096_RS02440
OG0000052	NB627_RS00075	DR096_RS02830
OG0000053	NB627_RS01580	DR096_RS04590
OG0000054	NB627_RS02655	DR096_RS02995
OG0000055	NB627_RS00135	DR096_RS02530
OG0000056	NB627_RS03735	DR096_RS01045
OG0000057	NB627_RS03110	DR096_RS01065
OG0000061	NB627_RS01995	DR096_RS00405
OG0000062	NB627_RS03790	DR096_RS01775
OG0000063	NB627_RS03785	DR096_RS04645
OG0000064	NB627_RS03775	DR096_RS01760
OG0000065	NB627_RS02410	DR096_RS02855
OG0000066	NB627_RS01480	DR096_RS01610
OG0000067	NB627_RS00635	DR096_RS03370
OG0000068	NB627_RS00755	DR096_RS03280
OG0000069	NB627_RS03005	DR096_RS01175
OG0000070	NB627_RS02660	DR096_RS02990
OG0000071	NB627_RS03465	DR096_RS03055
OG0000072	NB627_RS03470	DR096_RS04730
OG0000073	NB627_RS00820	DR096_RS02090
OG0000074	NB627_RS01020	DR096_RS04705
OG0000075	NB627_RS00350	DR096_RS00165
OG0000076	NB627_RS00370	DR096_RS00150
OG0000077	NB627_RS00550	DR096_RS00060
OG0000078	NB627_RS01810	DR096_RS04150
OG0000079	NB627_RS02745	DR096_RS02960
OG0000080	NB627_RS02795	DR096_RS04245
OG0000081	NB627_RS00340	DR096_RS00170
OG0000083	NB627_RS02160	DR096_RS00560
OG0000084	NB627_RS02190	DR096_RS00585
OG0000085	NB627_RS02195	DR096_RS00590
OG0000086	NB627_RS02210	DR096_RS00600
OG0000087	NB627_RS02225	DR096_RS00615
OG0000088	NB627_RS02230	DR096_RS00620
