gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	WP_160605629.1	P68 family surface lipoprotein	0
1	NCBI_PGAP	WP_052234586.1	P68 family surface lipoprotein	0
3	NCBI_PGAP	WP_308705462.1	thermonuclease family protein	0
4	NCBI_PGAP	WP_160581474.1	ATP-binding cassette domain-containing protein	0
5	NCBI_PGAP	WP_002557446.1	carbohydrate ABC transporter permease	0
6	NCBI_PGAP	WP_039387592.1	carbohydrate ABC transporter permease	0
8	NCBI_PGAP	WP_160605631.1	P110/LppT family adhesin N-terminal domain	0
9	NCBI_PGAP	WP_002557739.1	50S ribosomal protein L10 (rplJ)	0
10	NCBI_PGAP	WP_160605633.1	50S ribosomal protein L7/L12 (rplL)	0
11	NCBI_PGAP	WP_160605635.1	DNA-directed RNA polymerase subunit beta	0
12	NCBI_PGAP	WP_002557742.1	DNA-directed RNA polymerase subunit beta'	0
13	NCBI_PGAP	WP_002557743.1	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE (tsaE)	0
16	NCBI_PGAP	WP_308705463.1	site-specific DNA-methyltransferase	0
17	NCBI_PGAP	WP_160605643.1	DEAD/DEAH box helicase family protein	0
18	NCBI_PGAP	WP_308705464.1	site-specific DNA-methyltransferase	0
19	NCBI_PGAP	WP_308705440.1	DNA gyrase subunit A	0
20	NCBI_PGAP	WP_160605278.1	DNA gyrase/topoisomerase IV subunit B	0
21	NCBI_PGAP	WP_002557886.1	type I glyceraldehyde-3-phosphate dehydrogenase (gap)	0
22	NCBI_PGAP	WP_258555096.1	Mhp366/Mhp367 family surface (lipo)protein	0
23	NCBI_PGAP	WP_160581057.1	ribonuclease R (rnr)	0
24	NCBI_PGAP	WP_039387487.1	preprotein translocase subunit SecG (secG)	0
25	NCBI_PGAP	WP_308705441.1	phospholipase D-like domain-containing protein	0
26	NCBI_PGAP	WP_002557890.1	recombinase RecA (recA)	0
27	NCBI_PGAP	WP_002557891.1	phosphotransferase	0
28	NCBI_PGAP	WP_002557892.1	GTPase ObgE (obgE)	0
29	NCBI_PGAP	WP_160581051.1	MG284/MPN403 family protein	0
30	NCBI_PGAP	WP_160605282.1	MHO_1580 family protein	0
31	NCBI_PGAP	WP_002557895.1	MHO_1590 family protein	0
32	NCBI_PGAP	WP_160605284.1	DNA polymerase IV	0
33	NCBI_PGAP	WP_002557898.1	F0F1 ATP synthase subunit A	0
34	NCBI_PGAP	WP_002557899.1	F0F1 ATP synthase subunit C	0
35	NCBI_PGAP	WP_160605286.1	ATP synthase F0 subunit B	0
36	NCBI_PGAP	WP_002557901.1	F0F1 ATP synthase subunit delta	0
37	NCBI_PGAP	WP_160605288.1	F0F1 ATP synthase subunit alpha (atpA)	0
38	NCBI_PGAP	WP_002557903.1	FoF1 ATP synthase subunit gamma	0
39	NCBI_PGAP	WP_002557904.1	F0F1 ATP synthase subunit beta (atpD)	0
41	NCBI_PGAP	WP_160605290.1	Holliday junction resolvase RecU (recU)	0
42	NCBI_PGAP	WP_220190747.1	30S ribosomal protein S2 (rpsB)	0
43	NCBI_PGAP	WP_160605292.1	translation elongation factor Ts (tsf)	0
44	NCBI_PGAP	WP_160605294.1	signal recognition particle protein (ffh)	0
45	NCBI_PGAP	WP_160605296.1	glycine--tRNA ligase	0
46	NCBI_PGAP	WP_258555097.1	DNA primase (dnaG)	0
47	NCBI_PGAP	WP_160581036.1	RNA polymerase sigma factor	0
48	NCBI_PGAP	WP_002557912.1	Nif3-like dinuclear metal center hexameric protein	0
49	NCBI_PGAP	WP_160605298.1	deoxyribonuclease IV	0
50	NCBI_PGAP	WP_160605300.1	tyrosine--tRNA ligase (tyrS)	0
51	NCBI_PGAP	WP_160605302.1	DUF4011 domain-containing protein	0
52	NCBI_PGAP	WP_308705447.1	SGNH/GDSL hydrolase family protein	0
53	NCBI_PGAP	WP_160605306.1	GIY-YIG nuclease family protein	0
55	NCBI_PGAP	WP_160581026.1	molecular chaperone DnaK (dnaK)	0
56	NCBI_PGAP	WP_002557921.1	DnaJ C-terminal domain-containing protein	0
57	NCBI_PGAP	WP_002557922.1	(d)CMP kinase (cmk)	0
58	NCBI_PGAP	WP_002557923.1	ribosome biogenesis GTPase Der (der)	0
59	NCBI_PGAP	WP_039387496.1	HU family DNA-binding protein	0
61	NCBI_PGAP	WP_002557926.1	translation elongation factor 4 (lepA)	0
62	NCBI_PGAP	WP_002557927.1	MSC_0882 family membrane protein	0
63	NCBI_PGAP	WP_002557928.1	elongation factor G (fusA)	0
64	NCBI_PGAP	WP_039387498.1	30S ribosomal protein S7 (rpsG)	0
65	NCBI_PGAP	WP_002557930.1	30S ribosomal protein S12 (rpsL)	0
66	NCBI_PGAP	WP_039387501.1	DUF4231 domain-containing protein	0
67	NCBI_PGAP	WP_039387504.1	DUF4231 domain-containing protein	0
69	NCBI_PGAP	WP_160583705.1	APC family permease	0
70	NCBI_PGAP	WP_002557934.1	FAD-dependent oxidoreductase	0
71	NCBI_PGAP	WP_002557935.1	thymidine phosphorylase	0
72	NCBI_PGAP	WP_160583703.1	purine-nucleoside phosphorylase	0
73	NCBI_PGAP	WP_160605308.1	preprotein translocase subunit SecA (secA)	0
75	NCBI_PGAP	WP_220190748.1	ribosome biogenesis GTPase YlqF (ylqF)	0
77	NCBI_PGAP	WP_160605312.1	excinuclease ABC subunit UvrA (uvrA)	0
78	NCBI_PGAP	WP_002557573.1	ribonuclease J	0
80	NCBI_PGAP	WP_160605314.1	DUF2130 domain-containing protein	0
81	NCBI_PGAP	WP_002557576.1	dUTP diphosphatase	0
82	NCBI_PGAP	WP_002557577.1	peroxiredoxin	0
83	NCBI_PGAP	WP_160605316.1	prolipoprotein diacylglyceryl transferase	0
84	NCBI_PGAP	WP_160580856.1	NAD(P)/FAD-dependent oxidoreductase	0
85	NCBI_PGAP	WP_160605318.1	P97 family adhesin	0
86	NCBI_PGAP	WP_160605320.1	P110/LppT family adhesin N-terminal domain	0
87	NCBI_PGAP	WP_051054279.1	ATP-dependent Clp protease ATP-binding subunit	0
88	NCBI_PGAP	WP_160580862.1	triose-phosphate isomerase (tpiA)	0
89	NCBI_PGAP	WP_160583687.1	30S ribosomal protein S15 (rpsO)	0
90	NCBI_PGAP	WP_160580864.1	DUF3899 domain-containing protein	0
91	NCBI_PGAP	WP_220190749.1	P110/LppT family adhesin N-terminal domain	0
92	NCBI_PGAP	WP_160605322.1	P97 family adhesin	0
93	NCBI_PGAP	WP_002557589.1	DNA gyrase subunit B	0
95	NCBI_PGAP	WP_002557590.1	6-phosphofructokinase (pfkA)	0
97	NCBI_PGAP	WP_160580870.1	amino acid permease	0
98	NCBI_PGAP	WP_002557593.1	adenine phosphoribosyltransferase	0
99	NCBI_PGAP	WP_002557594.1	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha (pdhA)	0
100	NCBI_PGAP	WP_002557595.1	alpha-ketoacid dehydrogenase subunit beta	0
104	NCBI_PGAP	WP_002557602.1	potassium transporter TrkG	0
105	NCBI_PGAP	WP_002557603.1	potassium channel family protein	0
107	NCBI_PGAP	WP_160580878.1	ABC transporter ATP-binding protein	0
108	NCBI_PGAP	WP_160580880.1	ABC transporter permease	0
109	NCBI_PGAP	WP_160580882.1	ABC transporter permease	0
111	NCBI_PGAP	WP_002557610.1	leucine-rich repeat domain-containing protein	0
112	NCBI_PGAP	WP_002557611.1	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	0
114	NCBI_PGAP	WP_002557613.1	UMP kinase (pyrH)	0
115	NCBI_PGAP	WP_002557614.1	ribosome-recycling factor	0
116	NCBI_PGAP	WP_160580892.1	phosphatidate cytidylyltransferase	0
117	NCBI_PGAP	WP_160605332.1	PolC-type DNA polymerase III	0
118	NCBI_PGAP	WP_160583667.1	glucose-6-phosphate isomerase	0
120	NCBI_PGAP	WP_002557620.1	peptide-methionine (R)-S-oxide reductase MsrB (msrB)	0
121	NCBI_PGAP	WP_160580902.1	DNA gyrase subunit A (gyrA)	0
122	NCBI_PGAP	WP_002557622.1	deoxyribose-phosphate aldolase (deoC)	0
123	NCBI_PGAP	WP_002557623.1	uracil phosphoribosyltransferase (upp)	0
124	NCBI_PGAP	WP_160605336.1	MPN527 family putative ECF transporter permease subunit	0
125	NCBI_PGAP	WP_002557625.1	endopeptidase La (lon)	0
126	NCBI_PGAP	WP_002557626.1	elongation factor Tu (tuf)	0
127	NCBI_PGAP	WP_160605338.1	SGNH/GDSL hydrolase family protein	0
129	NCBI_PGAP	WP_160583660.1	oligoendopeptidase F (pepF)	0
134	NCBI_PGAP	WP_160580918.1	ROK family protein	0
136	NCBI_PGAP	WP_160605344.1	sugar ABC transporter permease	0
137	NCBI_PGAP	WP_160580924.1	sugar ABC transporter ATP-binding protein	0
138	NCBI_PGAP	WP_160580926.1	sugar-binding protein	0
139	NCBI_PGAP	WP_002557639.1	phosphotransacetylase	0
140	NCBI_PGAP	WP_160605346.1	acetate/propionate family kinase	0
141	NCBI_PGAP	WP_160605348.1	dihydrolipoyl dehydrogenase (lpdA)	0
142	NCBI_PGAP	WP_160605350.1	2-oxo acid dehydrogenase subunit E2	0
143	NCBI_PGAP	WP_160605352.1	putative immunoglobulin-blocking virulence protein	0
144	NCBI_PGAP	WP_160603067.1	OppA family ABC transporter substrate-binding lipoprotein	0
145	NCBI_PGAP	WP_160583648.1	ABC transporter permease	0
146	NCBI_PGAP	WP_160583646.1	ABC transporter permease	0
147	NCBI_PGAP	WP_160605354.1	ABC transporter ATP-binding protein	0
148	NCBI_PGAP	WP_160605356.1	ATP-binding cassette domain-containing protein	0
150	NCBI_PGAP	WP_160605360.1	MGA_1079 family surface serine endopeptidase	0
151	NCBI_PGAP	WP_220190751.1	P110/LppT family adhesin N-terminal domain	0
152	NCBI_PGAP	WP_220190752.1	P97 family adhesin	0
153	NCBI_PGAP	WP_160605361.1	type I phosphomannose isomerase catalytic subunit	0
154	NCBI_PGAP	WP_002558002.1	PTS sugar transporter subunit IIA	0
155	NCBI_PGAP	WP_160605363.1	phosphoglycerate kinase	0
157	NCBI_PGAP	WP_002558005.1	diadenylate cyclase	0
158	NCBI_PGAP	WP_002558006.1	magnesium transporter (mgtE)	0
160	NCBI_PGAP	WP_039387750.1	Cof-type HAD-IIB family hydrolase	0
161	NCBI_PGAP	WP_160605367.1	MSC_0624 family F1-like ATPase-associated membrane protein	0
162	NCBI_PGAP	WP_160580958.1	DUF2714 domain-containing protein	0
163	NCBI_PGAP	WP_196792423.1	MSC_0622 family F1-like ATPase gamma subunit	0
164	NCBI_PGAP	WP_039387539.1	MSC_0621 family F1-like ATPase epsilon subunit	0
165	NCBI_PGAP	WP_160605369.1	MSC_0620 family F1-like ATPase-associated subunit	0
166	NCBI_PGAP	WP_160603085.1	MSC_0619 family F1-like ATPase alpha subunit	0
167	NCBI_PGAP	WP_002558014.1	MSC_0618 family F1-like ATPase beta subunit	0
168	NCBI_PGAP	WP_160605371.1	Cof-type HAD-IIB family hydrolase	0
169	NCBI_PGAP	WP_160605373.1	nicotinate-nucleotide adenylyltransferase	0
170	NCBI_PGAP	WP_160580964.1	5'-methylthioadenosine nucleosidase	0
171	NCBI_PGAP	WP_160580966.1	YebC/PmpR family DNA-binding transcriptional regulator	0
172	NCBI_PGAP	WP_160580968.1	NAD(+) synthase (nadE)	0
173	NCBI_PGAP	WP_160605375.1	phosphoenolpyruvate--protein phosphotransferase (ptsP)	0
174	NCBI_PGAP	WP_160605377.1	lactate dehydrogenase	0
175	NCBI_PGAP	WP_255454460.1	ABC transporter permease	0
176	NCBI_PGAP	WP_002557982.1	ABC transporter ATP-binding protein	0
177	NCBI_PGAP	WP_160605379.1	aromatic motif membrane protein	0
178	NCBI_PGAP	WP_002557980.1	aromatic motif membrane protein	0
