gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	WP_416388889.1	P97 family adhesin	0
1	NCBI_PGAP	WP_160609431.1	PTS sugar transporter subunit IIA	0
2	NCBI_PGAP	WP_002557451.1	PTS sugar transporter subunit IIB	0
3	NCBI_PGAP	WP_002557452.1	PTS ascorbate transporter subunit IIC	0
4	NCBI_PGAP	WP_160581449.1	phospho-furanose lactonase	0
5	NCBI_PGAP	WP_160609432.1	P68 family surface lipoprotein	0
6	NCBI_PGAP	WP_160609433.1	ABC transporter ATP-binding protein	0
7	NCBI_PGAP	WP_258556792.1	carbohydrate ABC transporter permease	0
8	NCBI_PGAP	WP_236681783.1	carbohydrate ABC transporter permease	0
9	NCBI_PGAP	WP_160581443.1	YigZ family protein	0
10	NCBI_PGAP	WP_039387578.1	ATP-binding cassette domain-containing protein	0
11	NCBI_PGAP	WP_002557461.1	thioredoxin family protein	0
12	NCBI_PGAP	WP_160609435.1	His/Gly/Thr/Pro-type tRNA ligase C-terminal domain-containing protein	0
14	NCBI_PGAP	WP_308704745.1	S8 family serine peptidase	0
19	NCBI_PGAP	WP_160609436.1	DEAD/DEAH box helicase	0
20	NCBI_PGAP	WP_416388890.1	site-specific DNA-methyltransferase	0
21	NCBI_PGAP	WP_002557743.1	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE (tsaE)	0
22	NCBI_PGAP	WP_160609438.1	DNA-directed RNA polymerase subunit beta'	0
23	NCBI_PGAP	WP_160609439.1	DNA-directed RNA polymerase subunit beta	0
24	NCBI_PGAP	WP_160581467.1	50S ribosomal protein L7/L12 (rplL)	0
25	NCBI_PGAP	WP_002557739.1	50S ribosomal protein L10 (rplJ)	0
26	NCBI_PGAP	WP_160609440.1	P68 family surface lipoprotein	0
27	NCBI_PGAP	WP_052234586.1	P68 family surface lipoprotein	0
28	NCBI_PGAP	WP_160609441.1	thermonuclease family protein	0
29	NCBI_PGAP	WP_160609442.1	ATP-binding cassette domain-containing protein	0
31	NCBI_PGAP	WP_160609445.1	P110/LppT family adhesin N-terminal domain	0
33	NCBI_PGAP	WP_160609446.1	carbohydrate ABC transporter permease	0
34	NCBI_PGAP	WP_160581484.1	carbohydrate ABC transporter permease	0
35	NCBI_PGAP	WP_160609447.1	DNA methyltransferase	0
36	NCBI_PGAP	WP_220190092.1	site-specific DNA-methyltransferase	0
37	NCBI_PGAP	WP_416388891.1	site-specific DNA-methyltransferase	0
38	NCBI_PGAP	WP_308704748.1	site-specific DNA-methyltransferase	0
39	NCBI_PGAP	WP_308704719.1	DNA gyrase subunit A	0
40	NCBI_PGAP	WP_160605278.1	DNA gyrase/topoisomerase IV subunit B	0
41	NCBI_PGAP	WP_002557886.1	type I glyceraldehyde-3-phosphate dehydrogenase (gap)	0
42	NCBI_PGAP	WP_258556745.1	Mhp366/Mhp367 family surface (lipo)protein	0
43	NCBI_PGAP	WP_160581057.1	ribonuclease R (rnr)	0
44	NCBI_PGAP	WP_039387487.1	preprotein translocase subunit SecG (secG)	0
45	NCBI_PGAP	WP_308704720.1	phospholipase D-like domain-containing protein	0
46	NCBI_PGAP	WP_002557890.1	recombinase RecA (recA)	0
47	NCBI_PGAP	WP_002557891.1	phosphotransferase	0
48	NCBI_PGAP	WP_002557892.1	GTPase ObgE (obgE)	0
49	NCBI_PGAP	WP_160581051.1	MG284/MPN403 family protein	0
50	NCBI_PGAP	WP_160583733.1	MHO_1580 family protein	0
51	NCBI_PGAP	WP_002557895.1	MHO_1590 family protein	0
52	NCBI_PGAP	WP_160583731.1	DNA polymerase IV	0
53	NCBI_PGAP	WP_002557898.1	F0F1 ATP synthase subunit A	0
54	NCBI_PGAP	WP_002557899.1	F0F1 ATP synthase subunit C	0
55	NCBI_PGAP	WP_002557900.1	ATP synthase F0 subunit B	0
56	NCBI_PGAP	WP_002557901.1	F0F1 ATP synthase subunit delta	0
57	NCBI_PGAP	WP_160609237.1	F0F1 ATP synthase subunit alpha (atpA)	0
58	NCBI_PGAP	WP_002557903.1	FoF1 ATP synthase subunit gamma	0
59	NCBI_PGAP	WP_160609238.1	F0F1 ATP synthase subunit beta (atpD)	0
61	NCBI_PGAP	WP_160609239.1	Holliday junction resolvase RecU (recU)	0
62	NCBI_PGAP	WP_002557906.1	30S ribosomal protein S2 (rpsB)	0
63	NCBI_PGAP	WP_160609240.1	translation elongation factor Ts (tsf)	0
64	NCBI_PGAP	WP_160609241.1	signal recognition particle protein (ffh)	0
65	NCBI_PGAP	WP_002557909.1	glycine--tRNA ligase	0
66	NCBI_PGAP	WP_258556748.1	DNA primase (dnaG)	0
67	NCBI_PGAP	WP_160609242.1	RNA polymerase sigma factor	0
68	NCBI_PGAP	WP_002557912.1	Nif3-like dinuclear metal center hexameric protein	0
69	NCBI_PGAP	WP_002557913.1	deoxyribonuclease IV	0
70	NCBI_PGAP	WP_002557914.1	tyrosine--tRNA ligase (tyrS)	0
71	NCBI_PGAP	WP_160609243.1	DUF4011 domain-containing protein	0
72	NCBI_PGAP	WP_308704724.1	SGNH/GDSL hydrolase family protein	0
73	NCBI_PGAP	WP_160581028.1	GIY-YIG nuclease family protein	0
75	NCBI_PGAP	WP_160581026.1	molecular chaperone DnaK (dnaK)	0
76	NCBI_PGAP	WP_002557921.1	DnaJ C-terminal domain-containing protein	0
77	NCBI_PGAP	WP_160609245.1	(d)CMP kinase (cmk)	0
78	NCBI_PGAP	WP_002557923.1	ribosome biogenesis GTPase Der (der)	0
79	NCBI_PGAP	WP_039387496.1	HU family DNA-binding protein	0
81	NCBI_PGAP	WP_002557926.1	translation elongation factor 4 (lepA)	0
82	NCBI_PGAP	WP_002557927.1	MSC_0882 family membrane protein	0
83	NCBI_PGAP	WP_002557928.1	elongation factor G (fusA)	0
84	NCBI_PGAP	WP_039387498.1	30S ribosomal protein S7 (rpsG)	0
85	NCBI_PGAP	WP_002557930.1	30S ribosomal protein S12 (rpsL)	0
86	NCBI_PGAP	WP_039387501.1	DUF4231 domain-containing protein	0
87	NCBI_PGAP	WP_039387504.1	DUF4231 domain-containing protein	0
89	NCBI_PGAP	WP_160583705.1	APC family permease	0
90	NCBI_PGAP	WP_002557934.1	FAD-dependent oxidoreductase	0
91	NCBI_PGAP	WP_002557935.1	thymidine phosphorylase	0
92	NCBI_PGAP	WP_002557936.1	purine-nucleoside phosphorylase	0
93	NCBI_PGAP	WP_160609246.1	preprotein translocase subunit SecA (secA)	0
95	NCBI_PGAP	WP_220189978.1	ribosome biogenesis GTPase YlqF (ylqF)	0
97	NCBI_PGAP	WP_160580848.1	excinuclease ABC subunit UvrA (uvrA)	0
98	NCBI_PGAP	WP_160609248.1	ribonuclease J	0
100	NCBI_PGAP	WP_160609249.1	DUF2130 domain-containing protein	0
101	NCBI_PGAP	WP_160609250.1	dUTP diphosphatase	0
102	NCBI_PGAP	WP_002557577.1	peroxiredoxin	0
103	NCBI_PGAP	WP_002557578.1	prolipoprotein diacylglyceryl transferase	0
104	NCBI_PGAP	WP_039387509.1	NAD(P)/FAD-dependent oxidoreductase	0
105	NCBI_PGAP	WP_160609251.1	P97 family adhesin	0
106	NCBI_PGAP	WP_308704722.1	P110/LppT family adhesin N-terminal domain	0
107	NCBI_PGAP	WP_160609253.1	ATP-dependent Clp protease ATP-binding subunit	0
108	NCBI_PGAP	WP_160580862.1	triose-phosphate isomerase (tpiA)	0
109	NCBI_PGAP	WP_160583687.1	30S ribosomal protein S15 (rpsO)	0
110	NCBI_PGAP	WP_160609254.1	DUF3899 domain-containing protein	0
111	NCBI_PGAP	WP_160609255.1	P110/LppT family adhesin N-terminal domain	0
112	NCBI_PGAP	WP_160609256.1	P97 family adhesin	0
113	NCBI_PGAP	WP_002557589.1	DNA gyrase subunit B	0
115	NCBI_PGAP	WP_160583684.1	6-phosphofructokinase (pfkA)	0
117	NCBI_PGAP	WP_160609257.1	amino acid permease	0
118	NCBI_PGAP	WP_002557593.1	adenine phosphoribosyltransferase	0
119	NCBI_PGAP	WP_160609258.1	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha (pdhA)	0
120	NCBI_PGAP	WP_002557595.1	alpha-ketoacid dehydrogenase subunit beta	0
127	NCBI_PGAP	WP_002557602.1	potassium transporter TrkG	0
128	NCBI_PGAP	WP_002557603.1	potassium channel family protein	0
130	NCBI_PGAP	WP_258556752.1	putative cysteine peptidase	0
131	NCBI_PGAP	WP_160580878.1	ABC transporter ATP-binding protein	0
132	NCBI_PGAP	WP_002557607.1	ABC transporter permease	0
133	NCBI_PGAP	WP_160583674.1	ABC transporter permease	0
135	NCBI_PGAP	WP_160609263.1	leucine-rich repeat domain-containing protein	0
136	NCBI_PGAP	WP_160583671.1	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	0
138	NCBI_PGAP	WP_002557613.1	UMP kinase (pyrH)	0
139	NCBI_PGAP	WP_002557614.1	ribosome-recycling factor	0
140	NCBI_PGAP	WP_160580892.1	phosphatidate cytidylyltransferase	0
141	NCBI_PGAP	WP_160609264.1	PolC-type DNA polymerase III	0
142	NCBI_PGAP	WP_160583667.1	glucose-6-phosphate isomerase	0
144	NCBI_PGAP	WP_002557620.1	peptide-methionine (R)-S-oxide reductase MsrB (msrB)	0
145	NCBI_PGAP	WP_160609266.1	DNA gyrase subunit A (gyrA)	0
