gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	WP_002557739.1	50S ribosomal protein L10 (rplJ)	0
1	NCBI_PGAP	WP_160584044.1	50S ribosomal protein L7/L12 (rplL)	0
2	NCBI_PGAP	WP_160603258.1	DNA-directed RNA polymerase subunit beta	0
3	NCBI_PGAP	WP_002557742.1	DNA-directed RNA polymerase subunit beta'	0
4	NCBI_PGAP	WP_002557743.1	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	0
5	NCBI_PGAP	WP_220190081.1	ABC transporter thiamine pyrophosphate-binding lipoprotein p37/Cypl (cypl)	0
6	NCBI_PGAP	WP_160581429.1	ATP-binding cassette domain-containing protein	0
7	NCBI_PGAP	WP_160584058.1	ABC transporter permease subunit	0
8	NCBI_PGAP	WP_160581431.1	MAG0490 family ComEA-like DNA-binding protein	0
9	NCBI_PGAP	WP_308507120.1	ComEC/Rec2 family competence protein	0
10	NCBI_PGAP	WP_160581432.1	DNA polymerase III subunit delta (holA)	0
11	NCBI_PGAP	WP_160603260.1	DEAD/DEAH box helicase family protein	0
12	NCBI_PGAP	WP_160603262.1	site-specific DNA-methyltransferase	0
13	NCBI_PGAP	WP_160603264.1	P68 family surface lipoprotein	0
14	NCBI_PGAP	WP_052234586.1	P68 family surface lipoprotein	0
15	NCBI_PGAP	WP_160593542.1	thermonuclease family protein	0
16	NCBI_PGAP	WP_160581474.1	ATP-binding cassette domain-containing protein	0
17	NCBI_PGAP	WP_160603268.1	carbohydrate ABC transporter permease	0
18	NCBI_PGAP	WP_039387592.1	carbohydrate ABC transporter permease	0
20	NCBI_PGAP	WP_160584029.1	P110/LppT family adhesin N-terminal domain	0
22	NCBI_PGAP	WP_039387562.1	APC family permease	0
23	NCBI_PGAP	WP_160581423.1	MIP/aquaporin family protein	0
24	NCBI_PGAP	WP_160603272.1	glycerol kinase GlpK (glpK)	0
25	NCBI_PGAP	WP_220190833.1	HinT-interacting membrane complex lipoprotein P60	0
26	NCBI_PGAP	WP_002557684.1	histidine triad protein HinT (hinT)	0
27	NCBI_PGAP	WP_220190834.1	Mhp366/Mhp367 family surface (lipo)protein	0
29	NCBI_PGAP	WP_308705398.1	DEAD/DEAH box helicase family protein	0
30	NCBI_PGAP	WP_369122332.1	Mhp366/Mhp367 family surface (lipo)protein	0
31	NCBI_PGAP	WP_160603281.1	site-specific DNA-methyltransferase	0
32	NCBI_PGAP	WP_160603014.1	BC85_0335 family putative methyltransferase	0
33	NCBI_PGAP	WP_160581112.1	transcription elongation factor GreA (greA)	0
34	NCBI_PGAP	WP_160583767.1	MATE family efflux transporter	0
37	NCBI_PGAP	WP_160583766.1	valine--tRNA ligase	0
40	NCBI_PGAP	WP_160603016.1	membrane protein insertase YidC (yidC)	0
41	NCBI_PGAP	WP_039387723.1	ribonuclease P protein component (rnpA)	0
42	NCBI_PGAP	WP_002557480.1	50S ribosomal protein L34 (rpmH)	0
43	NCBI_PGAP	WP_002557479.1	chromosomal replication initiator protein DnaA (dnaA)	0
44	NCBI_PGAP	WP_160583760.1	DNA polymerase III subunit beta	0
45	NCBI_PGAP	WP_002557477.1	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG (mnmG)	0
46	NCBI_PGAP	WP_002557476.1	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	0
47	NCBI_PGAP	WP_160603118.1	bifunctional oligoribonuclease/PAP phosphatase NrnA	0
48	NCBI_PGAP	WP_002557472.1	type II toxin-antitoxin system antitoxin SocA domain-containing protein	0
49	NCBI_PGAP	WP_002557471.1	signal recognition particle-docking protein FtsY (ftsY)	0
50	NCBI_PGAP	WP_160583753.1	thioredoxin domain-containing protein	0
51	NCBI_PGAP	WP_002557469.1	heat-inducible transcriptional repressor HrcA	0
52	NCBI_PGAP	WP_160603017.1	nucleotide exchange factor GrpE (grpE)	0
53	NCBI_PGAP	WP_160603018.1	arginine--tRNA ligase (argS)	0
54	NCBI_PGAP	WP_160581087.1	DNA-directed RNA polymerase subunit delta (rpoE)	0
55	NCBI_PGAP	WP_160581085.1	class II fructose-1,6-bisphosphate aldolase (fba)	0
56	NCBI_PGAP	WP_002557464.1	RNA pseudouridine synthase	0
58	NCBI_PGAP	WP_002557876.1	amidase family protein	0
59	NCBI_PGAP	WP_160603019.1	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB (gatB)	0
64	NCBI_PGAP	WP_160603024.1	signal peptidase II	0
65	NCBI_PGAP	WP_002557883.1	isoleucine--tRNA ligase (ileS)	0
66	NCBI_PGAP	WP_160603026.1	DNA topoisomerase IV subunit A	0
67	NCBI_PGAP	WP_160603027.1	type IIA DNA topoisomerase subunit B	0
68	NCBI_PGAP	WP_002557886.1	type I glyceraldehyde-3-phosphate dehydrogenase (gap)	0
69	NCBI_PGAP	WP_258554019.1	Mhp366/Mhp367 family surface (lipo)protein	0
70	NCBI_PGAP	WP_002557888.1	ribonuclease R (rnr)	0
71	NCBI_PGAP	WP_039387487.1	preprotein translocase subunit SecG (secG)	0
72	NCBI_PGAP	WP_308704668.1	phospholipase D-like domain-containing protein	0
73	NCBI_PGAP	WP_002557890.1	recombinase RecA (recA)	0
74	NCBI_PGAP	WP_002557891.1	phosphotransferase	0
75	NCBI_PGAP	WP_002557892.1	GTPase ObgE (obgE)	0
76	NCBI_PGAP	WP_160581051.1	MG284/MPN403 family protein	0
77	NCBI_PGAP	WP_160583733.1	MHO_1580 family protein	0
78	NCBI_PGAP	WP_002557895.1	MHO_1590 family protein	0
79	NCBI_PGAP	WP_160583731.1	DNA polymerase IV	0
80	NCBI_PGAP	WP_002557898.1	F0F1 ATP synthase subunit A	0
81	NCBI_PGAP	WP_002557899.1	F0F1 ATP synthase subunit C	0
82	NCBI_PGAP	WP_002557900.1	ATP synthase F0 subunit B	0
