gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	WP_220190833.1	HinT-interacting membrane complex lipoprotein P60	0
1	NCBI_PGAP	WP_002557684.1	histidine triad protein HinT (hinT)	0
2	NCBI_PGAP	WP_308704663.1	Mhp366/Mhp367 family surface (lipo)protein	0
3	NCBI_PGAP	WP_039387562.1	APC family permease	0
4	NCBI_PGAP	WP_160581423.1	MIP/aquaporin family protein	0
5	NCBI_PGAP	WP_160581425.1	glycerol kinase GlpK (glpK)	0
6	NCBI_PGAP	WP_220190081.1	ABC transporter thiamine pyrophosphate-binding lipoprotein p37/Cypl (cypl)	0
7	NCBI_PGAP	WP_160581429.1	ATP-binding cassette domain-containing protein	0
8	NCBI_PGAP	WP_039387760.1	ABC transporter permease subunit	0
9	NCBI_PGAP	WP_160581431.1	MAG0490 family ComEA-like DNA-binding protein	0
10	NCBI_PGAP	WP_308507120.1	ComEC/Rec2 family competence protein	0
11	NCBI_PGAP	WP_160581432.1	DNA polymerase III subunit delta (holA)	0
12	NCBI_PGAP	WP_160581434.1	DEAD/DEAH box helicase family protein	0
13	NCBI_PGAP	WP_160581439.1	His/Gly/Thr/Pro-type tRNA ligase C-terminal domain-containing protein	0
14	NCBI_PGAP	WP_002557461.1	thioredoxin family protein	0
15	NCBI_PGAP	WP_160581441.1	ATP-binding cassette domain-containing protein	0
16	NCBI_PGAP	WP_160581443.1	YigZ family protein	0
17	NCBI_PGAP	WP_258555794.1	carbohydrate ABC transporter permease	0
18	NCBI_PGAP	WP_236681784.1	carbohydrate ABC transporter permease	0
19	NCBI_PGAP	WP_160581445.1	ABC transporter ATP-binding protein	0
20	NCBI_PGAP	WP_160581447.1	P68 family surface lipoprotein	0
21	NCBI_PGAP	WP_160581449.1	phospho-furanose lactonase	0
22	NCBI_PGAP	WP_160581451.1	PTS ascorbate transporter subunit IIC	0
23	NCBI_PGAP	WP_002557451.1	PTS sugar transporter subunit IIB	0
24	NCBI_PGAP	WP_160581452.1	PTS sugar transporter subunit IIA	0
25	NCBI_PGAP	WP_416388887.1	P97 family adhesin	0
26	NCBI_PGAP	WP_220200596.1	P110/LppT family adhesin N-terminal domain	0
27	NCBI_PGAP	WP_160581457.1	P97 family adhesin	0
29	NCBI_PGAP	WP_160581461.1	phenylalanine--tRNA ligase subunit beta	0
30	NCBI_PGAP	WP_002557565.1	50S ribosomal protein L32 (rpmF)	0
31	NCBI_PGAP	WP_002557566.1	tRNA pseudouridine(55) synthase TruB (truB)	0
32	NCBI_PGAP	WP_002557567.1	YcsE-related riboflavin metabolism phosphatase	0
33	NCBI_PGAP	WP_160581463.1	FAD synthase	0
34	NCBI_PGAP	WP_160581465.1	MurR/RpiR family transcriptional regulator	0
35	NCBI_PGAP	WP_002557739.1	50S ribosomal protein L10 (rplJ)	0
36	NCBI_PGAP	WP_160581467.1	50S ribosomal protein L7/L12 (rplL)	0
37	NCBI_PGAP	WP_160581469.1	DNA-directed RNA polymerase subunit beta	0
38	NCBI_PGAP	WP_002557742.1	DNA-directed RNA polymerase subunit beta'	0
39	NCBI_PGAP	WP_002557743.1	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE (tsaE)	0
40	NCBI_PGAP	WP_160581470.1	P68 family surface lipoprotein	0
41	NCBI_PGAP	WP_052234586.1	P68 family surface lipoprotein	0
42	NCBI_PGAP	WP_160581472.1	thermonuclease family protein	0
43	NCBI_PGAP	WP_160581474.1	ATP-binding cassette domain-containing protein	0
44	NCBI_PGAP	WP_160581478.1	S8 family serine peptidase	0
49	NCBI_PGAP	WP_160581484.1	carbohydrate ABC transporter permease	0
50	NCBI_PGAP	WP_039387592.1	carbohydrate ABC transporter permease	0
52	NCBI_PGAP	WP_160581485.1	P110/LppT family adhesin N-terminal domain	0
54	NCBI_PGAP	WP_220200598.1	DNA methyltransferase	0
55	NCBI_PGAP	WP_160581489.1	DEAD/DEAH box helicase	0
56	NCBI_PGAP	WP_160580848.1	excinuclease ABC subunit UvrA (uvrA)	0
57	NCBI_PGAP	WP_160580850.1	ribonuclease J	0
