gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	WP_002557739.1	50S ribosomal protein L10 (rplJ)	0
1	NCBI_PGAP	WP_160584044.1	50S ribosomal protein L7/L12 (rplL)	0
2	NCBI_PGAP	WP_160584046.1	DNA-directed RNA polymerase subunit beta	0
3	NCBI_PGAP	WP_002557742.1	DNA-directed RNA polymerase subunit beta'	0
4	NCBI_PGAP	WP_160584048.1	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE (tsaE)	0
5	NCBI_PGAP	WP_220190084.1	HinT-interacting membrane complex lipoprotein P60	0
6	NCBI_PGAP	WP_002557684.1	histidine triad protein HinT (hinT)	0
7	NCBI_PGAP	WP_220190244.1	Mhp366/Mhp367 family surface (lipo)protein	0
8	NCBI_PGAP	WP_160584052.1	Mhp366/Mhp367 family surface (lipo)protein	0
9	NCBI_PGAP	WP_160584054.1	APC family permease	0
10	NCBI_PGAP	WP_002557689.1	MIP/aquaporin family protein	0
11	NCBI_PGAP	WP_308704671.1	glycerol kinase GlpK (glpK)	0
12	NCBI_PGAP	WP_220190081.1	ABC transporter thiamine pyrophosphate-binding lipoprotein p37/Cypl (cypl)	0
13	NCBI_PGAP	WP_160581429.1	ATP-binding cassette domain-containing protein	0
14	NCBI_PGAP	WP_220190247.1	ABC transporter permease subunit	0
15	NCBI_PGAP	WP_160581431.1	MAG0490 family ComEA-like DNA-binding protein	0
16	NCBI_PGAP	WP_308507120.1	ComEC/Rec2 family competence protein	0
17	NCBI_PGAP	WP_160581432.1	DNA polymerase III subunit delta (holA)	0
18	NCBI_PGAP	WP_160584060.1	DEAD/DEAH box helicase family protein	0
19	NCBI_PGAP	WP_308704672.1	site-specific DNA-methyltransferase	0
21	NCBI_PGAP	WP_160584064.1	DNA methyltransferase	0
22	NCBI_PGAP	WP_160584066.1	DEAD/DEAH box helicase family protein	0
23	NCBI_PGAP	WP_308704673.1	aminoacyl--tRNA ligase-related protein	0
24	NCBI_PGAP	WP_308704674.1	site-specific DNA-methyltransferase	0
25	NCBI_PGAP	WP_308704675.1	site-specific DNA-methyltransferase	0
26	NCBI_PGAP	WP_160580994.1	FMN-dependent NADH-azoreductase	0
27	NCBI_PGAP	WP_002557668.1	FMN-dependent NADH-azoreductase	0
28	NCBI_PGAP	WP_002557667.1	50S ribosomal protein L31 (rpmE)	0
29	NCBI_PGAP	WP_160580991.1	Dps family protein	0
30	NCBI_PGAP	WP_160583604.1	RluA family pseudouridine synthase	0
31	NCBI_PGAP	WP_039387548.1	50S ribosomal protein L11 (rplK)	0
32	NCBI_PGAP	WP_002557663.1	50S ribosomal protein L1 (rplA)	0
35	NCBI_PGAP	WP_002557972.1	ribosome biogenesis GTP-binding protein YihA/YsxC (yihA)	0
36	NCBI_PGAP	WP_220190174.1	LppA-related lipoprotein	0
37	NCBI_PGAP	WP_160583610.1	Mhp366/Mhp367 family surface (lipo)protein	0
38	NCBI_PGAP	WP_255454461.1	Mhp366/Mhp367 family surface (lipo)protein	0
39	NCBI_PGAP	WP_002557977.1	M17 family metallopeptidase	0
40	NCBI_PGAP	WP_002557978.1	tRNA (guanosine(46)-N7)-methyltransferase TrmB (trmB)	0
42	NCBI_PGAP	WP_002557980.1	aromatic motif membrane protein	0
43	NCBI_PGAP	WP_160583616.1	aromatic motif membrane protein	0
44	NCBI_PGAP	WP_160580973.1	ABC transporter ATP-binding protein	0
45	NCBI_PGAP	WP_258556596.1	ABC transporter permease	0
46	NCBI_PGAP	WP_160583620.1	lactate dehydrogenase	0
47	NCBI_PGAP	WP_160583622.1	phosphoenolpyruvate--protein phosphotransferase (ptsP)	0
48	NCBI_PGAP	WP_160580968.1	NAD(+) synthase (nadE)	0
49	NCBI_PGAP	WP_160580966.1	YebC/PmpR family DNA-binding transcriptional regulator	0
50	NCBI_PGAP	WP_160580964.1	5'-methylthioadenosine nucleosidase	0
51	NCBI_PGAP	WP_160583624.1	nicotinate-nucleotide adenylyltransferase	0
52	NCBI_PGAP	WP_002558016.1	Cof-type HAD-IIB family hydrolase	0
53	NCBI_PGAP	WP_002558014.1	MSC_0618 family F1-like ATPase beta subunit	0
54	NCBI_PGAP	WP_160583626.1	MSC_0619 family F1-like ATPase alpha subunit	0
55	NCBI_PGAP	WP_160583627.1	MSC_0620 family F1-like ATPase-associated subunit	0
56	NCBI_PGAP	WP_160580960.1	MSC_0621 family F1-like ATPase epsilon subunit	0
57	NCBI_PGAP	WP_196792423.1	MSC_0622 family F1-like ATPase gamma subunit	0
58	NCBI_PGAP	WP_160580958.1	DUF2714 domain-containing protein	0
59	NCBI_PGAP	WP_160583629.1	MSC_0624 family F1-like ATPase-associated membrane protein	0
60	NCBI_PGAP	WP_039387750.1	Cof-type HAD-IIB family hydrolase	0
62	NCBI_PGAP	WP_160583633.1	magnesium transporter (mgtE)	0
63	NCBI_PGAP	WP_002558005.1	diadenylate cyclase	0
64	NCBI_PGAP	WP_002558003.1	phosphoglycerate kinase	0
65	NCBI_PGAP	WP_160583635.1	PTS sugar transporter subunit IIA	0
66	NCBI_PGAP	WP_160583637.1	type I phosphomannose isomerase catalytic subunit	0
67	NCBI_PGAP	WP_220190175.1	P97 family adhesin	0
68	NCBI_PGAP	WP_220190176.1	P110/LppT family adhesin N-terminal domain	0
69	NCBI_PGAP	WP_160583639.1	MGA_1079 family surface serine endopeptidase	0
71	NCBI_PGAP	WP_160583643.1	ATP-binding cassette domain-containing protein	0
72	NCBI_PGAP	WP_160583644.1	ABC transporter ATP-binding protein	0
73	NCBI_PGAP	WP_160583646.1	ABC transporter permease	0
74	NCBI_PGAP	WP_160583648.1	ABC transporter permease	0
75	NCBI_PGAP	WP_160583649.1	OppA family ABC transporter substrate-binding lipoprotein	0
76	NCBI_PGAP	WP_160583651.1	putative immunoglobulin-blocking virulence protein	0
