Orthogroup	MHP_7448_proteins	MHP_ES2L_proteins
OG0000000	WP_148174330.1	WP_318036674.1
OG0000000	WP_052269173.1	WP_240536594.1
OG0000000	WP_044272432.1	WP_157696714.1
OG0000000	WP_081420845.1	WP_179221294.1
OG0000001	WP_187145661.1	WP_240536639.1
OG0000001	WP_228365393.1	WP_240536609.1
OG0000001	WP_020835822.1	WP_240536607.1
OG0000002	WP_011206235.1	WP_218833877.1
OG0000002	WP_020835682.1	WP_179221108.1
OG0000003	WP_044272444.1, WP_044272440.1, WP_044272308.1	WP_044272440.1
OG0000003	WP_052269171.1	WP_240536590.1, WP_240536589.1, WP_240536655.1
OG0000004	WP_020835883.1	WP_179221232.1
OG0000004	WP_020835887.1	WP_179221234.1
OG0000004	WP_228366110.1	WP_240536612.1
OG0000005	WP_011289941.1	WP_146379449.1
OG0000005	WP_011289945.1	WP_179220984.1
OG0000005	WP_011289942.1	WP_179220982.1
OG0000005	WP_011289943.1	WP_179220983.1
OG0000005	WP_011289946.1	WP_011289946.1
OG0000006	WP_228366101.1	WP_233688469.1
OG0000006	WP_081420850.1	WP_240536597.1
OG0000008	WP_011290229.1	WP_011206260.1
OG0000008	WP_044272707.1	WP_240536647.1
OG0000008	WP_228366102.1	WP_225972989.1
OG0000009	WP_011290021.1	WP_179221024.1
OG0000010	WP_011290178.1	WP_179221114.1
OG0000011	WP_011290191.1	WP_179221118.1
OG0000012	WP_011284103.1, WP_011290302.1	WP_146379492.1
OG0000012	WP_179221115.1	WP_179221115.1
OG0000013	WP_228366099.1	WP_240536602.1
OG0000013	WP_228366120.1	WP_240536631.1
OG0000014	WP_011290011.1	WP_179221018.1
OG0000015	WP_041361615.1	WP_240536643.1, WP_179221216.1
OG0000016	WP_044272572.1	WP_179221190.1
OG0000016	WP_011289955.1	WP_179220988.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_020835635.1	WP_179221069.1
OG0000019	WP_044272594.1	WP_233688517.1
OG0000019	WP_011290357.1	WP_240536613.1
OG0000020	WP_011290437.1	WP_240536625.1
OG0000020	WP_011290438.1	WP_179221274.1
OG0000022	WP_011290146.1	WP_179221100.1
OG0000022	WP_011290156.1	WP_179221107.1
OG0000024	WP_011290315.1	WP_179221186.1
OG0000024	WP_011290098.1	WP_011205981.1
OG0000025	WP_011290147.1	WP_179221101.1
OG0000025	WP_011290155.1	WP_179221106.1
OG0000026	WP_044272393.1	WP_179221074.1
OG0000026	WP_011290151.1	WP_179221105.1
OG0000027	WP_020835902.1	WP_011206475.1
OG0000027	WP_011290410.1	WP_179221251.1
OG0000028	WP_044272522.1	WP_179221152.1
OG0000029	WP_011290069.1	WP_179221049.1
OG0000029	WP_011290012.1	WP_179221019.1
OG0000030	WP_044272656.1	WP_179221248.1
OG0000030	WP_044272658.1	WP_179221250.1
OG0000031	WP_011290137.1	WP_011290137.1
OG0000032	WP_011290135.1	WP_179221091.1
OG0000032	WP_228366115.1	WP_240536621.1
OG0000035	WP_044272631.1	WP_179221231.1
OG0000035	WP_011290382.1	WP_179221229.1
OG0000036	WP_020835495.1	WP_240536627.1
OG0000036	WP_020835498.1	WP_240536628.1, WP_240536629.1
OG0000037	WP_081420842.1	WP_240536665.1
OG0000037	WP_081420841.1	WP_179221292.1
OG0000038	WP_044272443.1	WP_179221109.1
OG0000038	WP_044272304.1	WP_179221008.1
OG0000039	WP_011290139.1	WP_179221095.1
OG0000040	WP_044272644.1	WP_179221240.1
OG0000041	WP_228366127.1	WP_228366127.1
OG0000042	WP_044272729.1	WP_179221198.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_011290239.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_020835667.1	WP_240536645.1
OG0000046	WP_228366114.1	WP_179221242.1
OG0000047	WP_044272416.1	WP_240536618.1
OG0000048	WP_011290213.1	WP_011284150.1
OG0000049	WP_011290363.1	WP_179221202.1
OG0000050	WP_044272534.1	WP_179221157.1
OG0000051	WP_011290299.1	WP_179221174.1
OG0000052	WP_011289937.1	WP_179220981.1
OG0000053	WP_044272405.1	WP_179221080.1
OG0000054	WP_044272538.1	WP_011206291.1
OG0000055	WP_011205867.1	WP_135618462.1
OG0000056	WP_081420855.1	WP_179221272.1
OG0000057	WP_011290343.1	WP_240536610.1
OG0000058	WP_011290242.1	WP_179221205.1
