Orthogroup	MHP_7448_proteins	MHP_ES2_proteins
OG0000000	WP_228366139.1	WP_240536417.1
OG0000000	WP_044272483.1	WP_240536311.1
OG0000000	WP_148174330.1	WP_135618898.1
OG0000000	WP_052269173.1	WP_318026010.1
OG0000000	WP_044272432.1	WP_135618783.1
OG0000000	WP_081420845.1	WP_318026031.1, WP_334199108.1
OG0000001	WP_187145661.1	WP_193325079.1
OG0000001	WP_228366130.1	WP_237697234.1
OG0000001	WP_228365393.1	WP_225972995.1
OG0000001	WP_020835822.1	WP_240536341.1
OG0000002	WP_020835748.1	WP_237697200.1
OG0000002	WP_020835682.1	WP_135618787.1
OG0000003	WP_044272444.1, WP_044272440.1, WP_044272308.1	WP_135618807.1
OG0000003	WP_052269171.1	WP_135618606.1, WP_240536309.1, WP_237697199.1, WP_240536310.1, WP_228729174.1
OG0000004	WP_020835883.1	WP_014579982.1
OG0000004	WP_044272630.1	WP_135619088.1
OG0000004	WP_020835887.1	WP_135619092.1
OG0000004	WP_228366110.1	WP_240536350.1
OG0000005	WP_011289941.1	WP_135618450.1
OG0000005	WP_011289945.1	WP_135618456.1
OG0000005	WP_011289942.1	WP_135618452.1
OG0000005	WP_011289943.1	WP_135618454.1
OG0000005	WP_011289946.1	WP_135618458.1
OG0000006	WP_228366101.1	WP_135618942.1
OG0000006	WP_081420850.1	WP_240536328.1, WP_240536326.1
OG0000008	WP_011290229.1	WP_240536315.1, WP_011206260.1
OG0000008	WP_044272707.1	WP_240536388.1
OG0000008	WP_228366102.1	WP_240536339.1, WP_240536338.1
OG0000009	WP_011290018.1	WP_011206100.1
OG0000009	WP_011290021.1	WP_135618567.1
OG0000010	WP_011290178.1	WP_135618816.1
OG0000011	WP_011290191.1	WP_135618836.1
OG0000011	WP_044272461.1	WP_135618832.1
OG0000012	WP_011284103.1, WP_011290302.1	WP_135619051.1
OG0000013	WP_228366099.1	WP_240536333.1
OG0000013	WP_228366120.1	WP_240536360.1
OG0000014	WP_011290070.1	WP_135618629.1
OG0000014	WP_011290011.1	WP_135618557.1
OG0000015	WP_135618763.1	WP_135618763.1
OG0000015	WP_041361615.1	WP_135618902.1
OG0000016	WP_044272572.1	WP_135619010.1
OG0000016	WP_011289955.1	WP_135618472.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000019	WP_044272594.1	WP_135619049.1
OG0000019	WP_011290357.1	WP_135619053.1
OG0000020	WP_011290437.1	WP_240536358.1
OG0000021	WP_041361759.1	WP_135618797.1
OG0000022	WP_011290146.1	WP_135618767.1
OG0000022	WP_011290156.1	WP_135618781.1
OG0000024	WP_011290315.1	WP_135618988.1
OG0000024	WP_011290098.1	WP_135618668.1
OG0000025	WP_011290147.1	WP_135618769.1
OG0000025	WP_011290155.1	WP_135618779.1
OG0000026	WP_044272393.1	WP_044284614.1
OG0000026	WP_011290151.1	WP_135618775.1
OG0000027	WP_020835902.1	WP_135619129.1
OG0000027	WP_011290410.1	WP_135619132.1
OG0000028	WP_044272522.1	WP_135618930.1
OG0000029	WP_011290069.1	WP_135618627.1
OG0000029	WP_011290012.1	WP_135618559.1
OG0000030	WP_044272656.1	WP_240536353.1
OG0000030	WP_044272658.1	WP_020835904.1
OG0000032	WP_011290135.1	WP_135618726.1
OG0000032	WP_228366115.1	WP_240536354.1
OG0000035	WP_044272631.1	WP_135619086.1
OG0000035	WP_011290382.1	WP_135619082.1
OG0000036	WP_020835495.1	WP_240536359.1
OG0000036	WP_020835498.1	WP_135618460.1
OG0000037	WP_081420842.1	WP_240536407.1
OG0000038	WP_044272443.1	WP_135618806.1
OG0000039	WP_011290139.1	WP_135618739.1, WP_167871264.1
OG0000040	WP_044272644.1	WP_135619110.1
OG0000041	WP_011290019.1	WP_135618565.1
OG0000042	WP_044272729.1	WP_135619032.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_011290239.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_081430780.1
OG0000045	WP_020835667.1	WP_135618740.1
OG0000046	WP_228366114.1	WP_135619114.1
OG0000047	WP_044272416.1	WP_240536319.1
OG0000048	WP_011290213.1	WP_135618866.1
OG0000049	WP_011290363.1	WP_240536351.1
OG0000050	WP_044272534.1	WP_135618938.1
OG0000051	WP_011290299.1	WP_135618969.1
OG0000052	WP_011289937.1	WP_135618448.1
OG0000053	WP_044272405.1	WP_135618705.1
OG0000054	WP_044272538.1	WP_135618940.1
OG0000055	WP_011205867.1	WP_135618462.1
OG0000056	WP_081420855.1	WP_135619162.1
OG0000057	WP_011290343.1	WP_240536348.1
OG0000058	WP_011290242.1	WP_240536387.1, WP_135618741.1, WP_135618911.1
OG0000059	WP_044272504.1, WP_148174331.1	WP_240536325.1
OG0000060	WP_020835489.1	WP_020835489.1
OG0000062	WP_011290443.1	WP_011206522.1
OG0000063	WP_044272678.1	WP_135619169.1
OG0000064	WP_011290440.1	WP_135619167.1
OG0000065	WP_011290219.1	WP_011290219.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_044272314.1	WP_135618544.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_135619002.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_044272640.1	WP_135619103.1
OG0000072	WP_044272642.1	WP_135619105.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_228366126.1	WP_044284596.1
OG0000075	WP_014579568.1	WP_135618517.1
OG0000076	WP_011289987.1	WP_135618521.1
OG0000077	WP_011289996.1	WP_135618533.1
OG0000079	WP_011206305.1	WP_135618951.1
OG0000080	WP_011206314.1	WP_179695988.1
OG0000081	WP_011289985.1	WP_135618515.1
OG0000082	WP_081420852.1	WP_240536332.1
OG0000083	WP_014579823.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011206222.1
OG0000085	WP_011206223.1	WP_011206223.1
OG0000086	WP_011290207.1	WP_135618860.1
OG0000087	WP_044272477.1	WP_044272477.1
OG0000088	WP_044272480.1	WP_044272480.1
OG0000089	WP_011290212.1	WP_011206231.1
OG0000090	WP_011289936.1	WP_044278048.1
OG0000091	WP_020835487.1	WP_011205850.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_044272266.1	WP_011205846.1
OG0000094	WP_020835483.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_228366118.1	WP_135619172.1
OG0000098	WP_011290444.1	WP_135619170.1
OG0000099	WP_044272675.1	WP_135619164.1
OG0000100	WP_011290432.1	WP_135619158.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_044272430.1	WP_135619192.1
OG0000103	WP_011290214.1	WP_135618876.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_011290216.1	WP_135618882.1
OG0000106	WP_011290218.1	WP_135618884.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_011206247.1
OG0000109	WP_020835754.1	WP_014579826.1
OG0000110	WP_011290256.1	WP_135618926.1
OG0000111	WP_044272514.1	WP_240536331.1
OG0000112	WP_228366098.1	WP_240536330.1
OG0000113	WP_014579864.1	WP_011206268.1
OG0000114	WP_044272509.1	WP_225972979.1
OG0000115	WP_011290245.1	WP_011206264.1
OG0000116	WP_011290103.1	WP_135618674.1
OG0000117	WP_044272388.1	WP_135618676.1
OG0000118	WP_011290108.1	WP_228729171.1
OG0000119	WP_011290109.1	WP_135618686.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011290114.1	WP_011284032.1
