Orthogroup	MFC_ATCC27716_protein	MHP_MHP682_protein
OG0000000	WP_002557520.1	WP_146379632.1
OG0000000	WP_002557686.1, WP_002557687.1	WP_160585600.1
OG0000001	WP_039387603.1	WP_160585818.1, WP_160585822.1
OG0000002	WP_051054340.1, WP_002557887.1	WP_308507000.1
OG0000002	WP_002557975.1	WP_258555342.1
OG0000003	WP_334199007.1	WP_308507011.1
OG0000005	WP_196792419.1	WP_160585837.1
OG0000006	WP_002557587.1	WP_160585811.1, WP_220191212.1
OG0000007	WP_040538362.1, WP_081605288.1	WP_308507020.1
OG0000009	WP_002557653.1	WP_160585703.1, WP_160585704.1, WP_160585779.1
OG0000010	WP_002557631.1	WP_258555827.1
OG0000011	WP_051054343.1	WP_258555870.1
OG0000012	WP_039387716.1	WP_160585705.1
OG0000015	WP_040538385.1	WP_160585294.1
OG0000016	WP_081605281.1	WP_160585780.1
OG0000018	WP_002557596.1, WP_002557628.1	WP_160585626.1
OG0000021	WP_155897261.1	WP_160585707.1
OG0000022	WP_231237888.1	WP_258555833.1
OG0000023	WP_002557738.1, WP_318024042.1	WP_160585830.1
OG0000025	WP_002557601.1	WP_160585827.1
OG0000026	WP_002557670.1	WP_160585700.1
OG0000029	WP_002557599.1, WP_002557597.1	WP_258555867.1
OG0000030	WP_002557852.1	WP_160585663.1
OG0000031	WP_323749063.1, WP_002557874.1	WP_160584826.1
OG0000034	WP_002557665.1	WP_160585698.1
OG0000035	WP_002557996.1	WP_160585694.1
OG0000036	WP_039387550.1	WP_160585159.1
OG0000039	WP_002557444.1	WP_160585595.1
OG0000040	WP_002557452.1	WP_011206223.1
OG0000041	WP_002557490.1	WP_308507016.1
OG0000042	WP_002557494.1	WP_308507019.1, WP_160585573.1
OG0000043	WP_002557496.1	WP_160585575.1
OG0000044	WP_002557503.1	WP_160585690.1
OG0000045	WP_002557517.1	WP_011290219.1
OG0000046	WP_002557593.1	WP_011206103.1
OG0000047	WP_002557611.1	WP_225972996.1
OG0000048	WP_002557625.1	WP_160585682.1
OG0000049	WP_002557626.1	WP_011284269.1
OG0000050	WP_002557663.1	WP_146379657.1
OG0000051	WP_002557671.1	WP_135619210.1
OG0000052	WP_002557672.1	WP_160585701.1
OG0000053	WP_002557698.1	WP_160585654.1
OG0000054	WP_002557704.1	WP_160585651.1
OG0000055	WP_002557712.1	WP_160585645.1
OG0000056	WP_002557736.1	WP_160585831.1
OG0000057	WP_002557776.1	WP_011290028.1
OG0000058	WP_002557805.1	WP_160585608.1
OG0000059	WP_002557807.1	WP_044284596.1
OG0000060	WP_002557818.1	WP_011290055.1
OG0000061	WP_002557829.1	WP_011206035.1
OG0000062	WP_002557847.1	WP_146379532.1
OG0000063	WP_002557882.1	WP_160585552.1
OG0000064	WP_002557883.1	WP_160585548.1
OG0000065	WP_002557918.1	WP_014579568.1
OG0000066	WP_002557937.1	WP_160585806.1
OG0000067	WP_002557957.1	WP_011206493.1
OG0000068	WP_002557969.1	WP_160585588.1
OG0000069	WP_002557977.1	WP_020835790.1
OG0000070	WP_040538387.1, WP_002558020.1	WP_011206305.1
OG0000071	WP_039387523.1	WP_146379686.1
OG0000072	WP_039387700.1	WP_160585784.1
OG0000073	WP_196792423.1	WP_179695988.1
OG0000074	WP_231237864.1	WP_258555814.1
OG0000075	WP_231237865.1	WP_160585557.1
OG0000076	WP_231237874.1	WP_160585614.1
OG0000077	WP_231237881.1, WP_231237882.1	WP_160585534.1
OG0000079	WP_002557443.1	WP_220191148.1
OG0000080	WP_002557445.1	WP_160585594.1
OG0000081	WP_002557446.1	WP_160585593.1
OG0000082	WP_002557448.1	WP_160585592.1
OG0000083	WP_002557450.1	WP_160585836.1
OG0000084	WP_002557451.1	WP_011206222.1
OG0000085	WP_002557453.1	WP_011206224.1
OG0000086	WP_002557454.1	WP_160585778.1
OG0000087	WP_002557455.1	WP_220190703.1
OG0000088	WP_002557457.1	WP_044272477.1
OG0000089	WP_002557458.1	WP_044272480.1
OG0000090	WP_002557461.1	WP_011206231.1
OG0000091	WP_002557464.1	WP_146379447.1
OG0000092	WP_002557465.1	WP_160585750.1
OG0000093	WP_002557467.1	WP_160585774.1
OG0000094	WP_002557468.1	WP_020835487.1
OG0000095	WP_002557469.1	WP_160584852.1
OG0000096	WP_002557470.1	WP_160584854.1
OG0000097	WP_002557471.1	WP_011205847.1
OG0000098	WP_002557472.1	WP_020835484.1
OG0000099	WP_002557473.1	WP_014579519.1
OG0000100	WP_002557477.1	WP_146379443.1
OG0000101	WP_002557478.1	WP_160584860.1
OG0000102	WP_002557479.1	WP_160585829.1
OG0000103	WP_002557480.1	WP_011206529.1
OG0000104	WP_002557482.1	WP_160585758.1
OG0000105	WP_002557483.1	WP_258555535.1
OG0000106	WP_002557484.1	WP_160585759.1
OG0000107	WP_002557485.1	WP_160585760.1
OG0000108	WP_002557486.1	WP_011206522.1
OG0000109	WP_002557487.1	WP_160585761.1
OG0000110	WP_002557489.1	WP_011290440.1
OG0000111	WP_002557497.1	WP_011206510.1
OG0000112	WP_002557499.1	WP_160585050.1
OG0000113	WP_002557500.1	WP_160585693.1
OG0000114	WP_002557501.1	WP_160585692.1
OG0000115	WP_002557509.1	WP_160585769.1
OG0000116	WP_002557510.1	WP_011206239.1
OG0000117	WP_002557511.1	WP_011284163.1
OG0000118	WP_002557514.1	WP_135618882.1
OG0000119	WP_002557515.1	WP_160585770.1
OG0000120	WP_002557516.1	WP_160585771.1
OG0000121	WP_002557518.1	WP_011284169.1
OG0000122	WP_002557519.1	WP_192894278.1
OG0000123	WP_002557522.1	WP_160585726.1
OG0000124	WP_002557523.1	WP_258555345.1
OG0000125	WP_002557524.1	WP_160585724.1
OG0000126	WP_002557525.1	WP_237697204.1
OG0000127	WP_002557526.1	WP_011206271.1
OG0000128	WP_002557528.1	WP_160585296.1
OG0000129	WP_002557530.1	WP_258555347.1
OG0000130	WP_002557532.1	WP_160585718.1
OG0000131	WP_002557533.1	WP_160585556.1
