Orthogroup	MFC_MF33_genes	MHP_ES2L_genes
OG0000000	DR085_RS02920	HZK19_RS02105
OG0000001	DR085_RS03235	HZK19_RS03720, HZK19_RS02765, HZK19_RS03840
OG0000002	DR085_RS03895	HZK19_RS02110
OG0000002	DR085_RS03805	HZK19_RS01705
OG0000003	DR085_RS03550	HZK19_RS02160
OG0000004	DR085_RS01395	HZK19_RS03240, HZK19_RS03230, HZK19_RS03255, HZK19_RS02970, HZK19_RS02980
OG0000007	DR085_RS02890	HZK19_RS02155
OG0000007	DR085_RS02895	HZK19_RS02150
OG0000007	DR085_RS03890	HZK19_RS02145
OG0000008	DR085_RS03145	HZK19_RS03745
OG0000011	DR085_RS03875, DR085_RS02795	HZK19_RS01910, HZK19_RS03920
OG0000013	DR085_RS00915, DR085_RS00910	HZK19_RS02370
OG0000013	DR085_RS03115	HZK19_RS03715
OG0000014	DR085_RS03650	HZK19_RS00585, HZK19_RS00595
OG0000016	DR085_RS00605	HZK19_RS02805
OG0000017	DR085_RS02380	HZK19_RS00140
OG0000017	DR085_RS00595	HZK19_RS02815
OG0000018	DR085_RS03745	HZK19_RS03075
OG0000020	DR085_RS03795	HZK19_RS03865, HZK19_RS03860
OG0000020	DR085_RS03790	HZK19_RS03600
OG0000022	DR085_RS03800	HZK19_RS01685
OG0000023	DR085_RS02195	HZK19_RS03085
OG0000024	DR085_RS00665	HZK19_RS02710, HZK19_RS01240
OG0000025	DR085_RS02460	HZK19_RS01680
OG0000026	DR085_RS01755	HZK19_RS01330, HZK19_RS01660
OG0000027	DR085_RS03845	HZK19_RS03405
OG0000028	DR085_RS00930	HZK19_RS02385
OG0000029	DR085_RS00425	HZK19_RS01065, HZK19_RS00600
OG0000030	DR085_RS03850	HZK19_RS03380, HZK19_RS03400
OG0000031	DR085_RS02695	HZK19_RS03025
OG0000032	DR085_RS03940	HZK19_RS03395
OG0000039	DR085_RS00495, DR085_RS00485	HZK19_RS01580
OG0000040	DR085_RS03110, DR085_RS00715, DR085_RS00720	HZK19_RS03325
OG0000042	DR085_RS00480, DR085_RS00645	HZK19_RS02900
OG0000043	DR085_RS02670	HZK19_RS01875
OG0000045	DR085_RS00505	HZK19_RS01585
OG0000048	DR085_RS02880, DR085_RS03055	HZK19_RS02065
OG0000050	DR085_RS02735	HZK19_RS02415
OG0000051	DR085_RS01290	HZK19_RS02620
OG0000052	DR085_RS03420	HZK19_RS00075
OG0000053	DR085_RS03740	HZK19_RS01415
OG0000054	DR085_RS00960	HZK19_RS02440
OG0000056	DR085_RS02435	HZK19_RS03580
OG0000057	DR085_RS00520	HZK19_RS02885
OG0000062	DR085_RS02230	HZK19_RS03630
OG0000063	DR085_RS02225	HZK19_RS03625
OG0000064	DR085_RS02215	HZK19_RS03615
OG0000065	DR085_RS01895	HZK19_RS02220
OG0000066	DR085_RS01765	HZK19_RS01320
OG0000068	DR085_RS00460	HZK19_RS00635
OG0000069	DR085_RS00630	HZK19_RS02780
OG0000070	DR085_RS00940	HZK19_RS02445
OG0000071	DR085_RS01590	HZK19_RS03315
OG0000072	DR085_RS03730	HZK19_RS03320
OG0000073	DR085_RS02070	HZK19_RS00680
OG0000074	DR085_RS03690	HZK19_RS00875
OG0000075	DR085_RS00175	HZK19_RS00325
OG0000076	DR085_RS00190	HZK19_RS00340
OG0000077	DR085_RS00275	HZK19_RS00425
OG0000078	DR085_RS00755	HZK19_RS01645
OG0000079	DR085_RS00860	HZK19_RS02525
OG0000080	DR085_RS03275	HZK19_RS02570
OG0000081	DR085_RS00170	HZK19_RS00320
OG0000082	DR085_RS00920	HZK19_RS02365
OG0000083	DR085_RS03000	HZK19_RS01985
OG0000084	DR085_RS02830	HZK19_RS02015
OG0000085	DR085_RS02835	HZK19_RS02020
OG0000086	DR085_RS03880	HZK19_RS02030
OG0000087	DR085_RS02860	HZK19_RS02045
OG0000088	DR085_RS02865	HZK19_RS02050
OG0000089	DR085_RS02875	HZK19_RS02060
OG0000090	DR085_RS02335	HZK19_RS00070
OG0000091	DR085_RS02320	HZK19_RS00055
OG0000092	DR085_RS02305	HZK19_RS00040
OG0000093	DR085_RS02300	HZK19_RS00035
OG0000094	DR085_RS02295	HZK19_RS00030
OG0000095	DR085_RS02270	HZK19_RS00005
OG0000096	DR085_RS02265	HZK19_RS03665
OG0000097	DR085_RS02245	HZK19_RS03645
OG0000098	DR085_RS02235	HZK19_RS03635
OG0000099	DR085_RS02430	HZK19_RS03585
OG0000100	DR085_RS02440	HZK19_RS03570
OG0000101	DR085_RS02445	HZK19_RS03565
OG0000102	DR085_RS02455	HZK19_RS01675
OG0000103	DR085_RS01930	HZK19_RS02185
OG0000104	DR085_RS01925	HZK19_RS02190
OG0000105	DR085_RS01910	HZK19_RS02205
OG0000106	DR085_RS01900	HZK19_RS02215
OG0000107	DR085_RS01890	HZK19_RS02225
OG0000108	DR085_RS01885	HZK19_RS02230
OG0000109	DR085_RS01880	HZK19_RS02235
OG0000110	DR085_RS01875	HZK19_RS02355
OG0000111	DR085_RS01870	HZK19_RS02350
OG0000112	DR085_RS01860	HZK19_RS02340
OG0000113	DR085_RS03750	HZK19_RS02320
OG0000114	DR085_RS01835	HZK19_RS02310
OG0000115	DR085_RS01825	HZK19_RS02300
OG0000116	DR085_RS01815	HZK19_RS01265
OG0000117	DR085_RS01810	HZK19_RS01270
OG0000118	DR085_RS01780	HZK19_RS01305
OG0000119	DR085_RS01775	HZK19_RS01310
OG0000120	DR085_RS01760	HZK19_RS01325
OG0000121	DR085_RS01735	HZK19_RS01350
OG0000122	DR085_RS01730	HZK19_RS01355
OG0000123	DR085_RS01710	HZK19_RS01375
OG0000124	DR085_RS01705	HZK19_RS01380
OG0000125	DR085_RS01700	HZK19_RS01385
OG0000126	DR085_RS01690	HZK19_RS01395
OG0000127	DR085_RS01680	HZK19_RS01405
OG0000128	DR085_RS01665	HZK19_RS01420
OG0000129	DR085_RS01660	HZK19_RS01425
OG0000130	DR085_RS01650	HZK19_RS01435
OG0000131	DR085_RS01620	HZK19_RS01465
OG0000132	DR085_RS03735	HZK19_RS01480
OG0000133	DR085_RS00350	HZK19_RS00520
OG0000134	DR085_RS03640	HZK19_RS00525
OG0000135	DR085_RS00370	HZK19_RS00540
OG0000136	DR085_RS00375	HZK19_RS00545
OG0000137	DR085_RS00405	HZK19_RS00575
OG0000138	DR085_RS00435	HZK19_RS00610
OG0000139	DR085_RS00465	HZK19_RS00640
OG0000140	DR085_RS00470	HZK19_RS00645
OG0000141	DR085_RS00510	HZK19_RS02895
OG0000142	DR085_RS03655	HZK19_RS02890
OG0000143	DR085_RS00540	HZK19_RS02870
OG0000144	DR085_RS00550	HZK19_RS02860
OG0000145	DR085_RS00560	HZK19_RS02850
OG0000146	DR085_RS00570	HZK19_RS02840
OG0000147	DR085_RS00575	HZK19_RS02835
OG0000148	DR085_RS00590	HZK19_RS02820
OG0000149	DR085_RS00600	HZK19_RS02810
OG0000150	DR085_RS00615	HZK19_RS02795
OG0000151	DR085_RS00670	HZK19_RS02750
OG0000152	DR085_RS00675	HZK19_RS02745
OG0000153	DR085_RS00680	HZK19_RS02740
OG0000154	DR085_RS00690	HZK19_RS02730
OG0000155	DR085_RS00710	HZK19_RS02690
OG0000156	DR085_RS00730	HZK19_RS02680
OG0000157	DR085_RS03660	HZK19_RS02675
OG0000158	DR085_RS03665	HZK19_RS03895
OG0000159	DR085_RS00970	HZK19_RS03970
OG0000160	DR085_RS00975	HZK19_RS02425
OG0000161	DR085_RS00985	HZK19_RS02420
OG0000162	DR085_RS02725	HZK19_RS02410
OG0000163	DR085_RS02720	HZK19_RS02405
OG0000164	DR085_RS03860	HZK19_RS01575
OG0000165	DR085_RS02810	HZK19_RS01905
OG0000166	DR085_RS02780	HZK19_RS01925
OG0000167	DR085_RS02765	HZK19_RS01940
OG0000168	DR085_RS02760	HZK19_RS01945
OG0000169	DR085_RS01405	HZK19_RS02990
OG0000170	DR085_RS01420	HZK19_RS03005
OG0000171	DR085_RS01430	HZK19_RS03110
OG0000172	DR085_RS01435	HZK19_RS03115
OG0000173	DR085_RS01440	HZK19_RS03120
OG0000174	DR085_RS01445	HZK19_RS03125
OG0000175	DR085_RS01460	HZK19_RS03140
OG0000176	DR085_RS01500	HZK19_RS03190
OG0000177	DR085_RS01505	HZK19_RS03195
OG0000178	DR085_RS01510	HZK19_RS03200
OG0000179	DR085_RS01520	HZK19_RS03210
OG0000180	DR085_RS01525	HZK19_RS03215
OG0000181	DR085_RS03715	HZK19_RS03265
OG0000182	DR085_RS01550	HZK19_RS03275
OG0000183	DR085_RS01585	HZK19_RS03310
OG0000184	DR085_RS02950	HZK19_RS03355
OG0000185	DR085_RS02935	HZK19_RS03340
OG0000186	DR085_RS02180	HZK19_RS01490
OG0000187	DR085_RS02165	HZK19_RS01505
OG0000188	DR085_RS02155	HZK19_RS01515
OG0000189	DR085_RS03775	HZK19_RS02270
