Orthogroup	MFC_MF33_genes	MHP_ES2_genes
OG0000000	DR085_RS03035	E5E95_RS02310
OG0000000	DR085_RS02920	E5E95_RS02240
OG0000000	DR085_RS03105	E5E95_RS03920
OG0000000	DR085_RS03020, DR085_RS03010	E5E95_RS02245
OG0000000	DR085_RS02470	E5E95_RS01830
OG0000001	DR085_RS03235	E5E95_RS01300, E5E95_RS01295, E5E95_RS03000, E5E95_RS04155, E5E95_RS04150
OG0000002	DR085_RS03895	E5E95_RS02250
OG0000002	DR085_RS03805	E5E95_RS01840
OG0000003	DR085_RS03550	E5E95_RS04070
OG0000003	DR085_RS03885	E5E95_RS04065
OG0000004	DR085_RS01395	E5E95_RS03410, E5E95_RS03400, E5E95_RS03415, E5E95_RS03425, E5E95_RS03215, E5E95_RS03235
OG0000007	DR085_RS02890	E5E95_RS02300
OG0000007	DR085_RS02895	E5E95_RS02295
OG0000007	DR085_RS03890	E5E95_RS02290
OG0000008	DR085_RS03145	E5E95_RS03905
OG0000011	DR085_RS03875, DR085_RS02795	E5E95_RS02065, E5E95_RS02070
OG0000011	DR085_RS02805	E5E95_RS02060
OG0000013	DR085_RS00915, DR085_RS00910	E5E95_RS02610
OG0000013	DR085_RS03115	E5E95_RS03955
OG0000014	DR085_RS03650	E5E95_RS00595, E5E95_RS01105, E5E95_RS00605
OG0000016	DR085_RS00605	E5E95_RS03040
OG0000017	DR085_RS02380	E5E95_RS00145
OG0000017	DR085_RS00595	E5E95_RS03050
OG0000018	DR085_RS03745	E5E95_RS02480
OG0000020	DR085_RS03795	E5E95_RS03770
OG0000022	DR085_RS03800	E5E95_RS01825
OG0000023	DR085_RS02195	E5E95_RS01720, E5E95_RS04100, E5E95_RS04110, E5E95_RS04105
OG0000024	DR085_RS00665	E5E95_RS02945, E5E95_RS01290
OG0000025	DR085_RS02460	E5E95_RS01820
OG0000026	DR085_RS01755	E5E95_RS01380, E5E95_RS01800
OG0000027	DR085_RS03845	E5E95_RS03575
OG0000028	DR085_RS00930	E5E95_RS02625
OG0000029	DR085_RS00425	E5E95_RS01100, E5E95_RS00610
OG0000030	DR085_RS03850	E5E95_RS03550, E5E95_RS03570
OG0000031	DR085_RS02695	E5E95_RS01625
OG0000032	DR085_RS03940	E5E95_RS03565
OG0000039	DR085_RS00495, DR085_RS00485	E5E95_RS01650, E5E95_RS01645
OG0000040	DR085_RS03110, DR085_RS00715, DR085_RS00720	E5E95_RS03495
OG0000042	DR085_RS00480, DR085_RS00645	E5E95_RS03140
OG0000043	DR085_RS02670	E5E95_RS02030
OG0000045	DR085_RS00505	E5E95_RS01655
OG0000048	DR085_RS02880, DR085_RS03055	E5E95_RS02215
OG0000049	DR085_RS01410	E5E95_RS03260
OG0000050	DR085_RS02735	E5E95_RS02655
OG0000051	DR085_RS01290	E5E95_RS02855
OG0000052	DR085_RS03420	E5E95_RS00075
OG0000053	DR085_RS03740	E5E95_RS01465
OG0000054	DR085_RS00960	E5E95_RS02680
OG0000056	DR085_RS02435	E5E95_RS03750
OG0000057	DR085_RS00520	E5E95_RS03125
