Orthogroup	MFC_MF33_genes	MHP_KM014_genes
OG0000000	DR085_RS02470	CIB43_RS02600
OG0000001	DR085_RS03235	CIB43_RS02150, CIB43_RS03715, CIB43_RS03670
OG0000002	DR085_RS03805	CIB43_RS02610
OG0000004	DR085_RS01395	CIB43_RS00290, CIB43_RS00275, CIB43_RS03935, CIB43_RS00110
OG0000007	DR085_RS02890	CIB43_RS03095
OG0000007	DR085_RS02895	CIB43_RS03080
OG0000007	DR085_RS03890	CIB43_RS03075
OG0000011	DR085_RS03875, DR085_RS02795	CIB43_RS02845, CIB43_RS02850
OG0000014	DR085_RS03650	CIB43_RS01485, CIB43_RS01955
OG0000016	DR085_RS00605	CIB43_RS03755
OG0000017	DR085_RS02380	CIB43_RS00855
OG0000017	DR085_RS00595	CIB43_RS03765
OG0000018	DR085_RS03745	CIB43_RS01250, CIB43_RS01185
OG0000020	DR085_RS03790	CIB43_RS00635
OG0000022	DR085_RS03800	CIB43_RS02590
OG0000023	DR085_RS02195	CIB43_RS01245, CIB43_RS01195
OG0000024	DR085_RS00665	CIB43_RS02140
OG0000025	DR085_RS02460	CIB43_RS02585
OG0000026	DR085_RS01755	CIB43_RS02565
OG0000027	DR085_RS03845	CIB43_RS00440
OG0000028	DR085_RS00930	CIB43_RS03340
OG0000030	DR085_RS03850	CIB43_RS00435
OG0000031	DR085_RS02695	CIB43_RS01295, CIB43_RS00065
OG0000039	DR085_RS00495, DR085_RS00485	CIB43_RS02500
OG0000042	DR085_RS00480, DR085_RS00645	CIB43_RS03855
OG0000043	DR085_RS02670	CIB43_RS00070
OG0000045	DR085_RS00505	CIB43_RS02520
OG0000047	DR085_RS03120	CIB43_RS00045
OG0000048	DR085_RS02880, DR085_RS03055	CIB43_RS02995
OG0000051	DR085_RS01290	CIB43_RS03575
OG0000052	DR085_RS03420	CIB43_RS00775
OG0000053	DR085_RS03740	CIB43_RS02315
OG0000054	DR085_RS00960	CIB43_RS03395
OG0000056	DR085_RS02435	CIB43_RS00630, CIB43_RS03960
OG0000057	DR085_RS00520	CIB43_RS03840
OG0000062	DR085_RS02230	CIB43_RS00675
OG0000063	DR085_RS02225	CIB43_RS00660
OG0000064	DR085_RS02215	CIB43_RS00650
OG0000065	DR085_RS01895	CIB43_RS03145
OG0000067	DR085_RS00345	CIB43_RS01410
OG0000068	DR085_RS00460	CIB43_RS01520
OG0000069	DR085_RS00630	CIB43_RS03740
OG0000070	DR085_RS00940	CIB43_RS03400
OG0000071	DR085_RS01590	CIB43_RS00360
OG0000072	DR085_RS03730	CIB43_RS00375
OG0000073	DR085_RS02070	CIB43_RS01580
OG0000075	DR085_RS00175	CIB43_RS01060
OG0000077	DR085_RS00275	CIB43_RS01330
OG0000078	DR085_RS00755	CIB43_RS02560
OG0000079	DR085_RS00860	CIB43_RS03480
OG0000080	DR085_RS03275	CIB43_RS03525
OG0000081	DR085_RS00170	CIB43_RS01055
OG0000082	DR085_RS00920	CIB43_RS03315
OG0000083	DR085_RS03000	CIB43_RS02935
OG0000084	DR085_RS02830	CIB43_RS02955
OG0000086	DR085_RS03880	CIB43_RS02970
OG0000087	DR085_RS02860	CIB43_RS02975
OG0000088	DR085_RS02865	CIB43_RS02980
OG0000089	DR085_RS02875	CIB43_RS02990
OG0000090	DR085_RS02335	CIB43_RS00770
OG0000091	DR085_RS02320	CIB43_RS00760
OG0000092	DR085_RS02305	CIB43_RS00745
OG0000093	DR085_RS02300	CIB43_RS00735
OG0000094	DR085_RS02295	CIB43_RS00730
OG0000095	DR085_RS02270	CIB43_RS00715
OG0000096	DR085_RS02265	CIB43_RS00700
OG0000097	DR085_RS02245	CIB43_RS00690
OG0000100	DR085_RS02440	CIB43_RS00610
OG0000101	DR085_RS02445	CIB43_RS00600
OG0000102	DR085_RS02455	CIB43_RS02580
OG0000103	DR085_RS01930	CIB43_RS03110
OG0000104	DR085_RS01925	CIB43_RS03120
OG0000105	DR085_RS01910	CIB43_RS03130
OG0000106	DR085_RS01900	CIB43_RS03140
OG0000107	DR085_RS01890	CIB43_RS03150
OG0000108	DR085_RS01885	CIB43_RS03155
OG0000109	DR085_RS01880	CIB43_RS03160
OG0000110	DR085_RS01875	CIB43_RS03290
OG0000111	DR085_RS01870	CIB43_RS03285
OG0000112	DR085_RS01860	CIB43_RS03280
OG0000113	DR085_RS03750	CIB43_RS03260
OG0000114	DR085_RS01835	CIB43_RS03245
OG0000115	DR085_RS01825	CIB43_RS03230
OG0000116	DR085_RS01815	CIB43_RS02165
OG0000117	DR085_RS01810	CIB43_RS02170
OG0000118	DR085_RS01780	CIB43_RS02205
OG0000119	DR085_RS01775	CIB43_RS02210
OG0000120	DR085_RS01760	CIB43_RS02230
OG0000121	DR085_RS01735	CIB43_RS02250
OG0000122	DR085_RS01730	CIB43_RS02255
OG0000123	DR085_RS01710	CIB43_RS02275
OG0000124	DR085_RS01705	CIB43_RS02280
OG0000125	DR085_RS01700	CIB43_RS02285
OG0000126	DR085_RS01690	CIB43_RS02295
OG0000127	DR085_RS01680	CIB43_RS02305
OG0000128	DR085_RS01665	CIB43_RS02320
OG0000129	DR085_RS01660	CIB43_RS02330
OG0000130	DR085_RS01650	CIB43_RS02335
OG0000131	DR085_RS01620	CIB43_RS02370
OG0000132	DR085_RS03735	CIB43_RS02385
OG0000133	DR085_RS00350	CIB43_RS01415
OG0000134	DR085_RS03640	CIB43_RS01425
OG0000135	DR085_RS00370	CIB43_RS01435
OG0000136	DR085_RS00375	CIB43_RS01440
OG0000137	DR085_RS00405	CIB43_RS01470
OG0000138	DR085_RS00435	CIB43_RS01495
OG0000139	DR085_RS00465	CIB43_RS01525
OG0000140	DR085_RS00470	CIB43_RS01540
OG0000141	DR085_RS00510	CIB43_RS03850
OG0000142	DR085_RS03655	CIB43_RS03845
OG0000143	DR085_RS00540	CIB43_RS03835
OG0000144	DR085_RS00550	CIB43_RS03815
OG0000145	DR085_RS00560	CIB43_RS03805
OG0000146	DR085_RS00570	CIB43_RS03790
OG0000147	DR085_RS00575	CIB43_RS03785
OG0000148	DR085_RS00590	CIB43_RS03780
OG0000149	DR085_RS00600	CIB43_RS03760
OG0000150	DR085_RS00615	CIB43_RS03745
OG0000151	DR085_RS00670	CIB43_RS03700
OG0000152	DR085_RS00675	CIB43_RS03695
OG0000153	DR085_RS00680	CIB43_RS03690
OG0000154	DR085_RS00690	CIB43_RS03680
OG0000155	DR085_RS00710	CIB43_RS03645
OG0000156	DR085_RS00730	CIB43_RS03635
OG0000157	DR085_RS03660	CIB43_RS03625
OG0000158	DR085_RS03665	CIB43_RS03620
OG0000159	DR085_RS00970	CIB43_RS03385
OG0000160	DR085_RS00975	CIB43_RS03380
OG0000161	DR085_RS00985	CIB43_RS03375
OG0000163	DR085_RS02720	CIB43_RS03370
OG0000164	DR085_RS03860	CIB43_RS02495
OG0000165	DR085_RS02810	CIB43_RS02840
OG0000166	DR085_RS02780	CIB43_RS02860
OG0000167	DR085_RS02765	CIB43_RS02875
OG0000168	DR085_RS02760	CIB43_RS02880
OG0000169	DR085_RS01405	CIB43_RS00130
OG0000171	DR085_RS01430	CIB43_RS00155
OG0000172	DR085_RS01435	CIB43_RS00160
OG0000173	DR085_RS01440	CIB43_RS00165
OG0000174	DR085_RS01445	CIB43_RS00170
OG0000175	DR085_RS01460	CIB43_RS00190
OG0000176	DR085_RS01500	CIB43_RS00235
OG0000177	DR085_RS01505	CIB43_RS00240
OG0000178	DR085_RS01510	CIB43_RS00245
OG0000179	DR085_RS01520	CIB43_RS00255
OG0000180	DR085_RS01525	CIB43_RS00260
OG0000181	DR085_RS03715	CIB43_RS00310
OG0000182	DR085_RS01550	CIB43_RS00320
OG0000183	DR085_RS01585	CIB43_RS00355
OG0000184	DR085_RS02950	CIB43_RS00430
OG0000185	DR085_RS02935	CIB43_RS00380
OG0000186	DR085_RS02180	CIB43_RS02400
OG0000187	DR085_RS02165	CIB43_RS02410
OG0000188	DR085_RS02155	CIB43_RS02425
OG0000189	DR085_RS03775	CIB43_RS03200
OG0000190	DR085_RS02140	CIB43_RS03195
OG0000191	DR085_RS02120	CIB43_RS03180
OG0000192	DR085_RS02110	CIB43_RS02085
OG0000193	DR085_RS02095	CIB43_RS02075
OG0000194	DR085_RS02085	CIB43_RS01560
OG0000195	DR085_RS02080	CIB43_RS01565
OG0000196	DR085_RS03770	CIB43_RS01585
OG0000197	DR085_RS02055	CIB43_RS01590
OG0000198	DR085_RS02040	CIB43_RS01605
OG0000199	DR085_RS02035	CIB43_RS01615
OG0000200	DR085_RS02020	CIB43_RS01630
OG0000201	DR085_RS02010	CIB43_RS01635
OG0000202	DR085_RS01955	CIB43_RS01690
OG0000203	DR085_RS01950	CIB43_RS01695
OG0000204	DR085_RS03675	CIB43_RS01700
OG0000205	DR085_RS00995	CIB43_RS01705
OG0000206	DR085_RS01015	CIB43_RS01735
OG0000207	DR085_RS01030	CIB43_RS01740
OG0000208	DR085_RS01035	CIB43_RS01745
OG0000209	DR085_RS01040	CIB43_RS01750
OG0000210	DR085_RS01085	CIB43_RS01800
OG0000211	DR085_RS01095	CIB43_RS01805
OG0000212	DR085_RS01105	CIB43_RS01815
OG0000213	DR085_RS01110	CIB43_RS01820
OG0000214	DR085_RS01115	CIB43_RS01825
OG0000215	DR085_RS01120	CIB43_RS01830
OG0000216	DR085_RS01125	CIB43_RS01835
OG0000217	DR085_RS01130	CIB43_RS01845
OG0000218	DR085_RS03695	CIB43_RS01850
OG0000219	DR085_RS01145	CIB43_RS01855
OG0000220	DR085_RS01150	CIB43_RS01860
OG0000221	DR085_RS01155	CIB43_RS01865
OG0000222	DR085_RS01160	CIB43_RS01870
OG0000223	DR085_RS01165	CIB43_RS01875
OG0000225	DR085_RS01185	CIB43_RS01895
OG0000226	DR085_RS01190	CIB43_RS01900
OG0000227	DR085_RS01195	CIB43_RS01905
OG0000228	DR085_RS03930	CIB43_RS01910
OG0000229	DR085_RS01205	CIB43_RS01915
OG0000230	DR085_RS01210	CIB43_RS01920
OG0000231	DR085_RS01220	CIB43_RS01935
OG0000232	DR085_RS01230	CIB43_RS01940
OG0000233	DR085_RS01240	CIB43_RS01965
OG0000234	DR085_RS01270	CIB43_RS02000
OG0000235	DR085_RS01280	CIB43_RS02005
OG0000236	DR085_RS01285	CIB43_RS02010
OG0000237	DR085_RS01305	CIB43_RS02015
OG0000238	DR085_RS01310	CIB43_RS02025
OG0000239	DR085_RS01340	CIB43_RS03860
OG0000240	DR085_RS01345	CIB43_RS03870
OG0000241	DR085_RS01355	CIB43_RS03875
OG0000242	DR085_RS01360	CIB43_RS03880
OG0000243	DR085_RS01365	CIB43_RS03885
OG0000244	DR085_RS01375	CIB43_RS03900
OG0000245	DR085_RS01385	CIB43_RS03905
OG0000246	DR085_RS02350	CIB43_RS00845
OG0000247	DR085_RS02360	CIB43_RS00850
