Orthogroup	MFC_MF33_genes	MHP_133A_genes
OG0000000	DR085_RS03035	NB626_RS02350
OG0000000	DR085_RS02920	NB626_RS02275
OG0000000	DR085_RS03010	NB626_RS02265
OG0000000	DR085_RS02470	NB626_RS01840
OG0000001	DR085_RS03235	NB626_RS01395, NB626_RS01400, NB626_RS02980, NB626_RS02935, NB626_RS02930
OG0000002	DR085_RS03895	NB626_RS02280
OG0000002	DR085_RS03805	NB626_RS01855
OG0000004	DR085_RS01395	NB626_RS03385, NB626_RS03390, NB626_RS03400, NB626_RS03200, NB626_RS03220, NB626_RS03210
OG0000007	DR085_RS02890	NB626_RS02340
OG0000007	DR085_RS02895	NB626_RS02320
OG0000008	DR085_RS03145	NB626_RS01750
OG0000011	DR085_RS03875, DR085_RS02795	NB626_RS02080
OG0000013	DR085_RS00915, DR085_RS00910	NB626_RS02565
OG0000013	DR085_RS03115	NB626_RS00185
OG0000014	DR085_RS03650	NB626_RS00695, NB626_RS01210, NB626_RS00705
OG0000017	DR085_RS02380	NB626_RS00155
OG0000017	DR085_RS00595	NB626_RS03035
OG0000018	DR085_RS03745	NB626_RS00480
OG0000019	DR085_RS03320	NB626_RS03205, NB626_RS03215
OG0000020	DR085_RS03790	NB626_RS03760
OG0000022	DR085_RS03800	NB626_RS01830
OG0000023	DR085_RS02195	NB626_RS00490
OG0000024	DR085_RS00665	NB626_RS02925, NB626_RS01390
OG0000025	DR085_RS02460	NB626_RS01825
OG0000026	DR085_RS01755	NB626_RS01480, NB626_RS01805
OG0000027	DR085_RS03845	NB626_RS03555
OG0000029	DR085_RS00425	NB626_RS01205, NB626_RS00710
OG0000030	DR085_RS03850	NB626_RS03530, NB626_RS03550
OG0000031	DR085_RS02695	NB626_RS00435, NB626_RS01710
OG0000032	DR085_RS03940	NB626_RS03545
OG0000033	DR085_RS00935	NB626_RS02590
OG0000039	DR085_RS00495, DR085_RS00485	NB626_RS01720
OG0000040	DR085_RS03110, DR085_RS00715, DR085_RS00720	NB626_RS03470
OG0000042	DR085_RS00480, DR085_RS00645	NB626_RS03120
OG0000043	DR085_RS02670	NB626_RS02045
OG0000045	DR085_RS00505	NB626_RS01725
OG0000048	DR085_RS02880, DR085_RS03055	NB626_RS02235
OG0000049	DR085_RS01410	NB626_RS03235
OG0000050	DR085_RS02735	NB626_RS02625
OG0000051	DR085_RS01290	NB626_RS02835
OG0000052	DR085_RS03420	NB626_RS00075
OG0000053	DR085_RS03740	NB626_RS01570
OG0000054	DR085_RS00960	NB626_RS02650
OG0000056	DR085_RS02435	NB626_RS03740
OG0000057	DR085_RS00520	NB626_RS03105
OG0000062	DR085_RS02230	NB626_RS03790
OG0000063	DR085_RS02225	NB626_RS03785
OG0000064	DR085_RS02215	NB626_RS03775
OG0000065	DR085_RS01895	NB626_RS02405
OG0000066	DR085_RS01765	NB626_RS01470
OG0000068	DR085_RS00460	NB626_RS00745
OG0000069	DR085_RS00630	NB626_RS03000
OG0000070	DR085_RS00940	NB626_RS02655
OG0000071	DR085_RS01590	NB626_RS03460
OG0000072	DR085_RS03730	NB626_RS03465
OG0000073	DR085_RS02070	NB626_RS00810
OG0000074	DR085_RS03690	NB626_RS01025
OG0000076	DR085_RS00190	NB626_RS00355
OG0000077	DR085_RS00275	NB626_RS00540
OG0000079	DR085_RS00860	NB626_RS02740
OG0000080	DR085_RS03275	NB626_RS02790
OG0000081	DR085_RS00170	NB626_RS00335
OG0000083	DR085_RS03000	NB626_RS02155
OG0000084	DR085_RS02830	NB626_RS02185
OG0000085	DR085_RS02835	NB626_RS02190
OG0000086	DR085_RS03880	NB626_RS02200
OG0000087	DR085_RS02860	NB626_RS02215
OG0000088	DR085_RS02865	NB626_RS02220
OG0000089	DR085_RS02875	NB626_RS02230
OG0000090	DR085_RS02335	NB626_RS00070
OG0000091	DR085_RS02320	NB626_RS00055
OG0000092	DR085_RS02305	NB626_RS00045
OG0000093	DR085_RS02300	NB626_RS00035
OG0000094	DR085_RS02295	NB626_RS00030
OG0000095	DR085_RS02270	NB626_RS00005
OG0000096	DR085_RS02265	NB626_RS03825
OG0000097	DR085_RS02245	NB626_RS03805
OG0000098	DR085_RS02235	NB626_RS03795
OG0000099	DR085_RS02430	NB626_RS03745
OG0000100	DR085_RS02440	NB626_RS03730
OG0000101	DR085_RS02445	NB626_RS03725
OG0000102	DR085_RS02455	NB626_RS01820
OG0000103	DR085_RS01930	NB626_RS02370
OG0000104	DR085_RS01925	NB626_RS02375
OG0000105	DR085_RS01910	NB626_RS02395
OG0000106	DR085_RS01900	NB626_RS02400
OG0000107	DR085_RS01890	NB626_RS02410
OG0000108	DR085_RS01885	NB626_RS02415
OG0000109	DR085_RS01880	NB626_RS02420
OG0000110	DR085_RS01875	NB626_RS02550
OG0000111	DR085_RS01870	NB626_RS02545
OG0000112	DR085_RS01860	NB626_RS02535
OG0000113	DR085_RS03750	NB626_RS02510
OG0000114	DR085_RS01835	NB626_RS02500
OG0000115	DR085_RS01825	NB626_RS02490
OG0000116	DR085_RS01815	NB626_RS01415
OG0000117	DR085_RS01810	NB626_RS01420
OG0000118	DR085_RS01780	NB626_RS01455
OG0000119	DR085_RS01775	NB626_RS01460
OG0000120	DR085_RS01760	NB626_RS01475
OG0000121	DR085_RS01735	NB626_RS01505
OG0000122	DR085_RS01730	NB626_RS01510
OG0000123	DR085_RS01710	NB626_RS01530
OG0000124	DR085_RS01705	NB626_RS01535
OG0000125	DR085_RS01700	NB626_RS01540
OG0000126	DR085_RS01690	NB626_RS01550
OG0000127	DR085_RS01680	NB626_RS01560
OG0000128	DR085_RS01665	NB626_RS01575
OG0000129	DR085_RS01660	NB626_RS01580
OG0000130	DR085_RS01650	NB626_RS01590
OG0000131	DR085_RS01620	NB626_RS01620
OG0000132	DR085_RS03735	NB626_RS01635
OG0000133	DR085_RS00350	NB626_RS00630
OG0000134	DR085_RS03640	NB626_RS00635
OG0000135	DR085_RS00370	NB626_RS00650
OG0000136	DR085_RS00375	NB626_RS00655
OG0000137	DR085_RS00405	NB626_RS00685
OG0000138	DR085_RS00435	NB626_RS00720
OG0000139	DR085_RS00465	NB626_RS00750
OG0000140	DR085_RS00470	NB626_RS00755
OG0000141	DR085_RS00510	NB626_RS03115
OG0000142	DR085_RS03655	NB626_RS03110
OG0000143	DR085_RS00540	NB626_RS03095
OG0000144	DR085_RS00550	NB626_RS03080
OG0000145	DR085_RS00560	NB626_RS03070
OG0000146	DR085_RS00570	NB626_RS03060
OG0000147	DR085_RS00575	NB626_RS03055
OG0000148	DR085_RS00590	NB626_RS03040
OG0000149	DR085_RS00600	NB626_RS03030
OG0000150	DR085_RS00615	NB626_RS03025
OG0000151	DR085_RS00670	NB626_RS02965
OG0000152	DR085_RS00675	NB626_RS02960
OG0000153	DR085_RS00680	NB626_RS02955
OG0000154	DR085_RS00690	NB626_RS02945
OG0000155	DR085_RS00710	NB626_RS02905
OG0000156	DR085_RS00730	NB626_RS02895
OG0000157	DR085_RS03660	NB626_RS02890
OG0000158	DR085_RS03665	NB626_RS02880
OG0000159	DR085_RS00970	NB626_RS02640
OG0000160	DR085_RS00975	NB626_RS02635
OG0000161	DR085_RS00985	NB626_RS02630
OG0000162	DR085_RS02725	NB626_RS02620
OG0000163	DR085_RS02720	NB626_RS02615
OG0000164	DR085_RS03860	NB626_RS01715
OG0000165	DR085_RS02810	NB626_RS02075
OG0000166	DR085_RS02780	NB626_RS02090
OG0000167	DR085_RS02765	NB626_RS02105
OG0000168	DR085_RS02760	NB626_RS02110
OG0000169	DR085_RS01405	NB626_RS03230
OG0000170	DR085_RS01420	NB626_RS03245
OG0000171	DR085_RS01430	NB626_RS03255
OG0000172	DR085_RS01435	NB626_RS03260
OG0000173	DR085_RS01440	NB626_RS03265
OG0000174	DR085_RS01445	NB626_RS03270
OG0000175	DR085_RS01460	NB626_RS03290
OG0000176	DR085_RS01500	NB626_RS03345
OG0000177	DR085_RS01505	NB626_RS03350
OG0000178	DR085_RS01510	NB626_RS03355
OG0000179	DR085_RS01520	NB626_RS03365
OG0000180	DR085_RS01525	NB626_RS03370
OG0000181	DR085_RS03715	NB626_RS03410
OG0000182	DR085_RS01550	NB626_RS03420
OG0000183	DR085_RS01585	NB626_RS03455
OG0000184	DR085_RS02950	NB626_RS03500
OG0000185	DR085_RS02935	NB626_RS03485
OG0000186	DR085_RS02180	NB626_RS01645
OG0000187	DR085_RS02165	NB626_RS01660
OG0000188	DR085_RS02155	NB626_RS01670
OG0000189	DR085_RS03775	NB626_RS02460
OG0000190	DR085_RS02140	NB626_RS02455
OG0000191	DR085_RS02120	NB626_RS02430
OG0000192	DR085_RS02110	NB626_RS01335
OG0000193	DR085_RS02095	NB626_RS01320
OG0000194	DR085_RS02085	NB626_RS00790
OG0000195	DR085_RS02080	NB626_RS00795
OG0000196	DR085_RS03770	NB626_RS00820
OG0000197	DR085_RS02055	NB626_RS00830
OG0000198	DR085_RS02040	NB626_RS00840
OG0000199	DR085_RS02035	NB626_RS00845
OG0000200	DR085_RS02020	NB626_RS00860
OG0000201	DR085_RS02010	NB626_RS00870
OG0000202	DR085_RS01955	NB626_RS00940
OG0000203	DR085_RS01950	NB626_RS00945
OG0000204	DR085_RS03675	NB626_RS00950
OG0000205	DR085_RS00995	NB626_RS00955
OG0000206	DR085_RS01015	NB626_RS00975
OG0000207	DR085_RS01030	NB626_RS00990
OG0000208	DR085_RS01035	NB626_RS00995
OG0000209	DR085_RS01040	NB626_RS01000
OG0000210	DR085_RS01085	NB626_RS01050
OG0000211	DR085_RS01095	NB626_RS01065
OG0000212	DR085_RS01105	NB626_RS01070
OG0000213	DR085_RS01110	NB626_RS01075
OG0000214	DR085_RS01115	NB626_RS01080
OG0000215	DR085_RS01120	NB626_RS01085
OG0000216	DR085_RS01125	NB626_RS01090
OG0000217	DR085_RS01130	NB626_RS01095
OG0000218	DR085_RS03695	NB626_RS01105
OG0000219	DR085_RS01145	NB626_RS01110
OG0000220	DR085_RS01150	NB626_RS01115
OG0000221	DR085_RS01155	NB626_RS01120
OG0000222	DR085_RS01160	NB626_RS01125
OG0000223	DR085_RS01165	NB626_RS01130
OG0000224	DR085_RS01175	NB626_RS01140
OG0000225	DR085_RS01185	NB626_RS01150
OG0000226	DR085_RS01190	NB626_RS01155
OG0000227	DR085_RS01195	NB626_RS01160
OG0000228	DR085_RS03930	NB626_RS01165
OG0000229	DR085_RS01205	NB626_RS01170
OG0000230	DR085_RS01210	NB626_RS01180
OG0000231	DR085_RS01220	NB626_RS01185
OG0000232	DR085_RS01230	NB626_RS01195
OG0000233	DR085_RS01240	NB626_RS01215
OG0000234	DR085_RS01270	NB626_RS01250
OG0000235	DR085_RS01280	NB626_RS01260
OG0000236	DR085_RS01285	NB626_RS01265
OG0000237	DR085_RS01305	NB626_RS01270
OG0000238	DR085_RS01310	NB626_RS01275
OG0000239	DR085_RS01340	NB626_RS03125
OG0000240	DR085_RS01345	NB626_RS03130
OG0000241	DR085_RS01355	NB626_RS03140
OG0000242	DR085_RS01360	NB626_RS03145
OG0000243	DR085_RS01365	NB626_RS03150
OG0000244	DR085_RS01375	NB626_RS03160
OG0000245	DR085_RS01385	NB626_RS03170
OG0000246	DR085_RS02350	NB626_RS00140
OG0000247	DR085_RS02360	NB626_RS00150
OG0000248	DR085_RS02385	NB626_RS00160
OG0000249	DR085_RS02390	NB626_RS00165
OG0000250	DR085_RS00015	NB626_RS00180
OG0000251	DR085_RS00045	NB626_RS00215
OG0000252	DR085_RS00055	NB626_RS00220
OG0000253	DR085_RS00060	NB626_RS00225
OG0000254	DR085_RS00070	NB626_RS00235
OG0000255	DR085_RS00075	NB626_RS00240
OG0000256	DR085_RS00080	NB626_RS00250
OG0000257	DR085_RS00105	NB626_RS00270
OG0000258	DR085_RS00115	NB626_RS00280
OG0000259	DR085_RS00145	NB626_RS00310
OG0000260	DR085_RS00155	NB626_RS00320
OG0000261	DR085_RS03635	NB626_RS00330
OG0000262	DR085_RS00180	NB626_RS00350
OG0000263	DR085_RS00195	NB626_RS00365
OG0000264	DR085_RS00210	NB626_RS00380
OG0000265	DR085_RS00220	NB626_RS00390
OG0000266	DR085_RS00235	NB626_RS00405
OG0000267	DR085_RS00250	NB626_RS00420
OG0000268	DR085_RS00255	NB626_RS00520
OG0000269	DR085_RS00270	NB626_RS00535
OG0000270	DR085_RS03815	NB626_RS03700
OG0000271	DR085_RS02505	NB626_RS03695
OG0000272	DR085_RS02510	NB626_RS03690
OG0000273	DR085_RS02515	NB626_RS03685
OG0000274	DR085_RS02530	NB626_RS03670
OG0000275	DR085_RS03820	NB626_RS03660
OG0000276	DR085_RS02540	NB626_RS03655
