Orthogroup	MHP_MHP691_genes	MHP_MHP696_genes
OG0000000	DR087_RS04315	DR090_RS04700
OG0000000	DR087_RS04815	DR090_RS03640
OG0000000	DR087_RS03570	DR090_RS04630
OG0000001	DR087_RS04015	DR090_RS01575
OG0000001	DR087_RS04300	DR090_RS03950
OG0000001	DR087_RS03255	DR090_RS03945
OG0000002	DR087_RS03810	DR090_RS04315
OG0000002	DR087_RS04740	DR090_RS03470
OG0000002	DR087_RS04755	DR090_RS03425
OG0000003	DR087_RS04345	DR090_RS04250
OG0000003	DR087_RS04750	DR090_RS04620
OG0000004	DR087_RS00840	DR090_RS03435
OG0000005	DR087_RS00530	DR090_RS03620
OG0000005	DR087_RS00540	DR090_RS03525
OG0000005	DR087_RS04465	DR090_RS03075, DR090_RS04595
OG0000007	DR087_RS03535	DR090_RS03340
OG0000007	DR087_RS03530	DR090_RS03345
OG0000007	DR087_RS04335, DR087_RS03525	DR090_RS03360
OG0000008	DR087_RS04355	DR090_RS04310
OG0000009	DR087_RS00515	DR090_RS01340
OG0000010	DR087_RS01605	DR090_RS00915
OG0000010	DR087_RS03875	DR090_RS03520, DR090_RS03650
OG0000011	DR087_RS04590	DR090_RS01025
OG0000011	DR087_RS01515	DR090_RS01020
OG0000012	DR087_RS03740	DR090_RS03670
OG0000013	DR087_RS01680	DR090_RS02640
OG0000013	DR087_RS04185	DR090_RS03805
OG0000014	DR087_RS03520	DR090_RS04325
OG0000015	DR087_RS04110, DR087_RS00350, DR087_RS03240	DR090_RS03270
OG0000016	DR087_RS01400	DR090_RS01615
OG0000016	DR087_RS02395	DR090_RS00790
OG0000017	DR087_RS02410	DR090_RS00805
OG0000017	DR087_RS01410	DR090_RS01625
OG0000018	DR087_RS04550, DR087_RS04435	DR090_RS04560
OG0000019	DR087_RS03610	DR090_RS04270
OG0000020	DR087_RS04440	DR090_RS04405
OG0000020	DR087_RS04445	DR090_RS04410
OG0000021	DR087_RS04820, DR087_RS03470, DR087_RS03640, DR087_RS02025	DR090_RS00825
OG0000022	DR087_RS02045	DR090_RS02415
OG0000022	DR087_RS04630	DR090_RS04550
OG0000023	DR087_RS01210, DR087_RS00330	DR090_RS02440
OG0000024	DR087_RS03250	DR090_RS01515
OG0000025	DR087_RS04625	DR090_RS04555
OG0000025	DR087_RS02095	DR090_RS02365
OG0000026	DR087_RS01165	DR090_RS02485
OG0000026	DR087_RS02075	DR090_RS02385
OG0000027	DR087_RS04635	DR090_RS04475
OG0000027	DR087_RS04475	DR090_RS04520
OG0000028	DR087_RS04675	DR090_RS04565
OG0000029	DR087_RS02775	DR090_RS01710
OG0000029	DR087_RS03175	DR090_RS00205
OG0000030	DR087_RS04640	DR090_RS04480
OG0000030	DR087_RS04470	DR090_RS04515
OG0000031	DR087_RS03210	DR090_RS03235
OG0000032	DR087_RS03235	DR090_RS03265
OG0000032	DR087_RS00575	DR090_RS02225
OG0000033	DR087_RS04070, DR087_RS01675	DR090_RS02635
OG0000034	DR087_RS03600	DR090_RS00815
OG0000034	DR087_RS04365	DR090_RS04300
OG0000034	DR087_RS03715	DR090_RS03645
OG0000034	DR087_RS02620	DR090_RS03630
OG0000035	DR087_RS00855	DR090_RS03430
OG0000035	DR087_RS00865	DR090_RS02220
OG0000036	DR087_RS00550	DR090_RS03080, DR090_RS03100, DR090_RS04210
OG0000037	DR087_RS04725	DR090_RS03710
OG0000039	DR087_RS03190, DR087_RS03195	DR090_RS03220
OG0000040	DR087_RS02165	DR090_RS02020
OG0000041	DR087_RS03625	DR090_RS03745
OG0000042	DR087_RS03360	DR090_RS04585
OG0000043	DR087_RS01545	DR090_RS00990
OG0000044	DR087_RS04800	DR090_RS04685
OG0000045	DR087_RS03185	DR090_RS03215
OG0000048	DR087_RS00140	DR090_RS02935
