Orthogroup	MHP_MHP691_genes	MHP_131B_genes
OG0000000	DR087_RS03480, DR087_RS03475	NB627_RS02265
OG0000000	DR087_RS03570	NB627_RS01860
OG0000001	DR087_RS03325	NB627_RS01405
OG0000001	DR087_RS03255	NB627_RS02935
OG0000002	DR087_RS03810	NB627_RS02365
OG0000002	DR087_RS04740	NB627_RS02290
OG0000002	DR087_RS04755	NB627_RS01865
OG0000003	DR087_RS04220	NB627_RS02330
OG0000004	DR087_RS00850	NB627_RS03390
OG0000004	DR087_RS00840	NB627_RS03405
OG0000005	DR087_RS00530	NB627_RS00100
OG0000005	DR087_RS00540	NB627_RS00110
OG0000005	DR087_RS04465	NB627_RS00125
OG0000007	DR087_RS04205, DR087_RS04210	NB627_RS02335
OG0000007	DR087_RS03535	NB627_RS02345
OG0000007	DR087_RS03530	NB627_RS02325
OG0000008	DR087_RS04355	NB627_RS02695
OG0000009	DR087_RS00515	NB627_RS00085
OG0000010	DR087_RS01605	NB627_RS01985
OG0000011	DR087_RS01515	NB627_RS02090
OG0000012	DR087_RS03740	NB627_RS02000
OG0000013	DR087_RS01680	NB627_RS02570
OG0000013	DR087_RS04185	NB627_RS00185
OG0000014	DR087_RS03505	NB627_RS00705
OG0000014	DR087_RS03520	NB627_RS00715
OG0000015	DR087_RS00350	NB627_RS00525
OG0000016	DR087_RS01400	NB627_RS03030
OG0000016	DR087_RS02395	NB627_RS00170
OG0000017	DR087_RS02410	NB627_RS00155
OG0000017	DR087_RS01410	NB627_RS03040
OG0000018	DR087_RS04435	NB627_RS00490
OG0000020	DR087_RS04440	NB627_RS03755
OG0000020	DR087_RS04445	NB627_RS03760
OG0000021	DR087_RS03470	NB627_RS00620
OG0000022	DR087_RS02045	NB627_RS01790
OG0000022	DR087_RS04630	NB627_RS01845
OG0000023	DR087_RS00330	NB627_RS00500
OG0000024	DR087_RS03250	NB627_RS02930
OG0000025	DR087_RS04625	NB627_RS01795
OG0000025	DR087_RS02095	NB627_RS01840
OG0000026	DR087_RS01165	NB627_RS01490
OG0000026	DR087_RS02075	NB627_RS01820
OG0000027	DR087_RS04635	NB627_RS03540
OG0000027	DR087_RS04475	NB627_RS03555
OG0000028	DR087_RS04675	NB627_RS02600, NB627_RS02595
OG0000029	DR087_RS02775	NB627_RS01200
OG0000029	DR087_RS03175	NB627_RS00720
OG0000030	DR087_RS04640	NB627_RS03530
OG0000030	DR087_RS04470	NB627_RS03550
OG0000031	DR087_RS03210	NB627_RS01730
OG0000032	DR087_RS03235	NB627_RS01700
OG0000032	DR087_RS00575	NB627_RS03545
OG0000033	DR087_RS01675	NB627_RS02575, NB627_RS02590, NB627_RS02580
