Orthogroup	MHP_MHP691_genes	MHP_133A_genes
OG0000000	DR087_RS03480, DR087_RS03475	NB626_RS02255
OG0000000	DR087_RS03570	NB626_RS01850
OG0000001	DR087_RS03325	NB626_RS01400
OG0000001	DR087_RS03255	NB626_RS02930
OG0000002	DR087_RS03810	NB626_RS02360
OG0000002	DR087_RS04740	NB626_RS02280
OG0000002	DR087_RS04755	NB626_RS01855
OG0000003	DR087_RS04220	NB626_RS02325
OG0000004	DR087_RS00850	NB626_RS03385
OG0000004	DR087_RS00840	NB626_RS03400
OG0000005	DR087_RS00530	NB626_RS00100
OG0000005	DR087_RS00540	NB626_RS00110
OG0000005	DR087_RS04465	NB626_RS00125
OG0000007	DR087_RS04205, DR087_RS04210	NB626_RS02330
OG0000007	DR087_RS03535	NB626_RS02340
OG0000007	DR087_RS03530	NB626_RS02320
OG0000008	DR087_RS04355	NB626_RS02690
OG0000009	DR087_RS00515	NB626_RS00085
OG0000010	DR087_RS01605	NB626_RS01975
OG0000011	DR087_RS04590	NB626_RS02080
OG0000012	DR087_RS03740	NB626_RS01990
OG0000013	DR087_RS01680	NB626_RS02565
OG0000013	DR087_RS04185	NB626_RS00185
OG0000014	DR087_RS03505	NB626_RS00695
OG0000014	DR087_RS03520	NB626_RS00705
OG0000015	DR087_RS00350	NB626_RS00515
OG0000016	DR087_RS02395	NB626_RS00170
OG0000017	DR087_RS02410	NB626_RS00155
OG0000017	DR087_RS01410	NB626_RS03035
OG0000018	DR087_RS04435	NB626_RS00480
OG0000020	DR087_RS04445	NB626_RS03760
OG0000021	DR087_RS03470	NB626_RS00610
OG0000022	DR087_RS02045	NB626_RS01775
OG0000022	DR087_RS04630	NB626_RS01830
OG0000023	DR087_RS00330	NB626_RS00490
OG0000024	DR087_RS03250	NB626_RS02925
OG0000025	DR087_RS04625	NB626_RS01780
OG0000025	DR087_RS02095	NB626_RS01825
OG0000026	DR087_RS01165	NB626_RS01480
OG0000026	DR087_RS02075	NB626_RS01805
OG0000027	DR087_RS04635	NB626_RS03540
OG0000027	DR087_RS04475	NB626_RS03555
OG0000028	DR087_RS04675	NB626_RS02595
OG0000029	DR087_RS02775	NB626_RS01205
OG0000029	DR087_RS03175	NB626_RS00710
OG0000030	DR087_RS04640	NB626_RS03530
OG0000030	DR087_RS04470	NB626_RS03550
OG0000031	DR087_RS03210	NB626_RS01710
OG0000032	DR087_RS03235	NB626_RS01690
OG0000032	DR087_RS00575	NB626_RS03545
OG0000033	DR087_RS04070	NB626_RS02590
OG0000033	DR087_RS01675	NB626_RS02570, NB626_RS02580
OG0000035	DR087_RS00855	NB626_RS03395
OG0000035	DR087_RS00865	NB626_RS03380
OG0000036	DR087_RS00550	NB626_RS00115, NB626_RS00130
OG0000039	DR087_RS03190, DR087_RS03195	NB626_RS01720
OG0000040	DR087_RS02165	NB626_RS03470
OG0000041	DR087_RS03625	NB626_RS00770
OG0000042	DR087_RS03360	NB626_RS03120
OG0000043	DR087_RS01545	NB626_RS02045
OG0000044	DR087_RS04800	NB626_RS01790
OG0000045	DR087_RS03185	NB626_RS01725
OG0000046	DR087_RS04655	NB626_RS03475
