Orthogroup	MHP_MHP691_genes	MHP_MHP653_genes
OG0000000	DR087_RS03570	DR096_RS03340
OG0000001	DR087_RS03325	DR096_RS01680
OG0000001	DR087_RS03335	DR096_RS01685
OG0000001	DR087_RS04015	DR096_RS01190
OG0000002	DR087_RS03810	DR096_RS04275
OG0000002	DR087_RS04740	DR096_RS04810
OG0000002	DR087_RS04755	DR096_RS04795
OG0000003	DR087_RS01665	DR096_RS03690, DR096_RS03695
OG0000003	DR087_RS04680, DR087_RS04220	DR096_RS04710
OG0000003	DR087_RS04345	DR096_RS04435
OG0000003	DR087_RS04750	DR096_RS04820
OG0000005	DR087_RS00530	DR096_RS02575
OG0000005	DR087_RS00540	DR096_RS02565
OG0000005	DR087_RS04465	DR096_RS02560, DR096_RS04715
OG0000006	DR087_RS04360	DR096_RS04365
OG0000006	DR087_RS04080	DR096_RS01695
OG0000007	DR087_RS04205, DR087_RS04210	DR096_RS02415
OG0000007	DR087_RS03535	DR096_RS03505
OG0000007	DR087_RS03750	DR096_RS04240
OG0000007	DR087_RS03530	DR096_RS03510
OG0000007	DR087_RS03525	DR096_RS00630
OG0000008	DR087_RS04355	DR096_RS04360
OG0000009	DR087_RS00515	DR096_RS02590
OG0000010	DR087_RS01605	DR096_RS00395
OG0000010	DR087_RS03875	DR096_RS02570
OG0000011	DR087_RS04590	DR096_RS00490
OG0000011	DR087_RS01515	DR096_RS00485
OG0000012	DR087_RS03620	DR096_RS03685
OG0000012	DR087_RS03740	DR096_RS03785
OG0000013	DR087_RS01680	DR096_RS04100
OG0000013	DR087_RS04185	DR096_RS03875
OG0000014	DR087_RS03505	DR096_RS03315
OG0000014	DR087_RS03520	DR096_RS04790
OG0000015	DR087_RS04110, DR087_RS00350, DR087_RS03240	DR096_RS01405
OG0000016	DR087_RS01400	DR096_RS01150
OG0000016	DR087_RS02395	DR096_RS00345
OG0000017	DR087_RS02410	DR096_RS00360
OG0000017	DR087_RS01410	DR096_RS01140
OG0000018	DR087_RS04550	DR096_RS04640
OG0000019	DR087_RS03610	DR096_RS03940
OG0000020	DR087_RS04440	DR096_RS03230
OG0000020	DR087_RS04445	DR096_RS04775
OG0000021	DR087_RS02025	DR096_RS03450
OG0000022	DR087_RS02045	DR096_RS01995
OG0000022	DR087_RS04630	DR096_RS04665
OG0000024	DR087_RS03250	DR096_RS01490
OG0000025	DR087_RS04625	DR096_RS04660
OG0000025	DR087_RS02095	DR096_RS02045
OG0000026	DR087_RS01165	DR096_RS01600
OG0000026	DR087_RS02075	DR096_RS02025
OG0000027	DR087_RS04635	DR096_RS04770
OG0000027	DR087_RS04475	DR096_RS04540
OG0000028	DR087_RS04675	DR096_RS01750
OG0000029	DR087_RS03175	DR096_RS03330
OG0000030	DR087_RS04640	DR096_RS04765
OG0000030	DR087_RS04470	DR096_RS04535
OG0000031	DR087_RS03210	DR096_RS01370
OG0000032	DR087_RS03235	DR096_RS04610
OG0000032	DR087_RS00575	DR096_RS00860
OG0000033	DR087_RS01675	DR096_RS01745
OG0000034	DR087_RS03600	DR096_RS03570
OG0000034	DR087_RS04365	DR096_RS04455
OG0000034	DR087_RS02500	DR096_RS02425
OG0000034	DR087_RS03715	DR096_RS02670, DR096_RS03765
OG0000034	DR087_RS03585	DR096_RS03555
OG0000035	DR087_RS00865	DR096_RS03635
OG0000036	DR087_RS00550	DR096_RS02555, DR096_RS02535
OG0000037	DR087_RS04725	DR096_RS04615
OG0000039	DR087_RS03190	DR096_RS01385
OG0000041	DR087_RS03625	DR096_RS03595
OG0000042	DR087_RS03360	DR096_RS00855
OG0000043	DR087_RS01545	DR096_RS00455
OG0000044	DR087_RS04800	DR096_RS04875
OG0000045	DR087_RS03185	DR096_RS01390
OG0000048	DR087_RS00140	DR096_RS03530
OG0000049	DR087_RS01000	DR096_RS00770
OG0000050	DR087_RS02450	DR096_RS03020
OG0000051	DR087_RS01275	DR096_RS02440
OG0000052	DR087_RS00505	DR096_RS02830
OG0000053	DR087_RS04540	DR096_RS04590
OG0000054	DR087_RS02475	DR096_RS02995
OG0000055	DR087_RS00555	DR096_RS02530
OG0000056	DR087_RS00765	DR096_RS01045
OG0000057	DR087_RS01485	DR096_RS01065
OG0000061	DR087_RS01595	DR096_RS00405
OG0000062	DR087_RS00395	DR096_RS01775
OG0000063	DR087_RS04450	DR096_RS04645
OG0000064	DR087_RS00380	DR096_RS01760
OG0000065	DR087_RS00215	DR096_RS02855
OG0000066	DR087_RS01175	DR096_RS01610
OG0000067	DR087_RS02860	DR096_RS02595
