Orthogroup	MHP_MHP691_genes	MHP_ES2_genes
OG0000000	DR087_RS04315	E5E95_RS03920
OG0000000	DR087_RS03570	E5E95_RS04235, E5E95_RS01835
OG0000001	DR087_RS03325	E5E95_RS01300
OG0000001	DR087_RS03335	E5E95_RS01295
OG0000001	DR087_RS04015	E5E95_RS03000
OG0000001	DR087_RS03255	E5E95_RS04150
OG0000002	DR087_RS03810	E5E95_RS02320
OG0000002	DR087_RS04740	E5E95_RS02250
OG0000002	DR087_RS04755	E5E95_RS01840
OG0000003	DR087_RS01665	E5E95_RS01915
OG0000003	DR087_RS04220	E5E95_RS00930
OG0000003	DR087_RS04345	E5E95_RS04060
OG0000003	DR087_RS04750	E5E95_RS04070
OG0000004	DR087_RS00850	E5E95_RS03410
OG0000004	DR087_RS00860	E5E95_RS03400
OG0000004	DR087_RS00840	E5E95_RS03425
OG0000005	DR087_RS00530	E5E95_RS00090
OG0000005	DR087_RS00540	E5E95_RS00095
OG0000005	DR087_RS04465	E5E95_RS00100, E5E95_RS00115
OG0000006	DR087_RS04360	E5E95_RS02705
OG0000007	DR087_RS04205, DR087_RS04210	E5E95_RS00935
OG0000007	DR087_RS03535	E5E95_RS02300
OG0000007	DR087_RS03750	E5E95_RS00950
OG0000007	DR087_RS03530	E5E95_RS02295
OG0000007	DR087_RS04335, DR087_RS03525	E5E95_RS02290
OG0000008	DR087_RS04355	E5E95_RS03930, E5E95_RS04135
OG0000010	DR087_RS01605	E5E95_RS01970
OG0000011	DR087_RS04590	E5E95_RS02070
OG0000011	DR087_RS01515	E5E95_RS02060
OG0000012	DR087_RS03620	E5E95_RS03230
OG0000013	DR087_RS01680	E5E95_RS02610
OG0000013	DR087_RS04185	E5E95_RS03955
OG0000014	DR087_RS03505	E5E95_RS00595
OG0000014	DR087_RS03520	E5E95_RS00605
OG0000015	DR087_RS00350	E5E95_RS02450
OG0000015	DR087_RS03240	E5E95_RS01590
OG0000016	DR087_RS01400	E5E95_RS03040
OG0000016	DR087_RS02395	E5E95_RS00160
OG0000017	DR087_RS02410	E5E95_RS00145
OG0000017	DR087_RS01410	E5E95_RS03050
OG0000018	DR087_RS04435	E5E95_RS02480
OG0000019	DR087_RS03610	E5E95_RS04175
OG0000020	DR087_RS04440	E5E95_RS03770
OG0000021	DR087_RS03640	E5E95_RS03755
OG0000021	DR087_RS02025	E5E95_RS00510
OG0000022	DR087_RS02045	E5E95_RS01770
OG0000022	DR087_RS04630	E5E95_RS01825
OG0000023	DR087_RS00330	E5E95_RS01720, E5E95_RS04100, E5E95_RS04110, E5E95_RS04105
OG0000024	DR087_RS03250	E5E95_RS02945
OG0000025	DR087_RS04625	E5E95_RS01775
OG0000025	DR087_RS02095	E5E95_RS01820
OG0000026	DR087_RS01165	E5E95_RS01380
OG0000026	DR087_RS02075	E5E95_RS01800
OG0000027	DR087_RS04635	E5E95_RS03560
OG0000027	DR087_RS04475	E5E95_RS03575
OG0000028	DR087_RS04675, DR087_RS01670	E5E95_RS02620
OG0000029	DR087_RS02775	E5E95_RS01100
OG0000029	DR087_RS03175	E5E95_RS00610
OG0000030	DR087_RS04640	E5E95_RS03550
OG0000030	DR087_RS04470	E5E95_RS03570
OG0000031	DR087_RS03210	E5E95_RS01625
OG0000032	DR087_RS03235	E5E95_RS03995
OG0000032	DR087_RS00575	E5E95_RS03565
OG0000034	DR087_RS03600	E5E95_RS04045
OG0000034	DR087_RS04365	E5E95_RS04050
OG0000035	DR087_RS00855	E5E95_RS03405, E5E95_RS03420
OG0000035	DR087_RS00865	E5E95_RS03395
OG0000036	DR087_RS00550	E5E95_RS00105, E5E95_RS00120
OG0000039	DR087_RS03190	E5E95_RS01650, E5E95_RS01645
OG0000040	DR087_RS02165	E5E95_RS03495
OG0000041	DR087_RS03625	E5E95_RS00670
OG0000042	DR087_RS03360	E5E95_RS03140
OG0000043	DR087_RS01545	E5E95_RS02030
OG0000044	DR087_RS04800	E5E95_RS04290
OG0000045	DR087_RS03185	E5E95_RS01655
OG0000047	DR087_RS00340	E5E95_RS04090
OG0000048	DR087_RS00140	E5E95_RS02215
OG0000049	DR087_RS01000	E5E95_RS03260
OG0000050	DR087_RS02450	E5E95_RS02655
OG0000051	DR087_RS01275	E5E95_RS02855
OG0000052	DR087_RS00505	E5E95_RS00075
OG0000053	DR087_RS04540	E5E95_RS01465
OG0000054	DR087_RS02475	E5E95_RS02680
OG0000055	DR087_RS00555	E5E95_RS00125
OG0000056	DR087_RS00765	E5E95_RS03750
OG0000057	DR087_RS01485	E5E95_RS03125
OG0000058	DR087_RS00275	E5E95_RS01660
OG0000058	DR087_RS00280	E5E95_RS02525
OG0000059	DR087_RS03825	E5E95_RS02510
OG0000060	DR087_RS00510	E5E95_RS00080
OG0000061	DR087_RS01595	E5E95_RS01980
OG0000062	DR087_RS00395	E5E95_RS03805
OG0000063	DR087_RS04450	E5E95_RS03800
OG0000064	DR087_RS00380	E5E95_RS03790
OG0000065	DR087_RS00215	E5E95_RS02365
OG0000066	DR087_RS01175	E5E95_RS01370
OG0000067	DR087_RS03450	E5E95_RS00525
OG0000068	DR087_RS03140	E5E95_RS00645
OG0000069	DR087_RS01375	E5E95_RS03015
OG0000070	DR087_RS02480	E5E95_RS02685
OG0000071	DR087_RS00780	E5E95_RS03485
OG0000072	DR087_RS02175	E5E95_RS03490
OG0000073	DR087_RS02200	E5E95_RS00705
OG0000074	DR087_RS04685	E5E95_RS00900
OG0000075	DR087_RS01860	E5E95_RS00340
OG0000077	DR087_RS03060	E5E95_RS00445
OG0000079	DR087_RS02980	E5E95_RS02760
OG0000080	DR087_RS04005	E5E95_RS03935
OG0000081	DR087_RS01855	E5E95_RS00335
OG0000082	DR087_RS01685	E5E95_RS02605
OG0000083	DR087_RS00065	E5E95_RS02140
OG0000084	DR087_RS00090	E5E95_RS02165
OG0000085	DR087_RS00095	E5E95_RS02170
OG0000086	DR087_RS00105	E5E95_RS02180
OG0000087	DR087_RS00120	E5E95_RS02195
OG0000088	DR087_RS00125	E5E95_RS02200
OG0000089	DR087_RS00135	E5E95_RS02210
OG0000090	DR087_RS00500	E5E95_RS00070
OG0000091	DR087_RS00485	E5E95_RS00055
OG0000092	DR087_RS00470	E5E95_RS00040
OG0000093	DR087_RS00465	E5E95_RS00035
OG0000094	DR087_RS00460	E5E95_RS00030
OG0000095	DR087_RS00435	E5E95_RS00005
OG0000096	DR087_RS00430	E5E95_RS03840
OG0000097	DR087_RS00410	E5E95_RS03820
OG0000098	DR087_RS00400	E5E95_RS03810
OG0000099	DR087_RS00775	E5E95_RS03760
OG0000100	DR087_RS00750	E5E95_RS03740
OG0000101	DR087_RS00745	E5E95_RS03735
OG0000102	DR087_RS02090	E5E95_RS01815
OG0000103	DR087_RS00180	E5E95_RS02330
OG0000104	DR087_RS00185	E5E95_RS02335
OG0000105	DR087_RS00200	E5E95_RS02350
OG0000106	DR087_RS00210	E5E95_RS02360
OG0000107	DR087_RS00220	E5E95_RS02370
OG0000108	DR087_RS00225	E5E95_RS02375
OG0000109	DR087_RS00230	E5E95_RS02380
OG0000110	DR087_RS01695	E5E95_RS02595
OG0000111	DR087_RS01700	E5E95_RS02590
OG0000112	DR087_RS01710	E5E95_RS02580
OG0000113	DR087_RS04610	E5E95_RS02560
OG0000114	DR087_RS01740	E5E95_RS04300
OG0000115	DR087_RS01750	E5E95_RS02535
OG0000116	DR087_RS03310	E5E95_RS01315
OG0000117	DR087_RS03305	E5E95_RS01320
OG0000118	DR087_RS01190	E5E95_RS01355
OG0000119	DR087_RS01185	E5E95_RS01360
OG0000120	DR087_RS01170	E5E95_RS01375
OG0000121	DR087_RS01145	E5E95_RS01400
OG0000122	DR087_RS01140	E5E95_RS01405
OG0000123	DR087_RS01120	E5E95_RS01425
OG0000124	DR087_RS01115	E5E95_RS01430
OG0000125	DR087_RS01110	E5E95_RS01435
OG0000126	DR087_RS01100	E5E95_RS01445
OG0000127	DR087_RS01090	E5E95_RS01455
OG0000128	DR087_RS01075	E5E95_RS01470
OG0000129	DR087_RS01070	E5E95_RS01475
OG0000130	DR087_RS01060	E5E95_RS01485
OG0000131	DR087_RS04535	E5E95_RS01515
OG0000132	DR087_RS04530	E5E95_RS01530
OG0000133	DR087_RS02865	E5E95_RS00530
OG0000134	DR087_RS02870	E5E95_RS00535
OG0000135	DR087_RS02885	E5E95_RS00550
OG0000136	DR087_RS02890	E5E95_RS00555
OG0000137	DR087_RS02930	E5E95_RS00585
OG0000138	DR087_RS03165	E5E95_RS00620
OG0000139	DR087_RS03135	E5E95_RS00650
OG0000140	DR087_RS03130	E5E95_RS00655
OG0000141	DR087_RS01495	E5E95_RS03135
OG0000142	DR087_RS04585	E5E95_RS03130
OG0000143	DR087_RS01465	E5E95_RS03105
OG0000144	DR087_RS01455	E5E95_RS03095
OG0000145	DR087_RS01445	E5E95_RS03085
OG0000146	DR087_RS01435	E5E95_RS03075
OG0000147	DR087_RS01430	E5E95_RS03070
OG0000148	DR087_RS01415	E5E95_RS03055
OG0000149	DR087_RS01405	E5E95_RS03045
OG0000150	DR087_RS01390	E5E95_RS03030
OG0000151	DR087_RS03290	E5E95_RS02985
OG0000152	DR087_RS03285	E5E95_RS02980
OG0000153	DR087_RS03280	E5E95_RS02975
OG0000154	DR087_RS03270	E5E95_RS02965
OG0000155	DR087_RS03545	E5E95_RS02925
OG0000156	DR087_RS01225	E5E95_RS02915
OG0000157	DR087_RS04555	E5E95_RS02910
OG0000158	DR087_RS04560	E5E95_RS02905
OG0000159	DR087_RS04805	E5E95_RS04310
OG0000160	DR087_RS02460	E5E95_RS02665
OG0000161	DR087_RS02455	E5E95_RS02660
OG0000162	DR087_RS02445	E5E95_RS02650
OG0000163	DR087_RS02440	E5E95_RS02645
OG0000164	DR087_RS03205	E5E95_RS01630
OG0000165	DR087_RS01520	E5E95_RS02055
OG0000166	DR087_RS00005	E5E95_RS02080
OG0000167	DR087_RS00020	E5E95_RS02095
OG0000168	DR087_RS00025	E5E95_RS02100
OG0000169	DR087_RS01010	E5E95_RS03255
OG0000170	DR087_RS00990	E5E95_RS03270
OG0000171	DR087_RS00980	E5E95_RS03280
OG0000172	DR087_RS00975	E5E95_RS03285
OG0000173	DR087_RS00970	E5E95_RS03290
OG0000174	DR087_RS00965	E5E95_RS03295
OG0000175	DR087_RS00950	E5E95_RS03310
OG0000176	DR087_RS00900	E5E95_RS03360
OG0000177	DR087_RS00895	E5E95_RS03365
OG0000178	DR087_RS00890	E5E95_RS03370
OG0000179	DR087_RS00880	E5E95_RS03380
OG0000180	DR087_RS00875	E5E95_RS03385
OG0000181	DR087_RS04520	E5E95_RS03435
OG0000182	DR087_RS00820	E5E95_RS03445
OG0000183	DR087_RS00785	E5E95_RS03480
OG0000184	DR087_RS02140	E5E95_RS03525
OG0000185	DR087_RS02155	E5E95_RS03510
OG0000186	DR087_RS04735	E5E95_RS01540
OG0000187	DR087_RS03425	E5E95_RS01555
OG0000188	DR087_RS03415	E5E95_RS01565
OG0000189	DR087_RS04425	E5E95_RS02415
OG0000190	DR087_RS00260	E5E95_RS02410
OG0000191	DR087_RS00240	E5E95_RS02390
OG0000192	DR087_RS02805	E5E95_RS01235
OG0000193	DR087_RS02790	E5E95_RS01225
OG0000194	DR087_RS02185	E5E95_RS00690
OG0000195	DR087_RS02190	E5E95_RS00695
OG0000196	DR087_RS02210	E5E95_RS00715
OG0000197	DR087_RS02215	E5E95_RS00720
OG0000198	DR087_RS02230	E5E95_RS00735
OG0000199	DR087_RS02235	E5E95_RS00740
OG0000200	DR087_RS02250	E5E95_RS00755
OG0000201	DR087_RS02260	E5E95_RS00765
OG0000202	DR087_RS02315	E5E95_RS00820
OG0000203	DR087_RS02320	E5E95_RS00825
OG0000204	DR087_RS04700	E5E95_RS00830
OG0000205	DR087_RS02610	E5E95_RS00835
OG0000206	DR087_RS02590	E5E95_RS00855
OG0000207	DR087_RS02575	E5E95_RS00870
OG0000208	DR087_RS02570	E5E95_RS00875
OG0000209	DR087_RS02565	E5E95_RS00880
OG0000210	DR087_RS02520	E5E95_RS00925
OG0000211	DR087_RS02630	E5E95_RS00955
OG0000212	DR087_RS02640	E5E95_RS00965
OG0000213	DR087_RS02645	E5E95_RS00970
OG0000214	DR087_RS02650	E5E95_RS00975
OG0000215	DR087_RS02655	E5E95_RS00980
OG0000216	DR087_RS02660	E5E95_RS00985
OG0000217	DR087_RS02665	E5E95_RS00995
OG0000218	DR087_RS02675	E5E95_RS01000
OG0000219	DR087_RS02680	E5E95_RS01005
OG0000220	DR087_RS02685	E5E95_RS01010
OG0000221	DR087_RS02690	E5E95_RS01015
OG0000222	DR087_RS02695	E5E95_RS01020
OG0000223	DR087_RS02700	E5E95_RS01025
OG0000224	DR087_RS02710	E5E95_RS01035
OG0000225	DR087_RS02720	E5E95_RS01045
OG0000226	DR087_RS02725	E5E95_RS01050
OG0000227	DR087_RS02730	E5E95_RS01055
OG0000228	DR087_RS04810	E5E95_RS04285
OG0000229	DR087_RS02740	E5E95_RS01065
OG0000230	DR087_RS02745	E5E95_RS01070
OG0000231	DR087_RS02755	E5E95_RS01080
OG0000232	DR087_RS02765	E5E95_RS01090
OG0000233	DR087_RS02010	E5E95_RS01110
OG0000234	DR087_RS01970	E5E95_RS01145
OG0000235	DR087_RS01960	E5E95_RS01155
OG0000236	DR087_RS01955	E5E95_RS01160
OG0000237	DR087_RS01950	E5E95_RS01165
OG0000238	DR087_RS01940	E5E95_RS01175
OG0000239	DR087_RS03355	E5E95_RS03145
OG0000240	DR087_RS03350	E5E95_RS03150
OG0000241	DR087_RS03340	E5E95_RS03160
OG0000242	DR087_RS03365	E5E95_RS03165
OG0000243	DR087_RS03370	E5E95_RS03170
OG0000244	DR087_RS03380	E5E95_RS03180
OG0000245	DR087_RS03390	E5E95_RS03190
OG0000246	DR087_RS00560	E5E95_RS00130
OG0000247	DR087_RS02415	E5E95_RS00140
OG0000248	DR087_RS02405	E5E95_RS00150
OG0000249	DR087_RS02400	E5E95_RS00155
OG0000250	DR087_RS02385	E5E95_RS00170
OG0000251	DR087_RS02350	E5E95_RS00205
OG0000252	DR087_RS02340	E5E95_RS00215
OG0000253	DR087_RS02335	E5E95_RS00220
OG0000254	DR087_RS02325	E5E95_RS00230
OG0000255	DR087_RS01760	E5E95_RS00240
OG0000256	DR087_RS01765	E5E95_RS00245
OG0000257	DR087_RS01790	E5E95_RS00270
OG0000258	DR087_RS01800	E5E95_RS00280
OG0000259	DR087_RS01830	E5E95_RS00310
OG0000260	DR087_RS01840	E5E95_RS00320
OG0000261	DR087_RS04615	E5E95_RS00330
OG0000262	DR087_RS01865	E5E95_RS00350
OG0000263	DR087_RS01880	E5E95_RS00360
OG0000264	DR087_RS01895	E5E95_RS00375
OG0000265	DR087_RS01910	E5E95_RS00385
OG0000266	DR087_RS03015	E5E95_RS00400
OG0000267	DR087_RS03030	E5E95_RS00415
OG0000268	DR087_RS03035	E5E95_RS00420
OG0000269	DR087_RS03050	E5E95_RS00435
OG0000270	DR087_RS04505	E5E95_RS03710
OG0000271	DR087_RS00715	E5E95_RS03705
OG0000272	DR087_RS00710	E5E95_RS03700
OG0000273	DR087_RS00705	E5E95_RS03695
OG0000274	DR087_RS00685	E5E95_RS03675
OG0000275	DR087_RS04495	E5E95_RS03670
OG0000276	DR087_RS00675	E5E95_RS03665
OG0000277	DR087_RS00665	E5E95_RS03655
OG0000278	DR087_RS00660	E5E95_RS03650
OG0000279	DR087_RS00650	E5E95_RS03640
OG0000280	DR087_RS00645	E5E95_RS03635
OG0000281	DR087_RS00640	E5E95_RS03630
OG0000282	DR087_RS04485	E5E95_RS03605
OG0000283	DR087_RS00610	E5E95_RS03600
OG0000284	DR087_RS00605	E5E95_RS03595
OG0000285	DR087_RS04480	E5E95_RS03590
OG0000286	DR087_RS02425	E5E95_RS04305
OG0000287	DR087_RS02940	E5E95_RS02720
OG0000288	DR087_RS02950	E5E95_RS02730
OG0000289	DR087_RS02955	E5E95_RS02735
OG0000290	DR087_RS01285	E5E95_RS02845
OG0000291	DR087_RS01295	E5E95_RS02835
OG0000292	DR087_RS01300	E5E95_RS02830
OG0000293	DR087_RS01305	E5E95_RS02825
OG0000294	DR087_RS01315	E5E95_RS02815
OG0000295	DR087_RS01320	E5E95_RS02810
OG0000296	DR087_RS02990	E5E95_RS02770
OG0000297	DR087_RS02985	E5E95_RS02765
OG0000298	DR087_RS02390	E5E95_RS00165
OG0000299	DR087_RS02365	E5E95_RS00190
OG0000300	DR087_RS01890	E5E95_RS00370
OG0000301	DR087_RS03020	E5E95_RS00405
OG0000302	DR087_RS03025	E5E95_RS00410
OG0000303	DR087_RS02895	E5E95_RS00560
OG0000304	DR087_RS02770	E5E95_RS01095
OG0000305	DR087_RS01440	E5E95_RS03080
OG0000306	DR087_RS01365	E5E95_RS03005
OG0000307	DR087_RS03275	E5E95_RS02970
OG0000308	DR087_RS01265	E5E95_RS02875
OG0000309	DR087_RS01330	E5E95_RS02800
OG0000310	DR087_RS02945	E5E95_RS02725
OG0000311	DR087_RS02485	E5E95_RS02690
OG0000312	DR087_RS02470	E5E95_RS02675
OG0000313	DR087_RS03215	E5E95_RS01620
OG0000314	DR087_RS01500	E5E95_RS02075
OG0000315	DR087_RS00030	E5E95_RS02105
OG0000316	DR087_RS00040	E5E95_RS02115
OG0000317	DR087_RS00130	E5E95_RS02205
OG0000318	DR087_RS04400	E5E95_RS02120
OG0000319	DR087_RS00195	E5E95_RS02345
OG0000320	DR087_RS01720	E5E95_RS02570
OG0000321	DR087_RS01195	E5E95_RS01350
OG0000322	DR087_RS01150	E5E95_RS01395
OG0000323	DR087_RS01020	E5E95_RS01525
OG0000324	DR087_RS00235	E5E95_RS02385
OG0000325	DR087_RS02195	E5E95_RS00700
OG0000326	DR087_RS02290	E5E95_RS00795
OG0000327	DR087_RS02295	E5E95_RS00800
OG0000328	DR087_RS02560	E5E95_RS00885
