Orthogroup	MHP_MHP691_genes	MFC_MF30_genes
OG0000000	DR087_RS00160	DR084_RS02925
OG0000000	DR087_RS04320, DR087_RS03480, DR087_RS03475, DR087_RS04315	DR084_RS02935
OG0000001	DR087_RS03325, DR087_RS03335, DR087_RS04015, DR087_RS04300, DR087_RS03255	DR084_RS03095
OG0000002	DR087_RS03810	DR084_RS03505
OG0000002	DR087_RS04755	DR084_RS03620
OG0000011	DR087_RS01510, DR087_RS04590	DR084_RS03145
OG0000011	DR087_RS01515	DR084_RS01055
OG0000013	DR087_RS01680	DR084_RS00890, DR084_RS00885
OG0000013	DR087_RS04185	DR084_RS02985
OG0000014	DR087_RS03505, DR087_RS03520	DR084_RS03465
OG0000016	DR087_RS01400	DR084_RS00585
OG0000017	DR087_RS02410	DR084_RS02415
OG0000017	DR087_RS01410	DR084_RS00575
OG0000018	DR087_RS04435	DR084_RS03555
OG0000019	DR087_RS03610	DR084_RS03440
OG0000020	DR087_RS04445	DR084_RS02530
OG0000022	DR087_RS04630	DR084_RS03625
OG0000024	DR087_RS03250	DR084_RS00640
OG0000025	DR087_RS02095	DR084_RS02490
OG0000026	DR087_RS01165, DR087_RS02075	DR084_RS01955
OG0000027	DR087_RS04475	DR084_RS03655
OG0000029	DR087_RS02775, DR087_RS03175	DR084_RS00420
OG0000030	DR087_RS04640, DR087_RS04470	DR084_RS03660
OG0000031	DR087_RS03210	DR084_RS01000
OG0000033	DR087_RS04070	DR084_RS00915
OG0000039	DR087_RS03190	DR084_RS00480
OG0000040	DR087_RS02165	DR084_RS02240, DR084_RS00690
OG0000042	DR087_RS03360	DR084_RS00475, DR084_RS00620
OG0000043	DR087_RS01545	DR084_RS01025
OG0000045	DR087_RS03185	DR084_RS00485
OG0000048	DR087_RS00140	DR084_RS02740
OG0000049	DR087_RS01000	DR084_RS02050
OG0000050	DR087_RS02450	DR084_RS00965
OG0000051	DR087_RS01275	DR084_RS01670
OG0000052	DR087_RS00505	DR084_RS02375
OG0000053	DR087_RS04540	DR084_RS03670
OG0000054	DR087_RS02475	DR084_RS00940
OG0000055	DR087_RS00555	DR084_RS03600, DR084_RS03710
OG0000056	DR087_RS00765	DR084_RS02515
OG0000057	DR087_RS01485	DR084_RS00500
OG0000062	DR087_RS00395	DR084_RS02265
OG0000063	DR087_RS04450	DR084_RS03590
OG0000064	DR087_RS00380	DR084_RS02250
OG0000065	DR087_RS00215	DR084_RS01815
OG0000066	DR087_RS01175	DR084_RS01945
OG0000067	DR087_RS02860	DR084_RS00345
OG0000068	DR087_RS03140	DR084_RS00455
OG0000069	DR087_RS01375	DR084_RS00610
OG0000070	DR087_RS02480	DR084_RS00920
OG0000071	DR087_RS00780	DR084_RS01120, DR084_RS02230
OG0000072	DR087_RS02175	DR084_RS03585
OG0000073	DR087_RS02200	DR084_RS01245
OG0000074	DR087_RS04685	DR084_RS03540
OG0000075	DR087_RS01860	DR084_RS00175
OG0000077	DR087_RS03060	DR084_RS00275
OG0000079	DR087_RS02980	DR084_RS00835
OG0000080	DR087_RS04005	DR084_RS03130
OG0000081	DR087_RS01855	DR084_RS00170
OG0000082	DR087_RS01685	DR084_RS00895
OG0000083	DR087_RS00065	DR084_RS02845
OG0000084	DR087_RS00090	DR084_RS02690
OG0000085	DR087_RS00095	DR084_RS02695
OG0000086	DR087_RS00105	DR084_RS03665
OG0000087	DR087_RS00120	DR084_RS02720
OG0000088	DR087_RS00125	DR084_RS02725
OG0000089	DR087_RS00135	DR084_RS02735
OG0000090	DR087_RS00500	DR084_RS02370
OG0000091	DR087_RS00485	DR084_RS02355
