Orthogroup	MFC_MF29_protein	MHP_MHP679_protein
OG0000000	WP_002557520.1	WP_160590309.1
OG0000000	WP_258555793.1, WP_220200593.1	WP_160590024.1
OG0000001	WP_160581478.1	WP_308506998.1
OG0000002	WP_160580979.1, WP_258555762.1	WP_308704697.1
OG0000002	WP_160580981.1	WP_258555710.1
OG0000005	WP_308704665.1	WP_308704704.1
OG0000006	WP_220200543.1	WP_160590409.1, WP_160590533.1
OG0000009	WP_160580985.1	WP_160590323.1, WP_160590450.1
OG0000010	WP_039387745.1	WP_258555714.1, WP_020835629.1
OG0000012	WP_020835561.1	WP_014579691.1
OG0000014	WP_160580916.1	WP_258555715.1
OG0000016	WP_160580987.1, WP_220200549.1	WP_308704710.1
OG0000018	WP_160580874.1, WP_160580909.1	WP_160590420.1
OG0000021	WP_155897261.1, WP_160581235.1	WP_160590089.1
OG0000022	WP_220200548.1	WP_258555711.1
OG0000023	WP_160581286.1, WP_308704648.1	WP_160590346.1
OG0000025	WP_255454456.1, WP_255454455.1	WP_258555619.1
OG0000026	WP_160581404.1	WP_160590319.1
OG0000029	WP_160580876.1	WP_160590481.1
OG0000030	WP_160581217.1	WP_160590119.1
OG0000031	WP_308704649.1	WP_014579531.1
OG0000034	WP_160580989.1	WP_011206291.1
OG0000035	WP_160580948.1	WP_160590237.1
OG0000036	WP_160580991.1	WP_160590316.1
OG0000037	WP_160581239.1	WP_160581239.1
OG0000039	WP_160581472.1	WP_011206214.1
OG0000040	WP_160581451.1	WP_160590049.1
OG0000041	WP_220200556.1	WP_258555701.1
OG0000042	WP_160581122.1	WP_160590366.1
OG0000043	WP_160581126.1	WP_011290432.1
OG0000044	WP_160581136.1	WP_160585690.1
OG0000045	WP_002557517.1	WP_011290219.1
OG0000046	WP_002557593.1	WP_258555735.1, WP_160587949.1
OG0000047	WP_160580888.1	WP_258555674.1
OG0000048	WP_002557625.1	WP_160585682.1
OG0000049	WP_002557626.1	WP_011206373.1
OG0000050	WP_002557663.1	WP_011206292.1
OG0000051	WP_160581406.1	WP_135619210.1
OG0000052	WP_160581408.1	WP_160590321.1
OG0000053	WP_002557698.1	WP_160585654.1
OG0000054	WP_002557704.1	WP_160585651.1
OG0000055	WP_002557712.1	WP_160590193.1
OG0000056	WP_160581282.1	WP_160585219.1
OG0000057	WP_002557776.1	WP_011290028.1
OG0000058	WP_002557805.1	WP_160590415.1
OG0000059	WP_308704661.1	WP_308704709.1
OG0000060	WP_002557818.1	WP_011290055.1
OG0000061	WP_002557829.1	WP_011206035.1
OG0000062	WP_160581324.1	WP_146379532.1
OG0000063	WP_160581067.1	WP_160585552.1
OG0000064	WP_160581065.1	WP_160589978.1
OG0000065	WP_160581028.1	WP_160590545.1, WP_135618517.1
OG0000066	WP_160581009.1	WP_160590009.1
OG0000067	WP_160581384.1	WP_011206493.1
OG0000068	WP_160581394.1	WP_258555679.1
OG0000069	WP_002557977.1	WP_020835790.1
OG0000070	WP_160580968.1	WP_020835797.1
OG0000071	WP_160580911.1	WP_160590147.1
OG0000072	WP_160581399.1	WP_160590454.1
OG0000073	WP_196792423.1	WP_179695988.1
OG0000074	WP_258555750.1	WP_020835847.1
OG0000076	WP_308704658.1	WP_308704713.1
OG0000077	WP_308704652.1	WP_160590000.1
OG0000079	WP_052234586.1	WP_220200751.1
OG0000080	WP_160581474.1	WP_160590040.1
OG0000081	WP_160581484.1	WP_160590043.1
OG0000082	WP_160581485.1	WP_160590046.1
OG0000083	WP_160581452.1	WP_011206221.1
OG0000084	WP_002557451.1	WP_011284142.1
OG0000085	WP_160581449.1	WP_146379594.1
OG0000086	WP_160581447.1	WP_160590052.1
OG0000087	WP_160581445.1	WP_220200603.1
OG0000088	WP_258555794.1	WP_020835732.1
OG0000089	WP_160581443.1	WP_160590058.1
OG0000090	WP_002557461.1	WP_011206231.1
OG0000091	WP_002557464.1	WP_160590168.1
OG0000092	WP_160581085.1	WP_094521535.1
OG0000093	WP_160581089.1	WP_160590170.1
OG0000094	WP_002557468.1	WP_160584849.1
OG0000095	WP_160581091.1	WP_160584852.1
OG0000096	WP_002557470.1	WP_160584854.1
OG0000097	WP_160581094.1	WP_011205847.1
OG0000098	WP_002557472.1	WP_020835484.1
OG0000099	WP_160581096.1	WP_014579519.1
OG0000100	WP_002557477.1	WP_044272256.1
OG0000101	WP_002557478.1	WP_160590172.1
OG0000102	WP_002557479.1	WP_044272251.1
OG0000103	WP_002557480.1	WP_011206529.1
OG0000104	WP_160581100.1	WP_160585758.1
OG0000105	WP_160581102.1	WP_146379771.1
OG0000106	WP_160581104.1	WP_160590174.1
OG0000107	WP_160581106.1	WP_146379769.1
OG0000108	WP_160581109.1	WP_094521530.1
OG0000109	WP_160581110.1	WP_041361715.1
OG0000110	WP_160581114.1	WP_011290440.1
OG0000111	WP_002557497.1	WP_011206510.1
OG0000112	WP_160581128.1	WP_135619192.1
OG0000113	WP_160581130.1	WP_135618779.1
OG0000114	WP_160581132.1	WP_160590230.1
OG0000115	WP_160581150.1	WP_160590311.1
OG0000116	WP_002557510.1	WP_011206239.1
OG0000117	WP_002557511.1	WP_146379628.1
OG0000118	WP_160581154.1	WP_160588282.1
OG0000119	WP_160581156.1	WP_014579831.1
OG0000120	WP_160581158.1	WP_146379631.1
OG0000121	WP_002557518.1	WP_011284169.1
OG0000122	WP_308704655.1	WP_192894278.1
OG0000123	WP_160581160.1	WP_146379648.1
OG0000124	WP_220200563.1	WP_258555712.1
OG0000125	WP_160581163.1	WP_160590440.1
OG0000126	WP_160581165.1	WP_258555585.1
OG0000127	WP_160581167.1	WP_160590444.1
OG0000128	WP_002557528.1	WP_160590507.1
OG0000129	WP_258555776.1	WP_258555347.1
OG0000130	WP_002557532.1	WP_011290245.1
OG0000131	WP_160581174.1	WP_011290102.1
OG0000132	WP_160581176.1	WP_160590505.1
OG0000133	WP_160581178.1	WP_160590503.1
OG0000134	WP_160581180.1	WP_160590299.1
OG0000135	WP_160581182.1	WP_160590297.1
OG0000136	WP_160581185.1	WP_179696056.1
OG0000137	WP_160581187.1	WP_135618686.1
OG0000138	WP_002557542.1	WP_160588241.1
OG0000139	WP_002557543.1	WP_160588243.1
OG0000140	WP_160581189.1	WP_160590292.1
OG0000141	WP_160581190.1	WP_044284614.1
OG0000142	WP_160581194.1	WP_011284032.1
OG0000143	WP_002557549.1	WP_020835643.1
OG0000144	WP_160581198.1	WP_160590288.1
OG0000145	WP_160581199.1	WP_011205954.1
OG0000146	WP_160581201.1	WP_011205953.1
OG0000147	WP_160581203.1	WP_011205952.1
OG0000148	WP_160581207.1	WP_011290120.1
OG0000149	WP_160581209.1	WP_160590284.1
OG0000150	WP_160581211.1	WP_160590282.1
OG0000151	WP_220200596.1	WP_160590280.1
OG0000152	WP_160581457.1	WP_160590278.1
OG0000153	WP_160581459.1	WP_014579732.1
OG0000154	WP_160581461.1	WP_160590276.1
OG0000155	WP_002557565.1	WP_160590274.1
OG0000156	WP_002557566.1	WP_146379566.1
OG0000157	WP_002557567.1	WP_014579735.1
OG0000158	WP_160581465.1	WP_160590270.1
OG0000159	WP_160581005.1	WP_041361727.1
OG0000160	WP_160580850.1	WP_160590329.1
OG0000161	WP_002557574.1	WP_014579589.1
OG0000162	WP_160580852.1	WP_233688635.1
OG0000163	WP_002557576.1	WP_011206121.1
OG0000164	WP_002557577.1	WP_011206120.1
OG0000165	WP_160580854.1	WP_135618546.1
OG0000166	WP_160580858.1	WP_160590331.1
OG0000167	WP_160580860.1	WP_160590333.1
OG0000168	WP_002557585.1	WP_011206113.1
OG0000169	WP_002557589.1	WP_160590407.1
OG0000170	WP_160580868.1	WP_160584793.1
OG0000171	WP_160580872.1	WP_011206102.1
OG0000172	WP_002557595.1	WP_160584795.1
OG0000173	WP_002557602.1	WP_011290345.1
OG0000174	WP_002557603.1	WP_160587865.1
OG0000175	WP_160580878.1	WP_011284286.1
OG0000176	WP_160580880.1	WP_135619026.1
OG0000177	WP_160580882.1	WP_160590163.1
OG0000178	WP_160580884.1	WP_044272582.1
OG0000179	WP_160580886.1	WP_160590161.1
OG0000180	WP_002557613.1	WP_011206385.1
OG0000181	WP_002557614.1	WP_011206384.1
OG0000182	WP_160580892.1	WP_020835840.1
OG0000183	WP_160580896.1	WP_160587854.1
OG0000184	WP_160580900.1	WP_011290331.1
OG0000185	WP_160580902.1	WP_160590155.1
OG0000186	WP_160580903.1	WP_146379689.1
OG0000187	WP_002557623.1	WP_160590153.1
OG0000188	WP_160580907.1	WP_160590149.1
OG0000189	WP_160580918.1	WP_160590464.1
OG0000190	WP_160580920.1	WP_160590462.1
OG0000191	WP_160580922.1	WP_011206347.1
OG0000192	WP_160580926.1	WP_160587842.1
OG0000193	WP_160580928.1	WP_160585121.1
OG0000194	WP_002557642.1	WP_020835820.1
OG0000195	WP_160580939.1	WP_160590426.1
OG0000196	WP_160580941.1	WP_011206335.1
OG0000197	WP_002557648.1	WP_014579918.1
OG0000198	WP_002557650.1	WP_160590424.1
OG0000199	WP_002557667.1	WP_160590317.1
OG0000200	WP_160580992.1	WP_160590318.1
OG0000201	WP_160580994.1	WP_011206287.1
OG0000202	WP_160581410.1	WP_135618730.1
OG0000203	WP_160581412.1	WP_011290137.1
OG0000204	WP_160581414.1	WP_146379571.1
OG0000205	WP_160581416.1	WP_160585024.1
OG0000206	WP_160581417.1	WP_160585022.1
OG0000207	WP_160581419.1	WP_146379611.1
OG0000208	WP_160581421.1	WP_146379610.1
OG0000209	WP_002557684.1	WP_011206200.1
OG0000210	WP_160581423.1	WP_160590029.1
OG0000211	WP_220190081.1	WP_160590031.1
