Orthogroup	MHP_J_genes	MHP_UFV01_genes
OG0000000	MHJ_RS02155	FEF30_RS02570
OG0000000	MHJ_RS03645	FEF30_RS02505, FEF30_RS02500
OG0000000	MHJ_RS02065	FEF30_RS02495
OG0000000	MHJ_RS02265	FEF30_RS02690
OG0000000	MHJ_RS01665	FEF30_RS02035
OG0000001	MHJ_RS01255	FEF30_RS01595
OG0000001	MHJ_RS01250	FEF30_RS01590
OG0000001	MHJ_RS02765	FEF30_RS03180
OG0000001	MHJ_RS03940	FEF30_RS03130
OG0000001	MHJ_RS02710	FEF30_RS03125
OG0000002	MHJ_RS03585	FEF30_RS02580
OG0000002	MHJ_RS03670	FEF30_RS02575
OG0000002	MHJ_RS02080	FEF30_RS04340
OG0000002	MHJ_RS01675	FEF30_RS04295
OG0000003	MHJ_RS01710	FEF30_RS02165
OG0000003	MHJ_RS00485	FEF30_RS04200
OG0000003	MHJ_RS03890	FEF30_RS04345
OG0000004	MHJ_RS03175	FEF30_RS03540
OG0000004	MHJ_RS03190	FEF30_RS03550
OG0000005	MHJ_RS00090	FEF30_RS00415
OG0000005	MHJ_RS00095	FEF30_RS04180
OG0000005	MHJ_RS00100	FEF30_RS00425
OG0000006	MHJ_RS03920	FEF30_RS02880
OG0000006	MHJ_RS02300	FEF30_RS02730
OG0000006	MHJ_RS02270	FEF30_RS02700
OG0000007	MHJ_RS02140	FEF30_RS02555
OG0000007	MHJ_RS02135	FEF30_RS02545
OG0000007	MHJ_RS02130	FEF30_RS02540
OG0000008	MHJ_RS03790	FEF30_RS02685
OG0000008	MHJ_RS03850	FEF30_RS01955
OG0000008	MHJ_RS03925	FEF30_RS02885
OG0000009	MHJ_RS00650	FEF30_RS00980
OG0000009	MHJ_RS03830	FEF30_RS01500
OG0000009	MHJ_RS00660	FEF30_RS00990
OG0000010	MHJ_RS01805	FEF30_RS02240
OG0000010	MHJ_RS01530	FEF30_RS04280
OG0000011	MHJ_RS04005	FEF30_RS02330
OG0000011	MHJ_RS01895	FEF30_RS02325
OG0000012	MHJ_RS01680, MHJ_RS02860, MHJ_RS02630, MHJ_RS02345, MHJ_RS01775	FEF30_RS03655
OG0000013	MHJ_RS02355	FEF30_RS02775
OG0000013	MHJ_RS03825	FEF30_RS00500
OG0000014	MHJ_RS01060	FEF30_RS01400
OG0000014	MHJ_RS00590	FEF30_RS04210
OG0000016	MHJ_RS02810	FEF30_RS03220
OG0000016	MHJ_RS00145	FEF30_RS00485
OG0000017	MHJ_RS00130	FEF30_RS00470
OG0000017	MHJ_RS02820	FEF30_RS03230
OG0000018	MHJ_RS01295	FEF30_RS04255, FEF30_RS02065, FEF30_RS02070
OG0000020	MHJ_RS03515	FEF30_RS00265
OG0000020	MHJ_RS03995	FEF30_RS03755
OG0000021	MHJ_RS00495	FEF30_RS00820
OG0000022	MHJ_RS01610	FEF30_RS01975
OG0000022	MHJ_RS01660	FEF30_RS04290
OG0000023	MHJ_RS01290	FEF30_RS01630
OG0000024	MHJ_RS02705	FEF30_RS03120
OG0000024	MHJ_RS01245	FEF30_RS01585
OG0000025	MHJ_RS01615	FEF30_RS04285
OG0000025	MHJ_RS01655	FEF30_RS02025
OG0000026	MHJ_RS01335	FEF30_RS01680
OG0000026	MHJ_RS01635	FEF30_RS02005
OG0000027	MHJ_RS03750	FEF30_RS00060
OG0000027	MHJ_RS03330	FEF30_RS04125
OG0000028	MHJ_RS02365, MHJ_RS02370	FEF30_RS02785, FEF30_RS02790
OG0000029	MHJ_RS01055	FEF30_RS01390
OG0000029	MHJ_RS00595	FEF30_RS00925
OG0000030	MHJ_RS03310	FEF30_RS04110
OG0000030	MHJ_RS03325	FEF30_RS04120
OG0000032	MHJ_RS03320	FEF30_RS00065
OG0000033	MHJ_RS03905	FEF30_RS02780
OG0000035	MHJ_RS03170	FEF30_RS03545
OG0000036	MHJ_RS00105	FEF30_RS00430
OG0000038	MHJ_RS00480, MHJ_RS01705	FEF30_RS02160
OG0000039	MHJ_RS01575	FEF30_RS01930
OG0000040	MHJ_RS03260	FEF30_RS03620
OG0000041	MHJ_RS00655	FEF30_RS00985
OG0000042	MHJ_RS02920	FEF30_RS03315
OG0000043	MHJ_RS01865	FEF30_RS02295, FEF30_RS02105
OG0000044	MHJ_RS04020	FEF30_RS04460
OG0000044	MHJ_RS01745	FEF30_RS02200
OG0000045	MHJ_RS01580	FEF30_RS01935, FEF30_RS01940
OG0000048	MHJ_RS02050	FEF30_RS02480
OG0000049	MHJ_RS03025, MHJ_RS03010	FEF30_RS03400
OG0000050	MHJ_RS02400	FEF30_RS02820
OG0000051	MHJ_RS02615	FEF30_RS03030
OG0000052	MHJ_RS00075	FEF30_RS00405
OG0000053	MHJ_RS01420	FEF30_RS04260
OG0000054	MHJ_RS02425	FEF30_RS02845
OG0000055	MHJ_RS00110	FEF30_RS00450
OG0000056	MHJ_RS03500	FEF30_RS00250
OG0000057	MHJ_RS02900	FEF30_RS03300
OG0000061	MHJ_RS01540	FEF30_RS01900
OG0000061	MHJ_RS01815	FEF30_RS02250
OG0000062	MHJ_RS03545	FEF30_RS00295
OG0000063	MHJ_RS03540	FEF30_RS04165
OG0000064	MHJ_RS03530	FEF30_RS00280
OG0000065	MHJ_RS02200	FEF30_RS02625
OG0000066	MHJ_RS01325	FEF30_RS01670
OG0000067	MHJ_RS00510	FEF30_RS00835
OG0000068	MHJ_RS00630	FEF30_RS00960
OG0000069	MHJ_RS02785	FEF30_RS03195
OG0000070	MHJ_RS02430	FEF30_RS02850
OG0000071	MHJ_RS03250	FEF30_RS03610
OG0000072	MHJ_RS03255	FEF30_RS04405
OG0000073	MHJ_RS00685	FEF30_RS01015
OG0000074	MHJ_RS00875	FEF30_RS04230
OG0000075	MHJ_RS00320	FEF30_RS00655
OG0000076	MHJ_RS00335	FEF30_RS00670
OG0000077	MHJ_RS00425	FEF30_RS00755
OG0000079	MHJ_RS02515	FEF30_RS02935
OG0000080	MHJ_RS03800	FEF30_RS02980
OG0000081	MHJ_RS00315	FEF30_RS00650
OG0000082	MHJ_RS03775	FEF30_RS02770
OG0000083	MHJ_RS01975	FEF30_RS02400
OG0000084	MHJ_RS02000	FEF30_RS02430
OG0000085	MHJ_RS02005	FEF30_RS02435
OG0000086	MHJ_RS02015	FEF30_RS02445
OG0000087	MHJ_RS02030	FEF30_RS02460
OG0000088	MHJ_RS02035	FEF30_RS02465
OG0000089	MHJ_RS02045	FEF30_RS02475
OG0000090	MHJ_RS00070	FEF30_RS00400
OG0000091	MHJ_RS00055	FEF30_RS00385
OG0000092	MHJ_RS00040	FEF30_RS00370
OG0000093	MHJ_RS00035	FEF30_RS00365
OG0000094	MHJ_RS00030	FEF30_RS00360
OG0000095	MHJ_RS00005	FEF30_RS00335
OG0000096	MHJ_RS03580	FEF30_RS00330
OG0000097	MHJ_RS03560	FEF30_RS00310
OG0000098	MHJ_RS03550	FEF30_RS00300
OG0000099	MHJ_RS03505	FEF30_RS04160
OG0000100	MHJ_RS03490	FEF30_RS00240
OG0000101	MHJ_RS03485	FEF30_RS00235
OG0000102	MHJ_RS01650	FEF30_RS02020
OG0000103	MHJ_RS02165	FEF30_RS02590
OG0000104	MHJ_RS02170	FEF30_RS02595
OG0000105	MHJ_RS02185	FEF30_RS02610
OG0000106	MHJ_RS02195	FEF30_RS02620
OG0000107	MHJ_RS02205	FEF30_RS02630
OG0000108	MHJ_RS02210	FEF30_RS02635
OG0000109	MHJ_RS02215	FEF30_RS02640
OG0000110	MHJ_RS02330	FEF30_RS02760
OG0000111	MHJ_RS02325	FEF30_RS02755
OG0000112	MHJ_RS02315	FEF30_RS02745
OG0000113	MHJ_RS02295	FEF30_RS02725
OG0000114	MHJ_RS02285	FEF30_RS02715
OG0000115	MHJ_RS02275	FEF30_RS02705
OG0000116	MHJ_RS01270	FEF30_RS01610
OG0000117	MHJ_RS01275	FEF30_RS01615
OG0000118	MHJ_RS01310	FEF30_RS01650
OG0000119	MHJ_RS01315	FEF30_RS01655
OG0000120	MHJ_RS01330	FEF30_RS01675
OG0000121	MHJ_RS01355	FEF30_RS01700
OG0000122	MHJ_RS01360	FEF30_RS01705
OG0000123	MHJ_RS01380	FEF30_RS01725
OG0000124	MHJ_RS01385	FEF30_RS01730
OG0000125	MHJ_RS01390	FEF30_RS01735
OG0000126	MHJ_RS01400	FEF30_RS01745
OG0000127	MHJ_RS01410	FEF30_RS01755
OG0000128	MHJ_RS01425	FEF30_RS01770
OG0000129	MHJ_RS01430	FEF30_RS01775
OG0000130	MHJ_RS01440	FEF30_RS01785
OG0000131	MHJ_RS01470	FEF30_RS04265
OG0000132	MHJ_RS01485	FEF30_RS04270
OG0000133	MHJ_RS00515	FEF30_RS00840
OG0000134	MHJ_RS00520	FEF30_RS00845
OG0000135	MHJ_RS00535	FEF30_RS00860
OG0000136	MHJ_RS00540	FEF30_RS00865
OG0000137	MHJ_RS00575	FEF30_RS00905
OG0000138	MHJ_RS00605	FEF30_RS00935
OG0000139	MHJ_RS00635	FEF30_RS00965
OG0000140	MHJ_RS00640	FEF30_RS00970
OG0000141	MHJ_RS02910	FEF30_RS03310
OG0000142	MHJ_RS02905	FEF30_RS04385
OG0000143	MHJ_RS02880	FEF30_RS03285
OG0000144	MHJ_RS02870	FEF30_RS03275
OG0000145	MHJ_RS02855	FEF30_RS03265
OG0000146	MHJ_RS02845	FEF30_RS03255
OG0000147	MHJ_RS02840	FEF30_RS03250
OG0000148	MHJ_RS02825	FEF30_RS03235
OG0000149	MHJ_RS02815	FEF30_RS03225
OG0000150	MHJ_RS02800	FEF30_RS03210
OG0000151	MHJ_RS02745	FEF30_RS03160
OG0000152	MHJ_RS02740	FEF30_RS03155
OG0000153	MHJ_RS02735	FEF30_RS03150
OG0000154	MHJ_RS02725	FEF30_RS03140
OG0000155	MHJ_RS02685	FEF30_RS03100
OG0000156	MHJ_RS02675	FEF30_RS03090
OG0000157	MHJ_RS02670	FEF30_RS04375
OG0000158	MHJ_RS04010	FEF30_RS04370
OG0000159	MHJ_RS04030	FEF30_RS02835
OG0000160	MHJ_RS02410	FEF30_RS02830
OG0000161	MHJ_RS02405	FEF30_RS02825
OG0000162	MHJ_RS02395	FEF30_RS02815
OG0000163	MHJ_RS02390	FEF30_RS02810
OG0000164	MHJ_RS01565	FEF30_RS01925
OG0000165	MHJ_RS01890	FEF30_RS02320
OG0000166	MHJ_RS01915	FEF30_RS02340
OG0000167	MHJ_RS01930	FEF30_RS02355
OG0000168	MHJ_RS01935	FEF30_RS02360
OG0000169	MHJ_RS03005	FEF30_RS03395
OG0000170	MHJ_RS03035	FEF30_RS04475
OG0000171	MHJ_RS03045	FEF30_RS03420
OG0000172	MHJ_RS03050	FEF30_RS03425
OG0000173	MHJ_RS03055	FEF30_RS03430
OG0000174	MHJ_RS03060	FEF30_RS03435
OG0000175	MHJ_RS03075	FEF30_RS03450
OG0000176	MHJ_RS03125	FEF30_RS03495
OG0000177	MHJ_RS03130	FEF30_RS03500
OG0000178	MHJ_RS03135	FEF30_RS03505
OG0000179	MHJ_RS03145	FEF30_RS03515
OG0000180	MHJ_RS03150	FEF30_RS03520
OG0000181	MHJ_RS03200	FEF30_RS04395
OG0000182	MHJ_RS03210	FEF30_RS03570
OG0000183	MHJ_RS03245	FEF30_RS03605
OG0000184	MHJ_RS03285	FEF30_RS00025
OG0000185	MHJ_RS03270	FEF30_RS00010
OG0000186	MHJ_RS01495	FEF30_RS04275
OG0000187	MHJ_RS01510	FEF30_RS01855
OG0000188	MHJ_RS01520	FEF30_RS01865
