Orthogroup	MHP_J_genes	MFC_MF29_genes
OG0000000	MHJ_RS02155	DR095_RS03080
OG0000000	MHJ_RS01665	DR095_RS01240
OG0000001	MHJ_RS01255, MHJ_RS01250, MHJ_RS02765, MHJ_RS03940, MHJ_RS02710	DR095_RS00305, DR095_RS00300
OG0000002	MHJ_RS02080	DR095_RS04030
OG0000002	MHJ_RS01675	DR095_RS03820
OG0000003	MHJ_RS03890	DR095_RS04020
OG0000007	MHJ_RS02140	DR095_RS03020
OG0000007	MHJ_RS02135	DR095_RS03025
OG0000007	MHJ_RS02130	DR095_RS03035
OG0000008	MHJ_RS03850	DR095_RS03220
OG0000011	MHJ_RS04005, MHJ_RS01900	DR095_RS03240, DR095_RS03235
OG0000011	MHJ_RS01895	DR095_RS03230
OG0000013	MHJ_RS02355	DR095_RS00580, DR095_RS00575
OG0000013	MHJ_RS03825	DR095_RS03215
OG0000014	MHJ_RS01060, MHJ_RS00590	DR095_RS03760
OG0000016	MHJ_RS02810	DR095_RS00250
OG0000017	MHJ_RS00130	DR095_RS01000
OG0000017	MHJ_RS02820	DR095_RS00240
OG0000018	MHJ_RS01295	DR095_RS03850, DR095_RS03835
OG0000020	MHJ_RS03515	DR095_RS03810
OG0000020	MHJ_RS03995	DR095_RS03805
OG0000022	MHJ_RS01660	DR095_RS03815
OG0000024	MHJ_RS02705, MHJ_RS01245	DR095_RS00310
OG0000025	MHJ_RS01655	DR095_RS01230
OG0000026	MHJ_RS01335, MHJ_RS01635	DR095_RS01450
OG0000027	MHJ_RS03330	DR095_RS03960
OG0000028	MHJ_RS02365, MHJ_RS02370	DR095_RS00595
OG0000029	MHJ_RS01055, MHJ_RS00595	DR095_RS00085
OG0000030	MHJ_RS03310, MHJ_RS03325	DR095_RS03965
OG0000031	MHJ_RS01560	DR095_RS02710
OG0000039	MHJ_RS01575	DR095_RS00145
OG0000040	MHJ_RS03260	DR095_RS01945, DR095_RS00375, DR095_RS00380
OG0000042	MHJ_RS02920	DR095_RS00140, DR095_RS00285
OG0000043	MHJ_RS01865	DR095_RS01635, DR095_RS02735
OG0000045	MHJ_RS01580	DR095_RS03295, DR095_RS03300
OG0000048	MHJ_RS02050	DR095_RS03095, DR095_RS02830
OG0000049	MHJ_RS03010	DR095_RS01755
OG0000050	MHJ_RS02400	DR095_RS03970
OG0000051	MHJ_RS02615	DR095_RS01545
OG0000052	MHJ_RS00075	DR095_RS01040
OG0000053	MHJ_RS01420	DR095_RS03995, DR095_RS01535
OG0000054	MHJ_RS02425	DR095_RS00625
OG0000055	MHJ_RS00110	DR095_RS01035
OG0000056	MHJ_RS03500	DR095_RS01205
OG0000057	MHJ_RS02900	DR095_RS00165
OG0000062	MHJ_RS03545	DR095_RS01150
OG0000063	MHJ_RS03540	DR095_RS01155
OG0000064	MHJ_RS03530	DR095_RS01165
OG0000065	MHJ_RS02200	DR095_RS01310
OG0000066	MHJ_RS01325	DR095_RS01440
OG0000068	MHJ_RS00630	DR095_RS00120
OG0000069	MHJ_RS02785	DR095_RS00275
OG0000070	MHJ_RS02430	DR095_RS00605
OG0000071	MHJ_RS03250	DR095_RS01935
OG0000072	MHJ_RS03255	DR095_RS03885
OG0000073	MHJ_RS00685	DR095_RS02080
OG0000074	MHJ_RS00875	DR095_RS03915
OG0000075	MHJ_RS00320	DR095_RS00815
OG0000076	MHJ_RS00335	DR095_RS00800
OG0000077	MHJ_RS00425	DR095_RS00715
OG0000078	MHJ_RS01625	DR095_RS00415
OG0000079	MHJ_RS02515	DR095_RS00525
OG0000080	MHJ_RS03800	DR095_RS03375
OG0000081	MHJ_RS00315	DR095_RS00820
OG0000082	MHJ_RS02340, MHJ_RS03775	DR095_RS00585
OG0000083	MHJ_RS01975	DR095_RS03045
OG0000084	MHJ_RS02000	DR095_RS02880
OG0000085	MHJ_RS02005	DR095_RS02875
OG0000086	MHJ_RS02015	DR095_RS03990
OG0000087	MHJ_RS02030	DR095_RS02850
OG0000088	MHJ_RS02035	DR095_RS02845
OG0000089	MHJ_RS02045	DR095_RS02835
OG0000090	MHJ_RS00070	DR095_RS01045
OG0000091	MHJ_RS00055	DR095_RS01060
OG0000092	MHJ_RS00040	DR095_RS01075
OG0000093	MHJ_RS00035	DR095_RS01080
OG0000094	MHJ_RS00030	DR095_RS01085
OG0000095	MHJ_RS00005	DR095_RS01110
OG0000096	MHJ_RS03580	DR095_RS01115
OG0000097	MHJ_RS03560	DR095_RS01135
