Orthogroup	MHP_J_genes	MHP_232_genes
OG0000000	MHJ_RS02155	MHP_RS02080
OG0000000	MHJ_RS03895, MHJ_RS02065	MHP_RS04000
OG0000000	MHJ_RS02265	MHP_RS02190
OG0000000	MHJ_RS01665	MHP_RS03825
OG0000000	MHJ_RS01670	MHP_RS01715
OG0000001	MHJ_RS02765	MHP_RS03580
OG0000001	MHJ_RS03940	MHP_RS03935
OG0000001	MHJ_RS02710	MHP_RS02610
OG0000002	MHJ_RS03585	MHP_RS03905
OG0000002	MHJ_RS03670	MHP_RS03800
OG0000002	MHJ_RS01675	MHP_RS01720
OG0000003	MHJ_RS01795	MHP_RS01825
OG0000004	MHJ_RS03165	MHP_RS03125
OG0000004	MHJ_RS03190	MHP_RS03135
OG0000004	MHJ_RS02980	MHP_RS02945
OG0000004	MHJ_RS02995	MHP_RS02960
OG0000005	MHJ_RS00090	MHP_RS00100
OG0000005	MHJ_RS00095	MHP_RS00105
OG0000005	MHJ_RS00100	MHP_RS00110
OG0000006	MHJ_RS03920, MHJ_RS03915	MHP_RS02365
OG0000006	MHJ_RS02300	MHP_RS02230
OG0000008	MHJ_RS03790	MHP_RS03725, MHP_RS03910
OG0000008	MHJ_RS03850	MHP_RS01640
OG0000008	MHJ_RS03925	MHP_RS03920
OG0000009	MHJ_RS00650	MHP_RS01325
OG0000009	MHJ_RS03830	MHP_RS03870
OG0000009	MHJ_RS00660	MHP_RS01315
OG0000010	MHJ_RS01805	MHP_RS01830
OG0000010	MHJ_RS01530	MHP_RS00445
OG0000010	MHJ_RS00085	MHP_RS00095
OG0000011	MHJ_RS04005	MHP_RS01915
OG0000011	MHJ_RS01895	MHP_RS01910
OG0000012	MHJ_RS02915, MHJ_RS01680, MHJ_RS02860, MHJ_RS02630, MHJ_RS02345, MHJ_RS01775, MHJ_RS02990	MHP_RS00400
OG0000013	MHJ_RS02355	MHP_RS02275
OG0000013	MHJ_RS03825	MHP_RS03840
OG0000014	MHJ_RS01060	MHP_RS00920
OG0000014	MHJ_RS00590	MHP_RS01385
OG0000016	MHJ_RS02810	MHP_RS02785
OG0000016	MHJ_RS00145	MHP_RS00180
OG0000017	MHJ_RS00130	MHP_RS00165
OG0000017	MHJ_RS02820	MHP_RS02795
OG0000018	MHJ_RS01295	MHP_RS03940, MHP_RS03945
OG0000019	MHJ_RS03950	MHP_RS02955
OG0000020	MHJ_RS03515	MHP_RS03465
OG0000020	MHJ_RS03995	MHP_RS03470
OG0000022	MHJ_RS01610	MHP_RS01655
OG0000022	MHJ_RS01660	MHP_RS01705
OG0000024	MHJ_RS02705	MHP_RS02605
OG0000024	MHJ_RS01245	MHP_RS00730
OG0000025	MHJ_RS01615	MHP_RS01660
OG0000025	MHJ_RS01655	MHP_RS01700
OG0000026	MHJ_RS01335	MHP_RS00640
OG0000026	MHJ_RS01635	MHP_RS01680
OG0000027	MHJ_RS03750	MHP_RS03675
OG0000027	MHJ_RS03330	MHP_RS03280
OG0000028	MHJ_RS02370	MHP_RS02285
OG0000029	MHJ_RS01055	MHP_RS00925
OG0000029	MHJ_RS00595	MHP_RS01380
OG0000030	MHJ_RS03310	MHP_RS03260
OG0000030	MHJ_RS03325	MHP_RS03275
OG0000031	MHJ_RS01560	MHP_RS01600
OG0000032	MHJ_RS03320	MHP_RS03960
OG0000033	MHJ_RS03905	MHP_RS02280
OG0000035	MHJ_RS03170	MHP_RS03130
OG0000035	MHJ_RS03160	MHP_RS03120
OG0000036	MHJ_RS00105	MHP_RS00115
OG0000037	MHJ_RS03820	MHP_RS03820
OG0000038	MHJ_RS00480, MHJ_RS01705	MHP_RS01745
OG0000039	MHJ_RS01575	MHP_RS03880, MHP_RS01615
OG0000040	MHJ_RS03260	MHP_RS03205
OG0000041	MHJ_RS00655	MHP_RS01320
OG0000042	MHJ_RS02920	MHP_RS02885
OG0000043	MHJ_RS01865	MHP_RS01880
OG0000044	MHJ_RS01745	MHP_RS01785
OG0000045	MHJ_RS01580	MHP_RS01625
OG0000048	MHJ_RS02050	MHP_RS02060
OG0000049	MHJ_RS03025	MHP_RS02985
OG0000050	MHJ_RS02400	MHP_RS02315
OG0000051	MHJ_RS02615	MHP_RS02520
OG0000052	MHJ_RS00075	MHP_RS00075
OG0000053	MHJ_RS01420	MHP_RS00555
OG0000054	MHJ_RS02425	MHP_RS02340
OG0000055	MHJ_RS00110	MHP_RS00145
OG0000056	MHJ_RS03500	MHP_RS03450
OG0000057	MHJ_RS02900	MHP_RS02870
OG0000061	MHJ_RS01540	MHP_RS01580
OG0000061	MHJ_RS01815	MHP_RS01840
OG0000062	MHJ_RS03545	MHP_RS03505
OG0000063	MHJ_RS03540	MHP_RS03500
OG0000064	MHJ_RS03530	MHP_RS03490
OG0000065	MHJ_RS02200	MHP_RS02125
OG0000066	MHJ_RS01325	MHP_RS00650
OG0000067	MHJ_RS00510	MHP_RS01460
OG0000068	MHJ_RS00630	MHP_RS03685
OG0000069	MHJ_RS02785	MHP_RS02760
OG0000070	MHJ_RS02430	MHP_RS02345
OG0000071	MHJ_RS03250	MHP_RS03195
OG0000072	MHJ_RS03255	MHP_RS03200
OG0000073	MHJ_RS00685	MHP_RS01290
OG0000074	MHJ_RS00875	MHP_RS01100
OG0000075	MHJ_RS00320	MHP_RS00350
OG0000076	MHJ_RS00335	MHP_RS00365
OG0000077	MHJ_RS00425	MHP_RS01545
OG0000078	MHJ_RS01625	MHP_RS01670
OG0000079	MHJ_RS02515	MHP_RS02420
OG0000080	MHJ_RS03800	MHP_RS03805
OG0000081	MHJ_RS00315	MHP_RS00345
OG0000082	MHJ_RS02340, MHJ_RS03775	MHP_RS02270
OG0000083	MHJ_RS01975	MHP_RS01985
OG0000084	MHJ_RS02000	MHP_RS02010
OG0000085	MHJ_RS02005	MHP_RS02015
OG0000086	MHJ_RS02015	MHP_RS02025
OG0000087	MHJ_RS02030	MHP_RS02040
OG0000088	MHJ_RS02035	MHP_RS02045
OG0000089	MHJ_RS02045	MHP_RS02055
OG0000090	MHJ_RS00070	MHP_RS00070
OG0000091	MHJ_RS00055	MHP_RS00055
OG0000092	MHJ_RS00040	MHP_RS00040
OG0000093	MHJ_RS00035	MHP_RS00035
OG0000094	MHJ_RS00030	MHP_RS00030
OG0000095	MHJ_RS00005	MHP_RS00005
OG0000096	MHJ_RS03580	MHP_RS03540
OG0000097	MHJ_RS03560	MHP_RS03520
OG0000098	MHJ_RS03550	MHP_RS03510
OG0000099	MHJ_RS03505	MHP_RS03455
OG0000100	MHJ_RS03490	MHP_RS03440
OG0000101	MHJ_RS03485	MHP_RS03435
OG0000102	MHJ_RS01650	MHP_RS01695
OG0000103	MHJ_RS02165	MHP_RS02090
OG0000104	MHJ_RS02170	MHP_RS02095
OG0000105	MHJ_RS02185	MHP_RS02110
OG0000106	MHJ_RS02195	MHP_RS02120
OG0000107	MHJ_RS02205	MHP_RS02130
OG0000108	MHJ_RS02210	MHP_RS02135
OG0000109	MHJ_RS02215	MHP_RS02140
OG0000110	MHJ_RS02330	MHP_RS02260
OG0000111	MHJ_RS02325	MHP_RS02255
OG0000112	MHJ_RS02315	MHP_RS02245
OG0000113	MHJ_RS02295	MHP_RS02225
OG0000114	MHJ_RS02285	MHP_RS02215
OG0000115	MHJ_RS02275	MHP_RS02205
OG0000116	MHJ_RS01270	MHP_RS00705
OG0000117	MHJ_RS01275	MHP_RS00700
OG0000118	MHJ_RS01310	MHP_RS00665
OG0000119	MHJ_RS01315	MHP_RS00660
OG0000120	MHJ_RS01330	MHP_RS00645
OG0000121	MHJ_RS01355	MHP_RS00620
OG0000122	MHJ_RS01360	MHP_RS00615
OG0000123	MHJ_RS01380	MHP_RS00595
OG0000124	MHJ_RS01385	MHP_RS00590
OG0000125	MHJ_RS01390	MHP_RS00585
OG0000126	MHJ_RS01400	MHP_RS00575
OG0000127	MHJ_RS01410	MHP_RS00565
OG0000128	MHJ_RS01425	MHP_RS00550
OG0000129	MHJ_RS01430	MHP_RS00545
OG0000130	MHJ_RS01440	MHP_RS00535
OG0000131	MHJ_RS01470	MHP_RS00505
OG0000132	MHJ_RS01485	MHP_RS00490
OG0000133	MHJ_RS00515	MHP_RS01455
OG0000134	MHJ_RS00520	MHP_RS01450
OG0000135	MHJ_RS00535	MHP_RS01435
OG0000136	MHJ_RS00540	MHP_RS01430
OG0000137	MHJ_RS00575	MHP_RS01400
OG0000138	MHJ_RS00605	MHP_RS01370
OG0000139	MHJ_RS00635	MHP_RS01340
OG0000140	MHJ_RS00640	MHP_RS01335
OG0000141	MHJ_RS02910	MHP_RS02880
OG0000142	MHJ_RS02905	MHP_RS02875
OG0000143	MHJ_RS02880	MHP_RS02850
OG0000144	MHJ_RS02870	MHP_RS02840
OG0000145	MHJ_RS02855	MHP_RS02830
OG0000146	MHJ_RS02845	MHP_RS02820
OG0000147	MHJ_RS02840	MHP_RS02815
OG0000148	MHJ_RS02825	MHP_RS02800
OG0000149	MHJ_RS02815	MHP_RS02790
OG0000150	MHJ_RS02800	MHP_RS02775
OG0000151	MHJ_RS02745	MHP_RS02645
OG0000152	MHJ_RS02740	MHP_RS02640
OG0000153	MHJ_RS02735	MHP_RS02635
OG0000154	MHJ_RS02725	MHP_RS02625
OG0000155	MHJ_RS02685	MHP_RS02585
OG0000156	MHJ_RS02675	MHP_RS02575
OG0000157	MHJ_RS02670	MHP_RS02570
OG0000158	MHJ_RS04010	MHP_RS04005
OG0000159	MHJ_RS04030	MHP_RS04015
OG0000160	MHJ_RS02410	MHP_RS02325
OG0000161	MHJ_RS02405	MHP_RS02320
OG0000162	MHJ_RS02395	MHP_RS02310
OG0000163	MHJ_RS02390	MHP_RS02305
OG0000164	MHJ_RS01565	MHP_RS01605
OG0000165	MHJ_RS01890	MHP_RS01905
OG0000166	MHJ_RS01915	MHP_RS01925
OG0000167	MHJ_RS01930	MHP_RS01940
OG0000168	MHJ_RS01935	MHP_RS01945
OG0000169	MHJ_RS03005	MHP_RS02980
OG0000170	MHJ_RS03035	MHP_RS02995
OG0000171	MHJ_RS03045	MHP_RS03005
OG0000172	MHJ_RS03050	MHP_RS03010
OG0000173	MHJ_RS03055	MHP_RS03015
OG0000174	MHJ_RS03060	MHP_RS03020
OG0000175	MHJ_RS03075	MHP_RS03035
OG0000176	MHJ_RS03125	MHP_RS03085
OG0000177	MHJ_RS03130	MHP_RS03090
OG0000178	MHJ_RS03135	MHP_RS03095
OG0000179	MHJ_RS03145	MHP_RS03105
OG0000180	MHJ_RS03150	MHP_RS03110
OG0000181	MHJ_RS03200	MHP_RS03145
OG0000182	MHJ_RS03210	MHP_RS03155
OG0000183	MHJ_RS03245	MHP_RS03190
OG0000184	MHJ_RS03285	MHP_RS03235
OG0000185	MHJ_RS03270	MHP_RS03220
OG0000186	MHJ_RS01495	MHP_RS00480
OG0000187	MHJ_RS01510	MHP_RS00465
OG0000188	MHJ_RS01520	MHP_RS00455
OG0000189	MHJ_RS02250	MHP_RS02175
OG0000190	MHJ_RS02245	MHP_RS02170
OG0000191	MHJ_RS02225	MHP_RS02150
OG0000192	MHJ_RS01190	MHP_RS00790
OG0000193	MHJ_RS01180	MHP_RS00800
OG0000194	MHJ_RS00670	MHP_RS01305
OG0000195	MHJ_RS00675	MHP_RS01300
OG0000196	MHJ_RS00695	MHP_RS01280
OG0000197	MHJ_RS00700	MHP_RS01275
OG0000198	MHJ_RS00715	MHP_RS01260
OG0000199	MHJ_RS00720	MHP_RS01255
OG0000200	MHJ_RS00730	MHP_RS01245
OG0000201	MHJ_RS00740	MHP_RS01235
OG0000202	MHJ_RS00795	MHP_RS01180
OG0000203	MHJ_RS00800	MHP_RS01175
OG0000204	MHJ_RS00805	MHP_RS01170
OG0000205	MHJ_RS00810	MHP_RS01165
OG0000206	MHJ_RS00830	MHP_RS01145
OG0000207	MHJ_RS00845	MHP_RS01130
OG0000208	MHJ_RS00850	MHP_RS01125
OG0000209	MHJ_RS00855	MHP_RS01120
OG0000210	MHJ_RS00900	MHP_RS01075
OG0000211	MHJ_RS00910	MHP_RS01065
OG0000212	MHJ_RS00920	MHP_RS01055
OG0000213	MHJ_RS00925	MHP_RS03600
OG0000214	MHJ_RS00930	MHP_RS01050
OG0000215	MHJ_RS00935	MHP_RS01045
OG0000216	MHJ_RS00940	MHP_RS01040
OG0000217	MHJ_RS00945	MHP_RS01035
OG0000218	MHJ_RS00955	MHP_RS01025
OG0000219	MHJ_RS00960	MHP_RS01020
OG0000220	MHJ_RS00965	MHP_RS01015
OG0000221	MHJ_RS00970	MHP_RS01010
OG0000222	MHJ_RS00975	MHP_RS01005
OG0000223	MHJ_RS00980	MHP_RS01000
OG0000224	MHJ_RS00990	MHP_RS00990
OG0000225	MHJ_RS01000	MHP_RS00980
OG0000226	MHJ_RS01005	MHP_RS00975
OG0000227	MHJ_RS01010	MHP_RS00970
OG0000228	MHJ_RS04015	MHP_RS04010
OG0000229	MHJ_RS01020	MHP_RS00960
OG0000230	MHJ_RS01025	MHP_RS00955
OG0000231	MHJ_RS01035	MHP_RS00945
OG0000232	MHJ_RS01045	MHP_RS00935
OG0000233	MHJ_RS01065	MHP_RS00915
OG0000234	MHJ_RS01100	MHP_RS00880
OG0000235	MHJ_RS01110	MHP_RS00870
OG0000236	MHJ_RS01115	MHP_RS00865
OG0000237	MHJ_RS01120	MHP_RS00860
OG0000238	MHJ_RS01130	MHP_RS00850
OG0000239	MHJ_RS02925	MHP_RS02890
OG0000240	MHJ_RS02930	MHP_RS02895
OG0000241	MHJ_RS02940	MHP_RS02905
OG0000242	MHJ_RS02945	MHP_RS02910
OG0000243	MHJ_RS02950	MHP_RS02915
OG0000244	MHJ_RS02960	MHP_RS02925
OG0000245	MHJ_RS02970	MHP_RS02935
OG0000246	MHJ_RS00115	MHP_RS00150
OG0000247	MHJ_RS00125	MHP_RS00160
OG0000248	MHJ_RS00135	MHP_RS00170
OG0000249	MHJ_RS00140	MHP_RS00175
OG0000250	MHJ_RS00155	MHP_RS00190
OG0000251	MHJ_RS00185	MHP_RS00215
OG0000252	MHJ_RS00195	MHP_RS00225
OG0000253	MHJ_RS00200	MHP_RS00230
OG0000254	MHJ_RS00210	MHP_RS00240
