Orthogroup	MHP_J_genes	MHP_MHP679_genes
OG0000000	MHJ_RS02070	DR086_RS03500
OG0000000	MHJ_RS02265	DR086_RS04585, DR086_RS03600
OG0000000	MHJ_RS01665	DR086_RS04250
OG0000000	MHJ_RS01670	DR086_RS04245
OG0000001	MHJ_RS01255	DR086_RS03435
OG0000001	MHJ_RS02765	DR086_RS01010
OG0000002	MHJ_RS03585	DR086_RS04310
OG0000002	MHJ_RS02080	DR086_RS05060
OG0000002	MHJ_RS01675	DR086_RS04880
OG0000003	MHJ_RS03880	DR086_RS04545
OG0000003	MHJ_RS03890	DR086_RS05055
OG0000003	MHJ_RS01795	DR086_RS05085
OG0000004	MHJ_RS03175, MHJ_RS03165, MHJ_RS03180	DR086_RS03630
OG0000004	MHJ_RS03190	DR086_RS03555
OG0000004	MHJ_RS02995	DR086_RS00615
OG0000005	MHJ_RS00090	DR086_RS03245
OG0000005	MHJ_RS00095	DR086_RS03255
OG0000005	MHJ_RS00100	DR086_RS05035
OG0000007	MHJ_RS02140	DR086_RS03485
OG0000007	MHJ_RS02130	DR086_RS03495
OG0000008	MHJ_RS03850	DR086_RS04265
OG0000008	MHJ_RS03925	DR086_RS02140
OG0000009	MHJ_RS03830	DR086_RS04375
OG0000010	MHJ_RS01805	DR086_RS00810
OG0000011	MHJ_RS04005	DR086_RS00450
OG0000011	MHJ_RS01895	DR086_RS00445
OG0000012	MHJ_RS02915	DR086_RS03775
OG0000012	MHJ_RS02990	DR086_RS03950
OG0000013	MHJ_RS02355	DR086_RS03105
OG0000013	MHJ_RS03825	DR086_RS04005
OG0000014	MHJ_RS01060	DR086_RS03610
OG0000014	MHJ_RS00590	DR086_RS04970
OG0000015	MHJ_RS03980	DR086_RS03700
OG0000016	MHJ_RS02810	DR086_RS01050
OG0000016	MHJ_RS00145	DR086_RS00030
OG0000017	MHJ_RS00130	DR086_RS00015
OG0000017	MHJ_RS02820	DR086_RS01060
OG0000018	MHJ_RS01295	DR086_RS04795
OG0000019	MHJ_RS03950, MHJ_RS03955	DR086_RS04570
OG0000020	MHJ_RS03995	DR086_RS02470
OG0000022	MHJ_RS01610	DR086_RS01645
OG0000022	MHJ_RS01660	DR086_RS04885
OG0000024	MHJ_RS02705	DR086_RS03190
OG0000025	MHJ_RS01615	DR086_RS04890
OG0000025	MHJ_RS01655	DR086_RS01595
OG0000026	MHJ_RS01335	DR086_RS01970
OG0000026	MHJ_RS01635	DR086_RS01615
OG0000027	MHJ_RS03750	DR086_RS05030
OG0000027	MHJ_RS03330	DR086_RS04870
