Orthogroup	MHP_J_genes	MHP_111A_genes
OG0000000	MHJ_RS03645	NB623_RS01020
OG0000000	MHJ_RS02265	NB623_RS02460
OG0000000	MHJ_RS01665	NB623_RS01845, NB623_RS01850
OG0000000	MHJ_RS01670	NB623_RS01865
OG0000001	MHJ_RS01255	NB623_RS01400
OG0000001	MHJ_RS02765	NB623_RS02960
OG0000001	MHJ_RS02710	NB623_RS02910
OG0000002	MHJ_RS03585	NB623_RS02345
OG0000002	MHJ_RS03670	NB623_RS01905
OG0000002	MHJ_RS02080	NB623_RS01015
OG0000003	MHJ_RS03890	NB623_RS01035
OG0000004	MHJ_RS03175	NB623_RS03360
OG0000004	MHJ_RS03165	NB623_RS03350
OG0000004	MHJ_RS03190	NB623_RS03365
OG0000004	MHJ_RS02995	NB623_RS03180
OG0000005	MHJ_RS00090	NB623_RS00105
OG0000005	MHJ_RS00095	NB623_RS00110
OG0000005	MHJ_RS00100	NB623_RS00115
OG0000006	MHJ_RS03920, MHJ_RS03915	NB623_RS02650
OG0000006	MHJ_RS02270	NB623_RS02465
OG0000007	MHJ_RS02140	NB623_RS01045
OG0000007	MHJ_RS02135	NB623_RS01050
OG0000007	MHJ_RS02130	NB623_RS01060
OG0000008	MHJ_RS03790	NB623_RS02455
OG0000008	MHJ_RS03850	NB623_RS01760
OG0000008	MHJ_RS03925	NB623_RS02665, NB623_RS02660
OG0000009	MHJ_RS00650	NB623_RS00665
OG0000009	MHJ_RS00660	NB623_RS00680
OG0000010	MHJ_RS01805	NB623_RS02245
OG0000011	MHJ_RS04005	NB623_RS02145
OG0000011	MHJ_RS01895	NB623_RS02150
OG0000012	MHJ_RS01680, MHJ_RS02860, MHJ_RS02630	NB623_RS01710
OG0000012	MHJ_RS01775	NB623_RS02340
OG0000012	MHJ_RS02990	NB623_RS02230
OG0000013	MHJ_RS02355	NB623_RS02540
OG0000014	MHJ_RS01060	NB623_RS01220
OG0000014	MHJ_RS00590	NB623_RS00600
OG0000015	MHJ_RS03980	NB623_RS01750
OG0000016	MHJ_RS00145	NB623_RS00160
OG0000017	MHJ_RS00130	NB623_RS00145
OG0000017	MHJ_RS02820	NB623_RS03015
OG0000018	MHJ_RS01295	NB623_RS01440, NB623_RS01950
OG0000019	MHJ_RS03950	NB623_RS03195, NB623_RS03185
OG0000020	MHJ_RS03515	NB623_RS03740
OG0000020	MHJ_RS03995	NB623_RS03745
OG0000021	MHJ_RS00495, MHJ_RS00490	NB623_RS02325
OG0000022	MHJ_RS01610	NB623_RS01785
OG0000022	MHJ_RS01660	NB623_RS01840
OG0000024	MHJ_RS02705	NB623_RS02905
OG0000024	MHJ_RS01245	NB623_RS01395
OG0000025	MHJ_RS01615	NB623_RS01790
OG0000025	MHJ_RS01655	NB623_RS01835
OG0000026	MHJ_RS01335	NB623_RS01480
OG0000026	MHJ_RS01635	NB623_RS01815
OG0000027	MHJ_RS03750	NB623_RS03520
OG0000027	MHJ_RS03330	NB623_RS03535
OG0000029	MHJ_RS01055	NB623_RS01215
OG0000029	MHJ_RS00595	NB623_RS00605
OG0000030	MHJ_RS03310	NB623_RS03510
OG0000030	MHJ_RS03325	NB623_RS03530
OG0000032	MHJ_RS03320	NB623_RS03525
OG0000035	MHJ_RS03170, MHJ_RS03185	NB623_RS03355
OG0000035	MHJ_RS03160	NB623_RS03345
OG0000036	MHJ_RS00105	NB623_RS00120
OG0000037	MHJ_RS03820	NB623_RS01700
OG0000039	MHJ_RS01575	NB623_RS01730
OG0000040	MHJ_RS03260	NB623_RS03445, NB623_RS03440, NB623_RS03435
