Orthogroup	MHP_MHP694_protein	MHP_REF_protein
OG0000000	WP_020835713.1, WP_160606848.1, WP_220200677.1, WP_160606477.1	WP_044272461.1
OG0000001	WP_160606452.1	WP_044272444.1
OG0000002	WP_308704588.1, WP_258555454.1	WP_228366099.1
OG0000031	WP_160606887.1	WP_011205867.1
OG0000035	WP_160606781.1	WP_044272427.1
OG0000043	WP_160606905.1	WP_011290432.1
OG0000047	WP_258555421.1	WP_225972996.1
OG0000048	WP_160606579.1	WP_044272567.1
OG0000053	WP_160606931.1	WP_002557698.1
OG0000057	WP_011290028.1	WP_011290028.1
OG0000058	WP_135618593.1	WP_011290048.1
OG0000060	WP_011290055.1	WP_011290055.1
OG0000062	WP_020835608.1	WP_020835608.1
OG0000063	WP_052259122.1	WP_014579535.1
OG0000067	WP_011206493.1	WP_011206493.1
OG0000068	WP_160606743.1	WP_020835906.1
OG0000069	WP_160606447.1	WP_044272542.1
OG0000071	WP_160606583.1	WP_044272563.1
OG0000072	WP_160606795.1	WP_044272653.1
OG0000076	WP_308704599.1	WP_228366125.1
OG0000236	WP_160606870.1	WP_044272642.1
OG0000503	WP_228366107.1	WP_228366107.1
OG0000545	WP_308507102.1	WP_011290141.1
OG0000556	WP_011206170.1	WP_044272437.1
OG0000559	WP_011206330.1	WP_011290306.1
OG0000642	WP_160606456.1	WP_187145663.1
