Orthogroup	MHP_NCTC10127_genes	MHP_KM014_genes
OG0000000	EXC50_RS03990	CIB43_RS02595
OG0000001	EXC50_RS01640	CIB43_RS03715
OG0000001	EXC50_RS04045, EXC50_RS01590	CIB43_RS03670
OG0000002	EXC50_RS04010	CIB43_RS03100
OG0000002	EXC50_RS03900	CIB43_RS04020
OG0000002	EXC50_RS00680	CIB43_RS02610
OG0000003	EXC50_RS00710, EXC50_RS03580	CIB43_RS01390
OG0000004	EXC50_RS02030	CIB43_RS00290
OG0000004	EXC50_RS02040	CIB43_RS00275
OG0000004	EXC50_RS01865	CIB43_RS00110
OG0000005	EXC50_RS00100	CIB43_RS00810
OG0000005	EXC50_RS00120	CIB43_RS00830
OG0000006	EXC50_RS04025	CIB43_RS03435
OG0000006	EXC50_RS01175, EXC50_RS01210	CIB43_RS03420
OG0000008	EXC50_RS01160, EXC50_RS04015	CIB43_RS03225
OG0000009	EXC50_RS00085	CIB43_RS00790
OG0000009	EXC50_RS03405	CIB43_RS01550
OG0000010	EXC50_RS00795	CIB43_RS02735
OG0000010	EXC50_RS00095	CIB43_RS00795
OG0000011	EXC50_RS00895	CIB43_RS02850
OG0000012	EXC50_RS01855	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750
OG0000014	EXC50_RS04120	CIB43_RS01485
OG0000014	EXC50_RS03000	CIB43_RS01955
OG0000015	EXC50_RS03670	CIB43_RS01235
OG0000016	EXC50_RS01680	CIB43_RS03755
OG0000017	EXC50_RS00155	CIB43_RS00855
OG0000017	EXC50_RS01690	CIB43_RS03765
OG0000018	EXC50_RS03750, EXC50_RS04080, EXC50_RS00485, EXC50_RS04150, EXC50_RS04145, EXC50_RS04085	CIB43_RS01250
OG0000020	EXC50_RS02395	CIB43_RS00635
OG0000021	EXC50_RS04125	CIB43_RS02635
OG0000022	EXC50_RS00670	CIB43_RS02590
OG0000023	EXC50_RS00495, EXC50_RS03740	CIB43_RS01245, CIB43_RS01195
OG0000024	EXC50_RS02815	CIB43_RS02140
OG0000025	EXC50_RS00665	CIB43_RS02585
OG0000026	EXC50_RS00645	CIB43_RS02565
OG0000027	EXC50_RS02200	CIB43_RS00440
OG0000028	EXC50_RS01265	CIB43_RS03340
OG0000030	EXC50_RS02195	CIB43_RS00435
OG0000031	EXC50_RS02515, EXC50_RS03805	CIB43_RS01295
OG0000035	EXC50_RS02045	CIB43_RS00280
OG0000035	EXC50_RS02025	CIB43_RS00270
OG0000036	EXC50_RS00115	CIB43_RS00815
OG0000037	EXC50_RS03970	CIB43_RS02475, CIB43_RS02465
OG0000038	EXC50_RS03585, EXC50_RS00705	CIB43_RS02625
OG0000039	EXC50_RS03975, EXC50_RS00560	CIB43_RS02500
OG0000041	EXC50_RS03415	CIB43_RS03980
OG0000042	EXC50_RS01780	CIB43_RS03855
OG0000043	EXC50_RS00860	CIB43_RS00070
OG0000044	EXC50_RS00745	CIB43_RS02665
OG0000045	EXC50_RS00570	CIB43_RS02520
OG0000047	EXC50_RS03955, EXC50_RS03735	CIB43_RS01205
OG0000048	EXC50_RS01040	CIB43_RS02995
OG0000049	EXC50_RS01890	CIB43_RS00150
OG0000051	EXC50_RS01500	CIB43_RS03575
OG0000052	EXC50_RS00075	CIB43_RS00775
OG0000053	EXC50_RS02640	CIB43_RS02315
OG0000054	EXC50_RS04250	CIB43_RS03395
OG0000055	EXC50_RS00135	CIB43_RS00835
OG0000056	EXC50_RS02375	CIB43_RS00630, CIB43_RS03960
OG0000057	EXC50_RS01765	CIB43_RS03840
OG0000058	EXC50_RS03810	CIB43_RS01300
OG0000059	EXC50_RS02510	CIB43_RS00080, CIB43_RS01165
OG0000060	EXC50_RS04110	CIB43_RS00780
OG0000061	EXC50_RS00525	CIB43_RS02745
OG0000062	EXC50_RS02425	CIB43_RS00675
OG0000063	EXC50_RS02420	CIB43_RS00660
OG0000064	EXC50_RS02410	CIB43_RS00650
OG0000065	EXC50_RS01100	CIB43_RS03145
OG0000068	EXC50_RS03440	CIB43_RS01520
OG0000069	EXC50_RS01655	CIB43_RS03740
OG0000070	EXC50_RS03840, EXC50_RS01325	CIB43_RS03400
OG0000071	EXC50_RS02110	CIB43_RS00360
OG0000072	EXC50_RS02115	CIB43_RS00375
OG0000073	EXC50_RS03380	CIB43_RS01580
OG0000075	EXC50_RS00355	CIB43_RS01060
OG0000077	EXC50_RS03640	CIB43_RS01330
OG0000078	EXC50_RS00635	CIB43_RS02560
OG0000079	EXC50_RS01405	CIB43_RS03480
OG0000080	EXC50_RS03930	CIB43_RS03525
OG0000081	EXC50_RS00350	CIB43_RS01055
OG0000082	EXC50_RS01250	CIB43_RS03315
OG0000083	EXC50_RS00965	CIB43_RS02935
OG0000084	EXC50_RS00990	CIB43_RS02955
OG0000086	EXC50_RS01005	CIB43_RS02970
OG0000087	EXC50_RS01020	CIB43_RS02975
OG0000088	EXC50_RS01025	CIB43_RS02980
OG0000089	EXC50_RS01035	CIB43_RS02990
OG0000090	EXC50_RS00070	CIB43_RS00770
OG0000091	EXC50_RS00055	CIB43_RS00760
OG0000092	EXC50_RS00040	CIB43_RS00745
OG0000093	EXC50_RS00035	CIB43_RS00735
OG0000094	EXC50_RS00030	CIB43_RS00730
OG0000095	EXC50_RS00005	CIB43_RS00715
OG0000096	EXC50_RS02460	CIB43_RS00700
OG0000097	EXC50_RS02440	CIB43_RS00690
OG0000100	EXC50_RS02365	CIB43_RS00610
OG0000101	EXC50_RS02360	CIB43_RS00600
OG0000102	EXC50_RS00660	CIB43_RS02580
OG0000103	EXC50_RS01065	CIB43_RS03110
OG0000104	EXC50_RS01070	CIB43_RS03120
OG0000105	EXC50_RS01085	CIB43_RS03130
OG0000106	EXC50_RS01095	CIB43_RS03140
OG0000107	EXC50_RS01105	CIB43_RS03150
OG0000108	EXC50_RS01110	CIB43_RS03155
OG0000109	EXC50_RS01115	CIB43_RS03160
OG0000110	EXC50_RS01240	CIB43_RS03290
OG0000111	EXC50_RS01235	CIB43_RS03285
OG0000112	EXC50_RS01225	CIB43_RS03280
OG0000113	EXC50_RS01205	CIB43_RS03260
OG0000114	EXC50_RS01195	CIB43_RS03245
OG0000115	EXC50_RS01180	CIB43_RS03230
OG0000116	EXC50_RS02790	CIB43_RS02165
OG0000117	EXC50_RS02785	CIB43_RS02170
OG0000118	EXC50_RS02750	CIB43_RS02205
OG0000119	EXC50_RS02745	CIB43_RS02210
OG0000120	EXC50_RS02730	CIB43_RS02230
OG0000121	EXC50_RS02705	CIB43_RS02250
OG0000122	EXC50_RS02700	CIB43_RS02255
OG0000123	EXC50_RS02680	CIB43_RS02275
OG0000124	EXC50_RS02675	CIB43_RS02280
OG0000125	EXC50_RS02670	CIB43_RS02285
OG0000126	EXC50_RS02660	CIB43_RS02295
OG0000127	EXC50_RS02650	CIB43_RS02305
OG0000128	EXC50_RS02635	CIB43_RS02320
OG0000129	EXC50_RS02630	CIB43_RS02330
OG0000130	EXC50_RS02620	CIB43_RS02335
OG0000131	EXC50_RS02590	CIB43_RS02370
OG0000132	EXC50_RS02575	CIB43_RS02385
OG0000133	EXC50_RS03555	CIB43_RS01415
OG0000134	EXC50_RS03550	CIB43_RS01425
OG0000135	EXC50_RS03535	CIB43_RS01435
OG0000136	EXC50_RS03530	CIB43_RS01440
OG0000137	EXC50_RS03500	CIB43_RS01470
OG0000138	EXC50_RS03465	CIB43_RS01495
OG0000139	EXC50_RS03435	CIB43_RS01525
OG0000140	EXC50_RS03430	CIB43_RS01540
OG0000141	EXC50_RS01775	CIB43_RS03850
OG0000142	EXC50_RS01770	CIB43_RS03845
OG0000143	EXC50_RS01745	CIB43_RS03835
OG0000144	EXC50_RS01735	CIB43_RS03815
OG0000145	EXC50_RS01725	CIB43_RS03805
OG0000146	EXC50_RS01715	CIB43_RS03790
OG0000147	EXC50_RS01710	CIB43_RS03785
OG0000148	EXC50_RS01695	CIB43_RS03780
OG0000149	EXC50_RS01685	CIB43_RS03760
OG0000150	EXC50_RS01670	CIB43_RS03745
OG0000151	EXC50_RS01625	CIB43_RS03700
OG0000152	EXC50_RS01620	CIB43_RS03695
OG0000153	EXC50_RS01615	CIB43_RS03690
