Orthogroup	MHP_NCTC10127_genes	MHP_116_genes
OG0000000	EXC50_RS01055	ABJ972_RS02145
OG0000000	EXC50_RS01165	ABJ972_RS02265
OG0000000	EXC50_RS01170	ABJ972_RS02270
OG0000000	EXC50_RS03990, EXC50_RS00675	ABJ972_RS01695
OG0000001	EXC50_RS02805, EXC50_RS02810	ABJ972_RS01270
OG0000001	EXC50_RS04045, EXC50_RS01590	ABJ972_RS02675
OG0000002	EXC50_RS04010	ABJ972_RS02150
OG0000002	EXC50_RS00680	ABJ972_RS01715
OG0000003	EXC50_RS03580	ABJ972_RS01765
OG0000004	EXC50_RS02030	ABJ972_RS03105
OG0000004	EXC50_RS02040	ABJ972_RS03100
OG0000004	EXC50_RS02050	ABJ972_RS03120
OG0000004	EXC50_RS01865	ABJ972_RS02945, ABJ972_RS02940
OG0000005	EXC50_RS00100	ABJ972_RS00100
OG0000005	EXC50_RS00105	ABJ972_RS00105
OG0000005	EXC50_RS00110, EXC50_RS00125	ABJ972_RS00110
OG0000008	EXC50_RS01160, EXC50_RS04015	ABJ972_RS02260
OG0000008	EXC50_RS00595	ABJ972_RS01615
OG0000008	EXC50_RS04030	ABJ972_RS02445
OG0000009	EXC50_RS03420	ABJ972_RS01005
OG0000009	EXC50_RS00085	ABJ972_RS00085
OG0000009	EXC50_RS04115	ABJ972_RS01180
OG0000009	EXC50_RS03405	ABJ972_RS00990
OG0000010	EXC50_RS00795	ABJ972_RS01825
OG0000010	EXC50_RS00095	ABJ972_RS00095
OG0000011	EXC50_RS00895	ABJ972_RS01915
OG0000011	EXC50_RS00890	ABJ972_RS01910
OG0000012	EXC50_RS01855	ABJ972_RS02160, ABJ972_RS01840, ABJ972_RS01170, ABJ972_RS01590, ABJ972_RS01805, ABJ972_RS01745
OG0000013	EXC50_RS01255	ABJ972_RS02350
OG0000013	EXC50_RS03965	ABJ972_RS00170
OG0000014	EXC50_RS04120	ABJ972_RS00580
OG0000014	EXC50_RS03000	ABJ972_RS01075
OG0000014	EXC50_RS03480	ABJ972_RS01065
OG0000016	EXC50_RS01680	ABJ972_RS02765
OG0000016	EXC50_RS00170	ABJ972_RS00155
OG0000017	EXC50_RS00155	ABJ972_RS00140
OG0000017	EXC50_RS01690	ABJ972_RS02775
OG0000018	EXC50_RS02765, EXC50_RS03750, EXC50_RS04080, EXC50_RS00485, EXC50_RS04150, EXC50_RS04145, EXC50_RS04085	ABJ972_RS01310
OG0000020	EXC50_RS02390	ABJ972_RS03450
OG0000020	EXC50_RS02395	ABJ972_RS03455
OG0000021	EXC50_RS00715	ABJ972_RS01720
OG0000021	EXC50_RS04125	ABJ972_RS00490
OG0000022	EXC50_RS00615	ABJ972_RS01635
OG0000022	EXC50_RS00670	ABJ972_RS01690
OG0000024	EXC50_RS01585	ABJ972_RS02670
OG0000024	EXC50_RS02815	ABJ972_RS01260
OG0000025	EXC50_RS00620	ABJ972_RS01640
OG0000025	EXC50_RS00665	ABJ972_RS01685
OG0000026	EXC50_RS02725	ABJ972_RS01350
OG0000026	EXC50_RS00645	ABJ972_RS01665
OG0000027	EXC50_RS02185	ABJ972_RS03260
OG0000029	EXC50_RS03005	ABJ972_RS00585
OG0000029	EXC50_RS03475	ABJ972_RS01060
OG0000030	EXC50_RS02175	ABJ972_RS03245
