Orthogroup	MHP_NCTC10127_genes	MHP_TB1_genes
OG0000000	EXC50_RS01055	B5M19_RS04470
OG0000000	EXC50_RS01165	B5M19_RS03770
OG0000000	EXC50_RS03990	B5M19_RS02095
OG0000000	EXC50_RS00675	B5M19_RS02100
OG0000001	EXC50_RS02805, EXC50_RS02810	B5M19_RS02595
OG0000001	EXC50_RS01640	B5M19_RS02555
OG0000001	EXC50_RS01590	B5M19_RS02510
OG0000002	EXC50_RS04010	B5M19_RS04465
OG0000002	EXC50_RS00680	B5M19_RS02105
OG0000004	EXC50_RS02050	B5M19_RS04240
OG0000005	EXC50_RS00100	B5M19_RS00020
OG0000005	EXC50_RS00105	B5M19_RS00030
OG0000005	EXC50_RS00110, EXC50_RS00125	B5M19_RS04010, B5M19_RS04005
OG0000006	EXC50_RS04025	B5M19_RS03635
OG0000006	EXC50_RS01175	B5M19_RS03605
OG0000006	EXC50_RS01210	B5M19_RS02695
OG0000008	EXC50_RS01160, EXC50_RS04015	B5M19_RS03790
OG0000008	EXC50_RS00595	B5M19_RS03340
OG0000008	EXC50_RS04030	B5M19_RS04540
OG0000009	EXC50_RS03420	B5M19_RS04475
OG0000009	EXC50_RS03405	B5M19_RS04265
OG0000010	EXC50_RS00795	B5M19_RS00670
OG0000010	EXC50_RS04090, EXC50_RS02530	B5M19_RS03275
OG0000010	EXC50_RS00095	B5M19_RS00015
OG0000011	EXC50_RS00895	B5M19_RS04080
OG0000011	EXC50_RS00890	B5M19_RS00765
OG0000012	EXC50_RS01855	B5M19_RS03815
OG0000013	EXC50_RS01255	B5M19_RS02640
OG0000013	EXC50_RS03965	B5M19_RS00100
OG0000014	EXC50_RS03000	B5M19_RS03715
OG0000014	EXC50_RS03480	B5M19_RS03505
OG0000015	EXC50_RS03670	B5M19_RS02855
OG0000016	EXC50_RS01680	B5M19_RS01425
OG0000016	EXC50_RS00170	B5M19_RS00080, B5M19_RS04015
OG0000017	EXC50_RS00155	B5M19_RS00065
OG0000017	EXC50_RS01690	B5M19_RS01415
OG0000018	EXC50_RS03750, EXC50_RS04080, EXC50_RS00485, EXC50_RS04150, EXC50_RS04145, EXC50_RS04085	B5M19_RS04450
OG0000020	EXC50_RS02390	B5M19_RS04305
OG0000020	EXC50_RS02395	B5M19_RS02010
