Orthogroup	MHP_NCTC10127_genes	MHP_ES2L_genes
OG0000000	EXC50_RS01165	HZK19_RS02290
OG0000000	EXC50_RS01170	HZK19_RS03795
OG0000000	EXC50_RS03990	HZK19_RS01690
OG0000000	EXC50_RS00675	HZK19_RS01695
OG0000001	EXC50_RS02805, EXC50_RS02810	HZK19_RS03720
OG0000001	EXC50_RS01640	HZK19_RS02765
OG0000001	EXC50_RS01590	HZK19_RS03840
OG0000002	EXC50_RS03900	HZK19_RS02175
OG0000002	EXC50_RS00680	HZK19_RS01705
OG0000004	EXC50_RS02030	HZK19_RS03240
OG0000004	EXC50_RS02040	HZK19_RS03230
OG0000004	EXC50_RS02050	HZK19_RS03255
OG0000004	EXC50_RS01865	HZK19_RS02980
OG0000005	EXC50_RS00100	HZK19_RS00085
OG0000005	EXC50_RS00120	HZK19_RS00105
OG0000005	EXC50_RS00105	HZK19_RS00090
OG0000005	EXC50_RS00110	HZK19_RS00095
OG0000005	EXC50_RS00125	HZK19_RS00110
OG0000006	EXC50_RS04025	HZK19_RS02470
OG0000006	EXC50_RS01175	HZK19_RS03800
OG0000006	EXC50_RS01210	HZK19_RS03805
OG0000008	EXC50_RS04015	HZK19_RS03790
OG0000008	EXC50_RS00595	HZK19_RS03745
OG0000008	EXC50_RS04030	HZK19_RS03825
OG0000009	EXC50_RS03405	HZK19_RS00655
OG0000010	EXC50_RS00795	HZK19_RS01810
OG0000010	EXC50_RS02530	HZK19_RS03735
OG0000011	EXC50_RS00895	HZK19_RS03920
OG0000012	EXC50_RS01855	HZK19_RS03250, HZK19_RS01825
OG0000013	EXC50_RS01255	HZK19_RS02370
OG0000013	EXC50_RS03965	HZK19_RS03715
OG0000014	EXC50_RS04120	HZK19_RS00585
OG0000014	EXC50_RS03480	HZK19_RS00595
OG0000015	EXC50_RS04220	HZK19_RS03870
OG0000016	EXC50_RS01680	HZK19_RS02805
OG0000016	EXC50_RS00170	HZK19_RS00155
OG0000017	EXC50_RS00155	HZK19_RS00140
OG0000017	EXC50_RS01690	HZK19_RS02815
OG0000020	EXC50_RS02390	HZK19_RS03860
OG0000020	EXC50_RS02395	HZK19_RS03600
OG0000021	EXC50_RS04125	HZK19_RS01725
OG0000021	EXC50_RS03575	HZK19_RS00500
OG0000022	EXC50_RS00615	HZK19_RS01625
OG0000022	EXC50_RS00670	HZK19_RS01685
OG0000023	EXC50_RS00495, EXC50_RS03740	HZK19_RS03085
OG0000024	EXC50_RS01585	HZK19_RS02710
OG0000024	EXC50_RS02815	HZK19_RS01240
OG0000025	EXC50_RS00620	HZK19_RS01630
OG0000025	EXC50_RS00665	HZK19_RS01680
OG0000026	EXC50_RS02725	HZK19_RS01330
OG0000026	EXC50_RS00645	HZK19_RS01660
OG0000027	EXC50_RS02185	HZK19_RS03390
OG0000027	EXC50_RS02200	HZK19_RS03405
OG0000028	EXC50_RS01265	HZK19_RS02385
OG0000029	EXC50_RS03005	HZK19_RS01065
OG0000029	EXC50_RS03475	HZK19_RS00600
OG0000030	EXC50_RS02175	HZK19_RS03380
OG0000030	EXC50_RS02195	HZK19_RS03400
OG0000031	EXC50_RS02515, EXC50_RS03805	HZK19_RS03025
OG0000032	EXC50_RS04070	HZK19_RS03395
OG0000033	EXC50_RS01260	HZK19_RS03820, HZK19_RS02375
OG0000035	EXC50_RS02045	HZK19_RS03235
OG0000035	EXC50_RS02025	HZK19_RS03225
OG0000036	EXC50_RS00115	HZK19_RS00100
OG0000036	EXC50_RS00130	HZK19_RS03705, HZK19_RS03710
OG0000037	EXC50_RS03970	HZK19_RS01555
OG0000038	EXC50_RS03585, EXC50_RS00705	HZK19_RS01710
OG0000039	EXC50_RS03975, EXC50_RS00560	HZK19_RS01580
OG0000040	EXC50_RS02120	HZK19_RS03325
OG0000042	EXC50_RS01780	HZK19_RS02900
OG0000043	EXC50_RS00860	HZK19_RS01875
OG0000044	EXC50_RS04255	HZK19_RS03955
OG0000044	EXC50_RS00745	HZK19_RS01755
OG0000045	EXC50_RS00570	HZK19_RS01585
OG0000046	EXC50_RS02130	HZK19_RS03335
OG0000047	EXC50_RS03955, EXC50_RS03735	HZK19_RS03090
OG0000048	EXC50_RS01040	HZK19_RS02065
OG0000049	EXC50_RS01890	HZK19_RS02995
OG0000050	EXC50_RS04180, EXC50_RS04200, EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295	HZK19_RS02415
OG0000051	EXC50_RS01500	HZK19_RS02620
OG0000052	EXC50_RS00075	HZK19_RS00075
OG0000053	EXC50_RS02640	HZK19_RS01415
OG0000054	EXC50_RS04250	HZK19_RS02440
OG0000055	EXC50_RS00135	HZK19_RS00120
OG0000056	EXC50_RS02375	HZK19_RS03580
