Orthogroup	MHP_NCTC10127_genes	MHP_ES2_genes
OG0000000	EXC50_RS01055	E5E95_RS02310
OG0000000	EXC50_RS01165	E5E95_RS02430
OG0000000	EXC50_RS01170	E5E95_RS04240
OG0000000	EXC50_RS03990	E5E95_RS01830
OG0000000	EXC50_RS00675	E5E95_RS04235
OG0000001	EXC50_RS01640	E5E95_RS03000
OG0000001	EXC50_RS01590	E5E95_RS04150
OG0000002	EXC50_RS04010	E5E95_RS02320
OG0000002	EXC50_RS00680	E5E95_RS01840
OG0000004	EXC50_RS02030	E5E95_RS03410
OG0000004	EXC50_RS02040	E5E95_RS03400
OG0000004	EXC50_RS02050	E5E95_RS03425
OG0000004	EXC50_RS01865	E5E95_RS03235
OG0000005	EXC50_RS00100	E5E95_RS00090
OG0000005	EXC50_RS00120	E5E95_RS00110
OG0000005	EXC50_RS00105	E5E95_RS00095
OG0000005	EXC50_RS00110	E5E95_RS00100
OG0000005	EXC50_RS00125	E5E95_RS00115
OG0000006	EXC50_RS04025	E5E95_RS02705
OG0000006	EXC50_RS01175	E5E95_RS02445
OG0000006	EXC50_RS01210	E5E95_RS04120, E5E95_RS04115
OG0000008	EXC50_RS04015	E5E95_RS04080
OG0000008	EXC50_RS00595	E5E95_RS03905
OG0000008	EXC50_RS04030	E5E95_RS03930, E5E95_RS04135
OG0000009	EXC50_RS03420	E5E95_RS00665
OG0000009	EXC50_RS04115	E5E95_RS01210
OG0000009	EXC50_RS03405	E5E95_RS00680
OG0000010	EXC50_RS00795	E5E95_RS01970
OG0000010	EXC50_RS04090	E5E95_RS03990
OG0000010	EXC50_RS02530	E5E95_RS01575
OG0000011	EXC50_RS00895	E5E95_RS02070
OG0000011	EXC50_RS00890	E5E95_RS02060
OG0000012	EXC50_RS01855	E5E95_RS02435, E5E95_RS03230
OG0000013	EXC50_RS01255	E5E95_RS02610
OG0000013	EXC50_RS03965	E5E95_RS03955
OG0000014	EXC50_RS04120	E5E95_RS00595
OG0000014	EXC50_RS03000	E5E95_RS01105
OG0000014	EXC50_RS03480	E5E95_RS00605
OG0000015	EXC50_RS04220	E5E95_RS04195
OG0000016	EXC50_RS01680	E5E95_RS03040
OG0000016	EXC50_RS00170	E5E95_RS00160
OG0000017	EXC50_RS00155	E5E95_RS00145
OG0000017	EXC50_RS01690	E5E95_RS03050
OG0000020	EXC50_RS02390	E5E95_RS03770
