#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000001:622629-624425|- -            599 501at2085            -            526  8.9e-249  822.6   9.1   1   1  7.3e-251  1.8e-248  821.6   9.1     1   526     1   594     1   594 0.93 scf00000001_583 # 622629 # 624425 # -1 # ID=2_583;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
scf00000001:619212-621296|+ -            695 501at2085            -            526     1e-46  155.9   1.2   1   4   1.8e-36   4.4e-34  114.2   0.1     4   153     8   162     5   186 0.86 scf00000001_581 # 619212 # 621296 # 1 # ID=2_581;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
scf00000001:619212-621296|+ -            695 501at2085            -            526     1e-46  155.9   1.2   2   4      0.53   1.3e+02   -2.9   0.0   155   173   263   281   256   293 0.80 scf00000001_581 # 619212 # 621296 # 1 # ID=2_581;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
scf00000001:619212-621296|+ -            695 501at2085            -            526     1e-46  155.9   1.2   3   4     6e-12   1.5e-09   33.2   0.1   170   339   301   485   289   498 0.69 scf00000001_581 # 619212 # 621296 # 1 # ID=2_581;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
scf00000001:619212-621296|+ -            695 501at2085            -            526     1e-46  155.9   1.2   4   4    0.0026      0.66    4.7   0.0   350   411   607   675   595   691 0.78 scf00000001_581 # 619212 # 621296 # 1 # ID=2_581;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
seq00000009:19747-21546|-   -            600 501at2085            -            526     5e-19   64.5   2.9   1   3     2e-21     5e-19   64.5   2.9    10   195   117   307   115   321 0.76 seq00000009_18 # 19747 # 21546 # -1 # ID=6_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
seq00000009:19747-21546|-   -            600 501at2085            -            526     5e-19   64.5   2.9   2   3      0.56   1.4e+02   -3.0   0.6   135   181   388   434   377   452 0.72 seq00000009_18 # 19747 # 21546 # -1 # ID=6_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
seq00000009:19747-21546|-   -            600 501at2085            -            526     5e-19   64.5   2.9   3   3      0.34        85   -2.2   0.0   382   408   480   506   460   516 0.80 seq00000009_18 # 19747 # 21546 # -1 # ID=6_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000001:43773-44981|+   -            403 501at2085            -            526   3.5e-18   61.7   2.9   1   2   3.7e-20   9.2e-18   60.3   0.2     8   140    20   155    14   168 0.88 scf00000001_37 # 43773 # 44981 # 1 # ID=2_37;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
scf00000001:43773-44981|+   -            403 501at2085            -            526   3.5e-18   61.7   2.9   2   2     0.023       5.7    1.6   0.2   161   256   205   309   194   325 0.67 scf00000001_37 # 43773 # 44981 # 1 # ID=2_37;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
scf00000001:624983-626284|- -            434 501at2085            -            526   9.7e-13   43.8   0.5   1   2   1.5e-05    0.0038   12.1   0.1    63   180    46   170    36   173 0.75 scf00000001_586 # 624983 # 626284 # -1 # ID=2_586;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.297
scf00000001:624983-626284|- -            434 501at2085            -            526   9.7e-13   43.8   0.5   2   2   6.5e-11   1.6e-08   29.8   0.1    78   168   238   340   214   363 0.81 scf00000001_586 # 624983 # 626284 # -1 # ID=2_586;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.297
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP650/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP650/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP650/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP650/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP650/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP650/Use
# Date:            Thu Nov 28 19:37:53 2024
# [ok]
