Orthogroup	MHP_112B_proteins	MHP_LH_proteins
OG0000000	WP_404913768.1	WP_233688770.1
OG0000000	WP_404913720.1	WP_233688768.1
OG0000000	WP_404913722.1	WP_179221135.1, WP_233688420.1, WP_233688421.1
OG0000000	WP_404912245.1	WP_233688428.1
OG0000000	WP_225973037.1	WP_094521686.1
OG0000000	WP_404913633.1	WP_318035154.1
OG0000000	WP_404913746.1	WP_233688739.1, WP_233688764.1
OG0000001	WP_404912312.1	WP_179696094.1
OG0000001	WP_404911958.1	WP_228365393.1
OG0000001	WP_011206342.1	WP_233688495.1
OG0000002	WP_225972974.1	WP_233688429.1
OG0000002	WP_146379587.1	WP_160588366.1
OG0000002	WP_404913718.1	WP_233688422.1
OG0000003	WP_225973025.1	WP_233688427.1
OG0000003	WP_179696107.1	WP_233688750.1
OG0000004	WP_160585636.1	WP_233688542.1
OG0000004	WP_404912021.1	WP_233688544.1
OG0000004	WP_404912454.1	WP_233688516.1
OG0000005	WP_404912131.1	WP_233688595.1
OG0000005	WP_404912133.1	WP_233688596.1
OG0000005	WP_404912135.1	WP_233688597.1
OG0000006	WP_404911894.1	WP_233688469.1
OG0000007	WP_404913724.1	WP_233688426.1
OG0000008	WP_404911847.1	WP_233688439.1
OG0000008	WP_404912369.1	WP_233688729.1
OG0000008	WP_404911900.1, WP_404911898.1	WP_233688470.1
OG0000009	WP_041361519.1	WP_094521537.1
OG0000009	WP_011290021.1	WP_179221024.1
OG0000010	WP_404911810.1	WP_179221114.1
OG0000011	WP_404911790.1	WP_233688757.1
OG0000013	WP_404911873.1	WP_233688454.1
OG0000014	WP_404912188.1	WP_233688640.1
OG0000015	WP_014579770.1	WP_014579770.1
OG0000015	WP_179695828.1	WP_233688686.1
OG0000015	WP_135618763.1	WP_135618763.1
OG0000016	WP_404912144.1	WP_233688605.1
OG0000017	WP_020835500.1	WP_233688603.1
OG0000017	WP_020835837.1	WP_233688501.1
OG0000018	WP_404912406.1	WP_179695831.1
OG0000019	WP_404911989.1	WP_233688517.1
OG0000020	WP_404913691.1	WP_233688578.1
OG0000022	WP_404912375.1	WP_233688731.1
