Orthogroup	MHP_KM014_genes	MHP_232_genes
OG0000000	CIB43_RS03010	MHP_RS04000
OG0000000	CIB43_RS02595, CIB43_RS02600	MHP_RS03825
OG0000001	CIB43_RS03715	MHP_RS03580
OG0000001	CIB43_RS03670	MHP_RS03935, MHP_RS02610
OG0000002	CIB43_RS03100	MHP_RS03905
OG0000002	CIB43_RS02610	MHP_RS01720
OG0000003	CIB43_RS01390	MHP_RS01750, MHP_RS01485
OG0000003	CIB43_RS02725	MHP_RS01825
OG0000004	CIB43_RS00275	MHP_RS03125
OG0000004	CIB43_RS00110	MHP_RS02960
OG0000005	CIB43_RS00810	MHP_RS00100
OG0000005	CIB43_RS00830	MHP_RS00120
OG0000006	CIB43_RS03435	MHP_RS02365
OG0000006	CIB43_RS03420	MHP_RS03575, MHP_RS02230
OG0000008	CIB43_RS03225	MHP_RS03725, MHP_RS03910
OG0000009	CIB43_RS00790	MHP_RS00085
OG0000009	CIB43_RS01550	MHP_RS01315
OG0000010	CIB43_RS02735	MHP_RS01830
OG0000010	CIB43_RS00795	MHP_RS00095
OG0000011	CIB43_RS02850	MHP_RS01915
OG0000012	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750	MHP_RS00400
OG0000014	CIB43_RS01955	MHP_RS00920
OG0000015	CIB43_RS01235	MHP_RS02750
OG0000016	CIB43_RS03755	MHP_RS02785
OG0000017	CIB43_RS00855	MHP_RS00165
OG0000017	CIB43_RS03765	MHP_RS02795
OG0000018	CIB43_RS01250	MHP_RS03940
OG0000018	CIB43_RS01185	MHP_RS03945
OG0000020	CIB43_RS00635	MHP_RS03470
OG0000022	CIB43_RS02590	MHP_RS01705
OG0000023	CIB43_RS01245	MHP_RS02730
OG0000024	CIB43_RS02140	MHP_RS00730
OG0000025	CIB43_RS02585	MHP_RS01700
OG0000026	CIB43_RS02565	MHP_RS01680
OG0000027	CIB43_RS00440	MHP_RS03280
OG0000028	CIB43_RS03340	MHP_RS02285
OG0000030	CIB43_RS00435	MHP_RS03275
OG0000031	CIB43_RS01295	MHP_RS02675
OG0000035	CIB43_RS00280	MHP_RS03130
OG0000035	CIB43_RS00270	MHP_RS03120
OG0000036	CIB43_RS00815	MHP_RS00115
OG0000037	CIB43_RS02475, CIB43_RS02465	MHP_RS03820
OG0000038	CIB43_RS02625	MHP_RS01490, MHP_RS01745
OG0000039	CIB43_RS02500	MHP_RS03880, MHP_RS01615
OG0000041	CIB43_RS03980	MHP_RS01320
OG0000042	CIB43_RS03855	MHP_RS02885
OG0000043	CIB43_RS00070	MHP_RS01880
OG0000044	CIB43_RS02665	MHP_RS01785
OG0000045	CIB43_RS02520	MHP_RS01625
OG0000047	CIB43_RS01205	MHP_RS02735
OG0000048	CIB43_RS02995	MHP_RS02060
OG0000049	CIB43_RS00150	MHP_RS02985
OG0000051	CIB43_RS03575	MHP_RS02520
OG0000052	CIB43_RS00775	MHP_RS00075
OG0000053	CIB43_RS02315	MHP_RS00555
OG0000054	CIB43_RS03395	MHP_RS02340
OG0000055	CIB43_RS00835	MHP_RS00145
OG0000056	CIB43_RS00630, CIB43_RS03960	MHP_RS03450
OG0000057	CIB43_RS03840	MHP_RS02870
OG0000058	CIB43_RS01140, CIB43_RS01145, CIB43_RS00085	MHP_RS00435
OG0000058	CIB43_RS01300	MHP_RS02670
OG0000060	CIB43_RS00780	MHP_RS03865
OG0000061	CIB43_RS02745	MHP_RS01580
OG0000062	CIB43_RS00675	MHP_RS03505
OG0000063	CIB43_RS00660	MHP_RS03500
OG0000064	CIB43_RS00650	MHP_RS03490
OG0000065	CIB43_RS03145	MHP_RS02125
OG0000068	CIB43_RS01520	MHP_RS03685
OG0000069	CIB43_RS03740	MHP_RS02760
OG0000070	CIB43_RS03400	MHP_RS02345
OG0000071	CIB43_RS00360	MHP_RS03195
OG0000072	CIB43_RS00375	MHP_RS03200
OG0000073	CIB43_RS01580	MHP_RS01290
OG0000075	CIB43_RS01060	MHP_RS00350
OG0000077	CIB43_RS01330	MHP_RS01545
OG0000078	CIB43_RS02560	MHP_RS01670
OG0000079	CIB43_RS03480	MHP_RS02420
OG0000080	CIB43_RS03525	MHP_RS03805
OG0000081	CIB43_RS01055	MHP_RS00345
OG0000082	CIB43_RS03315	MHP_RS02270
OG0000083	CIB43_RS02935	MHP_RS01985
OG0000084	CIB43_RS02955	MHP_RS02010
OG0000086	CIB43_RS02970	MHP_RS02025
OG0000087	CIB43_RS02975	MHP_RS02040
OG0000088	CIB43_RS02980	MHP_RS02045
OG0000089	CIB43_RS02990	MHP_RS02055
OG0000090	CIB43_RS00770	MHP_RS00070
OG0000091	CIB43_RS00760	MHP_RS00055
OG0000092	CIB43_RS00745	MHP_RS00040
OG0000093	CIB43_RS00735	MHP_RS00035
OG0000094	CIB43_RS00730	MHP_RS00030
OG0000095	CIB43_RS00715	MHP_RS00005
OG0000096	CIB43_RS00700	MHP_RS03540
OG0000097	CIB43_RS00690	MHP_RS03520
OG0000100	CIB43_RS00610	MHP_RS03440
OG0000101	CIB43_RS00600	MHP_RS03435
OG0000102	CIB43_RS02580	MHP_RS01695
OG0000103	CIB43_RS03110	MHP_RS02090
OG0000104	CIB43_RS03120	MHP_RS02095
OG0000105	CIB43_RS03130	MHP_RS02110
OG0000106	CIB43_RS03140	MHP_RS02120
OG0000107	CIB43_RS03150	MHP_RS02130
OG0000108	CIB43_RS03155	MHP_RS02135
OG0000109	CIB43_RS03160	MHP_RS02140
OG0000110	CIB43_RS03290	MHP_RS02260
OG0000111	CIB43_RS03285	MHP_RS02255
OG0000112	CIB43_RS03280	MHP_RS02245
OG0000113	CIB43_RS03260	MHP_RS02225
OG0000114	CIB43_RS03245	MHP_RS02215
OG0000115	CIB43_RS03230	MHP_RS02205
OG0000116	CIB43_RS02165	MHP_RS00705
OG0000117	CIB43_RS02170	MHP_RS00700
OG0000118	CIB43_RS02205	MHP_RS00665
OG0000119	CIB43_RS02210	MHP_RS00660
OG0000120	CIB43_RS02230	MHP_RS00645
OG0000121	CIB43_RS02250	MHP_RS00620
OG0000122	CIB43_RS02255	MHP_RS00615
OG0000123	CIB43_RS02275	MHP_RS00595
OG0000124	CIB43_RS02280	MHP_RS00590
OG0000125	CIB43_RS02285	MHP_RS00585
OG0000126	CIB43_RS02295	MHP_RS00575
OG0000127	CIB43_RS02305	MHP_RS00565
OG0000128	CIB43_RS02320	MHP_RS00550
OG0000129	CIB43_RS02330	MHP_RS00545
OG0000130	CIB43_RS02335	MHP_RS00535
OG0000131	CIB43_RS02370	MHP_RS00505
