Orthogroup	MHP_KM014_genes	MHP_11_genes
OG0000000	CIB43_RS03010	B5C39_RS03935
OG0000000	CIB43_RS02595	B5C39_RS03750
OG0000001	CIB43_RS03715	B5C39_RS03070
OG0000001	CIB43_RS03670	B5C39_RS03865, B5C39_RS03020
OG0000002	CIB43_RS03100	B5C39_RS03825
OG0000002	CIB43_RS02610	B5C39_RS03240
OG0000003	CIB43_RS01390	B5C39_RS03270, B5C39_RS02395
OG0000003	CIB43_RS02725	B5C39_RS03345
OG0000004	CIB43_RS00290	B5C39_RS00380
OG0000004	CIB43_RS00275	B5C39_RS00390
OG0000005	CIB43_RS00810	B5C39_RS00915
OG0000005	CIB43_RS00830	B5C39_RS00935
OG0000006	CIB43_RS03435	B5C39_RS03845
OG0000006	CIB43_RS03420	B5C39_RS02605, B5C39_RS02640
OG0000008	CIB43_RS03225	B5C39_RS03740, B5C39_RS03830
OG0000009	CIB43_RS00790	B5C39_RS00900
OG0000009	CIB43_RS01550	B5C39_RS02225
OG0000010	CIB43_RS02735	B5C39_RS03350
OG0000010	CIB43_RS00795	B5C39_RS00910
OG0000011	CIB43_RS02850	B5C39_RS03455
OG0000012	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750	B5C39_RS01220
OG0000014	CIB43_RS01485	B5C39_RS02300
OG0000014	CIB43_RS01955	B5C39_RS01820
OG0000015	CIB43_RS01235	B5C39_RS03085
OG0000016	CIB43_RS03755	B5C39_RS00060
OG0000017	CIB43_RS00855	B5C39_RS00970
OG0000017	CIB43_RS03765	B5C39_RS00070
OG0000018	CIB43_RS01250	B5C39_RS03790, B5C39_RS03785
OG0000020	CIB43_RS00635	B5C39_RS00740
OG0000022	CIB43_RS02590	B5C39_RS03225
OG0000023	CIB43_RS01245	B5C39_RS01320
OG0000024	CIB43_RS02140	B5C39_RS01625
OG0000025	CIB43_RS02585	B5C39_RS03220
OG0000026	CIB43_RS02565	B5C39_RS03200
OG0000027	CIB43_RS00440	B5C39_RS00545
OG0000028	CIB43_RS03340	B5C39_RS02695
OG0000030	CIB43_RS00435	B5C39_RS00540
OG0000031	CIB43_RS01295	B5C39_RS01325
OG0000035	CIB43_RS00280	B5C39_RS00395
OG0000035	CIB43_RS00270	B5C39_RS00375
OG0000036	CIB43_RS00815	B5C39_RS00930
OG0000037	CIB43_RS02475, CIB43_RS02465	B5C39_RS03745
OG0000038	CIB43_RS02625	B5C39_RS02400, B5C39_RS03265
OG0000039	CIB43_RS02500	B5C39_RS03875, B5C39_RS03130
OG0000042	CIB43_RS03855	B5C39_RS00160
OG0000043	CIB43_RS00070	B5C39_RS03420
OG0000044	CIB43_RS02665	B5C39_RS03305
OG0000045	CIB43_RS02520	B5C39_RS03140
OG0000047	CIB43_RS01205	B5C39_RS00010
OG0000048	CIB43_RS02995	B5C39_RS03615
OG0000049	CIB43_RS00150	B5C39_RS00240
OG0000051	CIB43_RS03575	B5C39_RS02930
OG0000052	CIB43_RS00775	B5C39_RS00890
OG0000053	CIB43_RS02315	B5C39_RS01450
OG0000054	CIB43_RS03395	B5C39_RS02750
OG0000055	CIB43_RS00835	B5C39_RS00950
OG0000056	CIB43_RS00630, CIB43_RS03960	B5C39_RS00720
OG0000057	CIB43_RS03840	B5C39_RS00145
OG0000058	CIB43_RS01300	B5C39_RS01330
OG0000060	CIB43_RS00780	B5C39_RS03815
OG0000061	CIB43_RS02745	B5C39_RS03095
OG0000062	CIB43_RS00675	B5C39_RS00780
OG0000063	CIB43_RS00660	B5C39_RS00775
OG0000064	CIB43_RS00650	B5C39_RS00765
OG0000065	CIB43_RS03145	B5C39_RS02530
OG0000068	CIB43_RS01520	B5C39_RS02250
OG0000069	CIB43_RS03740	B5C39_RS00035
OG0000070	CIB43_RS03400	B5C39_RS02755
OG0000071	CIB43_RS00360	B5C39_RS00455
OG0000072	CIB43_RS00375	B5C39_RS00460
OG0000073	CIB43_RS01580	B5C39_RS02200
OG0000075	CIB43_RS01060	B5C39_RS01170
OG0000077	CIB43_RS01330	B5C39_RS02455
OG0000078	CIB43_RS02560	B5C39_RS03190
OG0000079	CIB43_RS03480	B5C39_RS02835
OG0000080	CIB43_RS03525	B5C39_RS03700
OG0000081	CIB43_RS01055	B5C39_RS01165
OG0000082	CIB43_RS03315	B5C39_RS02680
OG0000083	CIB43_RS02935	B5C39_RS03525
OG0000084	CIB43_RS02955	B5C39_RS03550
OG0000086	CIB43_RS02970	B5C39_RS03565
OG0000087	CIB43_RS02975	B5C39_RS03580
OG0000088	CIB43_RS02980	B5C39_RS03585
OG0000089	CIB43_RS02990	B5C39_RS03595
OG0000090	CIB43_RS00770	B5C39_RS00885
OG0000091	CIB43_RS00760	B5C39_RS00870
OG0000092	CIB43_RS00745	B5C39_RS00855
OG0000093	CIB43_RS00735	B5C39_RS00850
OG0000094	CIB43_RS00730	B5C39_RS00845
OG0000095	CIB43_RS00715	B5C39_RS00820
OG0000096	CIB43_RS00700	B5C39_RS00815
OG0000097	CIB43_RS00690	B5C39_RS00795
OG0000100	CIB43_RS00610	B5C39_RS00710
OG0000101	CIB43_RS00600	B5C39_RS00705
OG0000102	CIB43_RS02580	B5C39_RS03215
OG0000103	CIB43_RS03110	B5C39_RS02495
OG0000104	CIB43_RS03120	B5C39_RS02500
OG0000105	CIB43_RS03130	B5C39_RS02515
OG0000106	CIB43_RS03140	B5C39_RS02525
OG0000107	CIB43_RS03150	B5C39_RS02535
OG0000108	CIB43_RS03155	B5C39_RS02540
OG0000109	CIB43_RS03160	B5C39_RS02545
OG0000110	CIB43_RS03290	B5C39_RS02670
OG0000111	CIB43_RS03285	B5C39_RS02665
OG0000112	CIB43_RS03280	B5C39_RS02655
OG0000113	CIB43_RS03260	B5C39_RS02635
OG0000114	CIB43_RS03245	B5C39_RS02625
OG0000115	CIB43_RS03230	B5C39_RS02610
OG0000116	CIB43_RS02165	B5C39_RS01600
OG0000117	CIB43_RS02170	B5C39_RS01595
