Orthogroup	MHP_KM014_genes	MHP_98_genes
OG0000000	CIB43_RS03010	GOM18_RS04045
OG0000000	CIB43_RS02595, CIB43_RS02600	GOM18_RS03685
OG0000001	CIB43_RS02150	GOM18_RS03230
OG0000001	CIB43_RS03715	GOM18_RS03125
OG0000001	CIB43_RS03670	GOM18_RS04130, GOM18_RS04125
OG0000002	CIB43_RS03100	GOM18_RS02350
OG0000002	CIB43_RS02610	GOM18_RS04550
OG0000003	CIB43_RS01390	GOM18_RS01615
OG0000003	CIB43_RS02725	GOM18_RS03375, GOM18_RS03370
OG0000004	CIB43_RS00290	GOM18_RS00895
OG0000005	CIB43_RS00810	GOM18_RS03145
OG0000006	CIB43_RS03435	GOM18_RS01950
OG0000006	CIB43_RS03420	GOM18_RS02465, GOM18_RS02495
OG0000008	CIB43_RS03225	GOM18_RS02455
OG0000009	CIB43_RS00790	GOM18_RS00665
OG0000009	CIB43_RS01550	GOM18_RS00110
OG0000010	CIB43_RS02735	GOM18_RS03360
OG0000010	CIB43_RS00795	GOM18_RS03805
OG0000011	CIB43_RS02850	GOM18_RS03250
OG0000014	CIB43_RS01485	GOM18_RS03570, GOM18_RS01700
OG0000015	CIB43_RS01235	GOM18_RS00005
OG0000015	CIB43_RS00010, CIB43_RS01220	GOM18_RS02565
OG0000016	CIB43_RS03755	GOM18_RS01215
OG0000017	CIB43_RS00855	GOM18_RS01265
OG0000017	CIB43_RS03765	GOM18_RS01205
OG0000018	CIB43_RS01250	GOM18_RS04240
OG0000020	CIB43_RS00635	GOM18_RS03770
OG0000021	CIB43_RS01400	GOM18_RS03485
OG0000021	CIB43_RS02635	GOM18_RS03345
OG0000022	CIB43_RS02590	GOM18_RS04500
OG0000023	CIB43_RS01245	GOM18_RS00025
OG0000024	CIB43_RS02140	GOM18_RS03225
OG0000025	CIB43_RS02585	GOM18_RS04505
OG0000026	CIB43_RS02565	GOM18_RS03010
OG0000027	CIB43_RS00440	GOM18_RS04320
OG0000028	CIB43_RS03325	GOM18_RS01870
OG0000030	CIB43_RS00435	GOM18_RS04325
OG0000031	CIB43_RS01295	GOM18_RS00085
OG0000035	CIB43_RS00280	GOM18_RS00885
OG0000035	CIB43_RS00270	GOM18_RS00900
OG0000036	CIB43_RS00815	GOM18_RS03585
OG0000037	CIB43_RS02465	GOM18_RS04545
OG0000038	CIB43_RS02625	GOM18_RS03510, GOM18_RS03645
OG0000039	CIB43_RS02500	GOM18_RS03565
OG0000041	CIB43_RS03980	GOM18_RS00100
OG0000042	CIB43_RS03855	GOM18_RS01120
OG0000043	CIB43_RS02825	GOM18_RS03285
OG0000043	CIB43_RS00070	GOM18_RS03285
OG0000045	CIB43_RS02520	GOM18_RS03555
OG0000048	CIB43_RS02995	GOM18_RS02325
OG0000049	CIB43_RS00150	GOM18_RS01035
OG0000051	CIB43_RS03575	GOM18_RS02100
OG0000052	CIB43_RS00775	GOM18_RS00655
OG0000053	CIB43_RS02315	GOM18_RS04480
OG0000054	CIB43_RS03395	GOM18_RS01925
OG0000055	CIB43_RS00835	GOM18_RS01245
OG0000056	CIB43_RS00630, CIB43_RS03960	GOM18_RS00495
OG0000057	CIB43_RS03840	GOM18_RS01135
OG0000058	CIB43_RS01140, CIB43_RS01145, CIB43_RS00085	GOM18_RS00090
OG0000059	CIB43_RS00080, CIB43_RS01165	GOM18_RS03660
OG0000060	CIB43_RS00780	GOM18_RS03800
OG0000061	CIB43_RS02745	GOM18_RS03350
OG0000062	CIB43_RS00675	GOM18_RS00545
OG0000063	CIB43_RS00660	GOM18_RS04295
