Orthogroup	MHP_KM014_genes	MHP_NCTC10127_genes
OG0000000	CIB43_RS02595	EXC50_RS03990
OG0000001	CIB43_RS03715	EXC50_RS01640
OG0000001	CIB43_RS03670	EXC50_RS04045, EXC50_RS01590
OG0000002	CIB43_RS03100	EXC50_RS04010
OG0000002	CIB43_RS04020	EXC50_RS03900
OG0000002	CIB43_RS02610	EXC50_RS00680
OG0000003	CIB43_RS01390	EXC50_RS00710, EXC50_RS03580
OG0000004	CIB43_RS00290	EXC50_RS02030
OG0000004	CIB43_RS00275	EXC50_RS02040
OG0000004	CIB43_RS00110	EXC50_RS01865
OG0000005	CIB43_RS00810	EXC50_RS00100
OG0000005	CIB43_RS00830	EXC50_RS00120
OG0000006	CIB43_RS03435	EXC50_RS04025
OG0000006	CIB43_RS03420	EXC50_RS01175, EXC50_RS01210
OG0000008	CIB43_RS03225	EXC50_RS01160, EXC50_RS04015
OG0000009	CIB43_RS00790	EXC50_RS00085
OG0000009	CIB43_RS01550	EXC50_RS03405
OG0000010	CIB43_RS02735	EXC50_RS00795
OG0000010	CIB43_RS00795	EXC50_RS00095
OG0000011	CIB43_RS02850	EXC50_RS00895
OG0000012	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750	EXC50_RS01855
OG0000014	CIB43_RS01485	EXC50_RS04120
OG0000014	CIB43_RS01955	EXC50_RS03000
OG0000015	CIB43_RS01235	EXC50_RS03670
OG0000016	CIB43_RS03755	EXC50_RS01680
OG0000017	CIB43_RS00855	EXC50_RS00155
OG0000017	CIB43_RS03765	EXC50_RS01690
OG0000018	CIB43_RS01250	EXC50_RS03750, EXC50_RS04080, EXC50_RS00485, EXC50_RS04150, EXC50_RS04145, EXC50_RS04085
OG0000020	CIB43_RS00635	EXC50_RS02395
OG0000021	CIB43_RS02635	EXC50_RS04125
OG0000022	CIB43_RS02590	EXC50_RS00670
OG0000023	CIB43_RS01245, CIB43_RS01195	EXC50_RS00495, EXC50_RS03740
OG0000024	CIB43_RS02140	EXC50_RS02815
OG0000025	CIB43_RS02585	EXC50_RS00665
OG0000026	CIB43_RS02565	EXC50_RS00645
OG0000027	CIB43_RS00440	EXC50_RS02200
OG0000028	CIB43_RS03340	EXC50_RS01265
OG0000030	CIB43_RS00435	EXC50_RS02195
OG0000031	CIB43_RS01295	EXC50_RS02515, EXC50_RS03805
OG0000035	CIB43_RS00280	EXC50_RS02045
OG0000035	CIB43_RS00270	EXC50_RS02025
OG0000036	CIB43_RS00815	EXC50_RS00115
OG0000037	CIB43_RS02475, CIB43_RS02465	EXC50_RS03970
OG0000038	CIB43_RS02625	EXC50_RS03585, EXC50_RS00705
OG0000039	CIB43_RS02500	EXC50_RS03975, EXC50_RS00560
OG0000041	CIB43_RS03980	EXC50_RS03415
OG0000042	CIB43_RS03855	EXC50_RS01780
OG0000043	CIB43_RS00070	EXC50_RS00860
OG0000044	CIB43_RS02665	EXC50_RS00745
OG0000045	CIB43_RS02520	EXC50_RS00570
OG0000047	CIB43_RS01205	EXC50_RS03955, EXC50_RS03735
OG0000048	CIB43_RS02995	EXC50_RS01040
OG0000049	CIB43_RS00150	EXC50_RS01890
OG0000051	CIB43_RS03575	EXC50_RS01500
OG0000052	CIB43_RS00775	EXC50_RS00075
OG0000053	CIB43_RS02315	EXC50_RS02640
OG0000054	CIB43_RS03395	EXC50_RS04250
OG0000055	CIB43_RS00835	EXC50_RS00135
OG0000056	CIB43_RS00630, CIB43_RS03960	EXC50_RS02375
OG0000057	CIB43_RS03840	EXC50_RS01765
OG0000058	CIB43_RS01300	EXC50_RS03810
OG0000059	CIB43_RS00080, CIB43_RS01165	EXC50_RS02510
OG0000060	CIB43_RS00780	EXC50_RS04110
OG0000061	CIB43_RS02745	EXC50_RS00525
OG0000062	CIB43_RS00675	EXC50_RS02425
OG0000063	CIB43_RS00660	EXC50_RS02420
OG0000064	CIB43_RS00650	EXC50_RS02410
OG0000065	CIB43_RS03145	EXC50_RS01100
OG0000068	CIB43_RS01520	EXC50_RS03440
OG0000069	CIB43_RS03740	EXC50_RS01655
OG0000070	CIB43_RS03400	EXC50_RS03840, EXC50_RS01325
OG0000071	CIB43_RS00360	EXC50_RS02110
OG0000072	CIB43_RS00375	EXC50_RS02115
OG0000073	CIB43_RS01580	EXC50_RS03380
OG0000075	CIB43_RS01060	EXC50_RS00355
OG0000077	CIB43_RS01330	EXC50_RS03640
OG0000078	CIB43_RS02560	EXC50_RS00635
OG0000079	CIB43_RS03480	EXC50_RS01405
OG0000080	CIB43_RS03525	EXC50_RS03930
OG0000081	CIB43_RS01055	EXC50_RS00350
OG0000082	CIB43_RS03315	EXC50_RS01250
OG0000083	CIB43_RS02935	EXC50_RS00965
OG0000084	CIB43_RS02955	EXC50_RS00990
OG0000086	CIB43_RS02970	EXC50_RS01005
OG0000087	CIB43_RS02975	EXC50_RS01020
OG0000088	CIB43_RS02980	EXC50_RS01025
OG0000089	CIB43_RS02990	EXC50_RS01035
OG0000090	CIB43_RS00770	EXC50_RS00070
OG0000091	CIB43_RS00760	EXC50_RS00055
OG0000092	CIB43_RS00745	EXC50_RS00040
OG0000093	CIB43_RS00735	EXC50_RS00035
OG0000094	CIB43_RS00730	EXC50_RS00030
OG0000095	CIB43_RS00715	EXC50_RS00005
OG0000096	CIB43_RS00700	EXC50_RS02460
OG0000097	CIB43_RS00690	EXC50_RS02440
OG0000100	CIB43_RS00610	EXC50_RS02365
OG0000101	CIB43_RS00600	EXC50_RS02360
OG0000102	CIB43_RS02580	EXC50_RS00660
OG0000103	CIB43_RS03110	EXC50_RS01065
OG0000104	CIB43_RS03120	EXC50_RS01070
OG0000105	CIB43_RS03130	EXC50_RS01085
OG0000106	CIB43_RS03140	EXC50_RS01095
OG0000107	CIB43_RS03150	EXC50_RS01105
OG0000108	CIB43_RS03155	EXC50_RS01110
OG0000109	CIB43_RS03160	EXC50_RS01115
OG0000110	CIB43_RS03290	EXC50_RS01240
OG0000111	CIB43_RS03285	EXC50_RS01235
OG0000112	CIB43_RS03280	EXC50_RS01225
OG0000113	CIB43_RS03260	EXC50_RS01205
OG0000114	CIB43_RS03245	EXC50_RS01195
OG0000115	CIB43_RS03230	EXC50_RS01180
OG0000116	CIB43_RS02165	EXC50_RS02790
OG0000117	CIB43_RS02170	EXC50_RS02785
OG0000118	CIB43_RS02205	EXC50_RS02750
OG0000119	CIB43_RS02210	EXC50_RS02745
OG0000120	CIB43_RS02230	EXC50_RS02730
OG0000121	CIB43_RS02250	EXC50_RS02705
OG0000122	CIB43_RS02255	EXC50_RS02700
OG0000123	CIB43_RS02275	EXC50_RS02680
OG0000124	CIB43_RS02280	EXC50_RS02675
OG0000125	CIB43_RS02285	EXC50_RS02670
OG0000126	CIB43_RS02295	EXC50_RS02660
OG0000127	CIB43_RS02305	EXC50_RS02650
OG0000128	CIB43_RS02320	EXC50_RS02635
OG0000129	CIB43_RS02330	EXC50_RS02630
OG0000130	CIB43_RS02335	EXC50_RS02620
OG0000131	CIB43_RS02370	EXC50_RS02590
OG0000132	CIB43_RS02385	EXC50_RS02575
OG0000133	CIB43_RS01415	EXC50_RS03555
OG0000134	CIB43_RS01425	EXC50_RS03550
OG0000135	CIB43_RS01435	EXC50_RS03535
OG0000136	CIB43_RS01440	EXC50_RS03530
OG0000137	CIB43_RS01470	EXC50_RS03500
OG0000138	CIB43_RS01495	EXC50_RS03465
OG0000139	CIB43_RS01525	EXC50_RS03435
OG0000140	CIB43_RS01540	EXC50_RS03430
OG0000141	CIB43_RS03850	EXC50_RS01775
OG0000142	CIB43_RS03845	EXC50_RS01770
OG0000143	CIB43_RS03835	EXC50_RS01745
OG0000144	CIB43_RS03815	EXC50_RS01735
OG0000145	CIB43_RS03805	EXC50_RS01725
OG0000146	CIB43_RS03790	EXC50_RS01715
OG0000147	CIB43_RS03785	EXC50_RS01710
OG0000148	CIB43_RS03780	EXC50_RS01695
OG0000149	CIB43_RS03760	EXC50_RS01685
OG0000150	CIB43_RS03745	EXC50_RS01670
OG0000151	CIB43_RS03700	EXC50_RS01625
OG0000152	CIB43_RS03695	EXC50_RS01620
OG0000153	CIB43_RS03690	EXC50_RS01615
OG0000154	CIB43_RS03680	EXC50_RS01605
OG0000155	CIB43_RS03645	EXC50_RS01565
OG0000156	CIB43_RS03635	EXC50_RS01555
OG0000157	CIB43_RS03625	EXC50_RS01550
OG0000158	CIB43_RS03620	EXC50_RS04235
OG0000159	CIB43_RS03385	EXC50_RS03825
OG0000160	CIB43_RS03380	EXC50_RS03820
OG0000161	CIB43_RS03375	EXC50_RS03815
OG0000163	CIB43_RS03370	EXC50_RS01285
OG0000164	CIB43_RS02495	EXC50_RS00550
OG0000165	CIB43_RS02840	EXC50_RS00885
OG0000166	CIB43_RS02860	EXC50_RS00905
OG0000167	CIB43_RS02875	EXC50_RS00920
OG0000168	CIB43_RS02880	EXC50_RS00925
OG0000169	CIB43_RS00130	EXC50_RS01885
OG0000171	CIB43_RS00155	EXC50_RS01910
OG0000172	CIB43_RS00160	EXC50_RS01915
OG0000173	CIB43_RS00165	EXC50_RS01920
OG0000174	CIB43_RS00170	EXC50_RS01925
OG0000175	CIB43_RS00190	EXC50_RS01940
OG0000176	CIB43_RS00235	EXC50_RS01990
OG0000177	CIB43_RS00240	EXC50_RS01995
OG0000178	CIB43_RS00245	EXC50_RS02000
OG0000179	CIB43_RS00255	EXC50_RS02010
OG0000180	CIB43_RS00260	EXC50_RS02015
OG0000181	CIB43_RS00310	EXC50_RS02060
OG0000182	CIB43_RS00320	EXC50_RS02070
OG0000183	CIB43_RS00355	EXC50_RS02105
OG0000184	CIB43_RS00430	EXC50_RS02150
OG0000185	CIB43_RS00380	EXC50_RS02135
OG0000186	CIB43_RS02400	EXC50_RS02565
OG0000187	CIB43_RS02410	EXC50_RS02550
OG0000188	CIB43_RS02425	EXC50_RS02540
OG0000189	CIB43_RS03200	EXC50_RS01150
OG0000190	CIB43_RS03195	EXC50_RS01145
OG0000191	CIB43_RS03180	EXC50_RS01125
OG0000192	CIB43_RS02085	EXC50_RS02870
OG0000193	CIB43_RS02075	EXC50_RS02880
OG0000194	CIB43_RS01560	EXC50_RS03395
OG0000195	CIB43_RS01565	EXC50_RS03390
OG0000196	CIB43_RS01585	EXC50_RS03370
OG0000197	CIB43_RS01590	EXC50_RS03365
OG0000198	CIB43_RS01605	EXC50_RS03350
OG0000199	CIB43_RS01615	EXC50_RS03345
OG0000200	CIB43_RS01630	EXC50_RS03330
OG0000201	CIB43_RS01635	EXC50_RS03320
OG0000202	CIB43_RS01690	EXC50_RS03265
OG0000203	CIB43_RS01695	EXC50_RS03260
OG0000204	CIB43_RS01700	EXC50_RS03255
OG0000205	CIB43_RS01705	EXC50_RS03250
OG0000206	CIB43_RS01735	EXC50_RS03230
OG0000207	CIB43_RS01740	EXC50_RS03215
OG0000208	CIB43_RS01745	EXC50_RS03210
OG0000209	CIB43_RS01750	EXC50_RS03205
OG0000210	CIB43_RS01800	EXC50_RS03160
OG0000211	CIB43_RS01805	EXC50_RS03150
OG0000212	CIB43_RS01815	EXC50_RS03140
OG0000213	CIB43_RS01820	EXC50_RS03135
OG0000214	CIB43_RS01825	EXC50_RS03130
OG0000215	CIB43_RS01830	EXC50_RS03125
OG0000216	CIB43_RS01835	EXC50_RS03120
OG0000217	CIB43_RS01845	EXC50_RS03115
OG0000218	CIB43_RS01850	EXC50_RS03105
OG0000219	CIB43_RS01855	EXC50_RS03100
OG0000220	CIB43_RS01860	EXC50_RS03095
OG0000221	CIB43_RS01865	EXC50_RS03090
OG0000222	CIB43_RS01870	EXC50_RS03085
OG0000223	CIB43_RS01875	EXC50_RS03080
