Orthogroup	MHP_KM014_genes	MHP_154B_genes
OG0000000	CIB43_RS03015	NB624_RS02240
OG0000000	CIB43_RS02595	NB624_RS01720
OG0000000	CIB43_RS02600	NB624_RS01725
OG0000001	CIB43_RS03715	NB624_RS02960
OG0000001	CIB43_RS03670	NB624_RS02915
OG0000002	CIB43_RS03100	NB624_RS02340
OG0000002	CIB43_RS04020	NB624_RS02335
OG0000002	CIB43_RS02610	NB624_RS01730
OG0000003	CIB43_RS01390	NB624_RS01755
OG0000003	CIB43_RS02725	NB624_RS01835
OG0000004	CIB43_RS00290	NB624_RS03355
OG0000005	CIB43_RS00810	NB624_RS00100
OG0000006	CIB43_RS03435	NB624_RS02650
OG0000006	CIB43_RS03420	NB624_RS02495, NB624_RS02645, NB624_RS02465
OG0000007	CIB43_RS03080	NB624_RS02305
OG0000008	CIB43_RS03225	NB624_RS02450
OG0000009	CIB43_RS00790	NB624_RS00085
OG0000009	CIB43_RS01550	NB624_RS01000
OG0000010	CIB43_RS02735, CIB43_RS00795	NB624_RS01855
OG0000011	CIB43_RS02850	NB624_RS01955
OG0000012	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750	NB624_RS02895, NB624_RS01075
OG0000014	CIB43_RS01485	NB624_RS00595
OG0000014	CIB43_RS01955	NB624_RS01090
OG0000015	CIB43_RS01235	NB624_RS02070
OG0000015	CIB43_RS01220	NB624_RS01565
OG0000016	CIB43_RS03755	NB624_RS03000
OG0000017	CIB43_RS00855	NB624_RS00155
OG0000017	CIB43_RS03765	NB624_RS03010
OG0000018	CIB43_RS01250	NB624_RS02095
OG0000019	CIB43_RS00115	NB624_RS03180
OG0000019	CIB43_RS03950, CIB43_RS00005	NB624_RS03200
OG0000020	CIB43_RS00635	NB624_RS03695
OG0000021	CIB43_RS02635	NB624_RS01760
OG0000022	CIB43_RS02590	NB624_RS01715
OG0000023	CIB43_RS00020, CIB43_RS01245, CIB43_RS01195	NB624_RS01310
OG0000024	CIB43_RS02140	NB624_RS01265
OG0000025	CIB43_RS02585	NB624_RS01710
OG0000026	CIB43_RS02565	NB624_RS01690
OG0000028	CIB43_RS03325	NB624_RS02565
OG0000031	CIB43_RS01295	NB624_RS02150
OG0000035	CIB43_RS00280	NB624_RS03370
OG0000036	CIB43_RS00815	NB624_RS00120
OG0000037	CIB43_RS02465	NB624_RS01585
OG0000038	CIB43_RS02625	NB624_RS01745
OG0000039	CIB43_RS02500	NB624_RS01605
OG0000041	CIB43_RS03980	NB624_RS01010
OG0000042	CIB43_RS03855	NB624_RS03095
OG0000043	CIB43_RS02825	NB624_RS01920
OG0000043	CIB43_RS00070	NB624_RS01920
OG0000044	CIB43_RS02665	NB624_RS01795
OG0000045	CIB43_RS02520	NB624_RS01610
OG0000048	CIB43_RS02995	NB624_RS02205
OG0000049	CIB43_RS00150	NB624_RS03210
OG0000051	CIB43_RS03575	NB624_RS02825
OG0000052	CIB43_RS00775	NB624_RS00075
OG0000053	CIB43_RS02315	NB624_RS01440
OG0000054	CIB43_RS03395	NB624_RS02620
OG0000055	CIB43_RS00835	NB624_RS00130
OG0000056	CIB43_RS00630, CIB43_RS03960	NB624_RS03675
OG0000057	CIB43_RS03840	NB624_RS03080
OG0000058	CIB43_RS01140, CIB43_RS01145, CIB43_RS00085	NB624_RS02160
OG0000058	CIB43_RS01300	NB624_RS02155
OG0000059	CIB43_RS00080, CIB43_RS01165	NB624_RS02130
OG0000060	CIB43_RS00780	NB624_RS00080
OG0000061	CIB43_RS02745	NB624_RS01865
OG0000062	CIB43_RS00675	NB624_RS03725
OG0000063	CIB43_RS00660	NB624_RS03720
OG0000064	CIB43_RS00650	NB624_RS03710
OG0000065	CIB43_RS03145	NB624_RS02385
OG0000068	CIB43_RS01520	NB624_RS01035
OG0000069	CIB43_RS03740	NB624_RS02975
OG0000070	CIB43_RS03400	NB624_RS02625
OG0000071	CIB43_RS00360	NB624_RS03430
OG0000072	CIB43_RS00375	NB624_RS03435
OG0000073	CIB43_RS01580	NB624_RS00975
OG0000075	CIB43_RS01060	NB624_RS00340
OG0000077	CIB43_RS01330	NB624_RS00440
OG0000078	CIB43_RS02560	NB624_RS01680
OG0000079	CIB43_RS03480	NB624_RS02715
OG0000080	CIB43_RS03525	NB624_RS02770
OG0000081	CIB43_RS01055	NB624_RS00335
OG0000083	CIB43_RS02935	NB624_RS02025
OG0000084	CIB43_RS02955	NB624_RS02055
OG0000086	CIB43_RS02970	NB624_RS02170
OG0000087	CIB43_RS02975	NB624_RS02185
OG0000088	CIB43_RS02980	NB624_RS02190
OG0000089	CIB43_RS02990	NB624_RS02200
OG0000090	CIB43_RS00770	NB624_RS00070
OG0000091	CIB43_RS00760	NB624_RS00055
OG0000092	CIB43_RS00745	NB624_RS00045
OG0000093	CIB43_RS00735	NB624_RS00035
OG0000094	CIB43_RS00730	NB624_RS00030
OG0000095	CIB43_RS00715	NB624_RS00005
OG0000096	CIB43_RS00700	NB624_RS03760
OG0000097	CIB43_RS00690	NB624_RS03740
OG0000100	CIB43_RS00610	NB624_RS03670
OG0000101	CIB43_RS00600	NB624_RS03660
OG0000102	CIB43_RS02580	NB624_RS01705
OG0000103	CIB43_RS03110	NB624_RS02350
OG0000104	CIB43_RS03120	NB624_RS02355
OG0000105	CIB43_RS03130	NB624_RS02370
OG0000106	CIB43_RS03140	NB624_RS02380
OG0000107	CIB43_RS03150	NB624_RS02390
OG0000108	CIB43_RS03155	NB624_RS02395
OG0000109	CIB43_RS03160	NB624_RS02400
OG0000110	CIB43_RS03290	NB624_RS02525
OG0000111	CIB43_RS03285	NB624_RS02520
OG0000112	CIB43_RS03280	NB624_RS02510
OG0000113	CIB43_RS03260	NB624_RS02490
OG0000114	CIB43_RS03245	NB624_RS02485
OG0000115	CIB43_RS03230	NB624_RS02470
OG0000116	CIB43_RS02165	NB624_RS01290
OG0000117	CIB43_RS02170	NB624_RS01295
OG0000118	CIB43_RS02205	NB624_RS01330
OG0000119	CIB43_RS02210	NB624_RS01335
OG0000120	CIB43_RS02230	NB624_RS01350
OG0000121	CIB43_RS02250	NB624_RS01375
OG0000122	CIB43_RS02255	NB624_RS01380
OG0000123	CIB43_RS02275	NB624_RS01400
OG0000124	CIB43_RS02280	NB624_RS01405
OG0000125	CIB43_RS02285	NB624_RS01410
OG0000126	CIB43_RS02295	NB624_RS01420
OG0000127	CIB43_RS02305	NB624_RS01430
OG0000128	CIB43_RS02320	NB624_RS01445
OG0000129	CIB43_RS02330	NB624_RS01450
OG0000130	CIB43_RS02335	NB624_RS01460
OG0000131	CIB43_RS02370	NB624_RS01490
OG0000132	CIB43_RS02385	NB624_RS01505
OG0000133	CIB43_RS01415	NB624_RS00525
OG0000134	CIB43_RS01425	NB624_RS00530
OG0000135	CIB43_RS01435	NB624_RS00545
OG0000136	CIB43_RS01440	NB624_RS00550
