Orthogroup	MHP_KM014_genes	MHP_ES2_genes
OG0000000	CIB43_RS03015	E5E95_RS02235
OG0000000	CIB43_RS03010	E5E95_RS02230
OG0000000	CIB43_RS02595, CIB43_RS02600	E5E95_RS01830
OG0000001	CIB43_RS02150	E5E95_RS01295
OG0000001	CIB43_RS03715	E5E95_RS03000
OG0000001	CIB43_RS03670	E5E95_RS04155, E5E95_RS04150
OG0000002	CIB43_RS03100	E5E95_RS02320
OG0000002	CIB43_RS02610	E5E95_RS01840
OG0000003	CIB43_RS01390	E5E95_RS00505
OG0000003	CIB43_RS02725	E5E95_RS03910
OG0000004	CIB43_RS00290	E5E95_RS03410
OG0000004	CIB43_RS00275	E5E95_RS03400
OG0000004	CIB43_RS00110	E5E95_RS03235
OG0000005	CIB43_RS00810	E5E95_RS00090
OG0000005	CIB43_RS00830	E5E95_RS00110
OG0000006	CIB43_RS03435	E5E95_RS02705
OG0000006	CIB43_RS03420	E5E95_RS02445, E5E95_RS04120, E5E95_RS04115
OG0000007	CIB43_RS03095	E5E95_RS02300
OG0000007	CIB43_RS03080	E5E95_RS02295
OG0000007	CIB43_RS03075	E5E95_RS02290
OG0000008	CIB43_RS03225	E5E95_RS03925, E5E95_RS04080
OG0000009	CIB43_RS01550	E5E95_RS00680
OG0000010	CIB43_RS02735	E5E95_RS01970
OG0000011	CIB43_RS02845	E5E95_RS02065
OG0000011	CIB43_RS02850	E5E95_RS02070
OG0000012	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750	E5E95_RS03230
OG0000014	CIB43_RS01485	E5E95_RS00595
OG0000014	CIB43_RS01955	E5E95_RS01105
OG0000015	CIB43_RS01220	E5E95_RS02450
OG0000016	CIB43_RS03755	E5E95_RS03040
OG0000017	CIB43_RS00855	E5E95_RS00145
OG0000017	CIB43_RS03765	E5E95_RS03050
OG0000018	CIB43_RS01185	E5E95_RS02480
OG0000019	CIB43_RS00115	E5E95_RS04175
OG0000019	CIB43_RS03950, CIB43_RS00005	E5E95_RS04180
OG0000021	CIB43_RS01400	E5E95_RS01875
OG0000021	CIB43_RS02635	E5E95_RS03845
OG0000022	CIB43_RS02590	E5E95_RS01825
OG0000023	CIB43_RS01195	E5E95_RS01720, E5E95_RS04100, E5E95_RS04110, E5E95_RS04105
OG0000024	CIB43_RS02140	E5E95_RS01290
OG0000025	CIB43_RS02585	E5E95_RS01820
OG0000026	CIB43_RS02565	E5E95_RS01800
OG0000027	CIB43_RS00440	E5E95_RS03575
OG0000028	CIB43_RS03340	E5E95_RS02625
OG0000028	CIB43_RS03325	E5E95_RS02620
OG0000030	CIB43_RS00435	E5E95_RS03570
OG0000035	CIB43_RS00280	E5E95_RS03405
OG0000035	CIB43_RS00270	E5E95_RS03395
OG0000037	CIB43_RS02465	E5E95_RS04000
OG0000038	CIB43_RS02625	E5E95_RS01910, E5E95_RS00500, E5E95_RS01865
OG0000039	CIB43_RS02500	E5E95_RS01650, E5E95_RS01645
OG0000041	CIB43_RS03980	E5E95_RS00670
OG0000042	CIB43_RS03855	E5E95_RS03140
OG0000043	CIB43_RS02825	E5E95_RS02030
OG0000043	CIB43_RS00070	E5E95_RS02030
OG0000045	CIB43_RS02520	E5E95_RS01655
OG0000047	CIB43_RS01205	E5E95_RS04090
OG0000048	CIB43_RS02995	E5E95_RS02215
OG0000049	CIB43_RS00150	E5E95_RS03260
OG0000051	CIB43_RS03575	E5E95_RS02855
OG0000052	CIB43_RS00775	E5E95_RS00075
OG0000053	CIB43_RS02315	E5E95_RS01465
OG0000054	CIB43_RS03395	E5E95_RS02680
OG0000055	CIB43_RS00835	E5E95_RS00125
OG0000056	CIB43_RS00630, CIB43_RS03960	E5E95_RS03750
OG0000057	CIB43_RS03840	E5E95_RS03125
OG0000058	CIB43_RS01140	E5E95_RS01660
OG0000058	CIB43_RS01145	E5E95_RS02525
OG0000059	CIB43_RS00080, CIB43_RS01165	E5E95_RS02510
OG0000060	CIB43_RS00780	E5E95_RS01215, E5E95_RS00080
OG0000061	CIB43_RS02745	E5E95_RS01980
OG0000062	CIB43_RS00675	E5E95_RS03805
OG0000063	CIB43_RS00660	E5E95_RS03800
OG0000064	CIB43_RS00650	E5E95_RS03790
OG0000065	CIB43_RS03145	E5E95_RS02365
OG0000068	CIB43_RS01520	E5E95_RS00645
OG0000069	CIB43_RS03740	E5E95_RS03015
OG0000070	CIB43_RS03400	E5E95_RS02685
OG0000071	CIB43_RS00360	E5E95_RS03485
OG0000072	CIB43_RS00375	E5E95_RS03490
OG0000073	CIB43_RS01580	E5E95_RS00705
OG0000075	CIB43_RS01060	E5E95_RS00340
OG0000077	CIB43_RS01330	E5E95_RS00445
OG0000078	CIB43_RS02560	E5E95_RS01790
OG0000079	CIB43_RS03480	E5E95_RS02760
OG0000080	CIB43_RS03525	E5E95_RS03935
OG0000081	CIB43_RS01055	E5E95_RS00335
OG0000082	CIB43_RS03315	E5E95_RS02605
OG0000083	CIB43_RS02935	E5E95_RS02140
OG0000084	CIB43_RS02955	E5E95_RS02165
OG0000086	CIB43_RS02970	E5E95_RS02180
OG0000087	CIB43_RS02975	E5E95_RS02195
OG0000088	CIB43_RS02980	E5E95_RS02200
OG0000089	CIB43_RS02990	E5E95_RS02210
OG0000090	CIB43_RS00770	E5E95_RS00070
OG0000091	CIB43_RS00760	E5E95_RS00055
OG0000092	CIB43_RS00745	E5E95_RS00040
OG0000093	CIB43_RS00735	E5E95_RS00035
OG0000094	CIB43_RS00730	E5E95_RS00030
OG0000095	CIB43_RS00715	E5E95_RS00005
OG0000096	CIB43_RS00700	E5E95_RS03840
OG0000097	CIB43_RS00690	E5E95_RS03820
OG0000100	CIB43_RS00610	E5E95_RS03740
OG0000101	CIB43_RS00600	E5E95_RS03735
OG0000102	CIB43_RS02580	E5E95_RS01815
OG0000103	CIB43_RS03110	E5E95_RS02330
OG0000104	CIB43_RS03120	E5E95_RS02335
OG0000105	CIB43_RS03130	E5E95_RS02350
OG0000106	CIB43_RS03140	E5E95_RS02360
OG0000107	CIB43_RS03150	E5E95_RS02370
OG0000108	CIB43_RS03155	E5E95_RS02375
OG0000109	CIB43_RS03160	E5E95_RS02380
OG0000110	CIB43_RS03290	E5E95_RS02595
OG0000111	CIB43_RS03285	E5E95_RS02590
OG0000112	CIB43_RS03280	E5E95_RS02580
OG0000113	CIB43_RS03260	E5E95_RS02560
OG0000114	CIB43_RS03245	E5E95_RS04300
OG0000115	CIB43_RS03230	E5E95_RS02535
OG0000116	CIB43_RS02165	E5E95_RS01315
OG0000117	CIB43_RS02170	E5E95_RS01320
OG0000118	CIB43_RS02205	E5E95_RS01355
OG0000119	CIB43_RS02210	E5E95_RS01360
OG0000120	CIB43_RS02230	E5E95_RS01375
OG0000121	CIB43_RS02250	E5E95_RS01400
OG0000122	CIB43_RS02255	E5E95_RS01405
OG0000123	CIB43_RS02275	E5E95_RS01425
OG0000124	CIB43_RS02280	E5E95_RS01430
OG0000125	CIB43_RS02285	E5E95_RS01435
OG0000126	CIB43_RS02295	E5E95_RS01445
OG0000127	CIB43_RS02305	E5E95_RS01455
OG0000128	CIB43_RS02320	E5E95_RS01470
OG0000129	CIB43_RS02330	E5E95_RS01475
OG0000130	CIB43_RS02335	E5E95_RS01485
OG0000131	CIB43_RS02370	E5E95_RS01515
OG0000132	CIB43_RS02385	E5E95_RS01530
OG0000133	CIB43_RS01415	E5E95_RS00530
OG0000134	CIB43_RS01425	E5E95_RS00535
OG0000135	CIB43_RS01435	E5E95_RS00550
OG0000136	CIB43_RS01440	E5E95_RS00555
OG0000137	CIB43_RS01470	E5E95_RS00585
OG0000138	CIB43_RS01495	E5E95_RS00620
OG0000139	CIB43_RS01525	E5E95_RS00650
OG0000140	CIB43_RS01540	E5E95_RS00655
OG0000141	CIB43_RS03850	E5E95_RS03135
OG0000142	CIB43_RS03845	E5E95_RS03130
OG0000143	CIB43_RS03835	E5E95_RS03105
OG0000144	CIB43_RS03815	E5E95_RS03095
OG0000145	CIB43_RS03805	E5E95_RS03085
OG0000146	CIB43_RS03790	E5E95_RS03075
OG0000147	CIB43_RS03785	E5E95_RS03070
OG0000148	CIB43_RS03780	E5E95_RS03055
OG0000149	CIB43_RS03760	E5E95_RS03045
OG0000150	CIB43_RS03745	E5E95_RS03030
OG0000151	CIB43_RS03700	E5E95_RS02985
OG0000152	CIB43_RS03695	E5E95_RS02980
OG0000153	CIB43_RS03690	E5E95_RS02975
OG0000154	CIB43_RS03680	E5E95_RS02965
OG0000155	CIB43_RS03645	E5E95_RS02925
OG0000156	CIB43_RS03635	E5E95_RS02915
OG0000157	CIB43_RS03625	E5E95_RS02910
OG0000158	CIB43_RS03620	E5E95_RS02905
OG0000159	CIB43_RS03385	E5E95_RS04310
OG0000160	CIB43_RS03380	E5E95_RS02665
OG0000161	CIB43_RS03375	E5E95_RS02660
OG0000163	CIB43_RS03370	E5E95_RS02645
OG0000164	CIB43_RS02495	E5E95_RS01630
OG0000165	CIB43_RS02840	E5E95_RS02055
OG0000166	CIB43_RS02860	E5E95_RS02080
OG0000167	CIB43_RS02875	E5E95_RS02095
OG0000168	CIB43_RS02880	E5E95_RS02100
OG0000169	CIB43_RS00130	E5E95_RS03255
OG0000171	CIB43_RS00155	E5E95_RS03280
OG0000172	CIB43_RS00160	E5E95_RS03285
OG0000173	CIB43_RS00165	E5E95_RS03290
OG0000174	CIB43_RS00170	E5E95_RS03295
OG0000175	CIB43_RS00190	E5E95_RS03310
OG0000176	CIB43_RS00235	E5E95_RS03360
OG0000177	CIB43_RS00240	E5E95_RS03365
OG0000178	CIB43_RS00245	E5E95_RS03370
OG0000179	CIB43_RS00255	E5E95_RS03380
OG0000180	CIB43_RS00260	E5E95_RS03385
OG0000181	CIB43_RS00310	E5E95_RS03435
OG0000182	CIB43_RS00320	E5E95_RS03445
OG0000183	CIB43_RS00355	E5E95_RS03480
OG0000184	CIB43_RS00430	E5E95_RS03525
OG0000185	CIB43_RS00380	E5E95_RS03510
OG0000186	CIB43_RS02400	E5E95_RS01540
OG0000187	CIB43_RS02410	E5E95_RS01555
OG0000188	CIB43_RS02425	E5E95_RS01565
OG0000189	CIB43_RS03200	E5E95_RS02415
OG0000190	CIB43_RS03195	E5E95_RS02410
OG0000191	CIB43_RS03180	E5E95_RS02390
OG0000192	CIB43_RS02085	E5E95_RS01235
OG0000193	CIB43_RS02075	E5E95_RS01225
OG0000194	CIB43_RS01560	E5E95_RS00690
OG0000195	CIB43_RS01565	E5E95_RS00695
OG0000196	CIB43_RS01585	E5E95_RS00715
OG0000197	CIB43_RS01590	E5E95_RS00720
OG0000198	CIB43_RS01605	E5E95_RS00735
OG0000199	CIB43_RS01615	E5E95_RS00740
OG0000200	CIB43_RS01630	E5E95_RS00755
OG0000201	CIB43_RS01635	E5E95_RS00765
OG0000202	CIB43_RS01690	E5E95_RS00820
OG0000203	CIB43_RS01695	E5E95_RS00825
OG0000204	CIB43_RS01700	E5E95_RS00830
OG0000205	CIB43_RS01705	E5E95_RS00835
OG0000206	CIB43_RS01735	E5E95_RS00855
OG0000207	CIB43_RS01740	E5E95_RS00870
OG0000208	CIB43_RS01745	E5E95_RS00875
OG0000209	CIB43_RS01750	E5E95_RS00880
OG0000210	CIB43_RS01800	E5E95_RS00925
OG0000211	CIB43_RS01805	E5E95_RS00955
OG0000212	CIB43_RS01815	E5E95_RS00965
OG0000213	CIB43_RS01820	E5E95_RS00970
OG0000214	CIB43_RS01825	E5E95_RS00975
OG0000215	CIB43_RS01830	E5E95_RS00980
OG0000216	CIB43_RS01835	E5E95_RS00985
OG0000217	CIB43_RS01845	E5E95_RS00995
OG0000218	CIB43_RS01850	E5E95_RS01000
OG0000219	CIB43_RS01855	E5E95_RS01005
OG0000220	CIB43_RS01860	E5E95_RS01010
OG0000221	CIB43_RS01865	E5E95_RS01015
OG0000222	CIB43_RS01870	E5E95_RS01020
OG0000223	CIB43_RS01875	E5E95_RS01025
OG0000225	CIB43_RS01895	E5E95_RS01045
OG0000226	CIB43_RS01900	E5E95_RS01050
OG0000227	CIB43_RS01905	E5E95_RS01055
OG0000228	CIB43_RS01910	E5E95_RS04285
OG0000229	CIB43_RS01915	E5E95_RS01065
OG0000230	CIB43_RS01920	E5E95_RS01070
OG0000231	CIB43_RS01935	E5E95_RS01080
OG0000232	CIB43_RS01940	E5E95_RS01090
OG0000233	CIB43_RS01965	E5E95_RS01110
