Orthogroup	MHP_KM014_genes	MHP_MHP679_genes
OG0000000	CIB43_RS03015	DR086_RS03500
OG0000000	CIB43_RS02595	DR086_RS04250
OG0000001	CIB43_RS03715	DR086_RS01010
OG0000001	CIB43_RS03670	DR086_RS03200, DR086_RS03195
OG0000002	CIB43_RS03100, CIB43_RS04020	DR086_RS04310
OG0000002	CIB43_RS02610	DR086_RS04880
OG0000003	CIB43_RS01390	DR086_RS00625, DR086_RS03690
OG0000003	CIB43_RS02725	DR086_RS05085
OG0000004	CIB43_RS00290, CIB43_RS00275	DR086_RS03630
OG0000005	CIB43_RS00810	DR086_RS03245
OG0000006	CIB43_RS03435	DR086_RS04315
OG0000006	CIB43_RS03420	DR086_RS04320, DR086_RS04535, DR086_RS04530
OG0000007	CIB43_RS03095	DR086_RS03485
OG0000007	CIB43_RS03075	DR086_RS03495
OG0000010	CIB43_RS02735	DR086_RS00810
OG0000011	CIB43_RS02850	DR086_RS00450
OG0000014	CIB43_RS01955	DR086_RS03610
OG0000015	CIB43_RS01235	DR086_RS03700
OG0000015	CIB43_RS00010	DR086_RS00690
OG0000016	CIB43_RS03755	DR086_RS01050
OG0000017	CIB43_RS00855	DR086_RS00015
OG0000017	CIB43_RS03765	DR086_RS01060
OG0000018	CIB43_RS02195	DR086_RS04915
OG0000019	CIB43_RS00120, CIB43_RS00115, CIB43_RS03950, CIB43_RS00005	DR086_RS04570
OG0000020	CIB43_RS00635	DR086_RS02470
OG0000021	CIB43_RS01400	DR086_RS00630
OG0000022	CIB43_RS02590	DR086_RS04885
OG0000023	CIB43_RS00020	DR086_RS04105
OG0000025	CIB43_RS02585	DR086_RS01595
OG0000026	CIB43_RS02565	DR086_RS01615
OG0000027	CIB43_RS00440	DR086_RS04870
OG0000028	CIB43_RS03325	DR086_RS02225, DR086_RS03150
OG0000030	CIB43_RS00435	DR086_RS04875
OG0000031	CIB43_RS01295, CIB43_RS00065	DR086_RS00745
OG0000036	CIB43_RS00815	DR086_RS03265
OG0000037	CIB43_RS02475, CIB43_RS02465	DR086_RS04510
OG0000039	CIB43_RS02500	DR086_RS03295
OG0000041	CIB43_RS03980	DR086_RS03635
OG0000042	CIB43_RS03855	DR086_RS02970
OG0000043	CIB43_RS00070	DR086_RS00415
OG0000045	CIB43_RS02520	DR086_RS03290
OG0000047	CIB43_RS01205, CIB43_RS00045	DR086_RS00730
OG0000048	CIB43_RS02995	DR086_RS00610
OG0000049	CIB43_RS00150	DR086_RS01430
OG0000051	CIB43_RS03575	DR086_RS00855
OG0000052	CIB43_RS00775	DR086_RS01150
OG0000053	CIB43_RS02315	DR086_RS04905
OG0000054	CIB43_RS03395	DR086_RS02170
OG0000055	CIB43_RS00835	DR086_RS03270
OG0000056	CIB43_RS00630, CIB43_RS03960	DR086_RS02455
OG0000057	CIB43_RS03840	DR086_RS01130
OG0000058	CIB43_RS00085	DR086_RS00765
OG0000059	CIB43_RS00080, CIB43_RS01165	DR086_RS04120
OG0000062	CIB43_RS00675	DR086_RS01260
OG0000063	CIB43_RS00660	DR086_RS04835
OG0000064	CIB43_RS00650	DR086_RS01275
OG0000065	CIB43_RS03145	DR086_RS02080
OG0000068	CIB43_RS01520	DR086_RS01570
OG0000069	CIB43_RS03740	DR086_RS01025
OG0000070	CIB43_RS03400	DR086_RS02165
OG0000071	CIB43_RS00360	DR086_RS02350
OG0000072	CIB43_RS00375	DR086_RS04935
OG0000073	CIB43_RS01580	DR086_RS03040
OG0000075	CIB43_RS01060	DR086_RS03840, DR086_RS00210
OG0000077	CIB43_RS01330	DR086_RS00315
OG0000078	CIB43_RS02560	DR086_RS01625
OG0000079	CIB43_RS03480	DR086_RS00950
OG0000080	CIB43_RS03525	DR086_RS04145
OG0000081	CIB43_RS01055	DR086_RS00205
OG0000082	CIB43_RS03315	DR086_RS03110
OG0000083	CIB43_RS02935	DR086_RS00520
OG0000084	CIB43_RS02955	DR086_RS00545
OG0000086	CIB43_RS02970	DR086_RS00560
OG0000087	CIB43_RS02975	DR086_RS00575
OG0000088	CIB43_RS02980	DR086_RS00580
OG0000089	CIB43_RS02990	DR086_RS00590
OG0000090	CIB43_RS00770	DR086_RS01155
OG0000091	CIB43_RS00760	DR086_RS01170
OG0000092	CIB43_RS00745	DR086_RS01185
OG0000093	CIB43_RS00735	DR086_RS01190
OG0000094	CIB43_RS00730	DR086_RS01195
OG0000095	CIB43_RS00715	DR086_RS01220
OG0000096	CIB43_RS00700	DR086_RS01225
OG0000097	CIB43_RS00690	DR086_RS01245
OG0000100	CIB43_RS00610	DR086_RS02445
OG0000101	CIB43_RS00600	DR086_RS02440
OG0000102	CIB43_RS02580	DR086_RS01600
OG0000103	CIB43_RS03110	DR086_RS02115
OG0000104	CIB43_RS03120	DR086_RS02110
OG0000105	CIB43_RS03130	DR086_RS02095
OG0000106	CIB43_RS03140	DR086_RS02085
OG0000107	CIB43_RS03150	DR086_RS02075
OG0000108	CIB43_RS03155	DR086_RS02070
OG0000109	CIB43_RS03160	DR086_RS02065
OG0000110	CIB43_RS03290	DR086_RS03120
OG0000111	CIB43_RS03285	DR086_RS03125
OG0000112	CIB43_RS03280	DR086_RS03135
OG0000113	CIB43_RS03260	DR086_RS05050
OG0000114	CIB43_RS03245	DR086_RS03455
OG0000115	CIB43_RS03230	DR086_RS03475
OG0000116	CIB43_RS02165	DR086_RS03410
OG0000117	CIB43_RS02170	DR086_RS03405
OG0000118	CIB43_RS02205	DR086_RS01995
OG0000119	CIB43_RS02210	DR086_RS01990
OG0000120	CIB43_RS02230	DR086_RS01975
OG0000121	CIB43_RS02250	DR086_RS01950
OG0000122	CIB43_RS02255	DR086_RS01945
OG0000123	CIB43_RS02275	DR086_RS01925
OG0000124	CIB43_RS02280	DR086_RS01920
OG0000125	CIB43_RS02285	DR086_RS01915
OG0000126	CIB43_RS02295	DR086_RS01900
OG0000127	CIB43_RS02305	DR086_RS01890
OG0000128	CIB43_RS02320	DR086_RS01875
OG0000129	CIB43_RS02330	DR086_RS01870
OG0000130	CIB43_RS02335	DR086_RS01860
OG0000131	CIB43_RS02370	DR086_RS01830
OG0000132	CIB43_RS02385	DR086_RS04900
OG0000133	CIB43_RS01415	DR086_RS02245
OG0000134	CIB43_RS01425	DR086_RS02250
OG0000135	CIB43_RS01435	DR086_RS02265
OG0000136	CIB43_RS01440	DR086_RS02270
OG0000137	CIB43_RS01470	DR086_RS02310
OG0000138	CIB43_RS01495	DR086_RS02775
